[00:03] Speaker_E | 'Kay .
[00:05] Speaker_E | Gosh .
[00:05] Speaker_A | Okay .
[00:10] Speaker_E | 'Kay .
[00:11] Speaker_A | Does anyone want to see uh Steve's feedback from the specification ?
[00:16] Speaker_E | Is there much more in it than he d
[00:16] Speaker_D | I I dry-read it the last time . .
[00:18] Speaker_A | Right .
[00:18] Speaker_E | Is there much more in it than he said yesterday ?
[00:22] Speaker_E | Mm .
[00:25] Speaker_E | Hmm . Hmm ?
"[00:28] Speaker_A | Like duplication of effort and stuff , and um yeah , he was saying that we should maybe uh think about having a prototype for week six , which is next week . Yeah ."
[00:38] Speaker_D | Next week .
[00:42] Speaker_A | So we should probably prioritize our packages .
[00:56] Speaker_A | Mm .
[01:18] Speaker_B | Yeah .
[01:19] Speaker_A | Yeah .
"[01:32] Speaker_E | Oh yeah , um yeah . No . But also I might like the the similarity thing , like my just my matrix itself for my stuff , I c I I think I can do that fairly quickly because I have the algorithms . Yeah , I think today's meeting is really the one where we where we sort of settle down the data structure and as soon as we have that , uh probably like after today's meeting , we then actually need to"
[01:33] Speaker_D | Yeah .
[01:49] Speaker_D | Yeah .
[01:54] Speaker_E | well go back first of all and look at NITE X_M_L_ to see in how far that that which we want is compatible with that which NITE X_M_L_ offers us . And then just sort of everyone make sure everyone understand the interface .
[02:01] Speaker_A | Yeah .
"[02:08] Speaker_E | So I think if today we decide on what data we wanna have now , and and later , maybe even today , we go and look at NITE X_M_L_ or some of us look at NITE X_M_L_ in a bit more detail , just trying to make some sense of that code and see how does the representation work in their system . And then sort of with that knowledge we should be able to then say okay , that type of NITE X_M_L_ data we wanna load into it , and this is how everyone can access it , and then we should be able to go from there ."
"[02:35] Speaker_A | Hmm . Has has anyone actually looked at the Java code for the , huh ? Hmm ."
[02:39] Speaker_E | No .
[02:40] Speaker_D | No .
"[02:41] Speaker_E | I've looked looked at the documentation and n like seen enough to make me think that we want to use the NITE X_M_L_ framework because um they have a good a event model that synchronizes sort of the data and and every display element . So that takes a lot of work away from us . Sort of that would be a reason for staying within their framework and using their general classes . But beyond that I haven't looked at it at all , which is something we should really do . Who actually like for this whole discussion I mean , who of us is doing stuff that is happening on-line and who of us is doing stuff that's happening off-line ? Like my data is coming c"
"[03:06] Speaker_A | Yeah , I think so ."
[03:30] Speaker_E | Hmm ?
[03:31] Speaker_C | The basic word importance is off-line as well . The combined measure might not be if we want to wait what the user has typed in into the search .
[03:33] Speaker_E | Yeah .
[03:38] Speaker_E | Okay .
[03:40] Speaker_E | Okay .
"[03:42] Speaker_D | Uh mine's gonna be mostly using the off-line . But the actual stuff it's doing will be on-line . But it won't be very um processor intensive or memory intensive , I don't think ."
[03:48] Speaker_E | 'Kay .
"[03:51] Speaker_E | So basically apart from the display module , the i the display itself , we don't have an extremely high degree of interaction between sort of our modules that create the stuff and and the interface , so the interface is mainly while it's running just working on data that's just loaded from a file , I guess ."
"[04:12] Speaker_A | Yeah , I I don't know about the search functionality , that might be online . Depends how it's gonna work ."
[04:12] Speaker_B | Hmm .
"[04:17] Speaker_E | Yeah , I know . Th Yeah , the search is I guess the search is sort of a strange beast anyway because for the search we're leaving the NITE X_M_L_ framework . Um but that's still sort of that's good . That means that at least like we don't have the type of situation where somebody has to do like a billion calculations on on data on-line . 'Cause that would make it a lot more like that would mean that our interface for the data would have to be a lot more careful about how it performs and and everything . And nobody is modifying that data at at on-line time at all it seems . Nobody's making any changes to the actual data on-line ."
[04:25] Speaker_A | Yeah .
[04:54] Speaker_D | Don't think so .
"[04:55] Speaker_E | So that's actually making it a lot easier . That basically means our browser really is a viewer mostly , which isn't doing much with the data except for sort of selecting a piece piece of it and and displaying it ."
[04:57] Speaker_D | Yeah .
[05:10] Speaker_D | Are we still gonna go for dumping it into a database ? Are we still gonna dump it into a database ?
[05:13] Speaker_E | Hmm ?
"[05:16] Speaker_E | Well some parts relevant for the search , yes . I'd say so ."
"[05:20] Speaker_D | 'Cause if we are , I reckon we should all read our classes out of the database . It'll be so much easier ."
[05:25] Speaker_E | Hmm ?
"[05:26] Speaker_D | Well if we're gonna dump the part of it into a database anyway , we might as well dump all the fields we want into the database , calculate everything from there . Then we don't even have to worry that much about the underlying X_M_L_ representation . We can just query it ."
"[05:43] Speaker_E | Yeah , but nobody of us is doing much of searching from the data in the on-line stage ."
"[05:48] Speaker_E | And for all together , like the display itself , I think we are easier if we if it's sitting on the X_M_L_ than if it's sitting on the S_Q_L_ stuff , because if it's sitting on the X_M_L_ , we have the the NITE X_M_L_ framework with all its functionality for synchronizing through all the different levels whenever there's a change , whenever something's moving forward and stuff . And we can just more or less look at their code , like how their player moves forward , and how that moving forward is represented in different windows and stuff . So I think in the actual browser itself I don't wanna sit on the S_Q_L_ if we can sit on the X_M_L_ because sitting on the X_M_L_ we have all we have so much help . And for y for like the p the calculations that we're doing apart from the search , it seems that everyone needs some special representations anyway ."
"[06:33] Speaker_D | Well if we're gonna do that , we should try and store everything in in an X_M_L_ format as well ."
"[06:40] Speaker_E | You mean our results ? Yeah , in in the NITE X_M_L_ X_M_L_ format , so with their time stamps and stuff , so that it's easy to to tie together st things ."
[06:41] Speaker_D | Yeah .
[06:46] Speaker_B | Yes .
[06:48] Speaker_D | Yeah .
"[07:23] Speaker_E | If we if we do it this way like we f we have to discuss that if we do it this way , then we should probably find some abstraction model , so that the interface in the sense like deals with it as if it's same so that the interface doesn't really have to worry whether it's a meeting in the whole meeting series or a segment within a meeting , you know what I mean ? And that's probably stuff that we have to sort of like process twice then . Like for example that like the summary of a meeting within the whole meeting corpus or meeting series y is meeting series a good word for that ? I don't really know what how to call it . You know what I mean , like not not the whole corpus , but every meeting that has to do with one topic . Um so in in the meeting se series so that a summary for a meeting within the meeting series , are sort of"
[07:40] Speaker_A | Mm-hmm .
[07:41] Speaker_B | Hmm yes .
[07:54] Speaker_B | Hmm .
"[07:59] Speaker_A | Yeah , that makes sense ."
"[08:14] Speaker_D | Well we don't even need to do that , 'cause if we got our information density calculated off-line , so all we do is treat the whole lot as one massive document . I mean they'll it's not gonna be so big that we can't load in a information density for every utterance . And we can just summarise based on that ."
"[08:31] Speaker_B | I I thought we would just have like um one big summary um with all the uh different importance levels um displayed on it . And depending on what our um zoom level is , we just display a part of it ."
[08:51] Speaker_B | And we would have one very big thing off-line . And from that we would just select what we are displaying .
[08:58] Speaker_E | And just have different like fine-grainedness levels sort of .
[09:02] Speaker_B | Yes . So for example you would um give a high value to those um sequences you want to display in the meeting series summary . And you just cut off .
[09:08] Speaker_E | Mm .
"[09:11] Speaker_E | 'Kay . So the only thing that yeah , so the only thing that would happen basically if I double-click let's say from the whole meeting series on a single meeting , is that the zoom level changes . Like the th the start and the end position changes and the zoom level changes ."
"[09:26] Speaker_B | That was what I sh I thought , yeah . I thought ."
[09:27] Speaker_D | I think you can do it on-line .
[09:28] Speaker_E | I I thought we couldn't do that . Like I was under the impression that we couldn't do that because we couldn't load the data for all that .
[09:38] Speaker_A | Hmm .
"[09:38] Speaker_D | I don't think there's really much point in doing like that when it's just gonna feed off in the end the information density measure basically . And that's all calculated off-line . So what you're really doing is sorting a list , is the p computationally hard part of it ."
