[00:22] Speaker_C | Yeah .
[00:32] Speaker_B | Hmm ?
"[00:47] Speaker_B | Ah , sod that . Okay , there ."
[00:54] Speaker_B | Group K_ . Da .
[00:58] Speaker_B | Yeah .
"[01:05] Speaker_B | Yeah , I guess . Whatever ."
"[01:10] Speaker_B | It's yeah , I never get this , so what's the point of if this is strapless if this strap's supposed to go behind m I obviously doing this wrong . Obviously failing this like whatev calling centre and tra"
"[01:21] Speaker_C | You you have this going behind your ears , the yeah . Yeah ."
"[01:24] Speaker_B | Like this and then yeah , you know what the shit has to do now ."
[01:35] Speaker_D | Yeah .
[01:37] Speaker_B | Okay .
"[01:46] Speaker_B | Yes , so um actually I just realise I don't have power , let me just switch on the other which is gonna run out ."
[01:57] Speaker_B | Okay .
[01:58] Speaker_D | Okay .
"[02:03] Speaker_B | So there's probably not much to talk about at the moment in terms of like talking about each other's stuff , I mean beyond what we've been talking about yesterday ."
"[02:14] Speaker_D | Yeah , that's true I think ."
"[02:16] Speaker_B | So what I've been thinking is maybe if we try to really make sense together of the X_M_L_ format to be sure that we can all produce the data that we are producing in a way or at least I mean I guess my data I'll probably load in from completely different way anyway because it's matrix , but all this stuff that goes with annotation , that we have it in the right format . Maybe if we just sort of pool what we know about the X_M_L_ format and try to make sense of it . I don't at all know how to go about this ."
[03:00] Speaker_B | Um I downloaded some
[03:07] Speaker_D | Oh yeah .
[03:28] Speaker_D | Yeah .
[03:28] Speaker_C | Hmm .
"[03:36] Speaker_D | Yeah , we haven't got that much to talk about , I don't think ."
[03:37] Speaker_C | No . Just maybe talk about um how you would give me your data file . Yeah .
[03:42] Speaker_D | Yeah .
"[03:44] Speaker_D | Yes , we can do that ."
[03:46] Speaker_B | What's that part ?
[03:48] Speaker_C | That's um the interface between having the topic segments and calculating the uh information importance of words .
[03:53] Speaker_B | Mm-hmm .
[03:57] Speaker_B | Mm-hmm .
[03:58] Speaker_C | Yeah . So I I would need separate files for each segment or just maybe have delimiters inbetween each segment .
[04:03] Speaker_D | Alright .
"[04:08] Speaker_C | Okay , yeah , and y then I can make files of that ."
[04:11] Speaker_C | Alright .
"[04:15] Speaker_C | No , I don't kno know it , no ."
"[04:19] Speaker_C | Yeah , that's fine ."
"[04:21] Speaker_C | I just I just need a a title for the file , but doesn't matter what it is ."
"[04:26] Speaker_D | Right . Okay . Yeah , that's no problem ."
"[04:32] Speaker_B | Yes , so does anyone have a good idea where to start like which what so what is it we talk about getting in at the moment ? We're basically just 'cause the two of you will merge your data together , right ? In some way like i in the end it'll result in one annotation . So the only thing we're trying to tie in is just an additional annotation which is similar to"
[04:42] Speaker_A | Mm yes .
[05:04] Speaker_B | Okay .
"[05:09] Speaker_B | I'm not sure it Ah . See , that's what I was thinking . Not sure what software I have at the moment , which would be hello ?"
[05:11] Speaker_C | Mm .
[05:12] Speaker_A | Mm .
[05:26] Speaker_B | Yeah .
[05:28] Speaker_B | Ah .
"[05:32] Speaker_B | Does anyone know any good standards software displays X_M_L_ , I'm not sure ."
[05:36] Speaker_A | Take Mozilla .
"[05:38] Speaker_B | Yeah , but I'm afraid I only have Firefox and Firefox doesn't have the nice X_M_L_ viewer anymore ."
[05:44] Speaker_D | Hmm .
[05:44] Speaker_B | I think I don't have Mozilla .
[05:50] Speaker_B | No .
[05:54] Speaker_B | I can probably just Emacs them .
