[00:20] Speaker_A | Ah yeah .
[00:37] Speaker_B | Okay .
[00:46] Speaker_B | Okay .
[00:48] Speaker_D | Okay .
[00:48] Speaker_E | Yep .
[00:48] Speaker_B | Okay .
"[00:56] Speaker_D | Did I tell you that we've got kind of two-way interaction ? If you control click an utterance , it will play where it should be in the file ."
[01:29] Speaker_D | We should probably set those sizes 'cause that's such an easy thing to do .
"[01:32] Speaker_B | Yes , sure but so at the moment we have a dialogue act window and a graphical display w I'm not sure . No , the interesting thing is the sound came when I tried it last time after I I triggered off something by clicking on something . Yeah , there suddenly they come . Probably they're just slow at loading . And they don't have the buttons yet . So at the moment the display is still dis-coupled from it . It's loading your data I'm not quite sure , is this it probably looks like Vera's data from from the looks of it ."
[01:39] Speaker_D | Are you missing the sound ?
"[01:49] Speaker_D | Oh , there it is ."
[01:55] Speaker_D | Yeah .
"[02:02] Speaker_D | That's Vera's data on the display . But the segments are just made up , aren't they ."
[02:49] Speaker_A | Mm-hmm .
[03:03] Speaker_B | So we see that running along with playing
[03:09] Speaker_B | of the music we see the the highlight of the dialogue acts .
[03:14] Speaker_E | Right . That's pretty good .
[03:16] Speaker_D | You can also control click on the dialogue acts and it will play that section of the file as well .
"[03:26] Speaker_B | Okay , s"
"[03:44] Speaker_A | So uh which version of my data was that , the very first one ? Yeah . Okay ."
"[03:47] Speaker_D | The original , the very first one ."
"[03:47] Speaker_B | Quite old . Yeah , we were b like doing this , we were just concerned with the whole stuff . And Dave , where what am I looking for ? Am I looking for in data manager ? Where am I looking ? Or is it f is it where the is it where the file names are ? Is it here ? Is it uh sh is it here where um words importance file ?"
[03:52] Speaker_D | Yeah .
[03:59] Speaker_D | Um it will be in program .
[04:03] Speaker_D | Where do I call your display ?
"[04:08] Speaker_D | No , it is on your display . Um where it calls which one to get , you just need to change the flag ."
[04:16] Speaker_B | In my display .
"[04:17] Speaker_D | Um I think it must be , unless I it ."
[04:22] Speaker_B | Uh let me t
"[04:24] Speaker_D | Oh no , actually yeah , you can change it for in the summary when the summary gets called in program manager , you can do it ."
[04:28] Speaker_B | I d
[04:32] Speaker_C | So are you basing it on certain thresholds uh over a special d uh s okay .
"[04:36] Speaker_D | No , not yet . It's just picks the top-ranked ones at the moment ."
"[04:39] Speaker_B | Okay , so wh where did you say , in prog"
"[04:40] Speaker_D | Yeah , the easiest thing is in programme manager , where it makes the summary . It's probably the best place to do it ."
"[04:45] Speaker_B | W you know where that is , just about ?"
[04:48] Speaker_D | It'll be above that .
[04:49] Speaker_B | Above that .
"[04:53] Speaker_D | It'll be down . It's gonna be after the data manager's made . Yeah , that ."
[04:57] Speaker_B | In this main in this routine ?
[05:01] Speaker_D | A new summary .
[05:02] Speaker_B | There is something read importance with a zero and there is read word importance with a one .
"[05:08] Speaker_D | Yeah , th can't remember where I put it . Maybe it will be in s the summary constructor then ."
[05:09] Speaker_B | Shall I swap those around ? Hmm ?
"[05:17] Speaker_D | Yeah , try the summaries constructor ."
[05:19] Speaker_B | Well wha wha what what's the differe so th this is reall
[05:22] Speaker_D | Well it reads them into separate arrays and then you can just change a flag to select one i which one it gives back .
[05:25] Speaker_B | Yeah .
[05:29] Speaker_B | Shall I just swap the file numbers around from now ?
"[05:32] Speaker_D | Yeah , if you want ."
[05:33] Speaker_B | Or would that crash anything ?
[05:36] Speaker_D | Uh that should be fine .
"[05:44] Speaker_D | Yeah , I should make a new constructor that lets you set the flag ."
[05:46] Speaker_B | Mm .
[05:47] Speaker_B | Mm . So you have time this afternoon ? Yeah . So here .
[05:50] Speaker_D | Yeah .
"[05:56] Speaker_B | So this shows if we see anything at all , then we see at the moment at least that we are definitely be um having a different summary , just because we're having a different im um important measure . So you see that um i it does something . Like at the moment I think this was yeah yeah , that's an old old old version . So it shows um and so if you if you think about how the old version happened , then you see it makes sense that words like prosody , just like a sing if that was the only utterance , then that probably scored quite well and stuff ."
[06:14] Speaker_D | Yeah .
[06:17] Speaker_E | Mm .
[06:34] Speaker_A | Yeah .
[06:36] Speaker_D | Yeah .
"[06:38] Speaker_A | Yeah , probably . Probably all these uh-huhs and uh-hmms are spelled differently in the thing or what's the problem . You should generalise . ."
[06:44] Speaker_B | Yeah .
"[06:51] Speaker_B | Unfortunately , I didn't get the the bar on the display working just yet . But that should be a small issue ."
[06:56] Speaker_D | Okay .
"[07:06] Speaker_B | Yeah , I know this is very old . We just never bothered to update the stuff , because we were working on so we see that we have a very different density curve as well for this one ."
"[07:50] Speaker_B | What would you think sort of if , you know , if if there's a certain degree of of summarisation , what should be the constant ?"
[07:57] Speaker_A | Hmm .
"[07:58] Speaker_E | Mm , I suppose it should depend on the length of the segment ."
"[08:03] Speaker_E | Mm , I guess that would make more sense , yeah ."
"[08:10] Speaker_A | Yeah , but but perhaps more than half . Otherwise you go in too slowly , yeah ."
"[08:12] Speaker_B | Yeah . Yeah , well I guess that could be uh adaptable . 'Cause an an alternative view would be that you could sort of make it that it always is the same length . So if you like if the whole meeting is selected , it compresses the whole meeting to five minutes . Then if one um segment , uh w one topic is selected , then it plays this whole topic in five minutes . But that's sort of that gives people a bit less control over so maybe we should do it instead that it yeah , it c it you can spec"
[08:22] Speaker_E | Hmm .
[08:39] Speaker_D | I think that to be honest is something we can worry about at the end . I mean that's quite trivial to change and we got a lot of other work to do .
[08:47] Speaker_B | Yeah . What's that you discussed for today though ? What's there to talk about for today ?
[08:47] Speaker_E | Hmm .
"[08:53] Speaker_E | Yeah , I was wanting to talk about the search ."
"[08:55] Speaker_D | Yeah , we need to get on that pretty shortly , I think ."
"[08:58] Speaker_E | Yeah . Yeah , I'm quite keen to do like most of that . Like make an index search and stuff ."
"[09:03] Speaker_D | Okay , so I'll need to do some changes to program manager to be able to handle um changing results ."
"[09:09] Speaker_E | Yeah , I think what basically what I need at is um just a list of words with an index to start with for each meeting ."
[09:20] Speaker_D | What kind of index ?
"[09:22] Speaker_E | Um I suppose it doesn't really matter as long as they're unique and it can I can pass 'em back to you and you can use that to the display . Um yeah , probably ."
[09:27] Speaker_D | Take and make them in a hash map or something .
"[09:38] Speaker_D | Certainly for now , yeah ."
[09:42] Speaker_D | Yeah .
"[09:42] Speaker_E | Yeah . Oh yeah , do you want you know how you've just got data for one meeting , are you needing more at the moment ?"
"[09:48] Speaker_D | Um well from the point of us developing it , it doesn't really make much difference ."
"[09:54] Speaker_E | Mm , I guess not ."
[09:54] Speaker_B | No .
[09:56] Speaker_B | Do we have everything for the same meeting at the moment ? Like is it are you y are you all working on the same meeting ?
"[10:02] Speaker_E | Yeah , I think we're all using the first one . Hmm ."
[10:04] Speaker_B | Okay .
[10:06] Speaker_B | Did anyone ever check if that's actually a good meeting like or f comparably to others ?
"[10:11] Speaker_E | Um I think it segments quite well though , first one ."
[10:19] Speaker_B | 'Kay .
[10:20] Speaker_C | So you want to send Steve the prototype and we should change data . Where's the best best place to put it ?
"[10:25] Speaker_A | Um uh sorry , the only problem with the first meeting is for ex that there's no um a hot spot annotation for that . But I mean that's not not a real problem . M"
[10:34] Speaker_C | Oh .
[10:39] Speaker_C | Do you um take it from from my directory ? Or do I have to put in in the sh
[10:43] Speaker_D | Um well at the moment it's just a an old file .
"[10:46] Speaker_C | Yeah , but would you take it from from my directory ? Or okay ."
"[10:50] Speaker_D | It'd probably be , yeah , best to make a copy of it ."
[10:54] Speaker_D | I'd have thought .
[11:00] Speaker_D | I don't think I'm gonna be able to do um the speech tools through Java native interface 'cause the documentation for them is horrific . It's really bad . So I think I'm thinking I'll just write out a script and do it with a system call .
[11:16] Speaker_B | Yeah . 'Kay .
[11:19] Speaker_B | Yeah .
"[11:21] Speaker_D | Not yet . Yeah , the I just don't think it's worth wasting too much time on it ."
[11:24] Speaker_B | No .
"[11:24] Speaker_E | Yes , it's not really important that we get it like nice and c clean or anything like that ."
[11:28] Speaker_D | Yeah .
"[11:31] Speaker_B | Yeah , especially because I mean that's that's that's only done like once every time the selection changes , right ? So even if you sort of even if you do an hourglass at that moment and , you know , even if it pauses for ten seconds , well that's tough luck then . Uh , think we should just make sure that if it takes quite some time that that the clock doesn't start before or that the audio and the clock are in synch sort of . So th"
[11:37] Speaker_D | Hmm .
[11:46] Speaker_D | I don't think it would take that long anyway .
"[11:54] Speaker_D | Yeah yeah . So yeah , it we just start everything after the summary's been created . It's not a big problem ."
"[11:59] Speaker_B | Yeah . Yeah , there's a wait for command for an external ca like for an external call to make sure that the external thing is finished because in general like that's sort of running parallel , I think . Yeah ."
[12:10] Speaker_D | Yeah .
[12:15] Speaker_B | I have some code for system calls like that handles the in and the output if you need some of that .
[12:21] Speaker_D | Um I don't think I'll need that really 'cause I'll just dump out a temporary file .
[12:23] Speaker_B | Okay .
"[12:29] Speaker_B | Okay , cool . Um I don't really know what to talk about ."
[12:54] Speaker_D | I think we should decide what we want it to actually look like in the end .
[13:01] Speaker_D | 'Cause are we gonna have some kind of tree view to represent the meetings and stuff ?
[13:12] Speaker_D | Because if if we're not then we'd probably have to make the graphical display display a bit more information .
[13:38] Speaker_D | Mm .
"[13:40] Speaker_A | I uh think it might . Why , because um i um Steve lay quite a lot of um weight on um you know uh surfing through meetings ."
[13:55] Speaker_A | So we should at least provide an overview of different meetings of one group . At the beginning he um talked quite a lot about that .
[14:03] Speaker_B | I c
[14:04] Speaker_D | It's not too difficult to do and it's sort of a hack kind of way 'cause we can just treat it all as one meeting .
[14:19] Speaker_D | But we'll just create like hard segments at the start and end of each meeting . Like ones that are red instead of black or something like that .
"[14:27] Speaker_B | Yeah . So just a little bit of ad additional information in the display that knows where meetings , picking it over , and otherwise internally we treat it like so we have continuous I_D_s for the segments . Yeah , that works ."
"[14:36] Speaker_D | Mm-hmm . So other than , yeah , other than well we'll just create a hard boundary in between each one so you can see the thing ."
"[14:45] Speaker_B | Yes , but apart from that we don't really do anything different as if it was just one meeting . Yeah , I completely agree . So the only thing it would be that the display gets information about where they are and displays them as hard boundaries ."
[14:47] Speaker_D | Yeah . I mean that's quite a cheap way to do it .
"[14:57] Speaker_A | Um and what about the similarity measure for segments ? Do we um also present that in this window , and do we do it across meetings ? Uh I think that was planned at the beginning , wasn't it ?"
"[15:13] Speaker_B | Yeah , so the initially I thought it was sort of more a search functionality um that simply there's one button that says find similar segments , and then in the same display where we display the search results from the search ."
[15:22] Speaker_A | Yeah .
[15:27] Speaker_A | Uh okay . So it wouldn't be displayed in in the uh graphical display . Oh .
[15:31] Speaker_B | Well I'm not so you think displaying uh like an information about similarity to the select uh like to a selected meeting in to a selected segment in the other segments ?
[15:59] Speaker_D | It might be possible to do it in the summariser .
"[16:05] Speaker_B | Yeah , but i it it should appear as a continuous thing f for the yeah . But I'm not I'm not sure if it's worth much bother though . Like if we do a s like a similarity search , and just like you say find me similar segments and then sort of like you have a list and you click on one of them and then you go to that segment , I think that's quite useful um even without displaying them sort of dis-continuously ."
"[16:08] Speaker_D | Yeah , it will still appear continuous on the display ."
[16:14] Speaker_A | Mm-hmm .
[16:30] Speaker_D | So how are we gonna display the search for this corpus ?
"[16:32] Speaker_B | Well I was thinking of just like really just a m more or less just imagine those are search results each like each of them sort of them sort of giving whatever . We should aim to get some names for segments , like just some extraction of something that we can call . And if it's just the single highest um importance measure o phrase of a segment , so that we have something to display for them . Like basically just a summarisation down to one segment . And it would just be a list like this and you click on one and then w you tho you know , then the whole bureaucracy kicks in like this gets the nota notification , this gets the notification ."
[16:55] Speaker_E | Hmm .
"[17:01] Speaker_E | Yeah , yeah , yeah . Yeah , I think so ."
[17:08] Speaker_E | Yeah .
[17:08] Speaker_D | Okay .
[17:10] Speaker_B | And then we could like we could sort of use the same thing for um yours and mine . Because yours would sort of give just the segment I_D_s and mine would give the start segment I_D_s .
[17:18] Speaker_E | Yeah .
[17:22] Speaker_E | Right .
"[17:25] Speaker_B | So basically this display would have information about a segment where something starts . Maybe se well maybe also something where something ends , like for mine , and some string that we pass to describe what like what it is . You wait , your search , what would it return ? Would it return just the specific like it would go right to the utterance , right ?"
[17:40] Speaker_E | Yeah .
"[17:46] Speaker_E | Yeah , I suppose my search will r it returned the utterance , but if you're searching for a word , you need an index for the word and the utterance as well ."
"[17:53] Speaker_B | Yeah sure , sure sure . Um yeah . So in in your case like it would basically would probably say the utterance here or at least some part of the u yeah . And in my case it would say some name for the segment , and then you would just click on it and then like the whole thing would kick in . Like you c you click on it and and the selection moves and the display goes to that part ."
"[18:01] Speaker_E | Um it p it'd probably select it , yeah . It would make sense to do that ."
[18:11] Speaker_E | Yeah .
"[18:19] Speaker_D | Okay . How advanced are we gonna have our search ? Because I definitely think we should restrict it to I think we should um be able to restrict it to specific speakers and things like that , but nothing too fancy ."
[18:37] Speaker_B | Do we have them with a speaker at the moment ?
"[18:37] Speaker_D | Oh i uh well , with a speaker I_D_ ."
"[18:41] Speaker_E | Yeah , that that should be enough , shouldn't it ?"
"[18:41] Speaker_B | Okay , cool ."
"[18:43] Speaker_D | Yeah , in fact if someone could create a file with the speaker I_D_s and speaker names . that done ? Okay ."
"[18:48] Speaker_E | Oh yeah , I d I did that , yeah ."
[18:49] Speaker_B | Just random sp
[18:53] Speaker_D | Where is it ? Is it in the group directory ?
"[18:55] Speaker_E | Um yes , in the data . Yeah , group data , speaker data , or something ."
[18:58] Speaker_D | Okay .
"[19:03] Speaker_D | Yeah , it's um the data manager should be quite well documented . So you should be able to use that for the search quite easily ."
[19:08] Speaker_E | Yeah .
