[00:00] Speaker_D | Sixteen times zero .
"[01:03] Speaker_B | Yeah , but last time I pressed that key combination , everything went wrong , and I think I'll be able to do it just fine on the screen . So that'll probably keep me from pointing on my screen , which I usually it might just be at this point . Like there's sometimes a point to loading , not usually that long . Well , let's see . Anyway , so n uh let's just see what happens ."
[01:23] Speaker_B | In the end we did get it working before .
[01:28] Speaker_B | Oh see I get Yeah . Yeah .
"[01:43] Speaker_B | split screens and stuff . I think last time yes , but that's not what we want , is it ? So but I think if I this is a log out command and usually it resets this Amazing strange colour combinations I see in front of me at the moment ."
"[02:12] Speaker_B | So that kept us like basically from doing anything else product qu for quite some time in the last days because we were um hunting down that stupid error . I got it fixed in the last whatever one hour or something , but so at the moment the program is sort of in between working and not working because we've done lots of changes to what the error was . Dave , I think actually that the summary at the current moment isn't working a hundred percent correct . But that could be because of the input data . It seems to just take the first utterances more or less ."
[02:41] Speaker_D | Does it ? I have to check that out .
[02:42] Speaker_A | Yeah .
"[02:43] Speaker_B | Like if you if you first if you read through the summaries , they read suspiciously fluent , like as in people's questions and answers . And then if you plot them on the screen where where they are at the moment , they seem to o"
[02:49] Speaker_D | Hmm .
"[02:54] Speaker_D | It depends which data you use as well because um if you use the data where they're all really high , it does prefer ones from the beginning because it just picks the first ones it finds ."
[03:04] Speaker_B | Yes . So maybe that's where the problem is coming from .
[03:09] Speaker_D | But I'll check it out anyway .
"[03:26] Speaker_B | So I'm not really sure what this meeting is about to be honest . Um I'm I'm gonna show this , just what we have at the moment but it not gonna look very different from what we had last time . Don't ask him what happened to the promise that you'll get your script where you can use your own stuff because actually that was sort of ready but then we sort started trying to get something more working and then we got into big problems . So at the moment I mean again we should be at a state where people can load their own sc okay ."
"[03:50] Speaker_D | Yeah . I've got time now . Like um for the next couple of days I'll do some on it , 'cause I was just too busy last week ."
[03:54] Speaker_B | Yeah .
[04:17] Speaker_B | Okay .
[04:19] Speaker_B | So I'll just start it up what we have now and then we can talk about what different people have and stuff .
[04:29] Speaker_D | What's that that's creeping over the other screen ?
[04:32] Speaker_B | Huh ?
[04:35] Speaker_B | Eek .
"[04:37] Speaker_B | Yeah , it doesn't ."
[04:40] Speaker_B | But sometimes you have to take whatever you get and then just see how far that gets you .
[04:48] Speaker_D | That's really weird 'cause it's just started creeping over .
"[04:52] Speaker_A | Yeah , uh so let's perhaps uh in the meantime talk about the um um numbers we assign to the dialogue acts because um yeah , I didn't know that you left out those who don't have words . So I just extracted the actual dialogue numbers , and the problem is um it's perhaps more um dangerous to get mistaken with all those numbers and not knowing why things happen if we just devote numbers and n make new uh n n"
[05:04] Speaker_E | Uh-uh .
[05:30] Speaker_D | Um well as long as the two correspond then it's fine .
"[05:35] Speaker_A | Yeah sure , but I mean for all those measures that are based on words um I can automatically just throw those where it's nothing . But um those dialogues acts um like thirty three in in the first meeting , um they have a duration , even though they don't have a word . Um so for my earl other measures I I get them and I don't I mean I would have to look for every single write a programme that looks for everything a number and does the mapping for that ."
[05:51] Speaker_E | Mm .
"[05:58] Speaker_D | Oh right , I see ."
[06:08] Speaker_D | Okay . So would it be would it be easier if there's a reference file with the actual real I_D_ and the corresponding number ? So
[06:16] Speaker_A | Yes .
[06:17] Speaker_E | Yeah there is there's index files already . Yeah .
[06:19] Speaker_D | is there some already ?
[06:21] Speaker_A | Why is that ?
"[06:22] Speaker_E | Yeah , in the raw text index directory ."
[06:26] Speaker_A | Mm-hmm .
"[06:27] Speaker_E | Yeah , and it uh allows you to map between the different I_D_s ."
[06:30] Speaker_D | So would that solve the problem basically ?
"[06:33] Speaker_A | Yeah , I just wanted to uh um why do you think it's necessary at all to do that ?"
[06:39] Speaker_D | Because the whole programme works on them being numbered at the moment .
"[06:52] Speaker_A | But actually I think there is something in the audio , shouldn't there ? If there's um even though there's not a word , I think in the audio there will be something at that point because it has a duration ."
[07:06] Speaker_D | Or do you think it could appear in the summary ?
[07:09] Speaker_A | Hmm ?
"[07:11] Speaker_D | Well if it's something in the audio that's just like a noise , then we don't want it ."
"[07:16] Speaker_E | Yeah , I guess . 'Cause we can't show it in the display . Yeah , they've been cut out the ones that don't have any words ."
[07:17] Speaker_A | So d you cut it out .
[07:18] Speaker_D | Yeah .
[07:20] Speaker_D | Yeah .
[07:24] Speaker_E | Suppose .
"[07:25] Speaker_B | But would that not happen at some sorry , I'm jum jumping in . Would that not happen at summarisation anyway even if they're in the w like with the ones that have no words and then not have really low information density or something ?"
[07:27] Speaker_E | Huh .
[07:38] Speaker_D | I don't I don't know . You 'cause the thing is it depends if we want to have it display the whole thing at once .
[07:46] Speaker_B | Hmm .
[07:48] Speaker_B | 'Cause you'd reckon that you could leave them in and they would never show up in a summary anyway .
[07:52] Speaker_D | If you left them in hopefully it wouldn't affect the way the programme works .
"[07:59] Speaker_E | No , I guess not ."
"[08:02] Speaker_D | Well I don't in the programme , it's just they're not in the raw text files ."
[08:09] Speaker_A | Yeah .
[08:15] Speaker_D | Well either way .
[08:17] Speaker_E | Yeah .
[08:17] Speaker_D | Either way is fine by me as long as the two wo things um tie up . As far as I'm concerned it doesn't really matter whether those are in or out .
"[08:27] Speaker_B | We wouldn't you think that if we just write the programme the way that even in the p way that it displays everything , it still leaves those out . Like if we those a special information density I_D_ , or if you just put a spe yeah , something like that . And then just make sure that summary even in the in the most summarised mode just never puts them in ."
"[08:39] Speaker_D | No , minus one or something ."
"[08:44] Speaker_D | Yeah , certainly possible ."
[08:54] Speaker_B | Hmm .
[08:57] Speaker_C | Yeah .
"[08:57] Speaker_E | Yeah , my topic segmenter doesn't like blank lines either ."
[09:00] Speaker_D | So maybe we should just omit them then .
"[09:03] Speaker_C | Yeah , what I also did was having two people um annotate the first meeting , and so they didn't annotate the n n uh uh the spaces and everything would mess up . I think if I had spaces for the um new values so when I went to do correlation it wouldn't work anymore . So I don't know ."
[09:12] Speaker_E | Mm .
"[09:26] Speaker_D | Okay , so maybe we should leave them out then ."
"[09:29] Speaker_B | 'Kay , shall we take a quick look at the current sys"
[09:30] Speaker_A | Oh okay s
"[09:31] Speaker_C | Oh what I could do is um work um further with um what I've got now and then just when I have my um um yeah , the final formula ready , I could uh t apply to the new stuff . That would be okay ."
"[10:04] Speaker_C | No , my um yeah , what my um T_F_I_D_F_ is based on Colin's data . So"
[10:05] Speaker_B | Sorry .
[10:11] Speaker_C | um I end up with the same . Yeah .
"[10:13] Speaker_D | Oh , it's the bar is working now ."
"[10:13] Speaker_A | Okay . Okay , you end up with . Okay ."
"[10:17] Speaker_E | Oh yeah , cool ."
"[10:20] Speaker_D | Oh , so the summary is probably okay 'cause it does the job ."
"[10:27] Speaker_C | Is it still the old old T_F_I_D_F_ ? Oh , okay ."
"[10:29] Speaker_B | Yes , and in fact at the moment I don't even know which of the two I'm summarising over . Do you know y are w are we um so at the moment the configuration is that word importance file is test three and T_D_I_D_F_ file is test two . I've just I've just switched them around . So I have no clue what we're actually doing at the moment ."
"[10:34] Speaker_D | Oh , I can't remember which one it is at the moment ."
[10:34] Speaker_E | Hmm .
"[10:45] Speaker_D | Yep , that that those names are mislead well the T_F_I_D_F_ is fine , but word importance is completely misleading , it's not word importance at all ."
