[00:04] Speaker_C | No .
[00:04] Speaker_D | No .
[00:16] Speaker_B | Okay .
[00:24] Speaker_A | Okay . Who wants to take notes today ?
[00:29] Speaker_D | Oh .
[00:32] Speaker_D | Channel .
[00:35] Speaker_A | Okay .
"[00:38] Speaker_D | Mm 'kay . L I could take notes this time , I guess . I'll takes notes this time , I guess ."
[00:39] Speaker_C | Yeah .
[00:41] Speaker_A | What ? Th okay . Yeah .
"[00:44] Speaker_D | Actually , I suppose I'll use this ."
[00:45] Speaker_A | I'll make funny drawings .
[00:58] Speaker_A | Yep .
[01:01] Speaker_A | Thank you .
[01:33] Speaker_C | Okay .
[01:33] Speaker_B | Yeah .
[02:03] Speaker_C | I like the timeline .
"[02:17] Speaker_B | Okay , yeah . Basically that's fine , yeah ."
"[02:19] Speaker_C | Uh , b Let me see it . Oh , that's the same . Oh . Very good ."
[02:21] Speaker_D | Oh she has . She has her own . Yeah .
[02:24] Speaker_C | Um I'm not sure uh if we need the outline of the prototype . I mean what what are we gonna put into that ?
[02:24] Speaker_D | Okay .
"[02:47] Speaker_B | Yeah , we could because this could be just some uh a little just just describe some screen-shots or something ."
[02:50] Speaker_D | Alter .
[03:10] Speaker_B | Yeah .
[03:14] Speaker_D | Yeah .
"[03:20] Speaker_D | Yeah . Anyways , so um so yeah , this just very general structure um , I guess from this we can just pop in our little blurbs and and uh ."
[03:31] Speaker_D | Oh yeah ? Cool .
"[03:33] Speaker_D | I guess . Um so I don't know if there's other stuff that you think should be done to this , I could do that before I mail it to you guys . Um otherwise yeah . Um did someone else wanna throw it togeth Actually I can probably still throw it together if you want , um put your parts into into this one ."
[03:42] Speaker_B | Uh it should be alright . Do we d
"[03:51] Speaker_D | I'm the perfectionist , right . Yeah ."
[04:12] Speaker_D | Yeah .
"[04:13] Speaker_C | Yeah well , I mean it's up to you if you wanna keep going with that . I'm happy to do some as well . I have lots of time tonight ."
[04:19] Speaker_D | Hmm .
[04:26] Speaker_D | Yeah .
[04:42] Speaker_D | Yeah .
[04:46] Speaker_D | Or you just leave your computer on maybe . Logged in . Yeah .
[04:53] Speaker_D | Yeah .
"[04:56] Speaker_D | Yeah . Actually I noticed that no one is . Anyways , alright ."
"[05:07] Speaker_A | Yeah , do what you wanna do with it first , and then I'll will look at Yeah , uh yeah . And I'll send it out to you again tomorrow or whatever . Yeah ."
[05:07] Speaker_D | Yep .
[05:09] Speaker_D | Okay .
[05:11] Speaker_D | Right .
[05:12] Speaker_C | Yeah .
[05:20] Speaker_C | Yeah .
"[05:23] Speaker_C | Oh , there's more . Oh , I see . Oh , this is the one that okay ."
[05:30] Speaker_A | Probably wanna think about if we wanna change our goals and stuff . I think it um one thing that we could probably skip uh totally is the removing things from the audio files .
[05:35] Speaker_D | Mm-hmm .
"[05:45] Speaker_C | That's what I thought as well , I mean do we are we are we actually gonna attempt that ?"
[05:46] Speaker_D | Yeah .
[05:47] Speaker_B | Yeah .
"[05:48] Speaker_A | That's no , I don't th that's that's too big , yeah ."
"[05:50] Speaker_C | I don't think so either , yeah . I think that's gonna be a b we don't even know how to approach that at the moment , I think ."
[05:51] Speaker_D | Yeah .
[05:55] Speaker_A | No .
[05:56] Speaker_D | Yeah .
"[05:57] Speaker_B | It's a good thing to have , to say we cou what we could have done if we had more time . A good future work thing , isn't it ? Stick in the conclusion of the final report . Should if we had more time , this is what we would have done . Yeah ."
[06:03] Speaker_D | Yeah .
[06:03] Speaker_A | Yeah .
"[06:05] Speaker_D | Yeah . Unless we d unless we discover some sorta time-warp thing , it's not gonna happen . Yeah ."
"[06:06] Speaker_C | Yeah , yeah . Yeah , yeah , that's right . Um um so maybe I mean we we should we should definitely well we could probably not put it under this heading , but put it under changes since the initial specification . And say , you know , we didn't we decided the the r time is too short , whatever ."
"[06:12] Speaker_A | Yeah , but that's definitely one thing we could just remove ."
"[06:20] Speaker_D | Yeah . Yeah , sure . Yep ."
[06:22] Speaker_A | Yeah .
[06:25] Speaker_B | We don't think there's enough time .
[06:28] Speaker_B | Or we felt there were more important things to do with our time than
[06:31] Speaker_D | Mm-hmm .
[06:41] Speaker_A | Yeah .
[06:49] Speaker_D | Yeah .
[06:52] Speaker_C | M m meet these milestones at Yeah .
"[06:55] Speaker_B | Yeah , that's a good idea . You have should have a section probably ."
[06:57] Speaker_A | I mean we haven't really yeah .
[06:57] Speaker_D | Yeah .
[06:59] Speaker_D | Yeah .
[07:01] Speaker_D | Exactly . Yeah .
[07:03] Speaker_B | The best file on target or something .
"[07:06] Speaker_C | Yeah , yeah . Yeah , put it put it good ."
[07:31] Speaker_C | And you can say yeah . We uh say we are still aiming for the development to be complete on the or something . M .
[07:34] Speaker_B | Speaker characterisation .
[07:37] Speaker_B | Jesus .
[07:40] Speaker_D | Yeah .
[07:42] Speaker_D | Oh really ? Oh Jeez . H Um is are one of those something that you wanna change and delete from our list of expectations ?
[07:53] Speaker_D | Yeah . Okay . Alright . Like should we put i a hint that something like that might happen into the document ?
[07:58] Speaker_B | Or maybe the speaker characterisation might get slimmer .
