[00:21] Speaker_C | 'Kay .
[00:46] Speaker_B | Right .
[00:54] Speaker_B | Yep . It's going uh .
[01:01] Speaker_C | Oh ? Okay .
[01:07] Speaker_B | Sure .
"[01:07] Speaker_C | Okay , right , see ya ."
[01:07] Speaker_A | Okay .
[01:16] Speaker_C | Okay .
[01:33] Speaker_C | Yeah .
[01:37] Speaker_C | Mm .
[01:43] Speaker_C | 'Kay .
[01:43] Speaker_B | So how we're getting along ?
[01:47] Speaker_A | Not bad .
[02:20] Speaker_C | Okay .
"[02:35] Speaker_A | I'm not sure if it's in-built though , to be honest ."
"[02:37] Speaker_C | Mm . You haven't had to build any new windows to do that sort of thing . Like other topics or well we're gonna do one for speaker I guess and all the rest , right ? Or no ? No . Well okay , um when we talk about speaker characterization , how are we accessing the list of speakers ?"
[02:46] Speaker_A | What what what wh wh
"[02:53] Speaker_B | T uh I wanted to talk about that actually . Um this speaker , um the data processing is fine , but uh we don't particularly want to do the b the the b the GUI for it . No , not really . If someo if you wanna do that , then then tell me how you want the data presented , how the 'cause Do you want me to tell you ? Okay , like , 'cause at the moment , the the the there is I've created two classes , one that represents speakers , one that represents the meetings , and the meet and the information about both is contained within each object . So and then they wr it writes objects and the objects contain all the information about the meetings and the speakers . So that the who the speakers that are at the meetings and the amount they speak , and then the averages are contained with the speakers . So there's two separate class , aren't there . And they all they're two different objects , and you can recall they can write the it writes the objects and then you call the objects back and they ha those returned objects have all the information that they need , and then you can call methods to return whatever you want . Or everything , but that's why I wanted to know how ho what's the easiest way to have the data ."
"[03:02] Speaker_A | You don't . Okay , I'll do it . Yeah , I w I was thinking about uh I was going that direction anyway ."
[03:03] Speaker_C | Okay .
[03:06] Speaker_C | Right .
[03:55] Speaker_A | So um I uh have you already calculated all this data or are you supposed to do that ? Oh right .
[03:55] Speaker_C | Hmm .
"[03:58] Speaker_B | Yeah , supposedly all calculated , yeah . Um and all stored as objects , so dot object files . Um which means that you just ret call constructor and call the load thing and call it there and you can create a list of them or a vector of them or whatever you wanna do , yeah . And then or just call them one at a time to populate window . But that's what I wanted to how y how what format do you want the data to come back in . 'Cause it can come back as a almost anything . What's easiest to display on the screen ."
[04:01] Speaker_C | Okay .
[04:04] Speaker_A | Alright .
[04:05] Speaker_C | Okay .
[04:13] Speaker_C | Okay .
[04:24] Speaker_A | Uh what should it come back as ?
[04:24] Speaker_C | Yeah .
[04:33] Speaker_B | Yeah .
"[05:16] Speaker_A | Oh , yeah ."
[05:37] Speaker_C | Mm right .
"[05:40] Speaker_C | H um yeah . Yeah . Just a matter of deciding what we what would be easiest , all the way around I mean ."
"[05:46] Speaker_B | Yeah , exactly . Exactly ."
[05:55] Speaker_B | Yeah .
[05:59] Speaker_B | See that's the ca How did we Can I have a look at that again ?
"[06:05] Speaker_B | Okay . S If it's in that format , it's speaker . It's speaker speaker is the uh controlling thing , not yeah , yeah , okay , yeah , yeah . Yeah . So all of this uh all that's calculated as well , stored as speaker objects . Yeah , that's that's easy . Some are quite amusing actually . The uh the influences of I lived in Germany for six months , don't know if that had any effect . Just spend too much time talking to Brits . That was bizarre thing . , where did these people come from . So then the all that's calculated as well . All I have to do is get the dialogue acts . I don't think that'll be difficult ."
"[06:08] Speaker_A | Yeah , yeah . Sh pretty much , I would have thought ."
[06:13] Speaker_A | Yep . Yep . Definitely .
[06:21] Speaker_A | Oh is it ?
[06:28] Speaker_C | Oh . Right . Okay . Strange .
[06:44] Speaker_C | Right .
[06:54] Speaker_B | So then does this how does is how is this box populated ? Is it populated by the one present or the one highlighted ?
[07:00] Speaker_A | Um the one present . Although we could do th mm we could do the one highlighted I suppose .
"[07:02] Speaker_B | The one present , okay ."
[07:04] Speaker_C | Hmm .
