[00:14] Speaker_C | Mm-hmm . Mm-hmm .
"[00:16] Speaker_A | Can you just remind me , I don't have to tick the no n okay thing until I finish writing , but it's only if I go back to it I tick okay again ."
[00:21] Speaker_C | Yeah .
[00:25] Speaker_A | Mm .
[00:26] Speaker_A | Yep .
"[00:27] Speaker_B | So if you've um if you're back to a page , then you tick it again to leave it for the second time ."
"[00:42] Speaker_A | So if I'm working o if I've done a page , I'm on the second page , I tick it so um I finish that page and I go back to this , I can just write and then not tick until I finish writing again . Yeah , so it's always after , n you never have to it before . Fine . Fine ."
[00:42] Speaker_C | Mm-hmm .
[00:54] Speaker_C | Yeah .
[01:03] Speaker_C | Okay .
[01:03] Speaker_B | I don't believe all this stuff . It's just amazing .
[01:09] Speaker_A | And you can go on both sides as well .
"[01:14] Speaker_C | Yeah , right . Where should we start ? What have we got ?"
[01:27] Speaker_C | Mm-hmm .
[01:28] Speaker_B | Mm-hmm .
[01:31] Speaker_B | Right .
"[01:40] Speaker_C | Yeah , right ."
"[01:50] Speaker_A | by Trying to think , what is it Thursday today , I'll d I'll do that by the end of the week anyway ."
"[01:58] Speaker_B | And um you're gonna was it your idea to stick the bit in it where you say um uh , you know , you're we're inviting like from quite a wide audience we give priority to linguists ?"
[02:09] Speaker_C | Mm-hmm .
"[02:10] Speaker_A | Yeah , we're gonna do that , but I think we should s probably send out um separate calls , okay . So we'll send one , but weren't men I mean we could mention the fact that we're inviting other people , but I think it will probably just uh I mean it probably won't matter too much to the other linguists that we're having other people there . We can mention it , but it's not gonna be too essential and uh we might actually just end up making them worry that , you know , they're gonna lose their place or whatever , because uh I don't know ."
[02:29] Speaker_B | Mm-hmm .
[02:39] Speaker_B | Mm-hmm .
"[02:42] Speaker_A | But we do we do have to decide a priority thing , so that's something else we can look at um a little bit"
[02:51] Speaker_A | later down the line . So so that's the one for ling basically and I'll send that out .
[02:52] Speaker_C | Mm-hmm .
[03:05] Speaker_A | I'll do that today or tomorrow .
"[03:18] Speaker_A | Psychology people , probably that's I reckon it's the best thing to do . 'Cause she'll know which email address to use and and everything else . So um"
[03:25] Speaker_C | Mm-hmm .
[03:25] Speaker_B | Mm-hmm .
[03:29] Speaker_A | if one of us could email Claire .
[03:32] Speaker_C | Mm yeah .
"[03:38] Speaker_C | Yeah . Yeah , when in doubt ."
[03:51] Speaker_C | Mm-hmm .
"[03:51] Speaker_A | we might need to just remind her of the dates in case she doesn't know , so she gets the dates right ."
[03:56] Speaker_B | Yeah .
[04:06] Speaker_A | And uh um she's I know she already knows that it's just anyone doing psycho-linguistics basically . So that's fine .
[04:11] Speaker_C | Mm-hmm .
"[04:15] Speaker_B | And that should kinda take care of itself as well . If she just sends one round around to everyone , then only the psycho-linguists will say what was for me ."
[04:19] Speaker_C | Yeah .
