[00:00] Speaker_B | Five years just because of the floods bringing the ceilings down . So On its great joy .
"[00:03] Speaker_A | Alright , is it it's ready . Okay , great ."
[00:11] Speaker_D | Aren't they suing him ?
"[00:13] Speaker_B | I think they probably ought to , but uh they well , they've only just started realising that treating this as a legal issue is probably the right way to look at it . So they're not really the sort of people that are up for understanding um the intricacies of the committee , I guess . I mean i you would have thought they could , but it's r it's actually quite hard work . The law isn't very clear ."
[00:21] Speaker_D | Mm-hmm .
[00:34] Speaker_D | Can't th can't they get legal aid ?
"[00:37] Speaker_B | That's a good question . They p they uh they might be able to . It's just it's so strapped now , um you know , like the Citizens Advice Bureau is so hard to actually get access to because they've they have so many cases and so few people . So But yeah , that's probably the next thing they'll have to do ."
[00:52] Speaker_D | Hmm .
[00:55] Speaker_D | Mm-hmm .
"[00:57] Speaker_A | Yeah , everything's okay ."
[01:03] Speaker_D | Are we supposed to count to ten or something ? We don't have to do all that ?
"[01:08] Speaker_C | Yeah , mm-hmm ."
[01:08] Speaker_D | Okay .
[01:10] Speaker_C | Hmm .
[01:27] Speaker_B | Mm-hmm .
"[01:28] Speaker_A | Okay . Okay , okay , yeah ."
[01:31] Speaker_D | Okay .
"[01:32] Speaker_A | Okay , thanks ."
[01:32] Speaker_D | Thank you .
[01:33] Speaker_C | Thank you .
[02:01] Speaker_D | Mm-hmm .
"[02:11] Speaker_B | So um this is something that you know , we're not gonna do everything today , but I wanted to make sure that we sort of all aligned on what he was doing at the moment and and then sort of figured out how to give him the best advice coming up . So that's that's why I called this ."
"[02:31] Speaker_A | Okay . Okay , thanks . Yeah ."
[02:34] Speaker_D | You're gonna give a presentation for us then . Great .
"[02:36] Speaker_A | Yeah , yeah a very or a quick uh slides . So um I've been here for fourteen month , I think . Yeah , so I've a accustomed to the environment here and enjoy staying here . So mm uh"
"[02:53] Speaker_A | from uh last year I was uh uh s uh supervising the annotation of segmentation , summarisation uh uh with Jean uh of the I uh IC ICSI corpus and uh uh uh on the other hand uh I w n uh did s some very preliminary work on chunking the switchboard corpus . But uh that was not uh well picked up in the AMI corpus , which is supposed to be . So uh and currently I'm more interested in see uh uh , yeah , analysing the discourse structure in multi-party meetings . This is what I'm going to present here . So uh"
[03:05] Speaker_D | Mm-hmm .
[03:16] Speaker_D | Mm-hmm .
"[03:55] Speaker_A | 'Cause meetings is a lit different from normal text or a n a normal dialogue or monologue . So interactivity is a concept is a concept that I'm using to distinguish the two uh uh extremes of uh of interac uh of discourse in meetings . And uh for dialogues uh and monologues I think we might have to use different uh concepts to m m uh model the discourse structure . Then uh I w I will uh give a very uh rough plan for the next uh couple of month . And finally I I will intr i introduce some related work , yeah . So"
"[04:50] Speaker_A | the big question that I'm concern here is what's the relationship between utterances in multi-party meetings , or how do we analyse discourse structure right above utterances instead of uh those high level intentional structure of discourse ? So the concern here is about the very local low level utterance-to-utterance relations in multi-party meetings . Uh this is the local discourse structure ."
