[00:08] Speaker_B | And something to fidget with .
[00:20] Speaker_A | Right .
"[00:22] Speaker_B | On your marks , get set , go ."
[00:23] Speaker_A | 'Kay .
[00:24] Speaker_D | Hmm .
[00:26] Speaker_B | Such a long time since I've done these .
"[00:27] Speaker_D | Did did you guys actually had sort of um the interaction or discussions while you we doing the annotation , did you have had stages of clarification or I suppose you did , right ? Mm-hmm ."
"[00:34] Speaker_C | We did , yeah ."
[00:35] Speaker_B | At the beginning we did . Um
[00:40] Speaker_A | Yeah .
"[00:40] Speaker_C | Yeah , we did two of those , didn't we ?"
[00:43] Speaker_C | I think we did two training sets and then we had at least one meeting with you where we talked it all through .
[00:46] Speaker_A | Yeah . Mm .
[00:48] Speaker_D | Mm-hmm .
[00:49] Speaker_B | And supposedly decided on things . And then we did th all the rest of them separately .
[00:51] Speaker_C | Yes .
[00:52] Speaker_C | Yeah .
"[01:08] Speaker_C | I'd say no , but I d I mean I thought we had basically the same ideas to b I don't remember ever having strong arguments about what should be in what group or it was just the rules about things that s yeah ."
"[01:17] Speaker_B | No , that's true . Mm-hmm ."
[01:20] Speaker_B | It's the length of it really .
[01:23] Speaker_D | Mm-hmm .
"[01:24] Speaker_C | And what counted as wha as for the spectral features it was more confusing what counted as a spectral feature , and we had a long discussion about that . But I don't remember sort of arguing from different sides and converging , just sort of piecing out what would come up and agreeing what we'd do ."
"[01:28] Speaker_B | That's really hard , yeah ."
[01:31] Speaker_D | Mm-hmm .
[01:31] Speaker_A | Yeah .
[01:33] Speaker_B | Mm-hmm .
[01:34] Speaker_B | No .
[01:38] Speaker_D | Yeah .
[01:39] Speaker_B | Yeah .
[01:40] Speaker_D | Mm-hmm .
"[01:41] Speaker_B | And we we had a manual , which we haven't got here . Do you reckon if we get a copy , would that be useful ?"
"[01:46] Speaker_C | It probably would be , but I don't i it's been a long time , yeah , since we've done this ."
[01:47] Speaker_A | Mm .
[01:48] Speaker_D | Mm-hmm .
[01:48] Speaker_B | Are we allowed to leave the meeting now it's started ?
[01:52] Speaker_B | Can we get Ben to print us out one ?
"[01:55] Speaker_C | Yeah , that would be handy . Sign off ."
[01:56] Speaker_A | Yeah .
"[02:02] Speaker_C | We did send it to him , yeah ."
"[02:02] Speaker_A | He has had it certainly . Yeah . Yeah , he's been emailed it while ago ."
"[02:03] Speaker_B | Yes , he's he's been e emailed it , yeah . Otherwise we can go onto our system and get it ."
[02:04] Speaker_D | Yeah ? O okay .
[02:05] Speaker_C | Yeah .
[02:13] Speaker_B | Yes . Let's say something rude .
[02:17] Speaker_A | Oh really ?
[02:19] Speaker_A | Excellent .
[02:19] Speaker_B | I oh . top .
"[02:25] Speaker_B | But no , how little work we did ."
"[02:25] Speaker_C | No , we don't at all ."
[02:31] Speaker_B | Yeah . They have got a
"[02:36] Speaker_B | conference thing , haven't they ?"
[02:38] Speaker_B | In the A_T_C_ .
"[02:39] Speaker_A | Yeah , that's right , although you oh it isn't actually used all that often these days , I think ."
"[02:43] Speaker_B | I had to fly to Germany to do a teleconference , the same as you did for the interview . And they fly you to Germany and put you on a four-way teleconference with three people in Chile . And had they asked , we could have done it fine at A_T_C_ and saved me having to to go to Germany for a day . But"
"[02:46] Speaker_C | Yeah , I did as well ."
[02:48] Speaker_A | Gosh .
"[02:56] Speaker_A | Right , aye ."
[02:56] Speaker_C | No .
[02:58] Speaker_A | Right . Gosh .
[03:00] Speaker_B | they haven't got that far .
"[03:07] Speaker_A | And you miss all the the body language and things . Yeah , yeah ."
[03:13] Speaker_A | Right .
[03:24] Speaker_A | Right .
[03:27] Speaker_A | Right .
[03:39] Speaker_A | Right .
[03:46] Speaker_A | Right .
[03:48] Speaker_A | Oh . Right . Gosh .
[03:48] Speaker_C | Yeah .
[03:50] Speaker_C | And you can't say looking over here . Like o
"[03:52] Speaker_B | Yes , if you see towards the top left of the image , you'll notice And luckily Olivia had warned me it might be complicated , and so I had something with without very many um n not little flying in and things , because that would just make it really difficult . But I practised the talk , yeah , standing up in front of it and pointing to things , and you're sitting down in front of And you could see yourself , but not only could s you see yourself , you see yourself bounce back two seconds later ."
[03:52] Speaker_A | Yeah .
[03:54] Speaker_A | Yeah .
"[03:59] Speaker_A | That's very artificial though , isn't it ? Yeah . Not very sensible . Yeah , right ."
[04:09] Speaker_A | Yeah .
[04:09] Speaker_C | Yeah .
[04:18] Speaker_A | That must be really weird . Is there ? Gosh .
"[04:18] Speaker_B | By the time the signal had gone to Chile and back . So you're like oh , did I just do that ? And then you reacting to what you did a while ago . It was a really daft situation ."
[04:18] Speaker_C | Yeah . It is really strange .
[04:21] Speaker_A | Yeah . Gosh . Well Mm-hmm .
[04:26] Speaker_C | Mm .
"[04:28] Speaker_D | Okay , right , it's printing it out as well ."
[04:30] Speaker_B | Lovely .
[04:30] Speaker_A | Great .
[04:30] Speaker_C | Excellent .
"[04:36] Speaker_B | Yes , let's ."
[04:39] Speaker_B | Continuum flux or continuum .
[04:49] Speaker_C | Mm .
[04:51] Speaker_B | Flux on its own wouldn't be a spectral feature . I think it should probably just be continuum .
"[05:03] Speaker_B | If it was continuum luminosity , you probably wouldn't it . Ooh ."
"[05:15] Speaker_C | Yeah , I'm happy enough with that . I don't feel strongly about it ."
"[05:20] Speaker_B | Okay , it's my part ."
"[05:23] Speaker_D | I actually haven't really thought about like uh marking or not marking , who's top and who's bottom . I think maybe that would make sense for you guys to know . I don't know ."
[05:23] Speaker_B | Oh .
[05:40] Speaker_B | 'Cause I would fight for line being a spectral feature as well .
[05:42] Speaker_C | Right .
"[05:44] Speaker_C | Right . Yeah , I think that's probably right as well ."
[05:46] Speaker_B | It's a bit hard to mark on this . Let's do that .
"[05:50] Speaker_C | Okay , next ."
"[05:53] Speaker_D | So so you sorry , um just for the convention , you you you marking which uh which the annotation you think is is the right one . Okay , fair enough ."
[05:57] Speaker_B | The ones we want .
"[05:59] Speaker_B | Yes . And if neither , then we'll have to put something else ."
"[06:02] Speaker_D | Mm-hmm , okay ."
[06:04] Speaker_C | Okay . So here we're missing soft component on the bottom .
"[06:09] Speaker_B | And I think you're probably right , soft component is a spectral feature ."
[06:10] Speaker_C | There .
[06:13] Speaker_C | If you get line I get soft component .
"[06:15] Speaker_A | Do you think ? Sorry , I I shouldn't intervene probably . But well the um isn't it that if um it's a region of the spectrum that's u"
[06:25] Speaker_A | and we can point at it . And then it is a sp a sp spectral f f
[06:31] Speaker_B | Mm-hmm .
[06:32] Speaker_C | Yeah .
[06:35] Speaker_C | You can point to a soft component .
[06:36] Speaker_B | You can point to a soft component .
[06:37] Speaker_A | You think ?
[06:38] Speaker_C | Yeah .
[06:39] Speaker_B | Yeah .
"[06:39] Speaker_A | Okay , alright . Okay . Okay , okay ."
[06:41] Speaker_B | Is it ?
"[06:45] Speaker_B | Uh , now is a feature part of spectral feature ?"
[06:52] Speaker_B | I think you're right there as well .
"[06:52] Speaker_C | It c uh yeah , I'm not fussed about that . They both mean the same thing ."
[06:55] Speaker_B | 'Cause it it's not just absorption . But it's not just absorption point five K_V_ . It is actually something in the absorption that you're seeing .
[07:02] Speaker_B | If it was a
[07:05] Speaker_B | a dip in absorption or a
"[07:09] Speaker_B | a lack of absorption , you would put it in , because we said we would put describing words ."
[07:16] Speaker_B | Mm-hmm .
[07:21] Speaker_C | Two down . Two hundred and fifteen to go . Excellent .
[07:28] Speaker_B | That's two .
[07:30] Speaker_C | Mm that's definitely two . You're right .
"[07:36] Speaker_B | Ah , there's one with the equivalent width . I think you're right that we we weren't gonna mark the equivalent width , but we were gonna mark the lines ."
[07:44] Speaker_C | I think that's true .
"[07:55] Speaker_C | What are we missing ? Broad line . Yeah , that's true . You get that ."
[07:56] Speaker_B | Broad line . And that should be a And nebulae .
[08:04] Speaker_B | As a source type .
[08:07] Speaker_C | I don't remember what we were doing with nebulae .
"[08:09] Speaker_C | We weren't doing like H_ two regions and stuff , were we ?"
[08:15] Speaker_C | I can't remember actually .
[08:18] Speaker_C | Yeah . Yeah .
[08:22] Speaker_B | Yep .
[08:22] Speaker_C | Yes .
[08:27] Speaker_B | I what we're doing about that either .
"[08:29] Speaker_C | Mm we were doing descriptions that made things separate classes , in which case I'd argue for elliptical I think ."
"[08:37] Speaker_B | Yeah , that seems reasonable ."
"[08:42] Speaker_C | My God , I've just gone mad with the underlining here ."
"[08:51] Speaker_C | Yeah , I ."
"[08:53] Speaker_B | Breaking the power law index , I think that's probably a you can point to it , but equally it's not a it's something you've derived ."
"[08:58] Speaker_C | Yeah , that's the thing , but you wouldn't know it was a p yeah ."
[09:08] Speaker_A | Yeah .
[09:10] Speaker_B | So what's a breaking a power-law index ?
[09:12] Speaker_A | I think it's a feature . Um because in the s sp spectrum it does that and it does that . So it yeah . That's that is where it breaks . So yeah .
[09:17] Speaker_B | Mm-hmm . Yep .
"[09:17] Speaker_C | Yeah , b that thing there ."
[09:20] Speaker_B | Okay .
[09:22] Speaker_B | Slight depression of the continuum near the Lyman limit . I think you're right there as well .
[09:31] Speaker_B | But we're supposed to say w
"[09:37] Speaker_B | Yeah , i if it was absorption at H_ alpha , that would all be one . Or absorption at five thousand nanometres would all be one anyway ,"
[09:40] Speaker_C | Mm-hmm .
[09:45] Speaker_B | because it was at a certain point .
[09:50] Speaker_B | But this is near .
[09:59] Speaker_C | Yeah .
[10:02] Speaker_C | Do you have a sense about that ?
"[10:05] Speaker_A | Oh , you want to s split that one and , do you , into two ? Yeah . Yeah . Uh I'd agree with that , I think ."
[10:07] Speaker_C | Yeah .
[10:08] Speaker_B | Yes .
[10:15] Speaker_A | Yeah .
[10:15] Speaker_B | Is that K_ clear ? Oh . .
[10:26] Speaker_B | Mm absorption .
[10:26] Speaker_C | Uh-huh .
[10:31] Speaker_C | That I didn't mark because it's the physical process of absorption .
"[10:39] Speaker_B | Yes , and you're right there as well ."
[10:39] Speaker_C | Not the the thing .
[10:42] Speaker_B | Tell you who's more awake at this .
[10:49] Speaker_B | Mm-hmm . An absorption feature .
"[10:50] Speaker_C | Yeah , if it was there's an absorption feature or absorption to see it the spectrum at this wave-length . But when you say for example the the quasar is absorbed , that just means the quasar is behind a a bunch of stuff . So that's describing something physically rather than describing the spectrum itself ."
[10:54] Speaker_D | Mm-hmm .
[10:56] Speaker_D | Mm-hmm .
[11:03] Speaker_D | Cheers . Yeah .
[11:03] Speaker_A | Thanks .
[11:06] Speaker_D | Mm-hmm . Mm-hmm . Okay .
[11:07] Speaker_B | Thank you .
[11:10] Speaker_C | Thank you .
[11:12] Speaker_B | There is no steep soft component but our two K_V_ .
[11:23] Speaker_B | Mm .
[11:29] Speaker_C | It's not something you can point to .
"[11:35] Speaker_B | Yes , you could . I tend to miss out things if they're too long ."
"[11:54] Speaker_A | But if it had been there , um you would've"
"[11:57] Speaker_B | You would point to it . Yeah . Yes , I think you're right ."
"[11:57] Speaker_C | Marked it , yeah ."
[11:58] Speaker_A | had it as a feature .
[12:00] Speaker_C | Yeah .
