[00:00] Speaker_C | Uh yeah . So we've moved over and onto the other eye link . So uh 'cause she's running at the moment .
[00:14] Speaker_C | She did admit it . Yes . Uh-huh .
[00:29] Speaker_C | Hmm . No .
[00:32] Speaker_C | But ma
"[00:35] Speaker_A | Yeah . Yeah , we'll go we've got the mailing lists out now , isn't isn't it . So it's everyone should know about it now ."
"[00:41] Speaker_B | Yeah , there was a mailing list before . They've just revived that , right ?"
"[00:51] Speaker_B | Right , okay ."
[00:54] Speaker_B | Uh-huh .
[00:57] Speaker_C | Mm-hmm .
[01:14] Speaker_B | Right .
"[01:17] Speaker_B | Yeah . Why is uh-huh . Yeah , yeah ."
[01:21] Speaker_C | Mm-hmm .
[01:23] Speaker_B | Uh-huh .
[01:27] Speaker_B | Yeah . So how long does this put you back for ? Is it you know . How much disruption does this cause ? D is this a day ? Two days ? Day and a bit ? Yeah . Uh-huh .
[01:32] Speaker_C | Hmm .
"[01:38] Speaker_A | Yeah , yeah ."
[01:44] Speaker_B | To actually do the re-install . You c
[01:50] Speaker_C | Hmm .
[01:54] Speaker_C | Yep .
"[01:54] Speaker_B | Mm-hmm . And I saw uh a bunch of stuff about software updates . That's un unrelated to this problem , right ? Um the Eye-Link . I c I didn't read 'em . I saw like five messages go back and forth . Maybe they were under the wrong subject header ."
"[02:17] Speaker_B | Oh no , I mean the Eye-Link software ."
[02:27] Speaker_C | And was r was running . 'Cause Frank did all that because he then had an experiment . So he's run an experiment and it's all worked .
[02:33] Speaker_B | Yeah . So uh i uh did he get his data in ? Or is this put his schedule back ?
[02:35] Speaker_A | Yep .
"[02:42] Speaker_B | He's done it , okay ."
[03:12] Speaker_B | Yeah .
[03:22] Speaker_C | Yep .
[03:31] Speaker_B | Yeah .
"[03:34] Speaker_B | Mm-hmm . So I've got a new um trainee who might need amusement at some point . So if you need to borrow a head that talks that doesn't necessarily need to do much else , I'll th I'll ask her if she'd mind coming down and helping you out for uh a while . But I guess Ellen was gonna be your the p the person who yeah , your spare head . Right ."
"[03:56] Speaker_B | Yeah . So um uh mine is well , she's actually climbing Ben Nevis today , I think . But uh she'll be uh back tomorrow . Her name's Nynke . Did you guys meet her ?"
[04:09] Speaker_A | Don't think so . Mm .
[04:11] Speaker_C | Nynke . Mm-hmm .
"[04:21] Speaker_C | Mm . Well I did meet uh uh uh uh someone from another project of yours on Wednesday evening it was . Hei Heidi , who is the gesture of autism . Yeah , mm-hmm ."
"[04:29] Speaker_B | Oh , who is that ? Oh yeah , Heidi . Oh yeah , she's good . You guys might actually have something in common 'cause she does , well , you know , stuff for the video coding and gesturing ."
[04:38] Speaker_C | Mm yep .
"[04:42] Speaker_C | And autism , yeah ."
"[04:44] Speaker_B | So , okay ."
"[05:04] Speaker_A | Yeah . Yeah , so I'll try and try and get Camtasia up and running so I can try it out when when when we've got her coming in . And we'll just sort of do a run-through of proper pilot just to just just so I can see th"
[05:11] Speaker_B | Yeah .
"[05:19] Speaker_A | Yep . Yep . Um yeah , I'll make sure make sure they can actually pick up the f um audio signal as well . Uh so but uh it should be the yeah , the audio signal should be coming out the speakers once it's set up properly . So that should that should make that slightly easier ."
[05:19] Speaker_B | Mm-hmm .
[05:24] Speaker_C | Mm-hmm . Uh yep .
[05:33] Speaker_B | Mm-hmm .
"[05:46] Speaker_A | Yeah , yep . Uh but yeah , so they're fortunate have speakers o on the monitors inside the room . So as long as and what we'll have done is just gonna set up so the uh whatever the asterisk sound is on Windows is what gets played . So so just change sound to whatever you like , just go through the Windows control panel ."
[06:00] Speaker_B | Right .
"[06:04] Speaker_B | Okay . So we want one you can pick up using Matlab or something , right ? Aye ?"
"[06:08] Speaker_C | Yeah , yep ."
[06:21] Speaker_B | Okay . Perfect .
[06:35] Speaker_B | Perfect . So or you're gonna bank the script some place and tell us how to run it . Uh-huh . 'Cause we won't know . Right . Well that all sounds good .
"[06:55] Speaker_A | Yep , yeah , the the one the one in just installed should have that now . Um we'll double we'll double-check and re-install on software on the on the um eye tracking machines . But yeah , it should uh should be updated without any ."
"[07:06] Speaker_C | Rather than just a blob uh Ellen wanted something to look more like an eye so that you knew that was the eye . There was like yeah , mm-hmm ."
[07:13] Speaker_B | Oh really ? Oh okay .
"[07:14] Speaker_A | Yeah , so so so we've got like uh a big circle with a white circle in the middle of it for an eye . And we got like a rectangle with two like rectangle buttons on it for a mouse ."
"[07:23] Speaker_B | Uh-huh , okay . Very nice , very pretty . It doesn't get in the way of seeing what's underneath ?"
[07:31] Speaker_B | Version one . Mm-hmm .
[07:36] Speaker_B | It's not too bad . Uh-huh . I c I can I can see where that's useful . No .
[07:44] Speaker_B | Just change it . Mm-hmm .
[07:46] Speaker_C | Want it a reasonable size so that if they're looking at it we know they're looking at it though . So you has to be a a reasonable target uh for the for the tracking purposes .
[07:52] Speaker_A | Yeah .
"[07:55] Speaker_A | Yep , ."
[08:26] Speaker_B | What else ?
[08:28] Speaker_A | Uh I'll try it .
[08:29] Speaker_B | You were saying Joe with the model builder .
[08:43] Speaker_B | Oh that's good .
"[09:07] Speaker_C | And basically the parallelogram was appearing in a sort of as a mirror image of what it was like in the uh model builder in the actual yeah . Just total it flipped uh in in a mirror image . Not rotated . So it wasn't anything to do with rotation . It was f yeah , just the parallelogram . So uh entirely sure . Must be some way of how the vertices were described or uh defined in one way or compared to something else ."
[09:07] Speaker_B | Oh okay .
[09:16] Speaker_B | Really ?
[09:22] Speaker_B | Just the parallelogram .
"[09:43] Speaker_C | Joe , yep ."
"[10:17] Speaker_B | Uh-huh . Yeah , yeah ."
"[10:25] Speaker_B | Yeah , so you need to draw 'em in something . Oh , so yeah , I suggested you do that in X_ fig . Is that a reasonable thing to do or no ?"
[10:30] Speaker_C | It it i yes .
"[10:31] Speaker_A | Yeah , yeah . So so you can you can do it in X_ fig , export them as S_V_G_ , and you just get a you just get a list of X_Y_ coordinates . Um and then I'll just write in a little script that turns those X_Y_ coordinates into a part ."
"[10:35] Speaker_B | Yep , mm-hmm ."
"[10:41] Speaker_B | Yeah . So this is this falls down completely if Nijmegen can't run X_ fig . So you better check that with 'em , right ?"
[10:47] Speaker_A | Well the thing is it's S_V_G_ . So so long as I've got something that will output S_V_G_ .
