[00:04] Speaker_A | Yeah .
[00:31] Speaker_B | Ah .
[00:37] Speaker_B | Nasty .
"[00:44] Speaker_B | Yeah , yeah . Go i we're glad they'll look after that bit ."
"[00:47] Speaker_A | Oh , f yeah ."
[01:00] Speaker_B | Uh I don't know . Do we wanna look at anything ? It's not up yet .
"[01:02] Speaker_C | Still fifty six percent completed . Skip it . 'Cause I'm just doing a b yeah , disk check or something ."
[01:11] Speaker_B | Oh I don't know what it's doing .
"[01:15] Speaker_B | Oops , that fell off ."
[01:17] Speaker_B | Doesn't like silk .
"[01:29] Speaker_B | And now we're gonna discover we've got no reason to meet , right . 'Cause everything's going swimmingly ."
[01:31] Speaker_C | Yep .
[02:02] Speaker_B | Oh yeah . Uh-huh .
[02:11] Speaker_B | Uh-huh .
"[02:45] Speaker_B | Yeah , yeah . Uh well y th there are certain companies um that I don't wanna name who don't always get it right . I c but m yeah , Mozilla . Yeah , it'll be alright . So okay . I believe you now , it's a good strategy ."
[03:06] Speaker_B | Mm-hmm .
[03:17] Speaker_B | Uh wh why does it help that it's X_T_ H_T_M_L_ instead of just X_M_L_ ?
"[03:22] Speaker_A | Oh well just 'cause X_H_T_M_L_ has a nice you know , you got browsers there , so you can actually see you can actually see directly what's what's going on ."
"[03:36] Speaker_A | Yeah , well I'll I'm using X_H_T_M_L_ uh to deter that's uh all all the web pages are X_H_T_M_L_ . So it's X_M_L_ just with the H_T_M_L_ D_T_D_ ."
"[03:45] Speaker_B | Okay , yeah ."
"[03:51] Speaker_B | Okay , so all you're gonna have to do is swap in tag names later . Okay ."
[04:00] Speaker_C | Hmm .
"[04:04] Speaker_A | Yeah , yeah ."
[04:07] Speaker_C | Mm .
[04:39] Speaker_B | Uh-huh .
"[05:00] Speaker_A | Yeah , yeah ."
"[05:08] Speaker_B | U whether you consider G_D_F_ format to be um the thing that's just the straight-forward translations of what's in the original eye-tracking output , or whether like whether the post-processing utilities are a separate step . 'Cause I think you and I had separate different views on this , but I can't remember w who had which view at this point . So y are you working uh actively on this anal these analysis things or you just working on the translation ? Uh so the data format translation ."
[05:34] Speaker_A | Well I'm I'm I'm ju try I'm making sure that the G_D_F_ format we've got at the moment will d will output say well I've output old analysis that that Robin's looking for . Um so so I'm using that as a way to to get into ha ha using the DOM things as well . Um so yeah . So at the moment I'm looking at act actually the G_D_F_ format itself um and then to generate the G_D_F_ format I'm gonna be taking stuff out of the gest analyser um and then using a DOM parser to generate uh X_M_L_ output from the gest analyser .
"[05:59] Speaker_B | Oh okay . So you haven't looked at what's in there and what isn't in there that you need to do some really intensive transform to do . Not yet , oh okay ."
"[06:05] Speaker_A | Uh no . No . But uh I'll when and out of the output of the gest analyser does does do some of the processing already , which is what I'll m plan to use that as the basis for it . 'Cause that already that already picks up like target regions , things like that . So you get so so it knows whether you're looking at a part or whether you're looking at target area or what or whatever . Um so yes , as long as it got that in it somewhere . So it's just a matter of pulling that out and put that into the um into the G_D_F_ stuff ."
[06:13] Speaker_B | Yeah .
[06:21] Speaker_B | Uh-huh .
"[06:28] Speaker_B | Okay . So this sounds like it's under control and you're happy and you guys are telling each other what you guys need to know . So I don't need to do anything , right . You're all fine . But there was a number of things that came before this , right , that it sounds like they're not under control yet . So so you know , the G_D_F_ stuff with so i Ellen's view on this is we go through everything in order . Like the priority is exactly the pipe-line order , right ? So um Camtasia you mentioned . And I'm not sure what else , but we should check what other things were before this on the list of things to do ."
[06:51] Speaker_A | Yep .
"[06:54] Speaker_A | Yeah , um bu"
"[07:00] Speaker_A | Yeah , yeah . I um I think the o the only thing I've got left to do before the experiments can be run is get s is get the check Camtasia works . Um now I've got Camtasia running on machines and I think they're set up correctly . But I can't test it until we get the microphones working . Microphones ."
[07:06] Speaker_C | Mm-hmm .
"[07:13] Speaker_B | Until you get the oh , microphones ."
[07:16] Speaker_C | Uh it's batteries we're waiting for . The they're they're due uh i I was told the beginning of this week .
[07:18] Speaker_B | Batteries .
"[07:22] Speaker_B | Okay , uh are they really really strange batteries ?"
[07:25] Speaker_C | Um th they are quite strange . Mm uh uh it's w uh r um a Avril has ordered them from somewhere possibly . N no . They're probably one fifty each or something like that .
[07:28] Speaker_B | Have you tried Maplin ?
[07:34] Speaker_B | Are they expensive ?
"[07:39] Speaker_B | 'Cause you know , like a wee bus journey over to Maplin might solve the problem if it's getting in the way ."
[07:45] Speaker_C | Uh well hopefully . The they should've been here last week . But uh Caroline then phoned up to chase them and they they were s they were told to be here . Should be today .
"[07:54] Speaker_B | So this isn't actually um ruining your schedule for anything , and that's why you're waiting ."
[07:59] Speaker_C | Uh r b well we can still test whether Camtasia runs anyway . It's just the uh whether it's the microphones are picking up things correctly that we need to check .
"[08:08] Speaker_B | Right , okay . It is i so it sounds like you're not actually worried about the fact that this is the m yeah . When you get worried , go to Maplin , okay . Phone them first to make sure that they're in there . Somebody around must have a uh probably Steve . Somebody in the techie group will have a Maplin catalogue . Fact , I'll see if I can um yeah , it's useful to know who's got a current one anyway . I don't seem to get them anymore . I guess I don't buy enough equipment ."
[08:26] Speaker_C | Mm right-o .
[08:40] Speaker_B | Oh yeah . Of course . Duh .
[08:44] Speaker_B | So you can find out whether they have it . But you'd have to phone over to find out if they have it in stock down there . I actually live not that far from there . Um so
[08:45] Speaker_C | Virtual .
[08:49] Speaker_C | Yep .
"[08:55] Speaker_B | it would be a half hour um diversion from my morning routine to pick up stuff . Uh w but then again , it's also very close to Haymarket , so it's even less of a diversion for you , probably . Except you don't know your way around ."
[09:06] Speaker_A | Yeah . So we all got off easy .
"[09:22] Speaker_B | Yeah . I just think well , you know , for the sake of three quid or however many quid it how many batteries does this thing take ? Doesn't take a hundred ."
"[09:28] Speaker_C | Mm-hmm . It no , it's two batteries we need ."
"[09:32] Speaker_B | Yeah , then , you know , put your mind at rest ."
"[09:36] Speaker_B | 'Cause , you know , you wouldn't want it to be the morning you were supposed to be recording and then suddenly discover yeah . You know this ."
[09:39] Speaker_C | Uh no no . No . Yes .
[09:40] Speaker_A | Yeah .
"[09:43] Speaker_A | Well I suppose I could gi I could give you a call on the way in tomorrow and if th not bi it's not been in your in your f um pigeon hole , I can easy go off the train and early and just pick 'em up from there ."
[09:51] Speaker_C | Fair fair enough if you want . Mm-hmm .
[09:52] Speaker_B | Uh check they got 'em first though . Their stocks are a bit funny down there .
"[09:55] Speaker_A | Right , yeah . Well I'll make sure I make a I'll make sure of I got the f the phone number in my phone so I can call them ."
"[10:12] Speaker_B | So of all the things that were on the Wiki do I need to pull up the Wiki ? Ah , it is gonna let me log in ."
"[10:39] Speaker_B | But you guys probably know off the top of your head , is there anything else that we we we were waiting on before you could run ?"
[10:48] Speaker_B | So all those tasks Craig had when it started .
"[11:08] Speaker_C | Yeah , he still had n hours left . I wasn't sure uh if it was down to the number of hours or whether thirty first of October f uh certainly uh uh he right ."
"[11:15] Speaker_B | Uh yeah , no no . It's ours . Yeah , it's ours . Oh , so he's got ours left.He's behind-hand . But no , he was billing for he was billing by the hour . So I thought well , I mean obviously if he wants to finish off then you know . I b"
[11:20] Speaker_C | I think he's had something like seven .
[11:31] Speaker_C | But uh n I've n ni Nijmegen has gone dead for all those last two weeks .
[11:36] Speaker_B | Oh well they're probably away then .
"[11:38] Speaker_C | Well uh it w e e Ellen's away . N no , um but I think what they had was some big review ."
[11:38] Speaker_B | Wasn't Ellen away ? They're really at the same place .
"[11:46] Speaker_B | Oh , yeah it could be it ."
"[11:52] Speaker_B | Oh , you have no models at all . Oh , that's a pity ."
"[11:57] Speaker_B | Model buil builder , that's what I was calling the graphical model editor , right ? So you use X_ fig to make the parts and then you this thing ."
"[12:00] Speaker_C | Yes , uh-huh . Well no . Well we don't need to um make the the parts are all the standard tangram ones I had before anyway . The X_ fig thing's only when we come to building airplanes and new peculiar shapes . Uh but for this experiment it's just the tangram type uh task ."
[12:09] Speaker_B | Oh okay .
[12:18] Speaker_B | Yep .
"[12:19] Speaker_B | Okay . Um I have something in my email about from Joe . Uh he wouldn't have sent it just to me , would he ? Do you want me to check that ? I'm not gonna project my email ."
[12:20] Speaker_A | Yep .
[12:34] Speaker_A | I t I'd say you don't be .
"[12:40] Speaker_B | Okay , I think I mighta heard Thursday or something . I can't remember exactly when it was ."
[13:03] Speaker_C | It's the last thing was in sp response to the thing I was saying last week about the parallelogram being the wrong way around and uh w from the model builder to the actual yeah . Um that nothing has I haven't heard anything since from either sort of the Netherlands or from you .
"[13:14] Speaker_A | Yeah , yeah . screen shots . Yeah , yeah ."
