[00:50] Speaker_B | Okay .
[00:53] Speaker_B | Right .
[01:06] Speaker_D | Mm-hmm .
[01:14] Speaker_D | Great .
"[01:17] Speaker_A | Hi , I'm David and I'm supposed to be an industrial designer ."
[01:20] Speaker_B | Okay .
[01:21] Speaker_D | And I'm Andrew and I'm uh our marketing
[01:25] Speaker_C | Um I'm Craig and I'm User Interface .
[01:26] Speaker_D | expert .
"[01:29] Speaker_B | Great . Okay . Um so we're designing a new remote control and um Oh I have to record who's here actually . So that's David , Andrew and Craig , isn't it ?"
[01:44] Speaker_B | And you all arrived on time .
"[01:48] Speaker_B | Um yeah so des uh design a new remote control . Um , as you can see it's supposed to be original , trendy and user friendly . Um so that's kind of our our brief , as it were . Um and so there are three different stages to the design . Um I'm not really sure what what you guys have already received um in your emails . What did you get ?"
"[02:12] Speaker_A | Um , I just got the project announcement about what the project is . Designing a remote control . That's about it , didn't get anything else . Did you get the same thing ?"
[02:15] Speaker_B | Mm-hmm .
[02:16] Speaker_D | Mm-hmm .
"[02:18] Speaker_D | Mm-hmm . Yeah , that's that's it ."
[02:19] Speaker_B | Is that what everybody got ? Okay . Um . So we're gonna have like individual work and then a meeting about it . And repeat that process three times . Um and at this point we get try out the whiteboard over there . Um . So uh you get to draw your favourite animal and sum up your favourite characteristics of it . So who would like to go first ?
[02:20] Speaker_C | Yeah .
[02:21] Speaker_D | Yeah .
[02:46] Speaker_D | I will go . That's fine .
"[03:01] Speaker_D | This one here , right ?"
[03:02] Speaker_B | Mm-hmm .
[03:03] Speaker_D | Okay . Very nice . Alright . My favourite animal
[03:23] Speaker_D | A beagle .
"[03:31] Speaker_D | Um charac favourite characteristics of it ? Is that right ? Uh , right , well basically um high priority for any animal for me is that they be willing to take a lot of physical affection from their family . And , yeah that they have lots of personality and uh be fit and in robust good health . So this is blue . Blue beagle . My family's beagle ."
[03:35] Speaker_B | Yeah . Yeah .
"[04:14] Speaker_C | Well , my favourite animal would be a monkey ."
"[04:27] Speaker_C | Then they're small cute and furry , and uh when planet of the apes becomes real , I'm gonna be up there with them ."
[04:35] Speaker_B | Right .
[04:35] Speaker_A | Cool .
"[04:45] Speaker_B | You can take as long over this as you like , because we haven't got an awful lot to discuss . Ok oh we do we do . Don't feel like you're in a rush , anyway ."
[04:53] Speaker_A | Okay .
[04:57] Speaker_B | Ach why not We might have to get you up again then .
[05:00] Speaker_B | I don't know what mine is . I'm gonna have to think on the spot now .
[05:06] Speaker_D | Impressionist .
[05:11] Speaker_A | Um .
[05:12] Speaker_A | Yeah .
"[05:18] Speaker_A | Um , well anyway , I don't know , it's just the first animal I can think off the top of my head . Um . Yes . Big reason is 'cause I'm allergic to most animals . Allergic to animal fur , so um fish was a natural choice ."
[05:27] Speaker_B | Ah .
[05:38] Speaker_A | And they're quite harmless and mild and interesting .
[05:41] Speaker_D | Mm .
"[05:42] Speaker_B | Okay . God , I still don't know what I'm gonna write about . Um ."
"[05:49] Speaker_D | Superb sketch , by the way ."
[05:59] Speaker_D | Yep .
