[00:14] Speaker_B | Is that alright now ?
[00:19] Speaker_B | Sorry ?
"[00:23] Speaker_B | Okay , everybody all set to start the meeting ? Okay , we've got half an hour for this one um to uh discuss the um functional design . All ready to go ? Okay . Um so hopefully you've all been working away , and I've put the minutes of the last meeting in the project folder . Um so I guess just to to recap on uh what we did last time . Um kind of uh got to know each other a little bit and uh got familiar with all the equipment and started to discuss um a bit about the project , you know , cost-wise how much how much money we had to s"
[00:27] Speaker_D | Could you plug me in ?
"[01:40] Speaker_B | Um just want to tell you that you have three new requirements , um which is the The first one is that um uh the company's decided that teletext is outdated uh because of how popular the internet is . Nobody uses teletext very much anymore , so we don't really need to consider that in the functionality of the of the remote control . Um they've also suggested that we um we only use the remote control to control the television , not the V_C_R_ , D_V_D_ or anything else . I think the worry is that if the project becomes too complex then it'll affect um how long it takes us to get it into into production , the time to market . So um , we're just gonna keep it simple and it'll just control the T_V_ . And the other thing was that the company want the corporate colour and slogan to be implemented in the new design ."
[01:56] Speaker_D | 'Kay .
[02:21] Speaker_D | Okay .
"[02:30] Speaker_B | Um I'm not entirely sure what the corporate colour is . It might be yellow , because there seems to be a lot of yellow everywhere ."
"[02:37] Speaker_D | And the slogan , like the actual written slogan , or just to embody the idea of the slogan ?"
"[02:43] Speaker_B | Well that's the thing , I'm I'm not sure um"
[02:51] Speaker_D | 'Bout putting the fashion in electronics .
"[02:53] Speaker_B | Yeah , I mean do they Is that something they want actually written on it , 'cause it's quite long ."
[02:54] Speaker_A | Mm yeah .
"[02:59] Speaker_B | Um or yeah , just the idea , but I'm not sure . So that's something we can discuss as well . So those are the three things , just not to worry about teletext , uh only control the T_V_ , and um and uh incorporate the uh colour and slogan of the company . Um so is everybody okay with any of that , or do you want me to recap at all ? Right um , time for presentations then . Who would like to go first ?"
"[03:22] Speaker_A | Nope , we're all set ."
[03:30] Speaker_D | Sure .
"[03:30] Speaker_B | Okay , cool ."
"[03:39] Speaker_B | Oh yeah , of course , yeah . G go on ahead ."
[04:34] Speaker_B | Mm-hmm .
[04:47] Speaker_D | Right .
"[04:48] Speaker_C | Um , having a look at the existing products , I found out that um it tends to come in sort of two extremes , there's either um a very complicated one that's got lots of buttons , lots of colours , very confusing , you don't know what you're doing . Um in that case the the labelling tends to be very bad . Um there's an example I'll show you at the end , um sh show you now ."
"[05:34] Speaker_C | Um , not sure if you had a a look at the other um control in that example . Um it's a very simple one . It's got only the basic functions mm but um it's the same size as the the hard to use one . Uh it looked a bit clunky . They're very big and not very much use for buttons . Um , and it's just very hard to access the advanced functions . There's there's nothing for instance for a slow motion button ."
[05:45] Speaker_B | Oop .
"[06:02] Speaker_C | Um , my own preferences , I prefer the the clunky one . Um it's very easy to use . Um but unfortunately it does lack the advanced functions which I I quite like having on the controls . Um so I believe the the advanced functions should maybe be hidden in a drawer , or something like tha from the bottom of it ."
[06:26] Speaker_B | Um . Well we can chat away for uh for five minutes or so I think at at most . Just a couple of minutes anyway .
[06:31] Speaker_D | Mm-hmm .
"[06:33] Speaker_D | M yeah , like a lot of a lot of what I've um read and prepared for this meeting fits in really closely with what with what Craig's just gone over . So in part I could I could give you some of my personal preferences but I could also th add some to this which is just about sort of um sort of market research . But anyway , um we might come to that later ."
[06:50] Speaker_B | Mm-hmm . Shall we sh well we'll stick to kind of your area for now .
"[06:53] Speaker_A | Which which is the clunky one , the one on left or on the right?. ."
[06:56] Speaker_A | Okay .
[06:57] Speaker_B | Yeah .
"[07:05] Speaker_D | I see , so it's more just basic . Right , okay ."
[07:06] Speaker_B | Looks kind of Yeah .
[07:11] Speaker_D | Yeah .
[07:12] Speaker_D | Yeah . Sure .
[07:31] Speaker_D | Mm-hmm .
[07:36] Speaker_D | Mm-hmm .
[07:36] Speaker_D | Mm-hmm .
[07:39] Speaker_D | Mm-hmm .
