[00:04] Speaker_C | Just put it on the deskt desktop .
[00:07] Speaker_B | No on the desktop you'll find you should find that there's a project documents link .
[00:15] Speaker_B | A well actually just there . Yeah . That's it . If you dump it in there .
"[00:16] Speaker_C | Project documents , yeah ."
[00:19] Speaker_C | What's your username ?
[00:21] Speaker_B | Your username .
[00:22] Speaker_C | What's your username and password ?
[00:29] Speaker_C | Mm-hmm .
[00:34] Speaker_C | Sorry .
[00:39] Speaker_C | Okay .
[00:39] Speaker_B | Okay . Excellent . Right . Hopefully that's us ready to uh to go . So . Functional design meeting . We'll have to flesh out some of the uh stuff . Um
[00:41] Speaker_C | There we go .
"[00:56] Speaker_B | we'll start with the minutes of the last meeting . Not a lot thankfully to say . We introduced ourselves , discussed the possibility of a macro facility , interac interacting the T_V_ a bit more , um mentioning of bar-code , joystick for user manipulation , um and ergonomics of the remote control as well . Um it's come to my attention the following . Teletext has become outdated due to the populat popularity of the internet . Remote control should only be used for the T_V_ . Um"
"[01:32] Speaker_B | due for uh time to market and possibly also cost issues . Um also key is the corporate image should stay recognisable , um f uh your colour and slogan of course is down at the bottom there . Um . Now . Just to say quickly uh I would have thought that only being used for a television the macro facility may now not be required . Um or at l its functionality would have been of limited use . So to the point in my opinion anyway that it might not be worth pursuing . Um if anybody disagrees we can uh definitely say so . Um and hopefully we'll just crack on and we'll get everything going . Um I'd like to if possible hear from our Marketing Expert first , to help us gain an idea of where we're going to go . So um I'll just load up your presentation from here if you want ."
[02:01] Speaker_A | Mm .
[02:24] Speaker_C | 'Kay .
[02:31] Speaker_C | Sure .
"[02:34] Speaker_C | Um , sh would you like to I'll just do it from here ."
"[02:46] Speaker_C | Um , try second one maybe ."
"[02:54] Speaker_C | Try it , yeah maybe ."
"[02:56] Speaker_B | Oh sorry . Okay , right ."
"[02:56] Speaker_C | Yeah . Okay . Oh , I thought I put in my last name , I guess not , but ."
[03:00] Speaker_B | Uh if you that's all right . If you do you want me to just cycle through it for you or ?
[03:07] Speaker_B | Yeah ?
[03:12] Speaker_B | Okay .
"[03:14] Speaker_C | Okay , so um we did some research , we asked one hundred people their opinions on remote controls . We asked some uh open ended questions , just , what are your opinions on the remote control , got a lot of re responses , and we asked some very specific questions , and we got a lot of good feedback . Please bear in mind this is only a hundred people , so even when the groups are divided into fifteen to twenty five , twenty five to thirty five , there's only maybe ten people fifteen people in each group . Okay ."
[03:47] Speaker_B | Okay .
"[04:26] Speaker_C | Takes too long to master the remote control . I've seen some remote controls that are big , they have a lot of buttons , you have to hold down more than one key at one time to do something , they're just not great to use . We just got a lot of bad complaints about remote controls , people do not like remote controls . Some of the good stuff we got . Between the age of uh fifteen and twenty five , most people would be willing to pay extra for voice recognition software . Now don't get excited yet , I've got more to say on that . Most people'd be willing to pay for that um most people want remote controls to be pretty , they want it to be fancy , th they they want it to be different , everybody has a white remote control with black buttons , and a red button and a green button , not everybody wants that . Finally , my opinion ."
[05:16] Speaker_B | Yep .
"[05:18] Speaker_C | The voice recognition thing is cool . And uh voice recognition , the software , open source software exist already . It's a bit sketchy at some times , uh , you're not gonna get good always accurate results , but for a very fixed number of words , you know you have , how many different words can you have for a remote control , up , down , left , right , channel five , channel seven , you know , how many , you can't have that many words . For a fixed vocabulary it works quite well . I'm pretty sure people would buy it . But after a while people may wanna return it , because if you have to to say som I mean most people use a remote control for switching to channels , and they say they do that about ninety eight percent of the time . Using the remote control , ninety eight percent of the time for changing channels , and that's for flickering through channels . So if you have to say up , up , up , up , if you have to do that all the time , then people might get a bit fed up with that and they may return it ."
"[06:27] Speaker_C | in the remote control , which is an unusual feature in my opinion . But if we do have the voice recognition thing , there's a lot of stuff that you can uh get rid of . See , you could there're two options . Either you have voice recognition by itself , which I think is a bit impractical for like night time if you wanna be watching television and you wanna be quiet , or I don't know you have a visitor coming round and the remote's only trained for you , it's a bit impractical to have just voice recognition by itself . So you can have voice recognition and a regular remote . But imagine you got rid of the regular remote part , then you can design the remote to look any way you want it to look , because there are no restrictions on physical size , or shape , it it could be as fancy as you want it to be , you know , it could be like a lollipop or something like that , something weird like that . As long as the voice recognition stuff works , that's that's fine ."
"[07:18] Speaker_B | Okay , yep ."
"[07:19] Speaker_C | So we have the three birds , we have the design , that we have the the fancy bit , right , the voice recognition's fancy , it's cool , it's different , it's radical , so , and then we have an extra bit I don't remember so I'm pretty sure people will buy the remote , but is it practical to have a voice recognition system in a remote control , I think is a big question . Um , will people"
