[00:00] Speaker_D | .. .
[00:08] Speaker_C | Okay .
"[00:10] Speaker_C | So , this is uh first meeting of"
"[00:15] Speaker_C | this design project . Um and I um like to show you the agenda for the meeting , I don't know if it was sent round to all of you ."
"[00:27] Speaker_D | Mm , yeah . I didn't receive it yet ."
"[00:29] Speaker_C | Maybe not . Anyway , this is the the plan for today's meeting is um firstly just to introduce the project briefly , um although I'm sure you've actually got some of the information already . Then the main purpose is to so that we get to know each other a little bit more . Um then we want to practice using some of the tools that we'll be using during the the course of the design project and the meetings , um specifically the whiteboard over there . Um then we need to go through the specifics of our project plan um and discuss come up with some preliminary ideas about it ."
[00:49] Speaker_A | Mm-hmm .
"[01:16] Speaker_C | And then that's it . So we've got twenty five minutes to do that , that's until eleven twenty five ."
[01:24] Speaker_C | S so any any questions ? Is i
[01:29] Speaker_D | Not at this point .
"[01:34] Speaker_C | So this is our project . What we're aiming to do is to create a new remote control for a television . Um we want it to be something original , something trendy and also something user friendly , so it has to be quite intuitive that people are able to use this product ."
"[02:19] Speaker_C | The method that we're going to use to complete the project , that has three components as such . There's the functional design of the the remote control . We're going the way we'll do that I think is to to work individually initially and then come together for meetings to to work on that ."
"[02:47] Speaker_C | Um similarly with the conceptual design , we'll start off by working individually with our own expertise on our own laptops and then we'll bring what we've done together ."
[03:01] Speaker_C | Um and then the detailed design will come after that . We'll pull it all together .
"[03:08] Speaker_A | I'm a bit confused about uh what's the difference between the functional design and conceptual design ? Uh i is it just uh more detail , uh as I understand it ?"
[03:18] Speaker_C | I think it th w we're talking the the functional design is more your
[03:25] Speaker_C | um area of things where you'll be we want to look at what functions we need in the remote control and what what specific things it it has to do but the conceptual design is um perhaps bigger than that and includes the how people are going to use it and and that kind of thing .
[03:32] Speaker_A | Right .
[03:41] Speaker_A | How how it will be done .
[03:47] Speaker_A | So whe where do we identify the components of our uh product ? Uh I think it's it's in the conceptual design phase that we identify the it's in the conceptual design phase that we identify the components of our product ?
[04:03] Speaker_C | Um I think we'll we'll start that initially with the functional design already but then yeah .
[04:09] Speaker_A | Okay .
"[04:18] Speaker_C | Okay , so that's just a brief overview of the p the the project itself . Um what I'd like us to do now is simultaneously introduce ourselves and start using some of the tools that we're using for for the project , specifically the whiteboard ."
[04:38] Speaker_A | Hmm .
[05:06] Speaker_B | Why are you looking at me ?
"[05:16] Speaker_C | Oh , yeah , p put them in pockets ."
[05:25] Speaker_B | Cool .
"[05:27] Speaker_C | You don't have to hurry , we've got plenty of time ."
[05:27] Speaker_B | Okay .
[05:50] Speaker_B | Okay .
[05:52] Speaker_C | It's got no eyes .
"[05:54] Speaker_B | Oh , good point ."
"[05:56] Speaker_B | Ah , the eyes always ruin it . Right . Okay , what do it's eyes like ?"
"[06:19] Speaker_B | Yeah , I don't think it's furry enough , so we'll make it a fluffy rabbit ."
"[06:25] Speaker_B | Okay , right , it's a fluffy rabbit , blue . Rabbits don't come in blue but you know . Um okay and I like it because it's small and it's fluffy ."
[06:25] Speaker_D | Yeah .
[06:34] Speaker_C | Mm .
[06:37] Speaker_B | And one day you'll be able to getical genetically modify them and they will come in pink .
"[06:45] Speaker_C | Excellent , and what's your what's your role within the team ?"
[06:45] Speaker_A | Mm .
"[06:47] Speaker_B | I am the um I need my notebook , mm ooh top banana . Thank you . Okay , cool , I am the Marketing Expert um so like"
"[07:02] Speaker_B | I'm gonna be doing the apparently according to the little guy in the computer that knows everything the user g requirements specification of the functional design , um trend watching in the conceptual design and product evad-valuation in the detailed design um so yeah ."
[07:12] Speaker_A | Mm-hmm .
[07:19] Speaker_C | Mm-hmm .
[07:19] Speaker_A | Okay .
[07:22] Speaker_A | 'Kay .
"[07:22] Speaker_C | And more about yourself , you're from ?"
"[07:23] Speaker_B | Um I'm from Leicester , um second year . Um what else do you want to know ?"
[07:26] Speaker_C | Mm-hmm .
[07:44] Speaker_A | Mm .
[08:14] Speaker_C | There's a an if you have not enough room there's an eraser there and you can rub it off .
"[08:18] Speaker_D | Yeah , well , or I can make it smaller . Uh so um um I'm the Interface Designer in this project and my favourite animal , I m I mean I'm not so sure because I'm not so so very um familiar with all kinds of animals , but I do like dogs . Oh , sorry , maybe I should have shouldn't have said it beforehand but mm hmm ."
[08:38] Speaker_A | Mm .
"[08:44] Speaker_D | Um well , there are different kinds of dogs , but okay um ."
[08:59] Speaker_C | Ah it looks like a dog .
[09:01] Speaker_D | Okay .
[09:01] Speaker_B | Is a bit more impressive than my rabbit . I think it needs four legs if it's gonna walk though .
"[09:04] Speaker_D | Yeah , maybe it has some colourful patches , yeah . Um yeah and I do like dogs because they are good friends to people and they are loyal ."
"[09:20] Speaker_D | Mm , well that's compared to some other animals like cats . Um they're really much more fun because they are not so independent . Um"
[09:53] Speaker_C | And where where are you from ?
[09:56] Speaker_C | Estonia .
[10:19] Speaker_D | um of the remote control uh then in the in the conceptual design stage I need to um come up with uh interface concept and then in the last um stage I will be responsible for the int infa for the user interface design .
[10:42] Speaker_A | Thank you .
[11:00] Speaker_A | 'Kay um my name is Gaurav .
[11:08] Speaker_A | Um my favourite animal one of my favourite animals is a cow . I've got no idea how to draw a cow .
[11:24] Speaker_B | They're not just like a big round body and then some really skinny legs and then just some horns .
"[11:27] Speaker_A | Yeah , that'll do . Okay , so let let me draw the body first ."
[11:31] Speaker_C | Mm .
"[11:43] Speaker_A | And there is some grass there . So this is what I like about cows that they just keeps sitting there eating grass , they do not disturb anybody um they're kind of Buddhist in a way . So yeah , I like cows . Um my my role in the project is um uh the industrial designer , so I'm supposed to design all the details of of the product um ho how it works and whatever it'll mm take during the functional role , what are the various functions that have to be performed by it uh during the um conceptual design , what are the various components of it and um finally , I'm not too sure what was the last part . Um the detailed design , I I guess it will again be the identification of the components and how they integrate with each other ."
"[12:44] Speaker_A | Um I'm from India . Uh I'm doing my P_H_D_ in Psycholinguistics , I sit at the Department of Psychology . Yeah ."
[12:54] Speaker_A | Thank you .
[12:54] Speaker_C | Excellent .
"[13:11] Speaker_C | Okay , here's a space ."
"[13:15] Speaker_C | Yeah , I like the cow . I'm Jen ."
[13:17] Speaker_D | Yeah .
[13:18] Speaker_D | Mm-hmm .
[13:28] Speaker_C | Mm .
[13:45] Speaker_B | Is that a lizard ?
[13:48] Speaker_C | Hmm .
[13:53] Speaker_D | Wow .
[13:56] Speaker_C | It's a gecko .
"[13:58] Speaker_D | Ah , a gecko , okay . Is a ar are they also like lizards or are they yeah , they are mm-hmm ."
[13:58] Speaker_A | Ah okay .
[13:59] Speaker_C | Yeah .
[14:00] Speaker_B | Is there a difference ?
"[14:04] Speaker_C | Yeah , they're l it's a kind of lizard . And I I like geckos because they remind me of warm places and , and where I was living in Cambodia they used to live in my house and they were on the ceiling and they would make little gecko noises in the evening ."
[14:11] Speaker_A | Uh-huh .
"[14:21] Speaker_D | Mm-hmm . I hope you don't like snakes , do you ?"
"[14:24] Speaker_C | I don't like snakes . I come from Australia and we have nasty snakes . That's where I'm from , Australia . I'm from Melbourne and I'm your Project Manager for today and my role is basically to keep things going and make sure that you all work together"
[14:28] Speaker_D | Mm-hmm .
[14:40] Speaker_A | Mm .
"[14:48] Speaker_C | in a productive way , so that by the end of the day we come up with a great product ."
[14:53] Speaker_D | Wonderful .
[14:57] Speaker_A | Thank you .
"[15:05] Speaker_C | So , let's see what's next in the PowerPoint presentation ."
"[15:11] Speaker_C | So , I've just thought yeah I've just thought about this that we could even put it much more professionally as there we go . Okay , so this is the um overall budget for our"
[15:18] Speaker_A | Mm-hmm .
"[15:29] Speaker_C | project . We've got um we're planning to sell these remote controls for let's make that go away , that means we've got five minutes . Um we're planning to sell the remote controls for twenty five Euros each ."
[15:44] Speaker_C | Um and with that we're aiming for a profit of fifty million Euros .
"[15:52] Speaker_C | And that's selling them on the international market , not just in the U_K_ ."
[15:57] Speaker_C | Um so to do that our finance people estimate that we need production costs of maximum twelve and a half Euro so that we can reach that
[16:10] Speaker_C | profit target .
[16:30] Speaker_C | So that's something to keep in mind while you're designing .
[16:37] Speaker_C | Okay .
[16:42] Speaker_C | Hmm .
"[16:45] Speaker_C | This is let me just skip ahead to see that's the last thing , okay . We've only got a couple of minutes . Does anyone have any first ideas to bounce around about um what we're thinking of this remote control ?"
[16:59] Speaker_D | Yep . I'm just wondering whether whether there is like any special feature that we want to have w want this remote control have as opposed to the already existing ones .
[17:12] Speaker_C | Mm-hmm .
"[17:20] Speaker_C | I think that's probably something that w it's best if we take away with us , but if we all have a think , when we go away from the meeting , what specific things could be um included in this remote control that that are out of the ordinary ."
[17:24] Speaker_A | Mm-hmm .
[17:52] Speaker_C | Something something new .
"[17:53] Speaker_B | Yeah , I was looking at the website , and the other things that they've made and I like put down some like inspirational words like that I got from looking at the pictures . So the motto is um we put the fashion in electronics and um so it's something that is sleek and stylish but it's still functional , you know ? So I'm kind of thinking , you know like those phones that they have , the new generation ones , where they don't actually have any buttons on them and stuff like that ."
[17:54] Speaker_A | Mm .
[18:03] Speaker_C | Mm-hmm .
[18:13] Speaker_C | Mm-hmm .
[18:24] Speaker_C | Uh-huh .
[18:24] Speaker_A | Alright .
"[18:24] Speaker_B | You know , so something heading towards that , so it's not overly I mean I don't know what h most of the buttons do on my remote controls , so I figure how many do you need , you know ?"
[18:33] Speaker_C | Mm-hmm .
[18:35] Speaker_B | Okay .
[18:35] Speaker_A | Mm .
"[18:39] Speaker_B | Something that's a little less crowded than this , like I mean you know , theoretically you can do all kinds of things with your T_V_ , right ? But what do most people do ? They turn it on , they watch certain specified channels , you know , and then they turn it off again . Sometimes they play a movie ."
[18:41] Speaker_C | Mm-hmm .
[18:46] Speaker_C | Yeah .
[18:48] Speaker_A | Yeah .
[18:50] Speaker_C | Yeah .
[18:56] Speaker_C | Yeah .
"[18:56] Speaker_B | Yeah , so"
"[18:59] Speaker_C | So , no . It could be one button for a menu or something , if you really need to go and do that ."
[19:01] Speaker_A | Yep .
[19:04] Speaker_B | Yeah .
[19:04] Speaker_D | Mm-hmm .
"[19:05] Speaker_B | So , if you're the kind of sad case that knows how your remote control works , then you know that's fine and you can do it on the screen rather than everybody else having to have those buttons , which just confuse them . Hmm ."
[19:10] Speaker_A | Mm .
[19:15] Speaker_C | Mm-hmm .
[19:17] Speaker_C | Excellent .
"[19:19] Speaker_B | 'Cause like if you look at the train , it's just very like , there's no extra bits on it , the train on the website and I dunno if you can put it up on the thing um but it is just like a long like thing used for mu moving people , but it looks really pretty too ."
"[19:26] Speaker_C | Oh I haven't had a look yet , yep ."
[19:35] Speaker_C | Mm-hmm .
[19:39] Speaker_C | Great . Any other immediate thoughts before we
[19:42] Speaker_A | Mm .
[19:46] Speaker_C | move along ?
[19:55] Speaker_C | Mm-hmm .
[20:03] Speaker_C | Yeah .
[20:08] Speaker_A | Hmm .
"[20:08] Speaker_D | Yeah but uh I mean e even though it has to be re original we shouldn't uh go like too far away from from the usual ones , because otherwise the new users will just have a lot of problems with l learning , yeah , yeah ."
[20:16] Speaker_A | Yeah .
"[20:18] Speaker_A | A big learning curve , yeah ."
[20:19] Speaker_C | Mm-hmm .
"[20:21] Speaker_A | Yeah . So , i it should kind of fit in as well , and the stereotype of a yeah ."
[20:25] Speaker_C | It's like those fancy websites
[20:28] Speaker_D | Hm-hmm .
"[20:29] Speaker_C | that you can't access because you have no idea how to get in , but the designers thought they were great ."
"[20:36] Speaker_C | Okay , so we need to wrap it up now , so that we can go away and get on with some of this . Um we've got another meeting in thirty minutes , so"
"[20:48] Speaker_C | you're you'll be getting specific instructions once you go back to your workspace , but im basically you're looking at the working design ,"
"[20:59] Speaker_C | you're looking at the technical functions design ,"
"[21:03] Speaker_C | and for you it's the user requirements specification , like you said at the start ."
[21:06] Speaker_B | Mm-hmm .
[21:09] Speaker_C | Okay ?
[21:11] Speaker_D | Okay . Thank you .
[21:12] Speaker_C | Thanks for that .
