[00:07] Speaker_A | Mm-hmm ?
[00:21] Speaker_A | Okay .
[00:32] Speaker_A | Ooh .
[00:43] Speaker_B | Okay . Could you s take it off ? .
[01:00] Speaker_D | Okay .
[01:04] Speaker_B | Okay .
[01:09] Speaker_D | Keeps coming off . 'S fiddly .
[01:22] Speaker_A | Hmm .
[01:29] Speaker_D | Right .
[01:29] Speaker_A | How do we sta wa how do we start ?
[01:33] Speaker_A | Does anybody know ?
"[01:36] Speaker_D | Oh , another one ."
"[01:51] Speaker_A | Oh okay , right ."
[01:57] Speaker_B | Okay .
[01:59] Speaker_A | Uh .
[02:22] Speaker_A | Hmm .
"[02:28] Speaker_A | Okay , just hang on a second everybody . I haven't actually looked at this yet ."
[02:38] Speaker_D | Very nice .
"[02:39] Speaker_A | I haven't looked at it , but let's just start it off and we'll see what happens ."
[02:46] Speaker_A | If you're all ready .
[02:47] Speaker_C | Yeah .
"[02:53] Speaker_A | So is the agenda ? Opening , acquaintance , tool training and project plan , discussion and then closing ."
"[03:05] Speaker_A | Project aim is a new remote control . It's original , uh trendy and it's user-friendly . Project method , functional design , individual work , another meeting , conceptual design , individual work , and a meeting of details design , individual work and a meeting ."
[03:13] Speaker_D | 'Kay .
[03:31] Speaker_A | Tool training .
"[03:33] Speaker_A | Try out the whiteboard , every participant should draw their favourite animal and sum up their favourite characteristics of that animal ."
[03:42] Speaker_D | Okay .
[03:43] Speaker_A | Um .
"[03:48] Speaker_A | Uh Miss Industrial Designer , would you like to go first ?"
[03:50] Speaker_B | Okay .
"[03:55] Speaker_A | Yeah , why don't you just c , I think just clip on clip do you have a belt ?"
[03:59] Speaker_D | Clip .
[03:59] Speaker_B | Mm .
"[04:00] Speaker_A | Or put 'em in your pocket , yeah ."
"[04:09] Speaker_A | Yeah , what's your favourite animal ?"
[04:19] Speaker_D | Ah .
[04:25] Speaker_A | Is it rude ?
[04:28] Speaker_A | That's a very good elephant .
[04:30] Speaker_C | The back end of an elephant .
"[04:34] Speaker_A | 'Kay , and you want to write up on there , it says you've gotta sum up your f f your favourite characteristics of that animal ."
"[04:40] Speaker_B | Um okay , it's big , it's got a great memory ."
[04:46] Speaker_D | Does it ? Oh .
"[04:49] Speaker_B | Supposed to have a great memory , we say an elephant never forgets . And uh dunno know why but looks like nice to me . Nice animal ."
[04:53] Speaker_A | Mm .
[04:53] Speaker_D | Mm .
"[05:00] Speaker_A | Okay . Wonderful , well done . Do you want to use the wipe the m the wiper and wipe it off ?"
[05:04] Speaker_B | Okay .
[05:12] Speaker_A | And Mister aesthetics designer do you wanna go next ?
[05:17] Speaker_D | I have no idea what my favourite animal is .
"[05:20] Speaker_C | 'Kay , my favourite animal , uh let's see ."
[05:33] Speaker_D | Oh .
"[05:36] Speaker_C | Dunno if any of you have seen Napoleon Dynamite before . It's a liger , a combination of a lion and tiger . Have you not seen Napoleon Dynamite ? Oh it's a hilarious movie . You have to see it . And"
[05:41] Speaker_D | A what ?
[05:42] Speaker_A | No .
[05:46] Speaker_D | Alright .
[05:48] Speaker_D | How .
[05:50] Speaker_A | No .
[05:50] Speaker_D | No .
[05:50] Speaker_B | No .
[05:54] Speaker_C | and it's best characteristic is it's pretty much
[06:00] Speaker_C | the awesomest
[06:03] Speaker_C | animal .
"[06:09] Speaker_A | Okay , well done ."
[06:11] Speaker_D | Great .
[06:14] Speaker_D | Me ?
[06:14] Speaker_A | Yeah . Miss mar Miss Marketing ?
[06:20] Speaker_D | Okay .
[06:22] Speaker_D | Not quite sure how this is gonna work .
[06:24] Speaker_C | There go .
[06:41] Speaker_D | Can I just draw the face ?
[06:54] Speaker_D | Ooh .
[06:59] Speaker_D | It's a cat . Which also has what ? A big fat body and
[07:00] Speaker_A | That's a very pr pretty cat .
[07:07] Speaker_D | big and a long tail .
"[07:09] Speaker_A | Okay , do y do you wanna do some write you wanna just write some words about it ?"
[07:19] Speaker_D | And usually cats are very friendly . Usually .
"[07:33] Speaker_A | Wow , so they're kinda spiritual ."
"[07:38] Speaker_D | So , that's why I like cats ."
[07:40] Speaker_A | Well done .
