[00:00] Speaker_D | It's Play-Doh .
[00:07] Speaker_D | Because kids yeah .
"[00:08] Speaker_C | I've , I've definitely eaten it before . I didn't know was edible . ."
[00:08] Speaker_B | I used to eat it .
[00:11] Speaker_A | Yeah .
"[00:13] Speaker_D | But um , it's it's made edible 'cause , yeah ."
[00:18] Speaker_A | Yeah .
"[00:21] Speaker_C | Actually that makes sense , because I remember like , peopl I dunno if my Mom ever did it but I remember other people's Moms making like home-made Play-Doh where you just like make the colouring and make some sort of sort of dough ."
[00:33] Speaker_A | Yeah .
"[00:33] Speaker_D | Oh yeah it is , yeah . Oh yeah ."
[00:44] Speaker_C | Mm-hmm .
[00:47] Speaker_C | Yeah .
[00:48] Speaker_B | Yep .
[00:51] Speaker_C | We've got some .
[00:54] Speaker_B | We've got a cool prototype .
"[00:55] Speaker_C | Yeah , it's pretty exciting . So ,"
"[00:59] Speaker_C | everything uh that we wanted we wanted it to be ergonomic and to be made out of rubber , very simple and easy to use , yeah , double curved , um but also something that was gonna jump out at people , something that would be different uh , separate it from the other remotes out on the market . So uh I think if you put this in the palm of your hand , you'll see what a nice thing we have going here ."
[01:08] Speaker_B | Double curved .
[01:09] Speaker_A | Nice .
[01:27] Speaker_D | That is cool .
"[01:29] Speaker_C | So , basically ,"
"[01:32] Speaker_C | if you hold it like that , the one on your thumb , yeah , the thumb button is the power button ."
[01:36] Speaker_A | Mm-hmm .
[01:38] Speaker_A | Mm-hmm .
"[01:39] Speaker_C | Your index finger is channel up , middle finger is channel down , ring finger is volume up , your pinkie is volume down ."
[01:48] Speaker_D | What's the big blue thing ?
"[01:50] Speaker_C | That's the lock button , has a L_ L_ on it and then the M_ is a mute button . And then it also has digit"
[01:51] Speaker_D | Oh cool .
[01:57] Speaker_D | And mute .
"[01:59] Speaker_C | Um and then then you can also there's a numeric keypad on the top so you can key directly to the to the channel if you want . So it's really basic functionalities as far as what keys are available , but we think it's very comfortable and very innovative and it looks different ."
[02:05] Speaker_A | Okay .
[02:15] Speaker_A | That certainly does .
[02:25] Speaker_A | Mm .
[02:26] Speaker_B | Which is ant anti-R_S_I_ .
"[02:28] Speaker_C | Yeah . It should be . And it's also conformable to the size of your hand . I mean if that's too big , it's a rubber remote , so you can , you know"
[02:29] Speaker_A | Mm .
[02:36] Speaker_A | Yeah .
[02:38] Speaker_A | 'S great .
[02:41] Speaker_D | Oh it's so cute .
"[02:48] Speaker_A | I have one thing about it , but it's a small thing , but it'd mean we'd have to make a right-handed one and a left-handed one ."
"[02:58] Speaker_B | Oh right , yeah ."
"[02:58] Speaker_C | Ah , that's good thinking , yeah ."
"[03:01] Speaker_A | But , that's I don't see why that's not possible ."
"[03:04] Speaker_C | Yeah , if we build rocket ships why can't we build left-handed and right-handed uh remotes ."
"[03:13] Speaker_D | Yeah , but then"
"[03:17] Speaker_D | but then you can learn to use your right h like I was just thinking if there's left-handers and right-handers in the family , what , they have two remotes ?"
[03:25] Speaker_A | Yes s
"[03:25] Speaker_B | Yeah , I know I know people who have left-handed and right-handed people in the family and they all use the computer for the whole the same computer the fes family and they have a mouse , and everybody is using right-handed mouse ."
[03:34] Speaker_A | Mm . Sure . Sure .
[03:40] Speaker_C | Uh-huh .
[03:46] Speaker_C | Yeah .
[03:48] Speaker_B | Imagine d are you right handed ?
[03:50] Speaker_A | Yeah .
[04:00] Speaker_D | Yeah .
[04:04] Speaker_D | Have them in stock .
[04:05] Speaker_B | Yeah .
[04:06] Speaker_A | Yeah .
[04:06] Speaker_D | Make 'em more appealing as well .
"[04:08] Speaker_A | But um other than that , I mean uh and that's um , you know , that's just something , I think I think it's great , yeah , great idea ."
[04:15] Speaker_C | Do you think it says R_R_ ?
"[04:19] Speaker_A | I think it's , well , if the R_R_ motto is , we bring fashion to to electronics , I'd say that could be quite fashionable ."
[04:23] Speaker_C | Fashion to electronics . Yeah .
[04:26] Speaker_B | Yeah .
