[00:31] Speaker_D | Hmm .
"[00:32] Speaker_A | Okay . Good morning everybody . Um I'm glad you could all come . I'm really excited to start this team . Um I'm just gonna have a little PowerPoint presentation for us , for our kick-off meeting . My name is Rose Lindgren . I I'll be the Project Manager ."
"[00:46] Speaker_A | Um our agenda today is we are gonna do a little opening and then I'm gonna talk a little bit about the project , then we'll move into acquaintance such as getting to know each other a little bit , including a tool training exercise . And then we'll move into the project plan , do a little discussion and close , since we only have twenty five minutes ."
"[01:03] Speaker_A | First of all our project aim . Um we are creating a new remote control which we have three goals about , it needs to be original , trendy and user-friendly . I'm hoping that we can all work together to achieve all three of those . Um so we're gonna divide us up into three compa three parts . First the functional design which will be uh first we'll do individual work , come into a meeting , the conceptional design , individual work and a meeting , and then the detailed design , individual work and a meeting . So that we'll each be doing our own ideas and then coming together and um collaborating ."
"[01:41] Speaker_A | Okay , we're gonna get to know each other a little bit . So um , what we're gonna do is start off with um let's start off with Amina . Um Alima , sorry , Alima . Um we're gonna do a little tool training , so we are gonna work with that whiteboard behind you . Um introduce yourself , um say one thing about yourself and then draw your favourite animal and tell us about it ."
[01:49] Speaker_B | Alima .
[02:03] Speaker_B | Okay . Um I don't know which one of these I have to bring with me .
[02:09] Speaker_A | Probably both .
"[02:29] Speaker_B | blah , blah , blah , and I have no artistic talents ."
[02:32] Speaker_A | How do you spell your name ?
[02:33] Speaker_B | A_ L_ I_ M_ A_ .
[02:34] Speaker_A | Thanks .
"[02:35] Speaker_B | Oh , and I guess I'm the Industrial Designer on this project . So let's see if I can get um here . I will draw a little turtle for you all . Not necessarily 'cause it's my absolute favourite animal , but just that I think they're drawable ."
[03:00] Speaker_B | And you have the pretty little shell going on .
[03:04] Speaker_B | Some little eyes . Happy .
[03:12] Speaker_B | There you go . That's a turtle .
[03:14] Speaker_D | Yes .
[03:15] Speaker_A | So what are your favourite characteristics ?
"[03:17] Speaker_B | Um . I I like the whole having a shell thing . It's quite cool carry your home around where you go , um quite decorative little animals , they can swim , they can , they're very adaptable , they carry everything they need with them , um and they're easy to draw ."
[03:20] Speaker_A | Mm .
"[03:40] Speaker_C | Uh Okay . Well , my name is Iain uh"
[03:42] Speaker_A | Mm .
[03:44] Speaker_C | and I'm the User Interface Designer for the project . Um .
[03:51] Speaker_C | I'll try and draw my favourite animal .
[03:59] Speaker_C | I'll I should leave that one on there shouldn't I before I callously rub it off .
[04:02] Speaker_A | Might be nice to have them all up there at same time .
[04:06] Speaker_C | Um I'm not gonna draw it quite to scale um .
[04:38] Speaker_D | Well .
"[04:39] Speaker_C | It's a whale , yes . Thanks . Um and , yeah , the reason I like whales is 'cause uh they're well , first of all they're quite intelligent um and also they're they're kind of mysterious , like we don't really know much about them or or understand how they work , how they form groups . And I just find them interesting animals ."
"[04:41] Speaker_D | Oh my god , it's better than what I'm gonna be able to do ."
[05:08] Speaker_D | Take my contraptions with me .
"[05:12] Speaker_D | Alright , I'm Jessy . I'm from around D_C_ ish sort of in the U_S_ ."
"[05:19] Speaker_D | And we're gonna keep the deep sea sort of theme going on , animal ."
[05:28] Speaker_D | Don't really know how to draw this .
[05:33] Speaker_D | Mm .
[05:39] Speaker_D | Mm .
"[05:41] Speaker_D | Maybe if I do the water , but how ?"
[05:43] Speaker_D | Sort of give an idea . I have no idea how one would explain this .
[05:50] Speaker_D | Mm maybe with some whiskers .
"[05:53] Speaker_D | Briefly , it's supposed to be a seal ."
"[05:56] Speaker_D | You can imagine it in the water . I like them , because they are like playful and silly sort of have a good time ."
[06:12] Speaker_A | Mm 'kay .
"[06:15] Speaker_A | Mm 'kay ? I'm Rose and I'm Project Manager , from California ."
[06:21] Speaker_A | Um .
[06:26] Speaker_A | Hmm .
[06:51] Speaker_D | It's definitely significantly harder once you are doing it .
[06:54] Speaker_B | Yeah .
"[06:54] Speaker_A | Um it's actually a coyote . Let's see . Let's see , let's give it a little bit of a snout , I don't know , some teeth ."
[06:56] Speaker_B | Right .
[07:03] Speaker_A | Yeah .
[07:03] Speaker_B | That's pretty impressive .
"[07:25] Speaker_A | slightly more serious stuff . We're gonna talk about project finances . Um we have a couple we'd like to sell it for about twenty five Euro with the profit aim of um fifteen million Euro um from our sales and because this is such this is for television it's a we have a market range of Internet , like it's an international market range , we don't have to worry about specifics ."
"[07:51] Speaker_A | Um in order to make a profit of this magnitude , we need to um be able to produce each one at a maximum of twelve fifty Euro . So we're selling it for twice what we'd like to produce it for ."
"[08:33] Speaker_D | Um I hate when there's like four different buttons and you have to press to actually turn on the T_V_ like you have to do one for the power of the T_V_ and then like another one to get the actual screen on and something else to get it all going , I don't know . Now they keep combining all different remotes together , and I don't know if I necessarily like that 'cause I feel like you end up with multimedia overload . I just wanna watch the T_V_ um ."
[08:56] Speaker_A | Hmm .
[09:01] Speaker_D | Always gets lost . Some sort of like
[09:04] Speaker_D | device to help you find it .
"[09:11] Speaker_C | I've used , I've used remote controls , for things like T_V_ and the C_D_ player and video recorder and"
[09:20] Speaker_C | I I guess they're they're pretty neat neat little tools uh . You don't have to get up and walk across the room to change a channel . So especially if you're someone really lazy like me they they're pretty nice . Um .
[09:25] Speaker_A | Mm .
"[09:32] Speaker_C | I find them they can be a bit annoying , especially , like you know if I'm watching T_V_ I have have to have three separate remote controls of in front of me , you know , one for the T_V_ , one for the digital box , one for m the video recorder as well . Um ."
"[09:48] Speaker_C | And also they tend to they tend to be a bit confusing , they've got too many buttons on them uh too too sort of too sort of complicated when all I really wanna do is switch on and off , change the channel , change the volume ."
[10:03] Speaker_B | Yeah um .
"[10:05] Speaker_B | I agree with having too many remotes around . My dad has a whole drawer at home of remotes for various things , and I don't know how to work half of them um ."
"[10:17] Speaker_B | What's important for me , I guess , is that it's easy to use and that there's not too many buttons , they are not too small , you know you know you need to n to know what you're doing ."
