[00:58] Speaker_A | This is our functional design meeting .
[01:01] Speaker_A | Um .
[01:03] Speaker_A | Just a sec while my PowerPoint comes up .
[01:06] Speaker_A | Et voila .
[01:11] Speaker_A | Okay . Mm um we put the fashion in electronics .
"[01:15] Speaker_A | Let's start . Okay , our agenda today um just check the time , it's twelve thirteen ."
[01:23] Speaker_A | Um .
[01:29] Speaker_C | Yep .
[01:31] Speaker_B | Right .
"[01:51] Speaker_A | First of all the functional design objectives . Uh we need to keep in mind the user requirement specification , what needs and desires are to be fulfilled , the functions design , what effects the apparatus should have , and the working design , how the apparatus actually works to fulfil its function ."
"[02:10] Speaker_A | Okay , three presentations , um you can go in any order you choose um ."
[02:15] Speaker_D | Mm shall we go in the order that you just did it ?
"[02:18] Speaker_A | Sure , please do ."
[02:19] Speaker_D | I dunno .
[02:22] Speaker_D | How do I hook my screen up ?
"[02:28] Speaker_B | I think , you might have to disconnect Rose ."
[02:29] Speaker_A | Yes I do .
[02:41] Speaker_A | Yeah .
[02:48] Speaker_C | Well there's a wee a wee plug just just that one there
[02:49] Speaker_D | Where does it go ? Mm-hmm .
"[02:57] Speaker_C | Ah that's it , yep ."
[03:06] Speaker_C | And then you have to press function F_ eight I think it is on your laptop .
"[03:09] Speaker_A | Function , F_ eight , yeah ."
[03:13] Speaker_D | Where's function ?
"[03:13] Speaker_A | The blue one , F_N_ ."
[03:27] Speaker_D | No signal .
"[03:32] Speaker_D | Ah , wait , 's screw in ."
[03:32] Speaker_B | Yeah .
[03:35] Speaker_B | I I think you just have to push it in really hard .
[03:35] Speaker_D | Push the screw .
[03:40] Speaker_C | That's it .
"[03:40] Speaker_B | Oh , got it ."
[03:42] Speaker_D | Mm alright
[03:45] Speaker_D | I've never attached to anything .
"[03:47] Speaker_B | Mm , neither have I ."
[03:49] Speaker_A | 'Kay there you go .
"[03:51] Speaker_D | Alright , so , I don't know if you guys are able to get access to um the report that was online or if I'm the only one who is ."
[03:51] Speaker_B | Alright .
"[04:01] Speaker_D | But , I don't even know how to play this ."
[04:06] Speaker_D | No .
[04:07] Speaker_A | Press the little presentation . It's the um it looks like a Y_ kind of over there above Draw .
"[04:14] Speaker_A | There , that one , there you go ."
[04:16] Speaker_D | Alright . So we're just gonna talk a little bit about the functional requirements that people specified when they were asked . Um I guess Real Reaction did some market research . They had a hundred subjects and their usability lab and they watched them watch T_V_ and recorded the frequency that they used particular buttons and the relevance that those buttons had .
"[04:45] Speaker_D | What they found was they analysed people's desires and needs . Focusing on their desires , um people specifically said that they thought remotes were ugly , seventy five per cent of the a hundred subjects noted that and that they more importantly though , eighty per cent said that they would be willing to pay more for a fancier looking remote . I don't know anything beyond what fancy means , but that's particularly of use to us , I think . Um also they did some questions on voice recognition and found that the desire for voice recognition was inversely related to age , so younger people were more inclined to want something with voice recognition , whereas the older people in the like sixty and above segment or so did not really think that they would pay more money for voice recognitions ."
[05:06] Speaker_B | Hmm .
[05:37] Speaker_B | 'Kay .
"[05:37] Speaker_D | Um people also had certain frustrations , that I think that we could try to take into consideration with"
"[05:45] Speaker_D | our design . That being people k um frustrated with losing their remotes . I think , over fifty percent of the people mentioned that that was their biggest frustration . People are also frustrated with the difficulty it is to learn how to use a remote and I think that ties back to what you were saying before just that there's too many buttons , it just needs to be easy to use . It also mentioned something called R_S_I_ and I was hoping someone might be able to inform me as to what R_S_I_ is , because I don't know ."
[06:04] Speaker_B | Hmm .
[06:14] Speaker_C | Repetitive strain injury .
[06:16] Speaker_D | What ?
[06:17] Speaker_C | Repetitive strain injury .
"[06:18] Speaker_D | Ah . There we go . Wow . People do not like that . So I guess sort of the carpal tunnel type thing , people do not like that , um the repetitive use , I guess , caused a strain . Um looking at the needs people specified , the problem right now is that people's remotes are not matching their operating behaviour . People are only using ten per cent of the buttons that they have offered to them on their remote ."
"[06:45] Speaker_D | And what people do most often is changing the channel and changing the volume . People also zap like to change the channel , about um sixty five per cent during an hour of use . So we really just need to focus in on those volumes and channel changers rather than things like the audio settings , the screen settings and the channel settings , because they're used much more infrequently and probably just complicate what's going on ."
"[07:15] Speaker_D | So I think that some things that we might wanna think about , the idea of an L_C_D_ screen was brought up although they didn't have any details on"
"[07:23] Speaker_D | what people's preferences on that were , so I dunno know if that's coming to me later , or something like that . But something for us to consider also just the phenomenon that less is more when it comes to the buttons on the remote or what we wanna make easiest to use , make sure that , you know , something like an audio setting isn't given as much importance and visibility on the remote as something like channel changing that's used a lot more often . And basically in order for us to win over to the consumer we just need to focus on what it looks like , that it has a fancy appeal and that it's not ugly and that it feels like the way they're gonna use it , so it doesn't give them any hand injuries or things like that ."
[08:05] Speaker_B | Hmm .
[08:09] Speaker_A | Thank you very much . That was that was great . Um 's move on to the next presentation um on effects . Was that you ? Great .
[08:10] Speaker_B | Mm 'kay .
[08:17] Speaker_D | Hmm .
"[08:21] Speaker_D | Yeah , have I unscrewed it ?"
[08:26] Speaker_A | Push .
"[08:28] Speaker_A | User interface , right ."
[08:30] Speaker_A | Interface .
[08:36] Speaker_D | Here we go .
[08:38] Speaker_C | Cheers .
[08:38] Speaker_D | Mm-hmm .
"[08:44] Speaker_D | And I think that's in the shared , if I did it right , if anyone wants to look at it ."
"[08:47] Speaker_A | Mm 'kay , thank you ."
"[08:48] Speaker_B | Okay , great ."
[09:23] Speaker_A | Okay .
[09:24] Speaker_C | Here we go .
[09:29] Speaker_C | Right so I'm gonna talk about the technical technical functions design of the remote control um .
"[09:38] Speaker_C | We need to start by considering what a remote control actually is . It's a device that allows us to produce certain effects on our television , so i it's basically a communication device . We we tell the remote control what we want to do , it sends a message to the television saying change the channel , change the volume , uh yeah , adjust these settings , adjust the brightness ."
[10:05] Speaker_C | Um how do we actually go about designing a new television remote control ?
"[10:10] Speaker_C | First thing to do is to come up with the design specifications . We need to know what our final product is gonna be like , so we need a a clear idea of exactly what this product does , uh how it works , and what the end-user is gonna want from this product ."
[10:27] Speaker_C | Um .
"[10:29] Speaker_C | Oh , a way I'd suggest that we could go about this is by designing uh several different prototypes of user interfaces for this product , um and then uh trying to get some feedback uh about"
"[10:44] Speaker_C | h how well these particular prototypes work , uh sorta find out what people think of 'em . Um using a remote control is is quite a subjective experience . Um ,"
[10:55] Speaker_A | Hmm .
[10:57] Speaker_C | and different different people sort of prefer different things .
"[11:01] Speaker_C | Um we should remember that remote controls are a a fairly standard piece of equipment . When a users using a remote control , he or she expects the buttons to be in certain places . So in some sense we're gonna we're gonna have to aim for a device which is fairly conventional in design uh so that we're not completely shocking people . But I think within that there is also room for us to introduce novel ideas uh and to make something that's that's perhaps a little bit different , something that stands out ."
"[11:33] Speaker_C | Um also in in designing the user interface we need to consider practicalities . Uh the first of these is is technological ye uh what can we do with the current state of technology as it is . The second is is economic , uh we need to find a balance between features and price . So as you mentioned things like voice recognition would would add to the price uh but it would also im improve the design of the product ."
[11:55] Speaker_A | Hmm .
"[11:59] Speaker_C | So I had a look on the on the web uh to see if I could find a few examples of existing television remote controls . In analysing these we can consider what what things what's good about them , uh what things do they get right , what's bad about them , what's wrong with 'em , um how we can improve on the designs that that that I found and what can we do to make our product stand out from from the large majority of remote controls ."
"[12:29] Speaker_C | Here's two examples uh probably at the extreme ends of the spectrum . Um on the left here we've got uh an engineering-based design for a remote control , so it's one that's got lots of buttons , it's it's fully featured , everything you might possibly want to do is there , you know , it's got forward , backwards , up , down , channel numbers , volume , uh freeze frame . Yeah , it's it's fully featured and it might take a while to get to learn to use it , but once you've learned it you can you can do whatever you want with your T_V_ ."
"[13:02] Speaker_C | The one on the right is a lot more basic . It's just got the essential functions of the T_V_ changing the channel , play , stop , volume . It would be a lot quicker to learn to use it , but again th it's it's swings and roundabouts . There are disadvantages , you can't use it say to to freeze the television picture . Uh there's a lot of features that are missing from that remote control . So we've got to to find our find a way of striking a balance between the two ."
"[13:29] Speaker_C | Um as I said before , remote controls are subjective , different people want want different things . Um personally wa what I want from a remote control is a device that's simple , it it's easy to use , uh it's got big buttons for doing the things I do most often , changing the volume , changing the channel . It it does everything that I need it to uh , as I said before , I'm quite lazy , I don't wanna walk across the room just to adjust my television . I also want something that that looks cool , um and that that feels good , that's ergonomically designed ."
[14:08] Speaker_A | Mm 'kay . Thank you very much . That was very useful . It's funny to see the drastic difference between those two remotes . Um .
[14:16] Speaker_B | Hmm .
"[14:18] Speaker_A | And neither of them were very pretty , you know ?"
[14:19] Speaker_D | No .
[14:20] Speaker_B | Yeah . I think that could be our selling point .
[14:23] Speaker_A | Mm .
[14:23] Speaker_D | A fashion fashion remote .
[14:25] Speaker_C | I think there's there's certainly a market for technology that looks cool . And I think that's that's why companies like Apple've 've 've made a lot of progress .
[14:25] Speaker_B | Right .
[14:28] Speaker_A | Mm .
[14:29] Speaker_D | Mm-hmm .
[14:32] Speaker_D | Yeah .
[14:38] Speaker_A | You there it is .
"[14:48] Speaker_B | Ah-ha , look at that , showing up already ."
[14:52] Speaker_A | Lovely .
"[14:52] Speaker_D | So wait , did it let you go on the Internet or was that just what it let you see ?"
"[14:55] Speaker_C | Uh that was just on the d on the company web site , yeah ."
[14:59] Speaker_A | Hmm .
[14:59] Speaker_B | Yeah .
"[15:06] Speaker_B | No , how do I play again ?"
"[15:09] Speaker_A | Um the it's right above Draw . There are three thingy if it's way at the bottom . Under three icons and it's the one that looks like a desk . Yeah , that one . There are Y_s ."
[15:14] Speaker_B | Ah .
"[15:19] Speaker_B | Okay . So this is our working design presentation . Um I had a bit of some issues with this , because I wasn't able to find everything I needed , but I guess that's we're still in early stages . Um so , yeah , this is this . Though th the thing about working design is the what we're trying to do as a working design is figure out how the aparata apparatus can fulfil its function ."
"[15:45] Speaker_B | Um one of the examples that kept coming up for me is that a coffee grinder . It works because it converts electrical energy to grinding the beans and then you put the bean through a filter and that filters out , and then you get coffee at the end that's nice and hot because of the combination of electrical energy and then the other things that are brought in to make it work . Don't know if I'm explaining that very well , but how do I get to the next s ah ."
"[16:11] Speaker_B | So h the method as um working designers figure out what you need to make it fulfil this practical function , what what needs to be done and how do we convert all the elements to make that done . So wha the easiest thing to do is to break down all the points"
[16:30] Speaker_B | at which you need something to happen . So you make a schematic of the way that the the energy is converted
[16:48] Speaker_B | Uh . Uh .
"[16:48] Speaker_A | You just press yeah , just click . That'll be fine ."
"[16:50] Speaker_B | So the findings that I got uh very just very briefly is that you have a choice of the way that the information is projected to the receiver and in my opinion infra-red is the best way to do that 'cause you don't need a sight line . So that's one thing we're gonna work on . Um the user interface is critical here , because a lot of the things that happen in a remote control happen through the chip that controls that converts the electrical energy into data , which then goes through the infra-red , so the the chip that uh I think Ian is designing , is gonna be crucial ."
"[17:24] Speaker_B | And really it all comes down to the to the user , because they're the one that's controlling most of the working design . So the components that we find here are the energy source , you know the battery or whatever that's gonna m make it work , then the chip , which converts the data , the user that's controlling the chip , and the infra-red bulb that's gonna let us move the data to the receiver . So you have four main components and they are designed sort of like this . You have your energy source right there which then um brings"
"[17:58] Speaker_B | uh energy or information to the chip , which is also controlled by the users . You have energy going to the user who's controlling the chip ooh 's not what I wanted to do uh uh ."
"[18:11] Speaker_A | Um yeah use that thing you can go back , previous ."
[18:15] Speaker_B | Previous .
"[18:16] Speaker_B | Sorry about that , guys ."
[18:19] Speaker_B | Oh .
"[18:21] Speaker_A | Oh , well . Okay ."
"[18:21] Speaker_B | No , no , no , no , no . Okay , let's just get back to my schematic here ."
[18:27] Speaker_A | Double click on it .
[18:29] Speaker_A | With the right with the left hand one .
