[00:37] Speaker_A | Mm-hmm .
[00:43] Speaker_B | Mm yeah .
[00:48] Speaker_A | Okay .
[00:56] Speaker_A | Time is it ?
"[01:00] Speaker_A | Okay . Lovely to see you all again . Um it's our conceptual design meeting and it's starting at approximately fourteen twenty five and so we have forty minutes for this one again and so we'll go just after three o'clock . Um okay our agenda , we're gonna do an opening , I'm gonna review the minutes of the last meeting , then we'll have your three presentations um and then we'll have to make a decision on the remote control concepts , and finally we'll close ."
"[01:31] Speaker_A | So opening . Um these are our minutes from r the functional design . We decided our target group is the focus on who can afford it , because we have international appeal and we said it's for all age groups , different um functions of it . Our main objectives were simplicity and fashion . And s um in specific functions are something to keep the remote from getting lost , large buttons for the essential functions , a possibility for extra functions , like a sliding a sliding piece and a long-life battery or a charging station ."
[01:31] Speaker_B | Okay .
"[02:06] Speaker_A | Okay , now three presentations . I'd like to do it in this order , first do the conceptual specification of components , properties and materials um and then the conceptual specification of user interface and finally trend watching ."
[02:14] Speaker_B | That would be me .
[02:18] Speaker_C | Yep .
[02:22] Speaker_B | Alright .
[02:26] Speaker_B | Well .
[02:32] Speaker_A | Mm . 'kay .
[02:40] Speaker_A | Function F_ eight it . There we go .
[02:43] Speaker_B | Alright .
[02:45] Speaker_B | Um I'm very excited by this one actually guys I uh had a lot of fun doing it . Components design . This is where you look at what does it take to make a remote control and what should we make our specific remote control out of .
"[03:32] Speaker_B | The case , uh the options that I've gotten from headquarters about what we can do , um there's there's the shape of a case , we could do a flat sh a flat case , a curved case or maybe even a double double-curved case . I haven't seen any pictures of what this exactly looks like yet , just keep that in mind , but these are the options that we have from manufacturing and we can make our case out of plastic , the m the main base will be plastic , but we have all these sort of fashion and technological elements we can add in , wood , latex , titanium , rubber or other coloured types of plastic ."
"[04:06] Speaker_B | That would be our case . Um buttons , for buttons we have um pushbuttons , which is what Real Reaction uses the most often , but we also have scror scroll wheels , which can have integrated pushbuttons , or we could go all high-tech and have an L_ L_C_D_ screen . Um circuit board and chip we can have a simple one , a regular one or an advanced one , depending on what our other needs are . And then battery I think is where things get most exciting . We're talking about long-life batteries here . Um we can we can have your sort of basic double A_ batteries , but we also have these options of um using a kinetic battery , like are used in high-tech watches , where you just have to move it a little bit to get it to power up ."
[04:17] Speaker_A | Mm .
"[04:50] Speaker_B | Um so simple movements like pushing buttons would recharge the battery . Or a solar battery , although there are slight um complications with solar batteries as in we can't use a latex case if we have a solar battery ."
[05:01] Speaker_A | Hmm .
"[05:03] Speaker_B | Or um something they only described as the type of battery you find in torches from about fifty years ago , flashlights . Not quite sure what that is , but that's the description that I received , so that's what I'm passing on to you . So those are our options ."
"[05:18] Speaker_B | Um personal preferences that I was thinking through here's what we've been talking about all through , fashion and simplicity . So if we're going for fashion in our cases , I think that what we're gonna wanna look at is a curved or a double-curved case , probably with a variety of design elements . Maybe titanium , maybe some wood . We're gonna have to investigate that better when I get specifics of the actual materials , but that's sort of what I have in mind . And we wanna go for simplicity . Probably pushbuttons , but I'm sort of intrigued by the idea of a scroll scroll wheel , if anyone has anything"
[05:52] Speaker_A | Mm .
"[05:55] Speaker_B | any ideas on that ? I mean I know the iPods and things right now have touch scroll um buttons which are exactly like what they're describing , so that might be something we wanna look into . And I'm really intrigued by the idea of a kinetic battery . Solar I don't think would be such a good idea , because how often are you sure that your remote control will get a certain amount of light . But this idea of the kinetic , that you don't have to replace , and that a simple just shaking it around will make it work , I think that that m would be a very interesting thing . But I think we'd also wanna go for e a simple chip or regular chip to keep our costs down . Uh we really only need a regular or advanced chip t if we're gonna start using an L_C_D_ . So I think we want to be aware of not making things overly t"
[06:56] Speaker_D | Is double-curved like would be like two hands kind of thing ?
[07:00] Speaker_B | I'm not sure . I haven't received any specific
[07:03] Speaker_B | visuals of this yet .
[07:16] Speaker_D | Sounds good .
"[07:19] Speaker_B | I know if we do have a double-curved case , it can't have any titanium in it ."
"[07:24] Speaker_B | But the titanium , they were quite they're marketing quite hard to us as being used in the space programme , so that could be quite interesting . Space-age remote ."
[07:33] Speaker_A | Mm-hmm . Just an interesting marketing kind of element .
[07:34] Speaker_B | Just all things to keep in mind . Yeah .
"[07:44] Speaker_A | Uh just a real quick question um the weight of these different elements , have you no idea , okay ."
"[07:48] Speaker_B | Yeah , n no idea , no idea ."
[07:53] Speaker_B | I'm assuming
"[07:56] Speaker_B | that a kinetic battery isn't gonna take up that much weight , and that a tita titanium is very light , I know , um but other than that's really basic , I mean , that's all I have gotten so far . Alright ?"
[07:59] Speaker_A | Mm-hmm .
[08:08] Speaker_A | Okay .
[08:10] Speaker_B | Any other questions ?
[08:13] Speaker_C | Uh-huh . Don't think so .
[08:14] Speaker_B | No ? Okay .
[08:17] Speaker_A | Mm 'kay .
"[08:21] Speaker_A | Thank you , perfect ."
[08:21] Speaker_D | Thanks .
"[08:28] Speaker_A | Um if you made notes yourself you can put those on our um underneath our oh , uh in your book , then don't worry about that ."
"[08:33] Speaker_B | Just in my notebook , but if anyone has any specific questions , don't hesitate to email me or something ."
[08:42] Speaker_A | 'Kay now we're um concepts concepts of user interface .
"[08:52] Speaker_A | Yeah , um . This one's so much tighter than the other one ."
[08:56] Speaker_A | Okay . Nope .
[09:00] Speaker_A | There we go . Here you are .
[09:04] Speaker_C | Jess .
"[09:14] Speaker_B | G oh , geez ."
"[09:43] Speaker_C | Alright , so I'm gonna describe the the concept of the user interface of this des device ."
[09:51] Speaker_C | Um we've talked about uh the two essential properties of the user interface . We want it to be simple and we want it to be fashionable .
"[10:03] Speaker_C | other we've also got to remember that this is a device that serves as a useful purpose . Uh we want people to be able to use it s as a remote control , so we need to determine what the essential functions of the d of the device are and make sure that we include that we've included all of those and that we actually end up with a device that is going to be useful to people ."
