"[00:36] Speaker_A | Okay um ,"
[00:38] Speaker_A | welcome to our detailed design meeting . I'm pretty excited .
[00:43] Speaker_A | Let's start it's approximately fifteen forty or something like that .
"[00:52] Speaker_A | Okay um the agenda we're gonna do an opening and then um I'll talk about the minutes from the last meeting , what we d discussed um , then we'll have the prototype presentation and a look at the evaluation criteria . We'll look at the finances and finally a do a production evaluation and close ."
"[01:13] Speaker_A | So , starting off with the um last the last one , oh I don't have it here um , but we talked about energy , we're gonna use a kinetic battery um , we want to use a simple chip , because we're not gonna need a a shuffle um , we're gonna need a scroll um , we're choosing a latex case w in fruity colours that's curved and um we're using push buttons uh with a supplement of an on-screen menu ."
"[01:40] Speaker_A | And it sounded like we had set um like eight or nine buttons , including five pre-set channels ."
[01:47] Speaker_A | Okay ? Let's do the look and feel design presentation first .
"[01:52] Speaker_C | Right , do you wanna start ?"
"[01:54] Speaker_B | Right , well we made three different prototypes and I guess we'll start with with this one ."
"[01:58] Speaker_B | Um we have our colours not are not fixed , but this is the general shape . Um it's you hold it sort of either like like this in your left hand or you switch it over and uh it's easily adaptable to either hand . You can push the buttons with your thumb like a mobile phone , or you can push them with your"
"[02:17] Speaker_B | index finger of your other hand , or even I mean there's a whole variety , you can hold it like this and press it with your same index finger ."
"[02:24] Speaker_B | Uh we have the on off button at the tip , very visible , very big ."
"[02:29] Speaker_B | We have our up and down buttons , which are also gonna be our channel selectors , and we have our little menu button here . If you push if you're just pushing these normally , they're the menu buttons , if uh the volume buttons rather . If you press select once , they become channel changing buttons . If we press select three times , the menu with the other features and pro possibly also with your T_V_ channel choices shows up , and you have your five presets down here ."
"[02:58] Speaker_B | Um if people wanna grab hold of that , see how it feels in your hand ."
"[03:02] Speaker_B | That's our number one prototype . Um do you wanna present the potato , or shall I present the Martian ?"
"[03:09] Speaker_A | The little lightning bolt in it , very cute ."
"[03:12] Speaker_C | We call that one the rhombus , uh the rhombus . Um this one is known as the potato , uh it's"
[03:14] Speaker_A | The v the rhombus rhombus ?
"[03:15] Speaker_B | That's the rhombus , yep ."
"[03:21] Speaker_C | it's a how can I present it ? It's an ergonomic shape , so it it fits in your hand nicely . Um"
[03:29] Speaker_C | it's designed to be used either in your left hand or or in your right hand .
[03:33] Speaker_C | Um I've gone here just for just for four buttons on this one . Um
[03:38] Speaker_C | the two blue buttons here are for adjusting the volume . So you've got volume up and volume down on the other side here .
"[03:45] Speaker_C | Um the red ones are for uh changing channels , channel up and channel down and that's um moves between your favourite channels that you've selected ."
[03:57] Speaker_C | Uh this middle button here brings up the on-screen menu and when you're working in the on-screen menu you use the other four buttons to navigate around the menu system and the middle button uh to select
"[04:09] Speaker_C | and that's basically it , that's the potato ."
"[04:15] Speaker_A | Um on , off ?"
"[04:16] Speaker_C | Uh that would be one of your channels , basically , so like channel zero would be t to switch switch the machine off , yeah ."
[04:20] Speaker_A | Okay .
[04:22] Speaker_A | Yeah we turn it off .
[04:24] Speaker_D | Could the middle button of the on-screen menu function as a power button ?
"[04:28] Speaker_C | Um not really , it would make it hard to turn the machine off , to turn your T_V_ off ."
[04:32] Speaker_A | Mm-hmm .
[04:35] Speaker_B | If you pressed and held it maybe .
"[04:37] Speaker_C | Yeah yeah , that that'd be one way of doing it , yeah . That'd work , yeah ."
"[04:38] Speaker_D | If you like held it down , that would be on off ."
[04:39] Speaker_B | Yeah .
"[04:40] Speaker_B | On off , that's a possibility , yeah ."
[04:42] Speaker_A | Okay .
"[04:43] Speaker_B | And then finally we have um the Martian or the pear , either way . Um it's a bit different , just a little bit more of a creative feel . Uh you have the on off toggle stem on the top . We have the five preset seeds ."
[05:15] Speaker_C | Let's pass .
