[00:07] Speaker_C | How're we placed in terms of the alright .
[00:10] Speaker_D | We're okay ?
"[00:19] Speaker_A | Like that ? Okay , cool ."
[00:21] Speaker_D | We're good ?
"[00:24] Speaker_B | Oh , I think mine's fallen off ."
[00:27] Speaker_C | That's why .
[00:35] Speaker_D | I guess it's gonna be hard to drink coffee . Mm . Uh okay .
[00:42] Speaker_C | Ah .
[00:43] Speaker_A | Okay ?
[00:51] Speaker_B | Wow .
[00:53] Speaker_D | Very official .
"[01:08] Speaker_A | Yeah I kinda like this I'm kinda getting into it . Right . Um . So just to kick off the meeting basically um so we're working now for a real reaction , this is uh so it right ."
[01:31] Speaker_A | We're gonna just do a quick opening and we can hopefully all get acquainted with one another um then we're gonna start talk a little bit about tool training .
"[01:38] Speaker_A | Essentially that means getting used to the only thing that we haven't tried out yet , the whiteboard . Um we've got a general plan for the project how we're gonna go about accomplishing this and then just a bit of discussion close up . Um I guess you know game or something um in real life um so yeah basically"
"[01:59] Speaker_A | I want to I'm just gonna you got of course you can discuss that , I'm thinking about um uh proposing that since we've got this weird blend of ourselves and our roles that we just don't ask , don't tell . Um so um if you say something about marketing , right , sorted , um y is"
[02:21] Speaker_A | Exactly . Um I mean obvi if if you guys if if at the same time if you like logically if something doesn't like if I'm like we're gonna sell a remote control that's the size of this paper book you know
[02:31] Speaker_A | um you say like well that doesn't seem like such a good idea because of X_ obviously go with it . I mean we'll discuss it but
"[02:37] Speaker_A | I'm not gonna ask do you know that or uh yeah it seems like yeah yeah exactly so , 'cause we're what we're sort of role playing is y g yeah you're gonna tap into your own knowledge as well um ."
"[02:40] Speaker_D | Prove it yeah , okay ."
"[02:55] Speaker_A | uh you know maybe i you're like in Maine you went to U_C_S_B_ but you wanna say you went to Harvard or something like that , why not , you know you can this is you know I guess we can have a little bit of fun with it . So are you guys okay with that does that seem logical ?"
"[03:08] Speaker_B | Oh yeah , that's fine ."
[03:09] Speaker_C | Sure .
[03:10] Speaker_D | Works for me .
[03:10] Speaker_A | Sweet .
[03:13] Speaker_A | Cool . So I guess that that we're totally we're making a remote control which is thrilling um uh but the idea is that we can make something based on the whole corporate model I dunno if you guys had time to check the in real life I dunno if you guys uh checked the um uh the corporate website .
[03:19] Speaker_B | Right .
"[03:35] Speaker_A | Um we've got to make something as fashionable as possible , that's kind of the corporate strategy is we're gonna try to take ordinary stuff that nobody really thinks about and try to make it nice you know like John Lewis nice or you know if you go to Debenham's or something ."
[03:51] Speaker_A | So um basically we are reinventing the wheel but we wanna try to do it in a user friendly um slick sleek kind of way . Um way we're gonna go about doing that is basically at first we're gonna start on the basics .
"[04:06] Speaker_A | And that's where I'm gonna need you guys the User Interface Designers and the um um the other designer that I can't remember , the the I_D_ and the U_I_D_ right um the Industrial Designer hey right on alright , getting into it um"
[04:20] Speaker_C | Mm .
[04:20] Speaker_D | There you go .
[04:22] Speaker_A | to guide me and guide us on this project 'cause you're gonna be you're g you guys are the bottom you know you're like no you can't do that you can't have you know X_ and Y_ um at the same time .
"[04:33] Speaker_A | And then um we'll work up from what is necessary to more like what would be good , you know like um I I think you guys probably got the same emails I did but the idea of um , yes a coffee pot needs to be able to hold coffee but it's also better if it's not like really cheap glass so that it if you touch it you hurt your hand , or something like that ."
[04:56] Speaker_A | Um and so we'll work up from there and um then we'll meet on and talk about it and then finally we'll incorporate as kind of the last stage you know where you guys build or tell me tell us what's possible and then you tell us what we can um hope for and what way to go take the the the
[05:15] Speaker_A | take the basics and make it nicer and then ov obviously uh the U_I_D_ and the I_D_ you know you you can keep on the you know sort of at the cutting edge of how to get about maximising what is possible
[05:26] Speaker_A | um to try t of sync it all up . So that's the detailed design . So it's a three stage kind of thing . Um right so for now just for th the white board um
"[05:37] Speaker_A | basically uh just to get used to it , I haven't tried it yet either um I'm just gonna start and um mm carry like five remotes around"
"[05:46] Speaker_A | um and just write down I'm just gonna write down one of the names of my um desert discs you know if you if you were trapped on a desert island and you could only bring five C_D_s along with you name one of them that you could , not all five , if you wanna write all five go for it but name one of them that you could um . Oh , we skipped introductions . Nice ."
"[06:19] Speaker_D | I'm Sarah , I went to Michigan , and I'm here doing cultural studies and I'm the Marketing Manager or something . Marketing , yeah Expert . Expert . Fine . That's me ."
[06:26] Speaker_A | Expert Don't play yourself down .
[06:32] Speaker_C | I'm Ron . I uh once upon a time studied in Victoria and I am the User Interface Designer .
"[06:41] Speaker_B | I'm Nathan , I'm from California , and I'm here doing a Masters degree in social anthropology ."
[06:45] Speaker_A | Where did you go to uni Nathan ? Oh brilliant . Cool . My little brother goes there . Right so desert island discs . Yeah .
[06:50] Speaker_B | Okay .
[06:52] Speaker_D | So .
[06:56] Speaker_D | So do we have to wait for you to write it down or are you gonna tell us ? I'm waiting to know .
"[06:58] Speaker_A | Well I'll t i no no yeah I'm just gonna write a couple of 'em down . See I'm a big music fan I don't know if you guys are , I'm assuming everybody likes music to some lesser or greater extent but"
[07:07] Speaker_D | Fair enough .
"[07:07] Speaker_A | there's some other options , if you're a T_V_ slut like I am like Smallville terrible television show but I happen to love it , it's rubbish but I love it ."
"[07:11] Speaker_D | Oh , Smallville . I went to high school with Tom Willing actually ."
[07:16] Speaker_A | T the the main c the main character ? Wow .
[07:18] Speaker_D | The guy . Yeah .
[07:20] Speaker_A | Is he a wanker ?
[07:21] Speaker_D | Yeah . Very much so . Hell of a soccer player but a total bastard nonetheless .
"[07:26] Speaker_A | He looks really tall , like he's gotta be like six six . Yeah . Um okay so I really like Jeff Buckley . You guys heard of Jeff Buckley ? Um that's cool 'cause like not very many people have . Um and um oh well I might as well throw a British person in there um you can't go wrong with Radiohead . It's a r"
[07:27] Speaker_D | Yeah . He is a big guy . Yeah .
[07:35] Speaker_D | Mm-hmm .
[07:35] Speaker_B | Mm-hmm .
[07:48] Speaker_D | Good call .
[07:58] Speaker_D | Interesting .
"[08:09] Speaker_D | I guess I'll go next then . Okay . Don't wanna lose all my mikes , plugged in here . Okay . This is basically just pen practice huh ? Okay . Oh you're much taller than me so I'm gonna write down here ."
[08:10] Speaker_C | Go for it .
[08:10] Speaker_A | Right on .
[08:25] Speaker_D | Um .
"[08:27] Speaker_D | Right now I'm listening to a lot of somebody nobody's ever heard of , Chris Bathgate , local Michigan folk singer , really lame and uh"
[08:33] Speaker_A | Mm .
[08:35] Speaker_A | Nice .
[08:35] Speaker_B | Wow .
[08:39] Speaker_D | uh what else did I bring with me ?
"[08:41] Speaker_D | Probably classical , to totally geek it out , yeah I think ."
[08:43] Speaker_A | Okay yeah yeah .
[08:48] Speaker_D | And my family guy D_V_D_s but we don't need to write that one down . So yeah .
"[08:49] Speaker_A | Well yeah . Oh , family guy . Isn't h has h do you watch the new season ?"
"[08:54] Speaker_D | No . Are you getting it online , or is it on sky ? Yeah , that'd be nice ."
[09:01] Speaker_C | Alright . Think I'm just gonna put down one uh one C_D_ .
[09:24] Speaker_A | Mm-mm .
[09:24] Speaker_B | No .
[09:24] Speaker_D | 'Fraid not .
[09:27] Speaker_A | Afro beat orchestra ? Very cool . Mm .
[09:29] Speaker_D | Mm .
[09:29] Speaker_B | Sounds nice .
[09:36] Speaker_A | Wow .
[09:36] Speaker_D | Exciting .
[09:38] Speaker_D | That'd be .
[09:43] Speaker_D | Oh . I didn't even read those .
[09:46] Speaker_A | That's what a PowerPoint presentation is for . It's they're designed specifically to ignore . I it's th brilliant .
"[09:47] Speaker_B | Oh , wow ."
"[09:50] Speaker_D | Yeah . It's the five by five , I can't read that much ."
[09:54] Speaker_A | Ah yes yes yes okay I see that . Vomit . Yes . Street pizza . It's so brilliant .
[10:04] Speaker_D | Oh my God . Seriously ?
[10:10] Speaker_B | There's more vomit there .
[10:13] Speaker_A | It's so minging .
[10:16] Speaker_A | Uh .
[10:18] Speaker_C | Does uh yeah . Ready ? Minging ? Nice .
[10:21] Speaker_B | Alright . Yep .
[10:26] Speaker_D | Yeah . Slide it in there . Yeah .
[10:26] Speaker_A | I'm going local . Going local . I have to be here for three years so I might as well get the terminology right .
[10:30] Speaker_D | Yeah fair enough .
"[10:32] Speaker_D | I've already got more than I can keep track of . And I'm gonna go home next week and everyone's gonna be like oh my God you're turning into one of those people , no ."
[10:40] Speaker_D | I know . I know . Oh it should be interesting . Wait until I tell them I'm not coming back .
[10:42] Speaker_C | Uh-huh .
[10:45] Speaker_B | Let's see .
[10:48] Speaker_D | They're gonna love that one .
[10:51] Speaker_D | Probably . Or at least get a work visa for a while and then decide .
[10:52] Speaker_A | Wow .
[10:54] Speaker_D | 'Cause nice .
[10:54] Speaker_A | Bad religion ?
"[10:55] Speaker_B | Yeah , that's the music I grew up listening to ."
[10:58] Speaker_D | Of course .
"[10:58] Speaker_A | Yeah yeah , yeah ."
"[10:59] Speaker_D | Oh , now I can think of so many other ones ."
[11:01] Speaker_A | Well yeah that's why yeah .
[11:03] Speaker_D | That's how it works .
[11:04] Speaker_B | Something I miss about my hometown .
[11:08] Speaker_A | I miss coffee . Burritos .
[11:10] Speaker_C | Nice .
[11:13] Speaker_A | Oh yeah two two bucks .
[11:15] Speaker_A | Where are you from in California by the way ?
"[11:17] Speaker_B | I grew up in San Diego , but yeah um La Jolla , P_B_ ."
[11:18] Speaker_A | Did you really ? What part ?
[11:21] Speaker_A | Yeah I'm from San Diego as well .
[11:24] Speaker_A | Yeah oh man .
"[11:24] Speaker_B | But really uh I last lived in San Francisco , I haven't lived in Cali well I haven't lived in southern California since I was eighteen ."
[11:30] Speaker_A | Going to s like North Carol I'm sorry you you just can't get a better burrito than what's available in the s in San Diego .
[11:36] Speaker_B | It's different . 'Cause in San Diego th the tortillas are cooked on the grill and in northern California they steam them .
"[11:44] Speaker_B | Yeah , it really does ."
[11:45] Speaker_A | Well it's it's i there's other things too there's you just can't place it like I when I went to school in the U_ in Santa Barbara which is central California
[11:48] Speaker_D | Ah .
"[11:53] Speaker_A | the Mexican food is okay , it's just not good like and yeah it's like two bucks , like literally two bucks for this massive I miss yeah good call on that ."
[11:57] Speaker_B | Mm .
[12:00] Speaker_D | Right .
[12:02] Speaker_B | Yeah . Where you from in San Diego ?
[12:04] Speaker_D | Mm .
"[12:04] Speaker_A | Um just literally just metropolitan San Diego , I live like five minutes from the zoo . So North Park actually if you want to get real specific ."
[12:09] Speaker_B | Okay .
"[12:11] Speaker_B | Yeah , my grandparents lived on um thirty second ."
[12:14] Speaker_A | Yep .
"[12:16] Speaker_B | Close t uh do you know where Clare de Lune coffee shop is , and"
"[12:18] Speaker_A | Yes . On university , yeah . Yeah it's actually like literally half a mile from my house . Yeah , pretty cool . Small world as we were discussing before ."
[12:24] Speaker_B | Cool .
[12:26] Speaker_B | Yeah .
[12:35] Speaker_D | There you go .
[12:36] Speaker_B | Wow .
"[12:53] Speaker_A | This is what the finance department has told me , the C_F_O_ but I don't know , I'm not sold on this , it's pretty dear , I mean twenty f that's like you know"
"[13:02] Speaker_A | forty bucks for a remote . It would have to pretty much like do my laundry for me . Um so what we can maybe work on that a later but we're gonna make a lot on it , the profit aims to make fifty million Euros on it ."
[13:05] Speaker_D | Mm .
[13:12] Speaker_A | Eur internationally . So um one of the things I I was gonna mention to you um you guys the designers is that um it m we probably need a rever it needs to be a universal remote control probably .
[13:24] Speaker_B | Okay .
[13:27] Speaker_D | Makes sense .
[13:31] Speaker_D | Uh .
[13:38] Speaker_A | Um but we wanna try to make it for twelve fifty . So we wanna try to make a hundred percent profit on it if we can .
"[13:53] Speaker_A | Is uh we'll meet in another half an hour or so um and I'd like the um Industrial Designer to get ge think about what needs to be done , like what the basic function of it ."
[14:03] Speaker_A | Um U_I_D_ well yeah you right g your assignments are up there and you'll also get s assignments from in your email as well more spec specifics on what do do .
[14:19] Speaker_D | What they're looking for .
[14:28] Speaker_D | And negotiate that . Uh .
[14:30] Speaker_A | yeah well it is and we'll discuss the trade-offs in between um so yeah specific instructions will be sent in your email . But I think that that is more or less a good place to start for now um
"[14:43] Speaker_A | and as more things come up we'll have meetings and you'll get emails and so forth . Um any questions , before we get started ?"
"[14:52] Speaker_C | I assume that we're building a stand alone uh remote control , we can't kind of build it into other uh products ."
