[00:02] Speaker_A | All set ?
[00:03] Speaker_A | Okay . Cool . Right . So um basically I'm just gonna go over real quickly um some news I've just got from the board on how we're supposed to do with this um remote control . And then I'm gonna turn over to you guys to make brief presentations um on what you've found and then we'll have a bit of discussion .
"[00:21] Speaker_A | So basically uh what I've just found out from the board I dunno if you guys got this email as well but it needs to be television only . So no we're not doing D_V_D_ , we're not doing anything else , it's just gonna be a television remote . Um it also needs to have the company colours included in it . Um so that's red and black . And it has to have the slogan , case you guys forget the slogan it's , we put fashion in electronics ."
[00:29] Speaker_D | Okay .
"[00:47] Speaker_A | Um and no teletext . I'm not sure what teletext is but I'm assuming you guys do , so we don't wanna include that um in this particular design ."
[01:25] Speaker_B | Okay . So do I unplug this bit here ?
[01:28] Speaker_D | Gotta plug you in .
"[01:28] Speaker_A | Oh , right yeah ."
[01:30] Speaker_A | Yep .
[01:40] Speaker_A | Might have to hit function F_ eight but it looks like it's gonna come up .
[01:47] Speaker_A | Yep . Cool .
"[01:47] Speaker_B | Okay . Right . That's page one of my presentation . So the uh method . We're gonna have to understand how remote controls work and res uh successfully complete this project . Um remote control works as follows . This is all pretty basic stuff you guys . Um sends message to another system , so there's an energy source involved in that like a battery or solar power , something along those lines , there's an integrated circuit , which is the microchip , um and that actually compose the messages and usually the way a a remote control works is it sends infrared bits to another system . A user interface controls the chip , basically that's the casing and the buttons and um accordingly the messages as well ."
[01:54] Speaker_A | Brilliant .
[01:54] Speaker_D | Very nice . For your first PowerPoint it's lovely .
"[02:41] Speaker_B | So my findings , um I just did a preliminary study here and uh I found that too much metal in remote design could potentially cause interference with the ability of the remote to send commands . And too much metal can cause remotes to behave unexpectedly by receiving false signals . Um too much metal is used sometimes and people pick up radio signals and the like , and there's also the possibility of the remote catching on fire and injuring the customer , just think of those lawsuits , that'd be really bad . Therefore I suggest primarily plastic construction ."
[03:13] Speaker_A | 'Kay .
[03:34] Speaker_A | Mm .
[03:51] Speaker_A | 'Kay . Fair enough .
[03:56] Speaker_A | 'Kay .
[04:11] Speaker_D | Fine .
"[04:32] Speaker_D | It needs , yeah ."
[04:32] Speaker_B | Right .
[04:39] Speaker_B | Yeah that shouldn't be a problem . Um for example the plastic they have on your laptop there is something that's perfectly possible for us to do .
"[04:45] Speaker_A | Okay , okay ."
[04:49] Speaker_D | Cool .
[04:50] Speaker_A | Great .
