"[00:06] Speaker_D | That went well , thank you ."
[00:11] Speaker_A | That's great .
[00:13] Speaker_D | Perfect .
"[00:14] Speaker_A | Alright , let me just PowerPoint this up ."
"[00:30] Speaker_A | Right so um this meeting will be about the conceptual design , don't ask me s precisely what conceptual design is , it's just something important that we need to do . Um , think of it 's kind of uh turning the abstract into slightly more concrete . In this meeting ideally we'll come to some final decisions on what we're gonna do for the prototype ."
"[00:50] Speaker_A | Um . Right so um , apologies for the last meeting , it was brought to my attention that I did not make the roles clear enough , um , so I will attempt to do so more accurately in this particular meeting . Um , fair enough , thanks for the input , 's always good . Um ."
"[01:06] Speaker_A | So , basically all we're gonna do is have some presentations again much like last time , um , and gonna go through you , uh whoever wants to go first is f fine by me um and we'll collate what we know about um what we discussed in the last meeting , possible directions . And then we'll make some more decisions on um basic uh firm up our idea on how we want this remote control to look and work . So , perfect . So , without th further ado , whoever wants to go first is free to . Alright Nathan , take it away ."
[01:38] Speaker_B | I'll go first .
[01:39] Speaker_D | Go ahead .
[01:47] Speaker_A | It is Nathan right ? I'm not calling you the wrong name over and over again ? Good .
[01:49] Speaker_B | No Nathan's fine . It's either Nathan or participant two .
[01:56] Speaker_B | Uh .
[01:58] Speaker_D | Nice .
"[01:58] Speaker_B | Okay . Um , basically what I'm gonna have to talk to you about today is um component design and it's been brought to my attention that we may be somewhat limited as to what we can do because of what our manufacturer offers , so Basically what I'm gonna be doing is talking to you about that ."
[01:59] Speaker_A | Nice .
[02:14] Speaker_A | Mm .
"[02:19] Speaker_B | Um , components of a remote control , okay . We've already kind of gone over this but we're gonna have to get into more detail and probably have to reach some conclusions some time soon ."
"[02:28] Speaker_B | Energy source , um , our manufacturer offers a variety of energy sources , your standard battery , solar cells . Our manufacturer didn't say anything about lithium so we might have to look if we do go that route , we might have to look elsewhere . Um , and also there's a kinetic energy possibility . Basically , it's like a um the idea of moving the remote would create enough energy to keep it running . So that's one possibility but I don't know whether that would be powerful enough to illuminate a touch screen . So we'll have to look into that ."
[02:59] Speaker_A | Hmm .
[02:59] Speaker_D | Mm .
"[03:01] Speaker_B | Um , the case , we have a few options , plastic , rubber or wood . Um and then as far as the way it's shaped , we can do standard boring flat , which we probably don't wanna do , curved or very sexy double curved ."
[03:19] Speaker_A | What kind of th thickness are we looking at ?
"[03:21] Speaker_B | Um , I imagine that we could specify . Um , I don't see any reason to go outside of the convention of"
[03:30] Speaker_B | three or four millimetres . Yeah .
"[03:32] Speaker_A | Okay , brilliant ."
"[03:34] Speaker_B | Um , the buttons , there are multiple scroll buttons available from our manufacturer , but to use those we'd have to use more chips , um and that would cost us more . And if we do go with the rubber doubled curved case um we'll have to use rubber push buttons because the other buttons aren't compatible with that . Um and just a little note there , touch screen equals many chips which equals many Euro ."
[03:55] Speaker_A | Hmm .
[03:56] Speaker_D | Right .
"[04:05] Speaker_B | Um , one thing that I noticed was that most remotes operate on a infrare on the infrared part of the spectrum . So you notice when you push a button on a remote you can't see anything coming out of it but in fact there is light coming out of the remote and you know the television can detect that . And if you were to record if you were to make a video recording you could actually see the light ."
"[04:28] Speaker_B | Uh one thing that I thought might be interesting was to use part use visible light coming out of the remote , just kind of as a fun gimmick . So you could actually see something coming out of the remote when you pushed it . Course it'd have to be a part of the spectrum that wouldn't damage the human eye or anything like that ."
[04:37] Speaker_A | Hmm .
[04:37] Speaker_D | Interesting .
[04:44] Speaker_D | Mm . Good call .
[04:49] Speaker_D | Choose it .
"[04:55] Speaker_A | Yeah I like the idea , it's a good idea ."
"[04:56] Speaker_B | Yeah , just as a fun gimmick ."
[04:58] Speaker_A | Yeah .
"[05:00] Speaker_B | Just to set us apart a little bit . Um , and then on to the circuit board that we're gonna use , also known as the chip . Uh , we really don't have any way around the T_A_ one one eight three five . Um findings , okay , we're very limited by what our current manufacturers can offer , um and my question to all of you is , should we look to other manufacturies or should we just make do with what we have available ?"
[05:27] Speaker_C | Interesting question .
[05:28] Speaker_B | 'S a bit of a challenge question .
[05:29] Speaker_A | Mm .
[05:29] Speaker_C | Yes .
"[05:29] Speaker_D | Well I'd say shop around but with our time constraints , is that really a feasible option ?"
[05:33] Speaker_A | Mm .
"[05:34] Speaker_B | Right , that's my concern too ."
"[05:37] Speaker_B | Um , if we do go the lithium battery route then we'll have to go outside our current manufacturer . My personal preference is I'll just throw my cards on the table , uh I think we should probably go the solar battery route , just to kinda keep with the environmentally friendly theme that we have going on . Uh , I like the idea of the visible light signalling , that's something to set us apart and uh I was thinking about I was thinking of ways that we could produce the remote in a variety of different case materials to suit different tastes ."
"[06:10] Speaker_B | So we're not so confined by one style and say some you know , say our the one if we just go with one and it doesn't go over well then we're in a bad situation ."
[06:14] Speaker_D | Right .
[06:20] Speaker_A | Mm . Can we do marketing piloting too ? Try to see what kind before we launch can we see how they're received ?
[06:21] Speaker_D | Right .
"[06:29] Speaker_D | It's an option , uh but actually there's I've got some research already on like what we're looking at and trends in casing right now which actually might even come into play beforehand , it may help us decide for now . Temporarily anyway ."
[06:34] Speaker_A | Okay . Okay .
"[06:39] Speaker_A | Okay , perfect . Great , thank you very much Nathan . That's perfect , so I guess that makes sense for you to take it from here ."
"[06:41] Speaker_B | Oh yeah , you're welcome ."
"[06:51] Speaker_D | You waiting for me ? I know , what a teaser ain't it . Um . Right ."
"[06:52] Speaker_A | Fascinating , compelling even ."
[07:00] Speaker_D | So current market trends .
"[07:03] Speaker_D | Screen . Um , basically I was looking at what's going on in the remote control market right now and what's going on in other design fields , to see sort of what's what's trendy , what's new , what's happening . Um , remote control right now basically everybody says they want newer , fancier , more exciting they're sick of this boring , normal , functional , um that we need innovative design options and there needs to be an easy user interface . Um the challenge is that current trends right now , across the board in fashion , in furniture , in technology , is a very organic fruit and vegetable kind of thing ."
"[07:42] Speaker_D | Now I'm not saying we should have , you know , tomato shaped remote controls or anything , but I think it is possible maybe to use um natural colours , like if wood is an option , that whole organic , sleek , clean ,"
[07:51] Speaker_B | Mm .
"[07:56] Speaker_D | v line thing may be something we can look into . Different skin options , or if we can't afford this touch plate thing , or touch face screen interface um , maybe having the b images be specific , like you could choose your menu bullets to be"
"[08:15] Speaker_D | a different shape or okay , not the example I would choose , but you know what I mean to t sort of and th apparently the feel of the next couple of years is spongy , uh not something I I've come up with a though if we can get around to getting piloting , I thought maybe a casing option like uh"
[08:40] Speaker_B | Hmm .
"[08:44] Speaker_B | I should have mentioned this um . As far as the rubber that we can use we can use a rubber as part of the case , it has a consistency of those stress balls ."
[08:48] Speaker_D | Mm-hmm .
[08:53] Speaker_C | Yes .
[08:54] Speaker_D | Mm . Might be an interesting way to go .
"[08:55] Speaker_A | Slick , slick ."
[08:55] Speaker_C | Fabulous .
"[08:57] Speaker_D | Um , yeah so something to sit on for now . So overall I think we should stick with what we're finding , everyone's looking for easy to use , technologically innovative and this fancy new I think perhaps the double curve thing and maybe this rubber option is our best way to go for right now ."
[09:12] Speaker_B | Mm .
[09:23] Speaker_A | Yeah .
"[09:26] Speaker_B | I like the idea of of rubber too because it's tends to be associated with being durable , something that you can drop and it doesn't matter . 'Cause so many you go to so many houses these days and you see broken remote controls ."
[09:32] Speaker_A | Mm .
[09:33] Speaker_D | True .
[09:37] Speaker_D | Very true . Very true . Very much so . Um
"[09:38] Speaker_A | Yeah , it's like , yep it's ubiquitous isn't it ?"
"[09:38] Speaker_B | Taped with duck tape and what have you , you wouldn't have that problem if you used rubber ."
[09:42] Speaker_C | We can have a duck tape casing .
"[09:45] Speaker_D | We could . I think that goes against the whole fancy something , a new line , but worth a shot ."
"[09:52] Speaker_D | Ah , it could be , it could be , um . Yeah that's what I know ."
"[09:56] Speaker_A | Great , thanks for that Sarah . Ron ?"
[09:59] Speaker_D | No problem .
[10:02] Speaker_C | Phew .
[10:14] Speaker_C | Computer's adjusting . One moment please . So interme interface concept by your faithful user interface designer .
