[00:20] Speaker_D | Okay .
[00:35] Speaker_D | 'S put it over here . Then we don't have to worry about it .
[00:41] Speaker_A | All set ? Cool .
"[00:44] Speaker_A | Alright , it is PowerPoint time ."
[00:48] Speaker_A | I've done more PowerPoints in this particular experiment than I've ever done in my life before this experiment which is kind of fun .
"[01:01] Speaker_A | So uh here we have our detailed design meeting where we will um look at the prototype and um right so um , I finally figured out what this whole second bullet point is about in my that my coach was sending to me . It means I'm supposed to read the minutes from the previous meeting ."
[01:18] Speaker_B | Oh really ? Okay .
"[01:19] Speaker_A | I think . I don't know . Otherwise it's just saying I'm the secretary and I'm therefore I'm taking the minutes , s so just to go um just real briefly to go over minutes from last meeting , uh , I will open them slowly , no ? Wait for it , wait for it ."
[01:20] Speaker_D | Huh .
"[01:53] Speaker_A | This is , this is very high-powered stuff here , double-clicking , there we go . So um basically the moral of the story from our last minute uh last meeting was that um we that we had meetings from uh we had presentations done by the Industrial Designer , uh or from Nathan , and Ron and from Sarah about what we can do here um and what"
"[02:17] Speaker_A | sort of limitations we're operating with um uh excuse me what limitations we're operating under , what kind of risk we'd be looking at with some of the various approaches we were discussing and we essentially came to the conclusion that we should develop a remote with uh voice recognition , I_E_ that had a vaguely non-remote like shape um because you didn't really need to use it as a remote since you could just use your voice . That would include some mostly just the simple design features for a television operation but with a slide or a fold-out bay for more advanced functions for users . Um , and uh the uh uh the U_I_D_ and the I_D_ were asked to go ahead and start developing a prototype for us to look at . So ."
"[03:01] Speaker_A | That's sorted , back to the main"
"[03:07] Speaker_A | meet here , um , go ahead and take it away guys ."
"[03:11] Speaker_B | Well . Uh , we have assembled our prototype , um . What's to be said about it ? Um , we took into account a lot of the things that we went over in the last meeting , um . Some of the most important things to consider are that we decided not to go for the touch screen which you can see and opted for some very large buttons for the primary functions , um ."
[03:33] Speaker_A | Mm-hmm .
"[03:42] Speaker_B | This is going to be the on off button and we have these buttons to go through the channels um and then two volume buttons down here , d uh we decided those were the most important uh buttons . And then , for the more advanced uh functions there is a slide out panel here um and you can see that there are lots of other things going on . But this actually can slide back in and provides a very nice aesthetic when it's all put away , um ."
"[04:14] Speaker_B | As far as the uh whole visible light thing , we decided to go with the multiple colours coming out , why not ?"
[04:18] Speaker_D | Ah .
"[04:24] Speaker_B | Of course , if that's annoying for some people that function can be turned off . Um ."
"[04:30] Speaker_C | No it's important to we talked a quite a bit about uh you know the the interchangeable uh faces and what we've done here is come up with a bit of a natural look here um f we call it fruity if you will . Um . Right , um , of course that's uh interchangeable and uh I think it would be desirable for the uh for the regular product in the in the in the in the first packaging to be something a little bit more subdued but this is kind of something that can be done um and as you can see on the television there uh we have the uh voice detector device um on the top there . Um . So that that will work quite well with with regard to finding this uh contraption ."
[04:31] Speaker_B | Go ahead .
[04:37] Speaker_D | Mm .
[04:41] Speaker_D | Right .
"[04:44] Speaker_D | Appropriate , okay ."
[04:54] Speaker_D | Mm 'kay .
[05:00] Speaker_D | It is an option .
[05:08] Speaker_B | That's this here .
[05:09] Speaker_D | Ah . I see .
