[00:31] Speaker_D | Okay .
"[00:33] Speaker_A | 'Kay so we'll try to zip through this , since we're short on time . Welcome everybody . Um hope your sessions went well . Um so this is our functional design meeting , we're going to consider um user needs , technical effects , and the working design of our remote control . Um I've been taking meetings on the minute minutes on the meetings , and I'll be putting them in the shared documents folder so if there's anything you need to refer to you can find them in there . Um I I'll get the ones up for next time , um they're not finished yet . Right . Um so can we have updates from everyone from what you've worked on just kind of a quick summary of anything interesting that you'd like to share or discuss in this sure ."
[01:22] Speaker_D | And I can start if you want . Mm .
[01:26] Speaker_D | Is there an order ? No . We haven't decided on an order .
[01:28] Speaker_A | Hm ?
"[01:30] Speaker_A | No , any any order's fine . Yeah ."
"[01:30] Speaker_D | First . Okay . Um , how do I put this I'll just put the cable in ."
"[01:38] Speaker_A | Oh yeah , sorry ."
"[01:47] Speaker_D | Is that it ? Can you see ? Oh , here . Okay ."
[01:53] Speaker_D | So what happens it doesn't work ?
[01:55] Speaker_A | It sh it takes a few seconds I think .
[02:13] Speaker_D | No .
[02:15] Speaker_D | Is it in the right thing ?
"[02:15] Speaker_B | But sometimes you have to do it it's like a three set setting cycle , so press it a couple times , hold down function and then press F_ eight ."
"[02:22] Speaker_D | Oh wait , um ."
"[02:28] Speaker_A | Uh-huh , and then press function ."
[02:32] Speaker_D | Yeah .
[02:32] Speaker_A | and F_ eight .
[02:36] Speaker_C | Could you just plug it back into hers because she had oh .
"[02:38] Speaker_D | Oh , wait . That's is that it ?"
[02:40] Speaker_B | Adjusting .
[02:42] Speaker_A | Here we are .
"[02:45] Speaker_B | The cable might be a little loose or something . Oh , you got it ."
"[02:47] Speaker_D | Right here we are . We're here . Okay , um . In order to see what the functional requirements were to be found , um"
[02:49] Speaker_A | Oh . Is it on ? Okay .
"[02:59] Speaker_D | a hundred people were tested in a usability laboratory through just their habits to n know their habits were observed and questionnaires were given out . Um , the findings in in some cases matched what we were talking about . Custome Customers and users don't like the way remote controls look , they don't like the way they feel , they don't think they match their operating behaviour , and an example is what we were talking about , the buttons , they only use ten per cent of the buttons , so later on there's a study of the buttons that they use most and I think we should design according to these buttons . Easy to lose , and R_S_I_ . I don't know what R_S_I_ means . Um the person that did the questionnaire obviously did , I don't have a clue ."
[03:47] Speaker_A | Hm .
"[03:48] Speaker_D | Um , according to the frequency of use and the relevance of each buttons , I have made a list of the buttons that we should focus on in order of importance . So the most important buttons are those to do with channel selection . They're used about a hundred and sixty times per hour . And um"
"[04:11] Speaker_D | yeah so and and people like to zap a lot apparently , so this is the order . Channel selection , teletext , volume , and power . The other ones are the settings , and they're used less than you know zero point eight to zero point five times per hour , and this means that I think we can we could have like a a button for all the settings , and then , just one , and then from there go on to the audio on the screen , either on the remote or on the television . Um ,"
"[04:40] Speaker_D | about the screen , and speech recognition , some people are more willing than others to actually pay for that . And if we look at the market , f people from well from fifteen to thirty five year old year olds , I don't really know how to describe this , um ninety one to seventy six percent of people in that age range are willing to pay more for this sort of product , while people that are above thirty five years ol um years old go from thirty five percent to eight percent , so people that are sixty five for example wouldn't actually pay for this sort of thing . Um I don't I don't know um what the decision to be made is , but I think that the people that actually do buy remotes m more are those like teenagers and young professionals and um , most likely , but we should discuss this together ."
[05:37] Speaker_A | 'Kay .
[05:41] Speaker_D | Shall I what do I do ? Do I give this to someone else ?
[05:44] Speaker_A | Yeah . Just move right on .
[05:49] Speaker_C | Right .
[05:52] Speaker_C | So get this .
"[06:17] Speaker_C | Okay so now I need to press F_ eight , what is it ?"
[06:22] Speaker_D | Function F_ eight .
[06:29] Speaker_C | 'Kay . What's function ?
[06:31] Speaker_A | It's the little blue w it's the one th yeah .
"[06:33] Speaker_C | Oh function , I see it ."
[06:37] Speaker_C | There we go .
[06:45] Speaker_A | It should be yeah .
[06:50] Speaker_C | Okay . Um .
[07:03] Speaker_C | just what what functions we need and how to make that
[07:08] Speaker_C | the best function for the user . So uh and I just sort of like thought about it myself and looked on the internet . And okay so basically um I think i uh like it is really important that we sort of get this done in a user friendly and fashionable way . Um so I think things like uh
"[07:29] Speaker_C | you know keeping buttons together that like close together that um are used in the same way , uh or um maybe that making 'em the same colour , keeping the number of buttons the uh leas you know to a minimum , and also things like is it is it um is it uh can you c y small enough large enough I'm not sure we c I guess we would need to"
[08:34] Speaker_C | And I think we can find something that's more fun to look at and use than either of those .
[09:05] Speaker_C | Okay . You need the little thingy .
[09:24] Speaker_C | Ooh .
[10:09] Speaker_D | That's on view . Oh .
[10:11] Speaker_B | Right .
"[10:14] Speaker_B | Okay so this is on the working design , which is sort of the uh mechanical functions of the remote , um and the method I used was to basically look at existing designs and incorporate ideas from our last meeting ."
"[10:28] Speaker_B | Um so I think we need two basic functions which is just the basic remote functions , the user can input a channel or volume setting and it will be output to the T_V_ . And also we talked about um a location function where maybe you could press a button on the T_V_ and it would send sort of signal to the remote where it would beep or flash or vibrate or whatever to tell you where the remote is ."
"[10:51] Speaker_B | So the components we need are an energy source to power the remote , um input which would probably be buttons , although um we just talked about voice recognition , processor to take the information , um something to transmit it to the T_V_ , and we also need something on the remote that would receive the location signal and have an output , like possibly a beep or a vibration . And also you need a sender for location signal , which would probably be a separate um thing that we'd have to sell with the remote and people could stick it on their T_V_ or stick it on their wall ."
"[11:26] Speaker_B | And this is just sort of an overview of how the remote works . Power comes from the battery , goes to the chip ,"
