[01:04] Speaker_A | 'Kay .
[01:07] Speaker_A | Hmm .
[02:09] Speaker_B | Okay well um . So our design looks something like this .
"[02:15] Speaker_B | This being the wheel that you use to uh change channels or volume or whatever . This is a button , serves as the power button if you hold it down , and if you just tap on it I think it brings up the menu ."
"[02:28] Speaker_B | And uh the base of the remote control , which has a squishy spongy rubbery feel , is interchangeable . So you can change the colour , according to your to suit your living room or whatever . And it comes yeah , I can change the vegetable . This one's broccoli . So this snaps off and you can put on whichever one you want . This is not to scale 'cause it would have the battery inside it ."
"[02:39] Speaker_C | You could change the vegetable , or fruit ."
[02:43] Speaker_C | Yeah .
[03:01] Speaker_B | So we'll come up with a variety of trendy and exciting fruit designs for the remote control .
[03:09] Speaker_C | It's been a l
"[03:09] Speaker_B | And then people will be encouraged to buy three or five of them , because they'll need to switch 'em out ."
[03:32] Speaker_B | Mm-hmm .
[03:33] Speaker_A | Oh yeah .
[03:44] Speaker_B | Well the locator is just chip that's inside there .
[03:47] Speaker_B | And the beeper's also inside there too somewhere .
[03:53] Speaker_B | Yeah we didn't design that .
[03:54] Speaker_C | Yeah we have that that has yes yet to be designed .
[03:56] Speaker_B | But it would be coordinating with that of course .
[03:58] Speaker_C | Yeah that c hey that that could you know match the handset .
[03:59] Speaker_A | Yeah .
[04:01] Speaker_B | Mm-hmm .
[04:07] Speaker_C | So . Tada .
[04:08] Speaker_A | Oh .
"[04:10] Speaker_A | Um if you wanna look in your project documents folder , there's an Excel spreadsheet ."
[04:58] Speaker_B | My impression was that flat meant like like one of those square remotes .
"[05:03] Speaker_B | But it's really not very clear , because you got single curve and double curve and d I dunno what that means . One side is curved and then the other side is curved ."
[05:03] Speaker_A | Oh . Okay .
[05:07] Speaker_A | Right .
[05:13] Speaker_A | Well yeah . If we're talking about the area just oh I d
[05:20] Speaker_A | I dunno . I guess we'd have to contact the company that makes them and see . Um so what else ? There's plastic for that area around the button . Um and then rubber would be the squishy like thing right ? Um and lots of special colours actually . Uh scroll wheel . Do you see anything that I've missed ?
[05:36] Speaker_B | Mm-hmm .
[05:46] Speaker_B | No I think that's alright .
"[05:48] Speaker_A | Okay so that would make our total of eleven point nine , which is even less than twelve point five , which means we'd be making even more of a profit . And if we sold a lot of squishy things . Boo yeah ."
[06:01] Speaker_C | Mm .
[06:04] Speaker_A | Okay .
[06:17] Speaker_A | Mm .
[06:29] Speaker_D | Um evaluation criteria . I've got a presentation .
[06:36] Speaker_D | So I need where's the cable ?
[06:48] Speaker_D | Right what happens is we have to um decide whether this this whole
[06:57] Speaker_D | this whole project we've been working on actually um meets the standards we were set at the start .
[07:06] Speaker_D | Um .
[07:09] Speaker_D | Right .
"[07:11] Speaker_D | This doesn't okay . Um the method is we well I've analysed the user requirements and integrated them to the trends found in marketing reports and in our company strategy marketing . And um the findings were that we need it to look in a certain way , feel in a certain way , and this is everything's listed down ."
[08:01] Speaker_D | We have five we have eleven points according to which this should be evaluated . And um the cri well basically the findings are the same as the evaluation criteria . I would like to show you the table we have to use . Um .
[08:21] Speaker_D | No . This is the table . Can you see this here ?
[08:26] Speaker_B | Mm-hmm .
"[08:27] Speaker_D | Um so the que the questions I've given you c could you write that down ? True is one and and false is seven . And we'll just go through each point together , hopefully . Um ."
"[08:46] Speaker_D | I think if each of us gives an opinion then they can be mixed somehow . I dunno how it works exactly , I haven't been told ."
[08:59] Speaker_D | it's in the project documents .
[09:01] Speaker_C | Is it meeting three minutes ? No it's not minutes .
[09:03] Speaker_D | It's called evaluation criteria .
[09:05] Speaker_C | Okay .
[09:07] Speaker_D | And it's
[09:10] Speaker_D | under evaluation .
"[09:12] Speaker_A | Huh , the PowerPoint one ?"
[09:13] Speaker_B | Hmm ?
[09:14] Speaker_D | Yeah .
[09:14] Speaker_C | Okay . Cool .
[09:16] Speaker_D | You've found it all ?
[09:17] Speaker_A | Yeah .
[09:27] Speaker_D | Yeah true's one .
[09:34] Speaker_C | True's one and false is seven .
[09:35] Speaker_D | Do you want us to discuss this together or do you want us to do it singly ?
[09:39] Speaker_A | Um we can do it separately and then discuss it if if that's what people wanna do .
[09:41] Speaker_D | Yeah okay .
[09:50] Speaker_C | So it's actually a scale .
"[09:58] Speaker_D | yes it's if it's fancy you put one , if it's really unfancy it's seven ."
"[10:00] Speaker_A | One , right okay ."
[10:03] Speaker_A | If it's somewhere in between you put four . Okay .
[10:06] Speaker_C | Okay .
[11:57] Speaker_D | Yes ? Very very true . Okay .
[12:03] Speaker_D | Okay .
[13:04] Speaker_A | Are we just about ready ?
[13:07] Speaker_D | Apparently I'm supposed to use the whiteboard . Do we um is it necessary ?
[13:21] Speaker_D | Yeah . Okay .
[13:21] Speaker_A | Our animals will forever be there .
[13:33] Speaker_D | Right so one point one ? We'll just go in a circle .
[13:37] Speaker_C | One .
[13:38] Speaker_D | Right . Ooh I don't know . Right . One ?
[13:38] Speaker_B | Five .
[13:43] Speaker_B | Five .
[13:44] Speaker_A | Five .
[13:45] Speaker_D | Five . Two . Okay so do we just add it up and divide it by four ? Is that what the company does ?
[13:54] Speaker_B | It's four if you wanna do that .
[13:55] Speaker_A | Yeah . Yeah .
[13:56] Speaker_D | Yeah ?
"[13:57] Speaker_B | It adds to sixteen , so that's four ."
[14:00] Speaker_D | Oh no . It adds to thirteen . One five five two .
[14:04] Speaker_B | Oh I thought she said five .
[14:05] Speaker_C | Hmm .
"[14:07] Speaker_D | One five five two is thirteen , over four for now . I think that's um next ?"
[14:14] Speaker_C | Um three .
[14:16] Speaker_B | Six .
[14:17] Speaker_A | Six . I wasn't cheating I swear .
[14:18] Speaker_D | Really ? Two . Uh-oh .
[14:28] Speaker_C | So it's a one was true and seven was false ?
[14:32] Speaker_A | Uh .
[14:32] Speaker_B | Huh ?
[14:32] Speaker_D | Yeah .
[14:35] Speaker_B | Wait a minute . I thought it was the other way round too .
"[14:42] Speaker_B | Yeah I I was thinking one means no points , you know , all the way up to the top ."
[14:43] Speaker_D | Yeah yeah . It was one is true and false is seven . I should've kept the table up .
[14:48] Speaker_B | I'll just I'll just reverse them all . It's no problem .
[14:51] Speaker_A | Yeah .
"[14:53] Speaker_D | Right , well I'm glad this came out ."
[14:58] Speaker_D | Yeah . No . Oh that's quite funny .
[15:23] Speaker_B | Okay .
[15:25] Speaker_A | Yeah .
"[15:26] Speaker_D | Okay . So , starting again , one point one ?"
[15:30] Speaker_C | One .
[15:33] Speaker_B | Say two .
[15:34] Speaker_A | Three .
"[15:37] Speaker_D | Two . Okay , one point two ?"
[15:40] Speaker_C | Uh three .
[15:42] Speaker_B | Two .
[15:42] Speaker_A | Two .
"[15:44] Speaker_D | Two . Okay . Um , one point three ?"
[15:49] Speaker_C | One .
[15:50] Speaker_A | One .
[15:50] Speaker_B | One .
[15:52] Speaker_D | Ha . Two point one ?
[15:56] Speaker_C | Uh two .
[15:56] Speaker_A | Two .
[15:58] Speaker_B | Uh two .
"[16:01] Speaker_A | Two point I think I missed two . Wait , is that two point one ?"
[16:06] Speaker_B | Yeah I put it down as one point four for some reason .
"[16:06] Speaker_D | Yeah . Oh dear , okay . Sorry ."
"[16:07] Speaker_A | One point four , one point five . Okay right that's I have two of them ."
[16:11] Speaker_B | Mine has all kinds of problems .
