"[00:44] Speaker_A | Okay , welcome to the second meeting of this uh design group ."
[00:57] Speaker_A | notes of the of the last meeting
"[01:04] Speaker_A | uh just done in in note form and I haven't attributed anything to individuals , because we're working strictly as a team here and uh n nobody's working equally , so uh . Um we we s we saw that the the problems with existing remote controls were the uh b a boring shape and boring colour ."
[01:15] Speaker_C | Sorry .
"[01:29] Speaker_A | Um and and we s we saw that the um what we needed to do was to to make sure the device um controls several items , that switching was easy ,"
"[01:39] Speaker_A | that you shouldn't need to point the thing at uh anything in particular , um that it need to be contoured to make it interesting , that the keys might be concave , simply because that hasn't been done before that we know of . Um should have interchangeable fascias so people can personalise it , um illuminated so that people can see it in dark rooms . Um and that people might want it as as in addition to their existing remote controls . Um and that it sh it should just always work , whenever you uh um"
"[02:19] Speaker_A | mm uh use it . And that it shouldn't be too small , mm that it it gets lost ."
[02:25] Speaker_A | Um .
[02:36] Speaker_A | Now uh
"[02:38] Speaker_A | uh I'll shortly ask for for three three presentations . Uh before I do that , however , I will go through some new project requirements that um the the management have placed on us and uh will be challenging in terms of what we discussed at the first meeting . Um the uh"
[03:31] Speaker_A | Anyway . Okay .
"[03:37] Speaker_A | Now , the n the new requirements are um the the management team see that um teletext is no longer of any importance given the uh the rise of the internet . Um and and they want it only to cover televisions ."
"[03:58] Speaker_A | Um now , what is not q quite clear from their directive is whether they mean th they don't want it to cover teletext or whether they don't want it to cover , you know , videos , D_V_D_s , um satellite boxes , which uh I mean we saw as being fundamental to the uh to the exercise . The um the actual wording of the directive is that it should cover television only ."
"[04:27] Speaker_A | Um and on that basis um I I think we we need to bear that in mind , um but possibly uh keep at the backs of our minds that the reality that people even when they uh no longer they don't look at teletext anymore , they certainly do look at other things . Um the device has to incorporate the company logo and colours . Um the the logo uh being at b the bottom of the screen there , the the the two R_s in grey against uh a yellow background ."
"[05:04] Speaker_A | Um now this doesn't necessarily mean that we have to give up some of our ideas about making it attractive to the t to the market . But uh do do introduce some some constraints as to how we might do that . Um it also has to be simple , which to some extent goes along w with the first one , and that we've already said that it must be simple 'cause that's what people want anyway . Um but they also want it to be simple to get it to the market quickly , which um"
"[05:36] Speaker_A | mm uh is is is their choice , but uh um we we need to talk that through . Um okay , so uh"
[05:56] Speaker_A | after the meeting it'll be summarised and uh
"[06:01] Speaker_A | um notes sent out and uh etcetera . Okay , so we'll first of all mm have individual reports from everybody . Um again I there is no order of precedence here um so I I I'll leave it up to you to who who who thinks they would like to go go first ?"
[06:29] Speaker_A | P fine .
[06:32] Speaker_D | Uh can I steal the cable ?
"[06:33] Speaker_A | Oh sorry , you can indeed ."
[06:39] Speaker_D | Cheers .
"[07:23] Speaker_A | Oh , if you click on the um uh the one that that looks like a projection screen , no the one to the right of that . That one ."
[07:30] Speaker_D | That one . Cool . Well these are functionality requirements from the our our guys down in the the research lab . Took hundred people and covered all the aspects of what um is needed by people and what they want to see .
"[07:51] Speaker_D | Um everything kinda from functionality and how individual functions are how mu how how often they're used and how much their necessary and stuff . And general opinions about current current remotes . See that , as we kinda noticed , seventy five percent of people find their remote controls ugly ."
"[08:13] Speaker_D | So some kind of a new style should be incorporated that's less ugly . Uh along with um looking less ugly , if it looks better , eighty percent of people said they'd spend more money on it ."
"[08:31] Speaker_D | Which is a a plus for us , if we can make it look better , it'd be uh"
[08:35] Speaker_D | more cost effective
[08:38] Speaker_D | and we can put the price up .
[08:42] Speaker_D | Current remote controls do not match the operating behaviour of the user . I can empl I kinda take that to mean as um
"[09:18] Speaker_D | Uh again , seventy five percent is seventy five percent of users say they zap a lot . I took to mean that they just they use it a lot , they use it regularly rather than standing up and"
[09:30] Speaker_D | manually change channels or volume .
