[01:59] Speaker_A | Okay .
"[02:04] Speaker_A | So again um , I'll we'll have the three three presentations from the the the three of you and then uh we'll we'll make a a final a final uh decision . Um and the the decisions that we need to to make today , finally , are um what energy source we want to use , whether i it is practical to use uh um"
"[02:29] Speaker_A | a a a long lasting one . And uh I I think our discussion was around the fact that uh if we're gonna go for uh a long lasting power supply , then basically it's uh sealed for life and uh if anybody does manage to run one down , we'll we'll give them another one . And uh it it'll be uh , you know , prominently displayed as part of the th the advertising literature that it's um um , you know , for life , guaranteed for life ."
[02:58] Speaker_A | Um now the the the internal chip um and uh this is where I need uh uh Kate's expert advice and given that th this has to to go to market as quickly as possible um d d do we go for a custom designed chip ? Or or do we buy one off the shelf and and programme it ourselves ? Uh I mean I'm I'm I'm
"[03:24] Speaker_A | n not an expert on these things , but presumably , there must be loads of 'em already on the market that we can modify . But uh that that's uh that's your area of expertise . And then the uh , you know , the the overall design of the case uh is is is Kendra's field and uh"
"[03:53] Speaker_A | uh da today . Um and thi this is all linked in with the the the user interface , whether we p um"
"[04:09] Speaker_A | and then uh , you know , f for the next meeting Kate will be looking at the the the s the look , feel and design , Kendra the uh"
"[04:19] Speaker_A | ho how the the user actually uses it and and Andrew of course the the product evaluation . And uh Kate and Kendra will be producing a a model for us to uh to look at . Uh so , if if we can have the the three presentations again please , and uh um p perhaps you'd like to start uh k ."
[04:45] Speaker_A | Kate .
"[04:49] Speaker_A | Oh I'm sorry , oh sorry ."
[04:50] Speaker_B | Um p there we go .
[06:00] Speaker_B | Uh basically what happens is you'll press a number or give a voice command and this creates a a connection within the the remote that allows the chip the chip then senses this connection and produces a signal in a Morse code format . This signal's sent to the transistor which amplifies it and then sends it on to the light emitting diode and uh which is then trai changed into a infrared light which is sent to the T_V_ and sort of seen by the T_V_ and which uh changes the channels .
"[06:57] Speaker_B | however uh to n not have buttons or to use a voice commands instead of buttons might make these connections more difficult and uh raise the production cost . That's something we should think about . Also we have to work within the company constraints , and the company has informed me via email that uh they're experts at pushbuttons and that seems to be the most uh cost-effective way of producing it ."
"[07:18] Speaker_B | Um also with battery connections the company has some limits on the batteries we can use , so I was thinking perhaps a combination of solar cells with a back-up basic battery and somehow between the combination of that two we might be able to come up with something that uh will last the the lifetime or the five to ten years and we could still keep that original idea ."
"[08:19] Speaker_A | Okay , so how um sorry , can you uh just put that one back up again , please ? Um ."
"[08:22] Speaker_B | Mm . Oh yep , sorry . Yep ."
"[08:28] Speaker_A | Uh d d d okay , I mean uh inevitably a b a custom design chip is gonna be more expensive . Do we do we know uh by how much ?"
[08:32] Speaker_B | Mm .
[08:38] Speaker_A | And and do we know how long it'll take to uh develop a a custom chip .
"[08:50] Speaker_A | Right , okay ."
"[08:57] Speaker_A | Right , I think we need to make a a decision here . Uh given that the company wants this on the market quickly and cheaply , that would appear to uh effectively constrain us to an existing chip and thus therefore conventional button technology ."
[09:05] Speaker_B | Mm .
"[09:16] Speaker_A | Um uh now before we go round everybody else , does anybody um"
[09:22] Speaker_A | h have any have anyti ha anything to say about that ?
"[09:25] Speaker_C | I just have a question about that . Um does it make a difference if there are just a few commands , for example if you um can pre-programme in like numbers one through ten and pre-programme say , you know , nine channels and then just use the voice recognition to say channel one and then you've programmed in say B_B_C_ four as your channel one , as your favourite , it's like to have a certain number of favourites um and that w"
"[09:50] Speaker_B | W just to to incorporate the voice activation in it is is sorta the trick . Once you've got the whole voice chip in there , then it's pretty much the the world the the sky is your limit , but to actually the the big step is to actually get the voice activation chips in there and working ."
[09:54] Speaker_C | Okay . Then it doesn't matter . Okay .
[10:01] Speaker_C | Okay .
[10:12] Speaker_C | Yeah .
"[10:20] Speaker_A | speak somebody's name and it'll dial the number for you , so uh bu I mean the this this information is from is this is the internal company information , is it ?"
"[10:32] Speaker_B | Uh bits of it , yeah ."
"[10:34] Speaker_C | Of course mobile phones do tend to be more expensive , you know , hundred and fifty pounds or something ."
"[10:37] Speaker_B | Yes , as well ."
"[10:41] Speaker_C | As opposed to the twenty Euros , twenty five Euros ."
"[10:42] Speaker_A | Yeah , mm true , again but if it's without any without any uh p price informations that's uh difficult to uh"
[10:51] Speaker_A | uh decide .
[10:52] Speaker_C | Yeah .
[10:54] Speaker_B | Mm .
"[10:55] Speaker_A | Yeah , that's that's right . It's like it's it's you can't 'cause mobile phones are expensive , you can't say it's the voice recognition bit that is . But we don't know . Um ."
"[11:09] Speaker_A | I su i I mean if given that the um the technology is not well developed and and given that it's it's never been done before , um th th the double risk ,"
