[00:08] Speaker_A | Right well .
[00:09] Speaker_A | Welcome to the what should be the last of these meetings and uh it looks like we've uh done a good job here and uh
"[00:18] Speaker_A | we'll just go through the the final uh the final details . Um okay , oh the um"
[00:36] Speaker_A | Okay the um th the the next uh thing we we we'll have a look at the uh th have a look at the prototypes and uh look at the uh evaluation criteria and finance and then uh
[00:48] Speaker_A | uh just tidy up with production and um and then we can close . Um
[00:59] Speaker_A | So f if if you'd like to uh present your your proposals .
"[01:05] Speaker_B | Uh okay we basically have the same kinda lay-out here it's just um you hold it like this and it gets kinda moulded to the to the shape of your hand , basically . Um on the left we've got the scroll for the volume , on the right we have buttons for the channels up and down and that kinda so you can hold it and scroll , or you can hold it and and push . Uh this is the power key , um it's kinda like the biggest so you know how to turn on ."
[01:29] Speaker_A | Uh-huh .
"[01:29] Speaker_B | Uh that's the little menu key . This is the infra-red section so you g it'll be sending rays and if you're you know pointing it like that it can send it , or if you hold it up like that it'll send it . Uh we got a microphone there which for all the voice commands so you can you know talk to it like that and it'll still understand . Um the logo is down down there um and has the cover on it and you can see like it just kinda goes the red bit's the cover and it kinda goes over everything and then there's holes for the buttons to come through . Um ."
"[01:37] Speaker_A | Yep , yeah , good , good ."
"[01:44] Speaker_A | Uh-huh . Yep , right ."
[01:50] Speaker_A | Uh-huh .
[01:51] Speaker_C | Mm . S
"[01:57] Speaker_A | Yep , yep , mm-hmm ."
"[02:00] Speaker_C | And so we figured it would be kind of you know a light weight plastic , just kind of a light non-descript grey so that people'll wanna buy the covers and then the covers will be that sort of rubbery material like they make iPod covers , so they kinda just stretch over ."
[02:04] Speaker_B | Mm .
[02:04] Speaker_A | Uh-huh . Yep yep .
[02:08] Speaker_A | Yep .
[02:14] Speaker_B | Mm .
"[02:20] Speaker_A | Uh-huh . Okay , yep , right ."
[02:21] Speaker_B | Yeah .
[02:26] Speaker_B | Mm-hmm .
[02:30] Speaker_B | But it's also e e easier to put on versus like mobile covers you actually have to screw them on and stuff and you kinda sometimes have to get someone to do that for you . This is very much you should be able to stretch it over yourself and it'll be fine .
[02:30] Speaker_A | Okay .
[02:36] Speaker_C | just kinda stretch it over
[02:36] Speaker_A | Yep .
"[02:39] Speaker_A | Okay , good yeah ."
[02:39] Speaker_C | and it'll just stay on and then the buttons come through and so and then the each one of 'em on the very end will have the logo with the yellow circle and the R_R_ .
[02:39] Speaker_B | Yeah .
[02:41] Speaker_B | Yeah .
"[02:48] Speaker_A | Yep , right ."
"[02:49] Speaker_B | Li that'll be the covers as well , yeah yeah ."
"[02:50] Speaker_A | Yeah , yeah . I mean tha it's it's a detailed point , I just wondered I mean h how will people put these down I wonder ? Right ."
[02:51] Speaker_C | Yeah .
[02:58] Speaker_C | Like that .
"[03:06] Speaker_B | Yeah it could stand , yeah . Well we could broaden the broaden it out a bit so it would stand like that ."
"[03:16] Speaker_B | Yeah , standing ."
"[03:23] Speaker_B | Yeah , we could just widen it out uh"
[03:31] Speaker_B | Mm . Mm .
"[03:38] Speaker_D | Could have one for your stereo , one for your D_V_ player ."
"[03:38] Speaker_B | Mm , yeah , yeah . Have to if we just lengthen it I guess so it comes down to the base of the hand and then flatten it out and could sit there ."
"[03:39] Speaker_A | Yeah , well ."
[03:39] Speaker_C | Yeah .
[03:46] Speaker_C | Or just make it little .
"[03:46] Speaker_B | Yeah , mm . Yeah . Yeah ."
[03:48] Speaker_C | Somewhere like that
"[03:52] Speaker_B | We might have to lengthen it so it kinda your hand still holds it and have it there , yeah , yeah , yeah like that , like that . Yeah ."
[03:52] Speaker_D | Yeah I kinda had a
[03:55] Speaker_C | Yeah .
[04:00] Speaker_A | Yeah .
[04:03] Speaker_B | Mm .
"[04:07] Speaker_A | Yeah , yeah , yeah , I mean it it's uh wouldn't wouldn't do that , indeed yeah . But th th but th yeah th b the these were all minor minor uh minor details , I think the uh the basic concept i i is is absolutely bang on and the i it certainly meets our criteria of being uh of you know looking different . Um , so good that's that that's excellent . Um right let us um"
[04:11] Speaker_C | Yeah .
"[04:13] Speaker_B | Yeah , yeah ."
[04:14] Speaker_C | Yeah .
[04:16] Speaker_B | Yeah .
[04:17] Speaker_C | 'S a little longer .
[04:23] Speaker_B | Mm .
[04:24] Speaker_C | Yeah .
"[04:36] Speaker_A | What's on the next one ? Oh right yes , let's have a look at the um"
"[04:42] Speaker_A | f finance . Um , now"
"[04:49] Speaker_A | we're given a a clear design brief , uh"
[04:58] Speaker_A | if I get the uh spreadsheet up .
[05:03] Speaker_A | Oh .
"[05:09] Speaker_D | Uh yeah , just click there ."
[05:12] Speaker_D | Uh the
[05:13] Speaker_D | the maximise button .
[05:15] Speaker_A | Oh right . Ah .
