[00:57] Speaker_A | Right uh .
[01:02] Speaker_A | So um .
[01:09] Speaker_A | So where's the PowerPoint presentation ?
[01:16] Speaker_A | Sorry ?
"[01:21] Speaker_A | Microsoft PowerPoint , right ."
"[01:28] Speaker_A | Right , okay . So ."
[01:37] Speaker_A | Right .
"[01:40] Speaker_A | Okay , so we've got uh"
[01:47] Speaker_A | so we've got new project requirements . Um .
"[01:56] Speaker_A | So basically we've got three things , and we've got forty minutes in which to uh for this meeting to uh to discuss the various options . Um ."
[02:06] Speaker_A | Three presentations .
"[02:10] Speaker_B | We have a I guess we have a presentation each , 'cause I've got one . Um ."
[02:14] Speaker_C | Yeah .
"[02:14] Speaker_D | Yeah , I've got one too ."
"[02:27] Speaker_A | W I I got um or or three things basically , um relating to the remote being only for T_V_ . We discussed that last time and in actual fact that was pr pretty well what we came up with anyway . So in fact it actually f we won't be forestalled in a sense . Um we've got uh teletext outdated . Um did you get any information on that ? Right and the corporate image was the uh final thing . So I I got that in email form . Um . Right okay . So"
[02:38] Speaker_B | Mm-hmm .
[02:39] Speaker_D | Mm-hmm .
[02:43] Speaker_D | Mm-hmm .
"[02:55] Speaker_B | Uh we didn't , no ."
[02:56] Speaker_C | No .
[02:57] Speaker_B | I d I didn't personally .
[02:58] Speaker_D | Hmm .
[03:20] Speaker_B | Okay that's fine .
[03:24] Speaker_B | I'll just um I'll grab the wire out the back of this one .
"[03:28] Speaker_A | Sorry , yep ."
[03:57] Speaker_C | What is it ?
[04:01] Speaker_C | I think you've got to do um control F_ eight .
[04:11] Speaker_B | Doesn't seem to be quite working at the moment .
[04:16] Speaker_B | Alt function F_ eight .
"[04:25] Speaker_C | Ah there , it's doing something ."
[04:25] Speaker_B | Oh .
"[04:37] Speaker_B | Okay , that's me ."
"[05:05] Speaker_B | Okay , um I have to go again ."
[05:19] Speaker_B | Hopefully that should be it this time .
"[05:28] Speaker_B | Okay , I think we're there . That's good ."
"[05:37] Speaker_B | Okay I'm gonna be looking at the working design . Um of the of the remote control . Um I've just got three sections , first is the research I made on the on the remote control itself um . And then that involves the components required in it and the systems uh design of the actual the actual remote ."
"[06:01] Speaker_B | Um so having researched the existing models within the market , um I found my research off the internet . Um I've established what the components required for the remote control to function , actually are . And then also the methods in which these components interact together for the remote to actually do what you want it to do and how it connects with the television . Um the basic components are an energy source which I guess um in most existing models would be a battery supply ."
"[06:30] Speaker_B | Whether that'll be sort of two batteries , four batteries , um it may vary . We then have the user interface , which is basically the like the the buttons on the actual remote . Um the various functions used for changing channel , uh channel up and down , volume , things like that . Um there's also a chip inside the remote which does all the computer type things . And then the sender , which um"
[06:36] Speaker_A | Okay .
"[06:58] Speaker_B | is usually , I've found , an infra-red device which sends a signal to the actual television . Um and the last part is receiver which is important in the system but is not actually part of the remote itself , because that's obviously found in the television . . Um I'm gonna have to actually draw on the board because uh it was a little tricky on PowerPoint to get this working , so ."
[07:21] Speaker_B | I'll just go through there .
"[07:24] Speaker_B | S um um do we have a cloth to wipe this down with , or ? Oh I'll j"
[07:31] Speaker_B | Oh I see . Oh okay . I'll get rid of the bear
[07:42] Speaker_B | Okay that's great .
"[07:45] Speaker_B | Okay , so we start off with a um battery suppl Uh no , a power supply which we'd probably get it's probably gonna be the battery . Um"
[07:56] Speaker_B | we then have
"[07:58] Speaker_B | a particular button , which may be that's obviously there's lots and lots of different buttons . Um but this is how the basic system works . Um that sends after you press that that sends the message to"
[08:34] Speaker_B | Um .
"[08:35] Speaker_B | So that's . That's the remote in itself , that's the components of the remote and how they work together . So this is the uh user"
[08:44] Speaker_B | interface .
"[08:48] Speaker_B | Um this is the chip itself , which then , and that's the that's the infra-red"
[08:56] Speaker_B | sender . And then on the separate thing we have on the
[09:01] Speaker_B | on the television
[09:04] Speaker_B | we have a
[09:06] Speaker_B | a receiver .
[09:09] Speaker_B | And the sender sends a message to the receiver . 'Kay .
"[09:17] Speaker_A | So the the top bit's the power source , yes ? ."
"[09:20] Speaker_B | Ah yes , that's the power source . Um ."
[09:47] Speaker_A | So the battery is the in the sender .
[09:49] Speaker_B | Yes .
[09:51] Speaker_B | 'Kay and that's it for the moment .
[09:53] Speaker_D | Okay .
[10:01] Speaker_C | Right .
[10:04] Speaker_C | Thank you .
[10:08] Speaker_C | Mine's not quite as complicated as all that .
[10:20] Speaker_C | Did I press function ? Yeah .
"[10:29] Speaker_A | Is it control function ei Oh , th there you go ."
[10:31] Speaker_C | Oh .
"[10:32] Speaker_C | Um . Okay so I'm gonna talk a bit about the technical functions design . I'm Louisa , the User Interface Designer , as you know . Um so the m basic method of this is to send a signal from the remote to the television set , so that a desired function is performed . Um an example of the function could be to change the volume up or down , uh so obviously you need two different buttons for that ."
"[10:59] Speaker_C | Um to change the channel , either by pressing the number that you want or by channel up or down . Um to switch the television on or off , maybe a standby button . Um here are two example remotes . Um by the look of it they both have um kind of play and fast forward , rewind functions , so I think they incorporate a kind of video function which we won't have to worry about . Uh but as you can see , the left remote is quite um quite busy looking , quite complicated . Um whereas the right remote is much simpler , it looks much more user friendly ."
"[11:38] Speaker_C | Um so my personal preference would be the right remote . So , it's got nice big buttons , it's got a very limited number of buttons . Um they're nice , kinda clearly labelled . Um I like the use of the kind of um symbols like the triangles and the squares and the arrows as well as the words on the um kind of play functions and all that . So it's very very user friendly , and it's got a little splash of colour . Could maybe do with some more colour . Um ."
[12:07] Speaker_A | Well there's a couple of things there . Um we have to remember that we have our own um logo and colour scheme . So basically we'd have to uh we'd have to be putting that on um the the product .
"[12:56] Speaker_A | what's that ? A_P_O_G_E_E_ that might be the corporate colour scheme , although the only the only colour I can see in that is the red ."
[13:09] Speaker_C | Hmm .
"[13:10] Speaker_B | Would you be able to get rid of the the extra buttons here , the the sort of circular section , because that seems to be for a video as well . So we could dispense with that little bit as well and just get it down to just the numbers and the volume . Possibly ?"
[13:21] Speaker_C | What do you mean by the circular section ? Like all of that bottom bit ?
"[13:23] Speaker_B | J yeah yeah yeah j yeah just this little bit is that I think that's still um a video remote part , so maybe we could get rid of that as well ."
[13:27] Speaker_C | Yeah .
"[13:29] Speaker_C | Yeah . And I don't really think that you need nine numbers . I mean how often do you use seven , eight and nine ? I think just one to six and then channel up and down should be enough ."
[13:30] Speaker_A | Well b uh w
[13:39] Speaker_C | Like how often do you hit nine ?
[13:41] Speaker_D | Mm-hmm .
"[13:56] Speaker_A | But , well possibly but the the other thing is that with um the current expansion of uh channels uh in the process of taking place , certainly the button up and down , but uh I mean how many channels do we have to um actual television channels do we have to uh prepare for ? I would have thought that uh"
[14:30] Speaker_D | Mm-hmm .
[14:37] Speaker_B | Hmm .
[14:41] Speaker_C | Hmm .
"[15:02] Speaker_C | Um some remotes have kind of favourite options where if you always flick from channel one to channel six , um if that's a favourite you just like by-pass two to five ."
[15:11] Speaker_A | Mm-hmm .
"[15:13] Speaker_A | Yeah , I s I suppose in a sense you could have um if you've got a hundred channels then if you had sort of an easy way of getting rather than having to go one to a hundred , you could go one to one to ten , ten to twenty and then have a second button to get you to the actual channel you want and that would cut down your time . Anyway ."
[15:25] Speaker_C | Hmm .
[15:28] Speaker_D | Mm-hmm .
"[15:42] Speaker_B | Okay , yeah ."
[15:46] Speaker_C | Yeah .
[15:52] Speaker_C | But I suppose nine's not really excessive . I suppose it does make a good pattern .
[16:02] Speaker_A | Yeah .
"[16:04] Speaker_A | Well that's true , yeah , you could get fifty by five and a zero or whatever , that that makes sense ."
[16:04] Speaker_B | Yeah .
[16:06] Speaker_B | Yeah . 'Cause that facilitates having all the numbers you could ever need .
[16:10] Speaker_A | Yeah .
[16:11] Speaker_B | Um .
[16:12] Speaker_D | Mm-hmm .
[16:12] Speaker_A | Does .
[16:14] Speaker_C | Okay .
"[16:17] Speaker_C | Um I think that's just for a video , so we wouldn't need any of that at all ."
[16:21] Speaker_B | So we could get it down to what ?
"[16:21] Speaker_A | If it's just for T_V_ , which is what it is at the moment ."
[16:26] Speaker_C | Mm-hmm .
"[16:27] Speaker_B | So we get to How many buttons have we got ? We've just got ten , eleven twelve th We got fourteen that we need . I guess ."
[16:33] Speaker_D | Mm-hmm .
[16:34] Speaker_B | Um which isn't really too many . That'll be quite easy to make a user guide for a fourteen button remote .
[16:37] Speaker_A | Mm-hmm .
"[16:39] Speaker_A | Well we've we've got um that it's remote for T_V_ only otherwise project would become too complex with uh which would endanger the time to market was one of the considerations . I'm I don't know d did you have that information behind the marketing , or was I meant to give you that information ?"
[16:52] Speaker_B | 'Kay .
[16:54] Speaker_D | Mm-hmm .
"[16:59] Speaker_D | I'm not sure . I had I've had some market information , but not from the company , no ."
[17:02] Speaker_A | Right .
[17:08] Speaker_B | 'Kay .
"[17:16] Speaker_C | Okay , so is everyone happy with that ?"
"[17:18] Speaker_B | Ah yes yes , that seems good ."
[17:19] Speaker_D | Okay .
[17:21] Speaker_C | Right well that's the end of my presentation .
[17:24] Speaker_D | 'Kay .
[17:30] Speaker_D | I'm gonna pull this off .
[18:05] Speaker_B | I think if you just give it a second to maybe catch up .
[18:09] Speaker_D | Uh-huh .
[18:11] Speaker_D | Okay .
[18:11] Speaker_B | I'm sure we'll have by the end of today .
[18:17] Speaker_D | I'll give it another go .
"[18:36] Speaker_D | Right , we've done some research into the functional requirements that people want out of their remote control . And first off we should state that th the remote control's for controlling the T_V_"
"[18:49] Speaker_D | and um how do people use it ? We asked them sort of which buttons were useful for them . Um how d how does a remote control look and feel for them , and what improvements would would they like to remote control . And we did that by sort of giving them a questionnaire that we'd prepared and asking them to fill in the answers ."
[19:10] Speaker_D | And three quarters of them found that remote controls are ugly and that a sort of even higher proportion would spend more for a sort of s uh a fancier remote control
"[19:22] Speaker_D | And that of all the buttons on the remote control , the sort of setting buttons for sort of the picture picture and brightness and the audio settings , um they weren't used very often at all . People concentrated on the channel buttons and the volume buttons and the power buttons . Uh we also asked them about speech recognition uh for remote control . And young people were quite receptive to this , but as soon as we got sort of over about into a thirty five to forty age forty five age group and older ,"
"[20:32] Speaker_D | My personal preferences from the marketing is that we need to come up with some sort of sleek sort of good looking high high-tech A design which looks high-tech , basically . Um and that we should come up with fewer buttons than most of the controls on the market , and we should sort of concentrate on the channels and sort of power , and also volume and that sort of thing , as as Louisa said . Um we could maybe come up with a menu , a sort of a an L_C_D_ menu for other functions on the remote control . That's worth thinking about . Um and maybe we could think about speech recognition as well , because um sort of young people are"
[21:16] Speaker_D | perhaps the ones that are gonna buy buy our new product if we aim it at sort of you know sort of a high-tech design .
[21:22] Speaker_D | That that might be the market that we're we're looking for .
"[21:27] Speaker_D | And we could maybe think about using speech recogniti recognition as a way to find the remote control if it's lost in a room , rather than sort of um having it to speech recognition to change the channels . 'Cause there's a problem with that in that the television makes noise , so it could end up talking to itself and changing its channel . Okay um , and that's the end of the slide show . That's it . Cool ."
[21:44] Speaker_B | Mm .
"[21:51] Speaker_A | What was that last wee bit there ? Speech recognition , right okay . But that was only for young people that preferred it , older people didn't ."
[21:53] Speaker_D | Um about speech recognition ? Yeah .
"[21:59] Speaker_D | Youn young people pref Yeah , they s they said that they'd be interested in a remote control which offered that possibility and as you go up through the age groups , people got less and less interested in sort of a a remote control that you could talk to , so ."
[22:12] Speaker_B | No what I maybe think is um
[22:14] Speaker_B | it seems the technology would be quite advanced for that and they might end up costing more than our twelve fifty budget for
[22:19] Speaker_D | Yeah . Yeah .
[22:19] Speaker_A | Well that's right .
[22:20] Speaker_B | for the speech recognition . Um .
[22:22] Speaker_D | Yeah .
"[22:24] Speaker_B | And possibly the thing about the about the remote being lost we could have You know with your mobile phone , you lose that and you can ring it . Maybe we can have some kind of sensor which is kept somewhere where you can some kind of buzzer system between the two . So you can press a button which is always kept in one place and then it maybe buzzes to somewhere else , wherever the remote actually is ."
[22:34] Speaker_D | Yeah .
[22:37] Speaker_D | Uh-huh .
[22:38] Speaker_D | Yeah .
"[22:44] Speaker_B | That is true , yes ."
[22:46] Speaker_B | Hmm .
"[22:47] Speaker_C | There's key rings um that you kind of whistle at or clap at , I can't remember , and then they whistle back , or something like that . That'd probably be really simple , they're cheap ."
[22:51] Speaker_D | Yeah .
[22:53] Speaker_D | Yeah .
[22:53] Speaker_A | Sounds reasonable .
[22:55] Speaker_D | Mm-hmm .
[22:56] Speaker_A | Mm-hmm .
[22:58] Speaker_B | So I guess it'd be something we could like attach to the or like the same technology could be put inside the
[23:03] Speaker_B | inside the remote .
"[23:18] Speaker_A | I know . Um I was gonna say a sharp noise , you know a clapping of hand or whatever ."
[23:28] Speaker_B | Yeah .
[23:32] Speaker_B | Yeah if we if we could have it in the actual remote like everything in one one device .
[23:32] Speaker_D | Mm-hmm .
[23:35] Speaker_D | Yeah .
[23:50] Speaker_D | Yeah .
[23:55] Speaker_D | Mm-hmm .
"[23:59] Speaker_B | Perhaps , um ."
[24:01] Speaker_D | Yeah .
[24:02] Speaker_B | So that would solve the problems with the T_V_ kind of speaking to the remote and changing its own channels .
"[24:05] Speaker_A | Mm . So uh Any sugges Well , any conclusions ?"
"[24:19] Speaker_A | Well if it does then we can't . It's that simple , because we've got uh th th three um primary um uh requisites from uh"
[24:19] Speaker_B | Mm .
[24:22] Speaker_D | Yeah .
"[24:32] Speaker_A | from and email uh that was sent to me whereby we had The design logo was one , which we've already mentioned . We've got um the remote was only for the television and not for because that would make it too complex and we have to get it market quickly . And the uh third thing was that um teletext uh as far as uh the management is concerned , um is becoming dated uh due to the popularity of the internet ."
[24:47] Speaker_D | Mm-hmm .
[24:59] Speaker_D | Okay .
"[24:59] Speaker_A | So that means that uh so these are the sort of three um extra parameters that have been put on this uh project . So we're being focused effectively directly at a television and it seems to me that the management is uh wanting us to go down a narrow path and not opening out . So anything that uh is to be added , such as voice recognition et cetera has to be very simple and has to be very quick because time to market is is critical . S"
[24:59] Speaker_B | 'Kay .
[25:10] Speaker_D | Mm-hmm .
[25:15] Speaker_B | Yes .
[25:37] Speaker_D | Mm-hmm .
[25:42] Speaker_A | It would . But probably quick and simple is primary rather than
[25:49] Speaker_B | 'Kay .
"[25:50] Speaker_A | added extras . Added extras would be nice , but the primary consideration is to get the project finished within uh this short time window , which effectively now is sort of four hours . So and if and we've gotta get to the end . Uh d d I think I think first and foremost we've gotta get to the end and then get to the end with um added extras if possible ."
[25:59] Speaker_D | Mm-hmm .
[26:13] Speaker_B | Mm-hmm .
[26:13] Speaker_D | Mm-hmm .
[26:26] Speaker_A | Right . So I don't know how long we have left of our uh time . But we have to make the decisions on uh the remote control functions
[26:33] Speaker_D | About five minutes .
[26:40] Speaker_A | and how we were planning to proceed so that at the next uh meeting
"[26:47] Speaker_A | each person that's got a a a task to do is clear from this meeting what that task is . We'll also know w when the next meeting is I um so we'll know how long we've got to complete that task . And then we can report back at the next meeting and say right okay yes , we've achieved this or we haven't achieved this , this is how far we've progressed . Does that make reasonable sense ? So we have to come effectively to the decision on the remote functions so that you can decide what you're gonna be doing ."
[26:50] Speaker_B | Yes .
[26:53] Speaker_D | Mm-hmm .
[27:10] Speaker_D | Mm-hmm .
[27:13] Speaker_B | Yes that seems right .
"[27:13] Speaker_D | Okay , yeah ."
[27:13] Speaker_C | Yeah .
"[27:23] Speaker_A | And if dur between the time of this meeting finishing and the next meeting starting , if you get any additional information that uh only you have at that point in time you'd think would be relevant to other people in terms of their des decision making um process , then we should communicate that as quickly as possible and not wait until the next meeting ."
[27:34] Speaker_B | Mm-hmm .
[27:43] Speaker_D | Mm-hmm .
"[27:46] Speaker_A | Do it via the email so that rather than coming you know If you get the information just before the next meeting that's fine . Come along with it in the next meeting , we can discuss it then and take whatever action is appropriate . But if you get it well before the next meeting , let everybody else know 'cause that might have an impact on their uh on what they come up with effectively at the next meeting . Okay ."
[27:46] Speaker_D | Okay . Yep .
[27:56] Speaker_B | Okay .
[28:04] Speaker_D | Yeah .
[28:10] Speaker_D | Mm-hmm .
[28:13] Speaker_D | So do we need to decide on the functions now ? S
[28:16] Speaker_A | I would guess so .
[28:20] Speaker_C | Well I think it'd be really easy and it'd be a big advantage if we did have some sort of um kind of whistle back kind of function . 'Cause that'll solve kind of the frustration of losing it .
[28:26] Speaker_D | Mm-hmm .
"[28:31] Speaker_D | Yeah and that was that was the number one sort of frustration that people said , so ."
[28:33] Speaker_A | Yep .
"[28:36] Speaker_D | I don't think there's anything else on the market that does that , so ."
[28:38] Speaker_C | Yeah .
[28:40] Speaker_C | I don't really know about the voice recognition thing .
[28:45] Speaker_A | I w well uh i
"[28:50] Speaker_A | Something simple . Uh if if our primary consideration is to get it there in time , time's short , you want something to meet the major concerns of the consumer so that we can have that as a selling point for the product , something that's quick and simple . So , sounds good ."
[28:59] Speaker_C | Mm-hmm .
[29:01] Speaker_D | Mm-hmm .
"[29:06] Speaker_C | Yeah . And that wouldn't put off the kind of older generation either , 'cause everyone can whistle or clap , and they wouldn't have to be kind of scared of this new technology ."
"[29:13] Speaker_A | Well , so maybe a clap rather than a whistle would be On the basis that if we've got if we're catering to the whole age range , you want something that's easy to do , now something that doesn't like whis uh Well I I I don't know . Well If you think that more people can whistle than clap then that's fine , then go for that option , but if I would have thought that more people could clap rather than whistle , so uh so clap option ."
[29:14] Speaker_D | Mm-hmm .
"[29:33] Speaker_D | No , clapping , I think clapping , yeah . Yeah ."
"[29:34] Speaker_B | I'd go more Yeah , f more for clap ."
[29:39] Speaker_D | Yeah .
[29:49] Speaker_A | Okay .
"[29:50] Speaker_C | 'Kay we've already decided that we don't need a teletext button , haven't we ?"
"[29:54] Speaker_A | Uh . Ef effectively that's what the that's what they're saying , that uh if uh if people are now using the internet then you don't need teletext , so so take out teletext ."
[29:58] Speaker_C | Hmm .
[30:04] Speaker_B | Did we decide on having the ten um the ten numbers and then the the little digit next to it which kind of enabled you to put them together .
[30:04] Speaker_C | Right .
"[30:09] Speaker_C | Yeah , I think so , so zero to nine ."
[30:12] Speaker_D | Mm .
"[30:13] Speaker_D | I think nowadays you can just get ones where it gives you a sort of a second or two to press another number , so you can press any two and it'll sort of put them together ."
[30:19] Speaker_A | Yeah .
[30:26] Speaker_D | Yeah .
[30:27] Speaker_B | I'll put delay to allow um multiple numbers .
[30:29] Speaker_D | Yeah .
[30:32] Speaker_B | Or multiple digits .
[30:34] Speaker_D | Yeah .
