[00:45] Speaker_A | Okay .
[00:50] Speaker_D | Hm .
[00:50] Speaker_A | Thanks for coming to this meeting . S how we doing on our remote ? We have some we have some ideas and some uh
[01:00] Speaker_A | ideas for what people want .
[01:03] Speaker_C | Uh we yes s I've lo I've done the role that I was asked to do anyway . I think .
"[01:08] Speaker_A | Yeah . Alright let's just go over the agenda real quick for this meeting . See if I can't get things uh moving along here a little bit better . Um I'll go over what we went over last time , which shouldn't take long ."
"[01:23] Speaker_A | Then I believe each of you have a presentation . Um I've was sent a a couple more requirements for our remote , what they want . Um then we can come to a conclusion on uh what we want the remote to do , um and how it's going to do it hopefully ."
"[01:44] Speaker_A | And uh then we'll have the closing . Um which we'll have forty minutes for . Uh let's see , the last meeting we went over um"
"[02:24] Speaker_A | And Manuel is the Industrial Designer . So you're gonna come up with the ideas Ryan , and you're gonna pick 'em apart . Um we decided our remote , uh we want it to be a universal remote uh that everyone would want ."
"[02:44] Speaker_A | Um we want to be modern , um fun , different . Uh it needs to be sturdy , um easy to find , so we gonna have that locator function . Um and we want to be different ."
[03:05] Speaker_A | Um and then we went over a couple of different ideas . Ball-shaped phone . The keyboard shape . Um we decided that it should probably be one-handed . Something we could use with one hand . Um and that was our last meeting .
[03:22] Speaker_A | So um why don't um Do each of you have a presentation ?
[03:29] Speaker_D | Yep .
[03:35] Speaker_A | Does anyone do you wanna go first ? So we can maybe see what uh what the people want .
[03:38] Speaker_D | Sure .
[03:49] Speaker_D | What was it ? Function ?
[03:51] Speaker_B | Eight . F_ eight .
[03:51] Speaker_D | F_ eight ?
[04:14] Speaker_D | Well .
[04:23] Speaker_C | Slide show .
[04:24] Speaker_A | To go to the next one ? Yeah you click on that guy . Yeah .
[04:24] Speaker_D | Oh right right right .
[04:27] Speaker_D | That one ? Okay .
"[04:30] Speaker_D | Alright . Well , this is my report , which is going to be based pretty much on a survey that I was sent . Oh gosh , I've no idea . G"
[04:47] Speaker_C | Just press the arrow keys I think . Usually goes to it .
[04:49] Speaker_D | Okay . Sorry I actually need
[04:52] Speaker_D | to see something else on my screen .
[04:59] Speaker_A | Hit F_ eight again .
[05:00] Speaker_D | Yeah .
[05:01] Speaker_A | I think .
[05:02] Speaker_D | And then ? Again ?
[05:04] Speaker_A | Yeah .
"[05:07] Speaker_A | You want it to be on both screens , or just just yours ?"
[05:08] Speaker_D | No I want something else on mine .
[05:12] Speaker_D | Is that possible ?
[05:13] Speaker_A | Yeah but I think you have to hit escape .
[05:22] Speaker_A | Yeah .
[05:22] Speaker_D | Okay but now you don't have that .
[05:23] Speaker_A | Oh hit F_ eight again .
[05:29] Speaker_A | And then it should come up
[05:32] Speaker_A | here shortly .
[05:34] Speaker_A | 'Kay .
[05:44] Speaker_D | So is there no way I can give you the slideshow and
[05:46] Speaker_A | I think oh give us the slideshow and something on your screen ? Mm . I'm not sure . You could maybe minimise that screen and then
[05:48] Speaker_D | have something yeah . Yeah . Oh well .
[05:56] Speaker_D | Yeah .
[05:56] Speaker_A | have them both up at the same time I think .
"[05:57] Speaker_D | It's okay . Okay . Um so first of all , the method that I used was by doing some marketing research , by um doing research on some interviews that were conducted . And then some internet research ."
"[06:13] Speaker_D | And I was sent a report that was I think there were a hundred remote users that they interviewed . And so I will show you some of the results from that , which I think will be helpful . Um okay here are some of the findings . They said that the users dislike the look and feel of their current remote controls . And seventy five percent of the users find their remote controls to be ugly . Which is a fairly significant number I would say ."
