[03:20] Speaker_C | Okay .
"[03:22] Speaker_B | So I see all everybody's here , 'kay ."
[03:24] Speaker_D | Yep .
[03:25] Speaker_A | Mm-hmm .
[03:26] Speaker_B | And we can start meeting .
[03:28] Speaker_C | Okay .
[03:30] Speaker_A | What's the agenda for this meeting ?
[03:31] Speaker_B | The I will uh
[03:34] Speaker_B | present here agenda with with with with slides
[03:36] Speaker_A | Okay .
[03:38] Speaker_B | to you . Um
[03:41] Speaker_B | as you can see here .
[03:43] Speaker_D | Perfect .
[03:45] Speaker_B | So first uh just to mention I will
[03:52] Speaker_B | take notes uh of this meeting and uh I will try to work them out and give them to you . I've also made notes of the previous meeting and um I was about to send them you but then uh I had to go to this uh meeting so you will get them too uh
[03:53] Speaker_A | Mm-hmm .
[04:08] Speaker_C | Next .
[04:09] Speaker_A | Mm-hmm .
[04:10] Speaker_B | Um .
[04:12] Speaker_D | So y you are the secretary also . Right ? Okay .
[04:15] Speaker_B | Yes . Indeed .
[04:18] Speaker_B | Um .
"[04:21] Speaker_B | Then I hope you all have uh worked out some some uh some some presentations about uh about well you the the task given to you in the previous meeting . Um . W We will uh in a minute we will uh start with them . Um , we will see in which order we will handle them of . Um then I will uh bring in some some some new requirements I I got uh from the uh account manager , I try to work them out , they were quite abstract , and we can have maybe have com some discussion about it . Uh Um about the functions and Well in this meeting we should really try to reach a decision about the target group"
[04:26] Speaker_D | Perfectly yeah yeah of course uh-huh .
[05:02] Speaker_A | Mm-hmm .
[05:16] Speaker_A | Mm .
[05:19] Speaker_D | You mean the social target group who we wants to target ?
"[05:20] Speaker_B | Yes I mean well yes w who are we going to uh to well to sell this , the customers , indeed yes ."
[05:25] Speaker_A | Mm .
"[05:25] Speaker_D | Oh the customers , okay ."
[05:26] Speaker_A | Yeah .
[05:29] Speaker_B | Think that's that's important matter .
[05:30] Speaker_A | That's the big question yeah .
[05:33] Speaker_B | Uh . So And then uh we will close this meeting uh and after this meeting we'll uh we'll have a lunch . Good .
[05:46] Speaker_B | Um .
[05:49] Speaker_B | Maybe um
[05:52] Speaker_B | why uh Anna can you c do you have a presentations ? You don't have presentation ?
"[05:55] Speaker_A | No , I don't . I wasn't ."
[05:58] Speaker_A | No .
[05:59] Speaker_B | Uh you want a table to to uh
[06:01] Speaker_A | I c I can talk about it but I have no slides or anything .
[06:02] Speaker_B | Yes yes maybe maybe you can uh can just talk about it or maybe you can use the whiteboard if necessary um .
"[06:07] Speaker_A | Mm-hmm . Well I've just been um presented with some research we've done in a small focus group so , a hundred people , just asked them about their remote control usage habits and what they want in a remote control . Um ."
