[00:32] Speaker_C | Mm-hmm .
[00:33] Speaker_A | So we are here for the concept design meeting .
"[00:38] Speaker_A | So , we will first start by summarizing the mm the previous meeting and the decision we've taken ."
[00:48] Speaker_A | Uh I will take notes during this meeting so uh that you can uh look at my uh folder to see the summary of this meeting afterwards .
[00:59] Speaker_A | So each of you will uh show us the various investigation they've done during uh previous uh hours .
"[01:12] Speaker_A | We'll then t take decision in concert and then uh uh we will uh define the nest next task , to have to be done before the next meeting ."
"[01:25] Speaker_A | So , last time we decided to have a simple interface ."
[01:31] Speaker_A | We also decided to have a wheel to change channel previous channel button . Channel digit uh buttons should be uh protected by plastic cover or something for the remote control to look very simple .
"[01:48] Speaker_A | We have also button for volume , and to switch on off the T_V_ ."
"[01:55] Speaker_A | We have also uh the lightening feature for the remote control to be easy to find , and for fast development and low cost we have decided to have no L_C_D_ no voice features ."
"[02:11] Speaker_A | So now uh we will have three presentations . So the conceptual specification by Industrial Designer , the specification of the U_I_ by or U_I_ okay . And uh the last point is uh trend watching by Market Expert ."
[02:25] Speaker_C | Abdul al-Hasred is my name .
[02:37] Speaker_A | So maybe we can start with uh industrial design .
[02:44] Speaker_A | So this is the presentation .
"[02:47] Speaker_B | Uh , I_D_ you want ?"
[02:52] Speaker_A | Maybe I can switch slide uh on your request .
[02:54] Speaker_B | Yeah .
[03:00] Speaker_B | um just this .
"[03:03] Speaker_B | On some web pages to find some documentation and I think a remote control is , as I s mentioned previously ,"
[03:05] Speaker_A | Yeah .
[03:11] Speaker_B | you just have a a very simple chip and the mm the user interface is just done usually by push button
[03:19] Speaker_B | and in our case we are using a um a wheel control .
"[03:24] Speaker_B | So uh uh I was looking basically for that chip , which is uh very very standard , and uh I just looked for the wheel sensor and the standard push button ."
"[03:36] Speaker_B | And um yeah we can change directly . In fact I have the number of that element which is very standard for remote control . The push button are usually extremely cheap , but I just have one problem and this is related with the wheel sensor , which seems to be quite expensive ."
[03:41] Speaker_A | Yeah .
[03:58] Speaker_A | Okay .
[03:58] Speaker_C | Mm-hmm .
[03:59] Speaker_B | And I think we if we could just talk about that if we really need a wheel sensor or if we can not if if we could combine something with the push button .
[04:10] Speaker_A | Okay .
[04:11] Speaker_B | Uh a wheel sensor is fifty time the price of a a a push button .
[04:11] Speaker_C | Yeah .
[04:17] Speaker_A | But is it a significant price on the whole remote control ? Because we can afford up to twelve Euros for the price of the remote control .
[04:17] Speaker_C | Mm .
[04:23] Speaker_B | Yeah .
"[04:29] Speaker_A | So will will will this with uh including all possible things , so buttons , wheel and the chip , be uh lower than twelve Euros to produce ?"
[04:46] Speaker_C | Yeah .
[04:48] Speaker_C | Also have to say Did you receive the email about the voice recognition ?
[04:55] Speaker_B | Um that's all yeah . I haven't chec
[04:58] Speaker_C | No ?
[05:00] Speaker_C | Yeah . You we uh an email from the manufacturing division that they have basically a voice recognition chip already developed .
[05:08] Speaker_A | Hmm .
[05:19] Speaker_A | And could it be adapted ?
[05:21] Speaker_C | I guess it's possible . I mean instead of recording the answers you can just uh record uh something simpler like a command .
[05:28] Speaker_A | Okay and there can uh recognize some commands and stuff ?
"[05:30] Speaker_C | Yeah you reco recognize commands and you can record new commands and stuff , so if they already have it as uh as a chip"
[05:34] Speaker_A | Okay .
[05:37] Speaker_A | Yeah .
[05:37] Speaker_C | then we we could use it .
[05:38] Speaker_A | Okay maybe we can just uh listen to this presentation and then take decision later on according to those news .
[05:44] Speaker_C | Okay .
"[05:44] Speaker_B | Mm-hmm . Yeah but I think it's yeah Sorry , I haven't written my personal references . Um the I I just want to mention the the problem of the the r"
"[05:58] Speaker_B | wheels sensor which is much more expensive than any push button , and if we could reduce that ."
[06:02] Speaker_A | Okay .
[06:05] Speaker_B | We we have already some good things uh with um um with the backlight of the push button .
[06:05] Speaker_C | Mm-hmm .
"[06:15] Speaker_C | I have a question about that actually . Um , what is the purpose of the light ?"
[06:27] Speaker_A | You can easily find the button in the dark or so ?
"[06:33] Speaker_C | Yeah but is going to be always turned on , the light ?"
"[06:37] Speaker_A | It will be turned on when the when the user move the remote control I think , no ?"
"[06:43] Speaker_C | But if you move it then you have it , you don't need to find it ."
[06:45] Speaker_A | Hmm .
"[06:47] Speaker_C | You can see the buttons better , of course . Yeah ."
[06:49] Speaker_A | Yeah . Yeah .
[06:52] Speaker_A | Yeah . True .
[06:54] Speaker_B | Yeah . Actually .
[06:54] Speaker_C | But if you move it then you have to have some sensor to when you move it to detect your movement .
[07:02] Speaker_B | As soon as you thought to move the the remote control you have the light .
"[07:06] Speaker_C | Yeah , but you need another sensor for that , right ?"
[07:09] Speaker_B | Yeah . Again .
[07:10] Speaker_C | Yeah no it's too expensive .
[07:19] Speaker_C | Okay .
[07:21] Speaker_C | Mm .
"[07:24] Speaker_C | Extra . Yeah , okay ."
[07:27] Speaker_C | Mm .
"[07:29] Speaker_C | Yeah , but I expected also the wheel would be cheap but you tell me that it is very expensive so , yeah ."
[07:41] Speaker_C | Mm .
[07:44] Speaker_C | Mm-hmm .
"[07:46] Speaker_A | But it can be uh battery consuming , no ?"
[07:51] Speaker_A | To have the light always on ?
"[07:51] Speaker_B | Yeah , a little bit ."
[07:54] Speaker_B | A little bit .
[07:54] Speaker_C | Mm .
[07:55] Speaker_A | Well we will discuss that after maybe
[07:58] Speaker_B | Yeah .
"[07:58] Speaker_C | Okay . So uh my one , it uh should be in the shared folder ."
[07:59] Speaker_A | the other presentations .
[08:04] Speaker_A | Yeah .
[08:04] Speaker_C | So .
[08:06] Speaker_C | It was last time I saw it .
[08:10] Speaker_A | And it is .
[08:16] Speaker_C | Okay .
"[08:21] Speaker_C | So , just move to the next slide ."
[08:22] Speaker_A | Okay .
[08:32] Speaker_A | Yeah . Yeah .
"[08:34] Speaker_C | So I just look at some current designs uh on the web , of usually more complicated remote controls . And let's look at two of them because uh th even though they have many buttons they look quite simple . And in our case we just uh reject the buttons what we don't need and it become even simpler ."
[08:50] Speaker_A | Yeah .
[08:52] Speaker_C | Um . So .
[08:53] Speaker_A | And also does it uh fit well in hand ? Because it was uh th your wrist problem with the usage .
"[08:57] Speaker_C | Yeah . Well this these uh these remotes are quite big , so go to the next page , so ."
"[09:05] Speaker_C | We have all these buttons as you can see , but most of them , we just need the ones in the middle ."
[09:06] Speaker_A | Yeah .
[09:09] Speaker_B | Yeah .
[09:09] Speaker_A | Yeah .
"[09:10] Speaker_C | So , from the bottom or whatever is there , uh the uh the numbers and then the top , uh until the ten also , this middle part , and on the left one is exactly the same . So it's basically more or less how we would like it , with a big volume control , big channel control , and mute and power , yeah ? These are the basic thing ."
[09:13] Speaker_A | Yeah .
[09:18] Speaker_A | Yeah .
[09:26] Speaker_A | Yeah . So it's only the central part .
"[09:29] Speaker_C | So basically , w software we will build will look more or less the same as these two ."
[09:34] Speaker_A | Yeah . With a maybe a more ergonomic design on on the bottom part .
"[09:39] Speaker_C | Yeah , if you have , for example I think that the volume and the buttons that are there on the top are not very easy to reach with your thumb . It could be on the right side , for example . Yeah . Because we don't have these input buttons and this other stuff that they have ."
[09:45] Speaker_A | Yeah .
[09:47] Speaker_A | Okay .
[09:52] Speaker_C | And I think that the plastic cover is not very good uh idea because
[09:55] Speaker_A | Okay .
"[09:57] Speaker_C | you open it , it can break , you ca you can do various things . Uh you just need to put the channel numbers somewhere a bit out of the way ."
[10:01] Speaker_A | Okay . S
[10:07] Speaker_A | Okay . Will be down or Okay .
