[00:05] Speaker_A | Okay .
[00:26] Speaker_C | It is the essence of bananas .
[00:33] Speaker_C | I would be confused with this thing .
[00:46] Speaker_A | Mm .
[00:47] Speaker_A | Okay . Hi . So we are here for the detailed design meeting .
[00:48] Speaker_C | How is everyone ?
[00:53] Speaker_B | Hi .
[00:59] Speaker_C | Mm-hmm .
[01:10] Speaker_A | uh I've I will also take notes during this meeting and I will send you uh a summary then as usual . We will then look at the evaluation criteria of the prototype presented by uh our two colleagues that make good work . And uh then we will see the financial aspects and the cost of the product . Then we will uh evaluate the product .
[01:42] Speaker_A | And uh end
[01:46] Speaker_A | with the conclusion of this project and see whether it fits
[01:51] Speaker_A | with it fulf if it fulfil the requirement or not .
[01:55] Speaker_B | Mm-hmm .
"[01:56] Speaker_A | So d let's start with the cost aspect so so I look at the aspect discussed last time , that is to say uh to have a standard battery , to have a yellow banana shaped uh case with uh a rubber material around it to be uh to feel spongy ,"
[02:18] Speaker_C | Like a banana .
[02:26] Speaker_B | Mm-hmm .
[02:39] Speaker_B | Mm-hmm .
"[02:39] Speaker_A | So for the financial aspect it's okay , we can uh we can continue with this product uh as if , and we are now going to see the project evaluation with uh our marketing expert ."
[03:00] Speaker_A | Yeah .
[03:02] Speaker_A | You have a presentation ?
"[03:07] Speaker_A | Participant four , yes ."
[03:11] Speaker_D | Evaluation .
[03:12] Speaker_A | Okay .
[03:16] Speaker_A | Okay .
[03:16] Speaker_D | Okay . So you can go . We can go through .
[03:21] Speaker_A | Okay .
[03:22] Speaker_D | So I made an evaluation and the the evaluation criteria is made according to the users' requirements and the market trends we talked about uh during the previous uh meetings . So you can go through and okay so uh we have uh six points . We
[03:39] Speaker_A | Okay .
"[03:46] Speaker_D | we talked about before . So we we want to have a product fancy look and feel , technologically innovative , easy to use , fashion , easy to find in a room , and robust , uh and uh uh I have a scale of uh seven points . Okay . So I go through all the uh all the points here , and uh according to what you think about the this project you can uh mm make a one point , two point or seven point . Okay ? And after we ha we have an an average , and uh we see ."
[03:48] Speaker_A | Okay .
[03:57] Speaker_B | Mm-hmm .
[03:57] Speaker_A | Yeah .
[04:03] Speaker_A | Yeah .
[04:08] Speaker_A | Yeah .
[04:18] Speaker_A | Okay .
[04:22] Speaker_A | Okay .
[04:22] Speaker_B | Mm-hmm .
"[04:22] Speaker_D | The okay ? Uh so uh fancy look and feel , what do you think ? F between o one and seven ."
[04:27] Speaker_A | Okay . Maybe you can presen okay . Maybe hold it . So I think it's uh very uh very nice . What do you think ?
[04:40] Speaker_C | I give it a I give it a five .
[04:43] Speaker_A | Yeah .
[04:44] Speaker_A | So it's between one and seven ? Seven is the highest uh ? I will give a six .
[04:46] Speaker_D | Yeah .
[04:51] Speaker_B | I will give a a five .
"[05:13] Speaker_C | Well , we can very easily ."
[05:15] Speaker_D | Mm-hmm .
[05:15] Speaker_A | Yeah .
[05:20] Speaker_D | Uh I think uh and need to as well .
[05:28] Speaker_D | Need to uh I don't know if you we ha we have to put uh one uh f
[05:44] Speaker_A | One is most .
[05:45] Speaker_D | Uh-uh .
[05:49] Speaker_D | Um .
"[05:49] Speaker_A | Well , we can choose what we want . Okay , let's say that seven is the best ."
[05:51] Speaker_D | Yeah . Or maybe we can say s seven is the best mm .
[05:56] Speaker_A | Okay .
"[05:57] Speaker_A | So so do note the grade we have five , six for me , five . And what what's your choice ? How much would you give on the fancy aspect , on the fashionable aspect ?"
[06:05] Speaker_B | Five .
[06:12] Speaker_D | Uh s you can how much what ?
[06:15] Speaker_A | How much would you you don't answer to this uh questionnaire ?
[06:22] Speaker_C | So it will have five point five average .
[06:23] Speaker_A | Five point five average .
[06:25] Speaker_D | Yeah . Wa can . Okay . I sorry .
[06:26] Speaker_C | Mm .
[06:26] Speaker_A | Okay .
"[06:39] Speaker_D | Okay . So after , the technological aspect ?"
"[06:44] Speaker_A | Okay , techne technological aspect ."
[06:46] Speaker_D | So we we said uh we have uh a new technological uh thing with a wheel .
"[06:54] Speaker_A | Yeah , we have the wheel . We also have the rubber material ,"
[06:55] Speaker_D | Uh .
[06:59] Speaker_A | which make it uh
[07:04] Speaker_A | new also . I think I would give a five .
[07:08] Speaker_C | It's four .
[07:09] Speaker_A | Four ?
[07:11] Speaker_C | Yeah .
[07:16] Speaker_A | Okay .
[07:16] Speaker_C | D are we including the voice are you glu are we including the voice in the end or not ? Huh ? No . Okay .
[07:20] Speaker_A | No .
"[07:23] Speaker_A | So what's your uh grade ? Four ? So we have four , four f and five ?"
[07:24] Speaker_D | No .
[07:26] Speaker_D | Four .
[07:30] Speaker_D | We can put four ? Everyone is okay or four poin
[07:30] Speaker_C | Yeah . For twenty five .
"[07:31] Speaker_A | Yeah , four ."
"[07:33] Speaker_A | Four , yeah , let's put four ."
[07:34] Speaker_D | Four .
[07:35] Speaker_C | Yeah .
[07:37] Speaker_D | Okay .
[07:41] Speaker_D | Very easy to use . Do you think it's easy to use ?
[07:45] Speaker_B | Yeah .
"[07:45] Speaker_A | Yeah , I think so . Yeah . I would give a I would give a seven as well . It's very easy to use ."
"[07:45] Speaker_C | I give a seven , I think ."
[07:47] Speaker_B | Six .
"[07:55] Speaker_D | Mm , six for me also ."
[07:56] Speaker_B | Six .
[07:58] Speaker_C | 'Kay .
[07:58] Speaker_A | So six point five .
[07:58] Speaker_D | Six point five . Okay .
[07:59] Speaker_B | Six six six point five .
[08:01] Speaker_A | Okay .
"[08:05] Speaker_A | Oh yeah , its its f its fruit fruit shape . I would say seven . And is very very nice design ."
"[08:11] Speaker_D | Yeah it's fashion , because it's a fruit , and we say that the yeah , seven ."
"[08:13] Speaker_C | Yeah , we can we can put a seven here . Yeah ."
"[08:15] Speaker_B | Yeah , seven ."
[08:16] Speaker_C | Yeah .
"[08:16] Speaker_A | Yeah . Seven , okay ."
"[08:17] Speaker_C | Well , we hope ."
[08:26] Speaker_A | I think you can't miss it .
[08:29] Speaker_D | Yeah ?
[08:29] Speaker_A | Okay .
[08:29] Speaker_B | Uh .
