[00:06] Speaker_A | Afternoon guys .
[00:11] Speaker_A | It's gonna be .
[00:13] Speaker_D | Rock and roll .
[00:22] Speaker_A | 'Kay .
[00:23] Speaker_D | So do we need to re-train Mike on how to put his mic on ?
[00:26] Speaker_A | We may do .
[00:26] Speaker_C | Think s
"[00:27] Speaker_D | Okay , can he get it all by himself this time ?"
"[00:29] Speaker_A | I dunno , I'm feeling like a big boy ."
[00:29] Speaker_C | Mm . Pro
"[00:32] Speaker_C | Probably not , 'cause he's"
[00:38] Speaker_C | 'S been listening to too much . He's getting retarded . Yay .
[00:40] Speaker_D | I believe I can fly .
[00:42] Speaker_B | Alright well we got some exciting stuff for you guys .
[00:45] Speaker_C | Or not .
[00:47] Speaker_C | Yeah .
[00:48] Speaker_D | Just what I needed was something exciting .
"[00:52] Speaker_D | Remember , I'm an old man ."
"[00:55] Speaker_A | 'Kay , ready to go ? 'Kay so we've got our conceptual design meeting . Hopefully we've all got exciting ideas now . Uh k exciting ideas . 'Kay so here's our agenda our agenda . Um"
[00:57] Speaker_B | All ready .
[00:58] Speaker_C | Apparently I'm old as well .
"[01:01] Speaker_D | Thirty's really young , eh ?"
"[01:11] Speaker_A | I'm gonna open . I'm gonna talk for a bit about what we're gonna do . I'm gonna take some notes . We're gonna all do a presentation , and then hopefully we're gonna make some decisions now ."
[01:24] Speaker_B | Alright .
[01:28] Speaker_A | I'm gonna let you guys talk before we make decisions .
[01:32] Speaker_A | And does anyone really want to go first ?
[01:35] Speaker_B | I guess I'll go first .
[01:36] Speaker_A | You p two ?
[01:37] Speaker_B | Yeah .
"[01:39] Speaker_B | Component , I think . Yeah ."
[01:41] Speaker_A | Components design .
[01:43] Speaker_B | Yep that's it .
[01:44] Speaker_C | Presented by name .
[01:47] Speaker_B | My name is .
[01:48] Speaker_D | Jose he man is .
[01:50] Speaker_B | My name is name .
[01:51] Speaker_A | Huh hi name .
[01:58] Speaker_D | N name .
"[02:30] Speaker_B | Well so you've got here's here's a transistor , and this amplifies your signal , um you've got the L_E_D_ here on the end of the uh uh on the end of the printed circuit board . Um you've got a couple diodes here for I don't know who and whatnot ."
