[00:03] Speaker_A | Uh 'kay .
[00:10] Speaker_D | So so so .
[00:11] Speaker_B | Put on your mic .
[00:17] Speaker_B | Boss .
[00:18] Speaker_A | Yep .
[00:23] Speaker_D | Maybe . Maybe maybe maybe .
"[00:25] Speaker_A | Okay so we're here to talk about the detailed design of the product , 'kay ?"
[00:31] Speaker_B | Yep .
"[00:33] Speaker_A | And here's the agenda for this meeting . Uh I'm just gonna open , say a few boring words to start with again , and start taking minutes afterwards . You guys are gonna give us a presentation of our wonder product that I can see some demonstrations of over there . Looks cool ."
[01:10] Speaker_B | Alright .
[01:19] Speaker_C | Thi third third third .
"[01:20] Speaker_B | Three , three ."
[01:22] Speaker_C | The end product thingy .
[01:26] Speaker_C | Yeah .
[01:28] Speaker_A | Who wants it ?
[01:31] Speaker_B | Pedro can have it .
[01:36] Speaker_B | I like I'll help talk .
"[01:43] Speaker_C | Production costs estimated by our manufacturing department and um the research department , which is us , is uh fifteen point eight Euros , someone forgot the units there yeah , uh unit price unit production price cost thing . Um"
[01:53] Speaker_B | Unit price .
"[02:00] Speaker_C | we implemented the basic functions , which is just T_V_ functions plus the locator , which was one of the marketing things , cradle , scroll wheel for uh the the channels , and uh we implemented the f the the way of putting the new and revolutionary zapping , your favourite channels functionality , in the scroll ."
"[02:25] Speaker_A | Zapping your favourite channels , eh ?"
[02:27] Speaker_C | Yeah .
[02:28] Speaker_B | Scrolling through your favourites list .
[02:29] Speaker_A | Oh okay okay .
[02:30] Speaker_C | Zapping you know zapping .
"[02:31] Speaker_A | Ah 'kay okay , that's favourites ."
[02:32] Speaker_C | Maybe it's just a Portuguese thing . And um yeah that was the result .
[02:38] Speaker_A | Ah 'kay . I like the the the the logo on there as well .
[02:43] Speaker_B | It's very prominent .
"[02:48] Speaker_B | So here I'll give you the so this is the cradle unit , and this is the actual remote itself . Um so the scroll bar is or the scroll wheel is this this green little scrolly guy here , um and then the volume controls are here and here . Uh you've got the keypad which is the numbers uh f from zero to nine and then ten . This is the power button . Uh we have our um we have the enter button and uh what was the other button here ?"
[03:05] Speaker_A | Okay .
[03:21] Speaker_B | This is the teletext .
[03:21] Speaker_C | Start s the the start uh to to to programme yeah .
"[03:26] Speaker_A | Ah , okay I see ."
[03:43] Speaker_A | It's pretty cool .
[03:52] Speaker_A | Is that could that be easy to for the scroll wheel to be rotated if it lands on it ?
[03:57] Speaker_B | Yeah that might be a possible
"[04:00] Speaker_B | a mi uh possible problem , but if you drop it yeah ."
[04:03] Speaker_C | Not helping .
[04:06] Speaker_A | Oh well I guess it depends on the stiffness a little of it .
"[04:09] Speaker_B | Yeah and it depends on if it's sliding , but I think it's pretty ergonomic . You can feel it ."
[04:14] Speaker_A | Mm . Feels good . I take it that this is gonna be slightly lighter in the final design as well .
[04:19] Speaker_B | Yeah of course . Well this is clay .
[04:29] Speaker_A | Ah yeah that wouldn't make sense .
[04:33] Speaker_A | It's cool . I'm impressed .
[04:35] Speaker_C | Don't have no one to handle that .
"[04:37] Speaker_D | Mm that's oh that's oh I like it . I mean you guys gave me more than I was asking for , so I'm happy because we've got some really marketable features in this ."
[04:37] Speaker_A | And hold it so wh what's the marketing perspective ?
[04:50] Speaker_D | Yeah I think it's good . Good good good job .
[04:54] Speaker_B | Mm Pedro can demonstrate the the paging ability .
[04:56] Speaker_C | Yeah .
[04:57] Speaker_C | So you ha you have like the the base station with um the little button for the where's my remote .
[05:03] Speaker_B | Beep beep beep .
[05:06] Speaker_C | The locator function .
[05:07] Speaker_D | I'm ha
[05:08] Speaker_D | It's great . That's great . It's a great feature .
[05:11] Speaker_B | Um beep beep beep so beep beep beep beep beep beep be shut up . Beep beep beep okay . Um no no no tha that's alri
[05:18] Speaker_A | I see . That's pretty cool . Hang on .
[05:38] Speaker_A | Ah okay okay .
[05:52] Speaker_A | Yeah it's the right shape isn't it ?
"[06:01] Speaker_A | But maybe if you had a trigger plus the scroll then that would get past the the problem of it landing and scrolling , 'cause then it would need to be hit on both sides ."
[06:03] Speaker_B | Mm .
[06:06] Speaker_B | Right .
[06:11] Speaker_A | Okay .
"[06:12] Speaker_D | Uh , I can see that ."
"[06:13] Speaker_A | But it's definitely got options for like different types of models and things as well based on that , hasn't it ?"
[06:16] Speaker_B | Mm-hmm .
[06:19] Speaker_D | Yep I like . Good job .
[06:22] Speaker_A | So is that the the final colour scheme as well or ?
[06:24] Speaker_B | Oh no this is just what we had to work with at the time .
[06:27] Speaker_A | Okay .
[06:28] Speaker_B | So we'll leave the colour scheme up to the marketing people .
[06:31] Speaker_A | The hmm .
[06:36] Speaker_B | Careful .
[06:44] Speaker_A | I don't think the user interface guy wants to touch it anymore .
[06:46] Speaker_D | My my s my suggestion is we're gonna go go to the silvers and blacks like most of the televisions .
[06:51] Speaker_A | Mm .
[06:52] Speaker_D | You know some blend of silvers and blacks .
[07:03] Speaker_A | 'Kay so are we done with the this presentation ?
[07:07] Speaker_B | Yeah .
