[00:50] Speaker_D | Mm-hmm .
[00:56] Speaker_B | Mm-hmm .
"[01:14] Speaker_D | No y you do the minutes first , or ?"
[01:17] Speaker_A | What ?
[01:18] Speaker_D | No ?
"[01:19] Speaker_A | I I think I will let uh our User Interface Designer speak first , Mister David Jordan ."
[01:21] Speaker_D | Okay .
[01:27] Speaker_C | Yep .
[01:33] Speaker_A | S technical accessoire ? Interface ?
[01:33] Speaker_C | Yeah .
[01:37] Speaker_C | No no no . Yeah .
[01:40] Speaker_A | This .
[01:40] Speaker_C | Mm .
[01:45] Speaker_C | So uh first I will present the concept of user interface . Um there's three concepts in the user interface . So first one it's a Google controller .
[01:59] Speaker_C | The second is a fancy controller . The last one is uh intelligent controller . So there are three concepts in our controller .
"[02:08] Speaker_C | Um n next I will explain one by one , the first is Google controller . Um , so I want the controller to be easy to use , but with sophisticated functions . So it's a combination of easy to use and um sophisticated functions ."
"[02:26] Speaker_C | Uh this is a first concept of our controller . The second concept is a fancy controller , um so we want give the customers the impression that our controller is very attractive , um they can easy recognise our controller among a lot of products , so so the u the user f the the u user interface should be very very cute , very very g um"
[02:53] Speaker_B | Mm .
[02:53] Speaker_D | Mm .
[02:57] Speaker_B | A nice one .
"[02:57] Speaker_C | attractive . Such like this , there are several uh examples in the slides ."
"[03:09] Speaker_C | Yeah . It's hard f i it's easy for you to remember it . Or to recognise it , yeah ."
[03:17] Speaker_C | Yeah .
[03:18] Speaker_C | Yeah .
"[03:21] Speaker_C | Yeah . So the last uh concept is intelligent . We want uh we want our controller to be smart , so maybe we should uh use um uh"
[03:22] Speaker_D | Mm .
[03:30] Speaker_D | Mm .
[03:30] Speaker_B | Mm-hmm .
"[03:36] Speaker_C | technology , such as speech recognition technology and gesture recognition technology , so we need to have coop some cooperation with some research institute on speech recognition and um gesture recognition . Um"
[03:54] Speaker_C | With this advanced features we I think we can attract a lot of user .
[03:59] Speaker_A | Okay . Something else ?
[04:00] Speaker_C | Okay . No . There this is the three concepts of our controller . Yeah .
[04:04] Speaker_B | Yeah .
"[04:05] Speaker_A | I just have one question , because for the intelligent controller , you said that we can use the voice recognition or the gesture recognition , but as the um expert told us , most of the people want to use the remote control to zap t to zap between channels . Do you think they will be able to use gestures ? Because , if they do all the time the same gesture , as you said previously in the last meeting , maybe they will get injuries because of that ? or if you say channel three channel three two three four six five , I think they will be bored after a while . You don't think so ?"
[04:09] Speaker_C | Yeah .
"[04:44] Speaker_C | Uh I think some time it's very uh convenient to use voice interface and gesture interface than use button . For example , if you cannot find your uh controller , you can just uh just just uh speak something such as , yeah , one two ."
"[04:51] Speaker_A | Yeah , sure ."
"[04:55] Speaker_B | Oh yeah , that's a good that's a good point , so ."
"[05:01] Speaker_A | Yeah , but suppose you got a cold . You have a mute remote controller ."
[05:03] Speaker_C | Yeah .
[05:04] Speaker_D | Mm .
[05:08] Speaker_D | Yeah but how how is how risky is it to trust like speech recognition or gesture recognition ?
[05:10] Speaker_A | Broken arm ?
[05:18] Speaker_D | Okay . Okay .
"[05:23] Speaker_A | Yeah , but suppose you have a family watching T_V_ , and if they want to use their private remote control in the same time , do you think it will work ? Everybody wanting to change channel in the same time ?"
[05:25] Speaker_C | Yeah .
[05:33] Speaker_D | But this this but this would never happen anyway .
"[05:36] Speaker_C | Yeah , they cannot speak at the same time ."
[05:36] Speaker_A | Why ?
"[05:38] Speaker_A | If you have one brother and one sister and they want to watch their favourite uh T_V_ programme , so they say oh channel four channel three channel four channel three all the time , so ."
[05:50] Speaker_D | Yeah .
[05:51] Speaker_C | Yeah .
"[05:51] Speaker_A | Yeah , but you have the remote control , so maybe you can keep it f with you . You're not you're not obliged to share it ."
"[05:57] Speaker_D | Oh , okay , okay , you mean it could be a problem for this kind of stuff ."
"[05:59] Speaker_A | Yeah , we can yeah ."
[06:03] Speaker_D | No .
"[06:07] Speaker_D | No , but this is disadvant disadvantage ."
"[06:08] Speaker_A | Yeah , I think it's a disadvantage ."
[06:10] Speaker_C | It's advantage .
[06:10] Speaker_D | Yeah .
[06:11] Speaker_B | And mayb maybe we can have the switching mode to pass from you know voice controller to
"[06:15] Speaker_A | Yeah , but one other question . How how much will it cost ?"
"[06:16] Speaker_B | manual controllers , eh ."
"[06:19] Speaker_B | No , more expensive maybe ."
[06:20] Speaker_C | How much ?
[06:21] Speaker_A | Yeah . Because I suppose we need to do research to have something working .
[06:27] Speaker_A | Some some efficient .
"[06:29] Speaker_C | No no we just um have some cooperation with some research institute , we don't have to do some basic research on this field ."
[06:39] Speaker_A | Not a lot for us ?
[06:41] Speaker_A | Or ?
"[06:41] Speaker_C | Yeah , I think it's uh because uh this technology is uh"
[06:51] Speaker_C | it's uh yeah .
"[06:59] Speaker_D | I mean this doesn't have uh the power to do recognition , for example ."
[07:07] Speaker_A | Mm-mm .
"[07:08] Speaker_B | 'Cause it it have to be universal , so ."
"[07:11] Speaker_C | The vocabulary is very small , so that's not a problem ."
[07:12] Speaker_D | Yeah .
"[07:13] Speaker_A | Yeah , but there is one problem that uh Baba talked about is the international"
[07:17] Speaker_C | Yeah .
[07:20] Speaker_A | remote control . We need something that is international . Suppose we're we want to sell it in France .
[07:26] Speaker_C | Yeah .
"[07:27] Speaker_A | The recognition system will be able to understand French . If you want to go to England , it will be able to understand English , so ."
[07:32] Speaker_C | Yeah .
"[07:34] Speaker_C | Yeah , the key , the key um the key of our the key feature of our controller is that it's it has some some um adaptation"
