[00:38] Speaker_C | Good morning .
[00:41] Speaker_B | Uh almost .
[00:43] Speaker_B | Ready .
"[00:43] Speaker_A | Alright . Okay , let's go . So , we're here today to to have our first kick-off meeting about uh this new project we're going to tak to talk about in a few minutes ."
[01:03] Speaker_B | I'm uh Michael . I'm the user interface designer .
[01:06] Speaker_A | Okay .
[01:07] Speaker_D | Hi I'm Guillermo . I'm the Marketing Expert .
"[01:10] Speaker_C | And I am Hemant , the industrial designer ."
"[01:13] Speaker_A | Okay , very good . Thanks for being here . Um so let's have a look to the the agenda ."
"[01:20] Speaker_A | So , we are going to go through this agenda uh and mainly first to uh to make to to be used to the tools uh available in this nice and smart meeting room we have here . Um then we'll go to uh the plans for project and have general discussions about it ."
"[01:43] Speaker_A | So , the goal of this project is to uh developed a new remote control . Um it should be original , trendy , and also user friendly ."
"[02:03] Speaker_A | As usual we will follow the the project method um that we are using in the in our company . It is in three step as you know . First the functional design . The second's a conceptual design , and then the detailed design ."
"[02:20] Speaker_A | During each step uh of each design we wi you will work uh s separately , individually on uh your specific tasks and will m we will meet to um to discuss and take decisions about uh what you've you've you did and what uh we will do next ."
"[02:45] Speaker_A | So first , we have to to train ourself with all the um the tools availables in the in this nice meeting room and uh particularly the the white board so uh we are going to go through the white board and take some um s some notes or do some drawings . So who want to start ?"
[03:11] Speaker_A | Mister .
"[03:11] Speaker_B | Ah well if no one else wants to , yeah ."
"[03:14] Speaker_B | Okay so , want me to draw my favourite animal . Let's see ."
[03:40] Speaker_A | You have one in mind ?
[03:54] Speaker_B | The spider has a spider lives in a web
"[04:04] Speaker_B | it has eight legs ,"
[04:07] Speaker_B | and uh it can move all about the web in two dimensions .
[04:15] Speaker_B | Unless it's a three dimensional web which y they have sometimes . There are some spiders that live in like that have like uh kind of a a big ball of a of a web .
[04:24] Speaker_B | And uh the other thing is some spiders can actually uh fly like uh they have uh they let out like uh a stream of like the web building material but it's it acts like a parachute so they can actually kind of go and find new uh build a new web somewhere else .
[04:40] Speaker_B | So I think they did this in uh in Charlotte's Web that movie that little uh well it's actually a book first but uh
"[04:47] Speaker_B | um at the end all the the spiders kinda flew away . So , that's my animal ."
[04:51] Speaker_A | Okay . Th thank you . Very interesting . Guillermo you want to ?
"[05:05] Speaker_D | I dunno why , but when I was a child I I wanted to be a a panther not a pink panther , or maybe yes ."
[05:13] Speaker_C | But don't you think it's very difficult to draw a panther ?
[05:17] Speaker_D | Uh yeah yeah .
[05:18] Speaker_C | So bad I don't like it .
[05:24] Speaker_A | Oh .
[05:37] Speaker_D | Okay it's a friendly panther .
[05:40] Speaker_B | Maybe it's happy 'cause it just ate someone .
[05:43] Speaker_D | Yeah maybe .
[05:49] Speaker_D | Um .
"[06:16] Speaker_D | I like it because it's fast , and it's black as well , so it can"
"[06:23] Speaker_D | he it can hide itself very easily and it's it's it looks like um powerful , strong , uh I dunno ."
[06:40] Speaker_D | I I watch a a film about a black panther when I was a child and I was in that age when everything was shocking me a lot . Okay .
[06:50] Speaker_A | Okay . Thank you . Hemant .
[06:52] Speaker_C | Um sure .
[07:08] Speaker_D | I like it .
[07:26] Speaker_C | Oh yeah . Thanks .
[07:29] Speaker_C | This lapel is coming out once in a while . It's not very strong .
"[07:37] Speaker_C | Okay . So , not the favourite animal , but I think I'll draw elephant . I'll try to draw elephant . It's a problem ."
[07:58] Speaker_C | and then it has
"[08:02] Speaker_C | four feet . I don't know whether there's any dist there should be any distance or not , but"
[08:10] Speaker_C | I think this is the easiest . And then we have it's trunk .
[08:27] Speaker_A | Poor elephant .
[08:57] Speaker_C | And that's very peculiar about them . None of the other animals walk like this . And they are very useful to human beings .
