[00:27] Speaker_B | Now what .
"[00:58] Speaker_A | 'Kay , hello everybody . Uh , I guess you all know what is it about , you all received the email , I guess . Uh , we are actually doing this meeting to start a new project which is about designing a remote control . So I'm going to be the project manager of this uh project ."
[01:18] Speaker_A | And uh so I'm present myself . I'm Fabien Cardinaux and uh I I guess you can present yourself .
"[01:28] Speaker_A | So I dunno , you can starts ."
"[01:30] Speaker_B | Okay , so my name is Petre . You can call me Petre , or Peter if you like . I don't care ."
[01:35] Speaker_A | Okay .
"[01:37] Speaker_D | Uh my name's Bob Mor . Oh , sorry ."
[01:38] Speaker_A | And you are ? In the project ?
"[01:39] Speaker_B | Uh , in the project I'm supposed to be the technic ."
[01:44] Speaker_D | 'Kay . So my name's Bob Morris . I'm the Marketing Expert for this project . Bob yeah .
"[01:50] Speaker_B | Bob , okay ."
"[01:51] Speaker_C | My name is Hamed Getabdar , and uh I'm going to be Interface Designer in this project ."
[02:03] Speaker_B | Okay .
"[02:11] Speaker_A | So , uh , so today we are doing a short meeting to present the project , so um"
"[02:19] Speaker_A | We are gooding we are going to present the tool we are we are going to use during all this project . We are talking about the project plan , and we are going to to discuss about st our first ideas and so on , and , yeah . So we have around twenty five minutes to do this meeting ."
"[02:40] Speaker_A | Um . So what is the goal of this project ? Is to design a new remote control . So it should be , of course , new and original , and um it should be trendy , and user friendly . That mean it's a very challenging project , and uh"
"[03:00] Speaker_A | uh . So w it's we will try to do our best , and hopefully come with something very new and that"
[03:09] Speaker_A | people want to buy .
[03:19] Speaker_A | So what's uh what are we going to do during this all this project ? So it's more like we are going to do inv individual work all in o in o our specialities and we are going to meet each other quite often to discuss and to find a good way .
[03:40] Speaker_A | Um .
[03:51] Speaker_A | Yeah and everything is will be like this .
[03:57] Speaker_A | Um so now we are going to to get used t to to the tools we are going to use all during all this project . So we can try to use uh the whiteboard here . So uh . For example we can try to write what is our our favourite animal and write the f our favourite characteristics about it .
[04:12] Speaker_B | Okay .
[04:29] Speaker_A | Mm .
[05:09] Speaker_A | So I will ask you all to do the same . Just to get used to the whiteboard .
[05:12] Speaker_B | Okay .
[05:16] Speaker_B | So probably I would try to try to draw the animal . Well sh should I draw the picture of the animal ? I I th I think I should .
[05:24] Speaker_D | Yeah go ahead .
"[05:24] Speaker_A | Yeah , yeah , you can draw the picture , of course ."
"[05:27] Speaker_B | Okay , so ."
[05:34] Speaker_B | Um .
"[05:42] Speaker_B | Okay , American , um . Um . I would use the bird ."
[05:54] Speaker_B | So I tried to sketch it out .
"[05:58] Speaker_B | I had to first uh write it down because I am not absolutely sure if I can draw it , but ah ."
[06:10] Speaker_B | Can you recognise it as a bird ?
"[06:16] Speaker_D | Okay , okay ."
[06:41] Speaker_A | Oh .
[06:48] Speaker_D | That's its head . Um I probably like cats the most because they're cuddly and furry and uh playful .
[06:57] Speaker_D | Okay .
[07:02] Speaker_C | I dunno if I should go with this .
[07:03] Speaker_B | Oh it's okay .
[07:17] Speaker_B | Yeah .
"[07:21] Speaker_B | I should get used to the tool , so . Oh just wait a little bit . C could we put it here , to make it as straight as possible ? Ah probably not ."
"[07:37] Speaker_B | Okay , it it works like this ."
"[07:37] Speaker_D | Uh , that's better ."
"[07:39] Speaker_C | Okay , thanks ."
[07:40] Speaker_D | Your lapel microphone's fallen off .
"[07:46] Speaker_B | Are you left-handed ? Oh , pity ."
[07:48] Speaker_C | No .
"[08:00] Speaker_C | Okay , I think like horses uh because they are strong and beautiful , so if I want to write it here , I think I can ."
"[08:17] Speaker_B | Ah , it's maybe better if you leave it ."
[08:22] Speaker_A | Yeah .
[08:25] Speaker_D | No .
[08:59] Speaker_C | Okay .
"[09:01] Speaker_B | You won't draw them , or ?"
[09:05] Speaker_B | Just try . I would like to see how it looks like .
"[09:27] Speaker_B | No , I think it's clear ."
[09:35] Speaker_C | Okay .
[09:37] Speaker_C | Mm-hmm .
[09:44] Speaker_C | Mm .
[09:47] Speaker_C | Yeah . I'm shameful Yeah . Okay .
[09:49] Speaker_B | It's okay . It's in it's indeed beautiful .
[09:50] Speaker_A | Good .
