[00:32] Speaker_A | together .
[00:35] Speaker_A | For uh this meeting the main agenda okay uh to discuss about the
[00:41] Speaker_A | conceptual design meeting .
[00:46] Speaker_A | Okay and the agenda will be
[00:52] Speaker_A | the opening and uh that's uh the product manager or secretary that's me and uh the presentations from the Christine and uh
[01:04] Speaker_A | Agnes and from Mister Ed .
[01:08] Speaker_A | And finally in this meeting we have to decide
[01:13] Speaker_A | and we are to take a decision on the remote control
[01:18] Speaker_A | concept and uh the functional design
"[01:23] Speaker_A | So we have forty minutes , I think it's uh"
"[01:29] Speaker_A | little bit uh low , but I I hope we can finish it up so I'll handle to the"
"[01:37] Speaker_A | the functional team , to the Christine , okay , to discuss about uh the components concept ."
"[01:44] Speaker_C | Okay . So uh , if you could open the PowerPoint presentation . I'm number two ."
[01:51] Speaker_A | You're number two .
[02:06] Speaker_C | So uh can we put it in slide show mode ? Yeah .
[02:10] Speaker_A | The next one .
"[02:11] Speaker_C | Right here , is that little that one , yes please . Thank you . I'll take the mouse ."
"[02:23] Speaker_C | we were looking he specifically at the components uh the following components , uh the case , the power supply , uh the means of communications with the television set . In instance we had talked about using some sort of speech recognition , you have to have microphone well no you don't actually I haven't have to have microphone in the device , but um maybe you do have it a a way it has to it has to hear the speaker and um , so it could be in the television set , could be in the device , but somewhere you have to put the microphone , um and a w a way of making beeps or sounds so you can find it when it's gets lost . Um so the other w thing that we So . Our method for going about this is we've looked at uh the histo hi historical record , what's worked , what hasn't and then we also um we wanted to evaluate some new materials and we contacted manufacturing for their input because , course , we m might come up and choose the material that then manufacturing didn't have the technologies or capabilities to offer us , so uh this is the approach that we took during our um our research ."
[02:54] Speaker_B | Mm-hmm .
"[05:43] Speaker_C | And uh manufacturing has told us that they've um uh recently developed a uh a sensor and a speaker that would uh be integrated into this advanced chip on print , so uh we we uh now jumping right to our personal preferences um I I'd really think we should , you know , use some of uh some really exotic woods , like um , you know uh , well you guys come from tropical countries so you can kinda think of some trees and some nice woods . I think that people will might really want to design their own cases , you see , they could do sort of a this um three-dimensional design on the internet , and then they could submit their orders , kinda like you submit a custom car order , you know , and you can choose the colour and the size of the wheels and the colours of the leather and things like that , and then I uh think we should go with the solar cells as well as the um microphone and speaker on the advanced chip . So this is the findings of our research and my recommendations um for the new remote control w um would be to have um have it be made out of wood . Do you have any problems with that ?"
"[06:59] Speaker_C | I'm not sure , how do I Oh , I know , let's see . Let's go back up here ."
[07:01] Speaker_B | Thank you . Yeah .
"[07:02] Speaker_A | Yes , uh question , uh , what's mean exactly , advanced chip on print ? What's the meaning of that ?"
[07:10] Speaker_C | I think it's um um a multiple uh chip design um and it's uh maybe printed on to the circuit board .
[07:21] Speaker_A | Mm-hmm .
[07:21] Speaker_C | Uh I could find out more about that uh before the next fi next meeting .
"[07:32] Speaker_C | I don't know , but I'll find out more at our next meeting ."
"[07:34] Speaker_A | Okay , tha that would be great , so if you find out from the technology background , okay , so that would be good ."
[07:39] Speaker_C | Sounds good .
[07:41] Speaker_B | Why was the plastic eliminated as a possible material ?
"[07:43] Speaker_C | Because um it gets brittle ,"
[07:48] Speaker_B | Mm-hmm .
[07:53] Speaker_C | We want we expect these um uh these remote controls to be around for several hundred years .
"[08:26] Speaker_A | So so you're not convinced about the the wood , yes ."
"[08:28] Speaker_D | Actually , I'm ready to sell it . I'm ready to sell it ."
"[08:35] Speaker_D | No y no no no , the o the only w the only wood you can use are the ones that are hard , extremely hard wood , but there are some very pretty woods out there ."
"[08:41] Speaker_B | Yeah , exactly , yeah ."
[08:46] Speaker_D | That's actually very innovative idea .
"[08:55] Speaker_D | Well , it's actually a very innovative n different idea that uh you know you can choose your colour of wood , your type of wood ."
[09:01] Speaker_C | Mm-hmm .
[09:02] Speaker_B | The stain .
[09:08] Speaker_C | Mm .
"[09:12] Speaker_A | Yeah , so it it's looks good the the design the functional design uh , what about yo you ?"
[09:31] Speaker_B | Y yeah .
"[10:10] Speaker_D | They do that anyway with the rubber and plastic , so , and chew 'em up ."
"[10:12] Speaker_C | Yeah , they do it with other materials as well , yeah ."
[10:15] Speaker_D | And chew 'em up .
"[10:16] Speaker_A | Okay then , uh , let's move to Agnes ."
[10:19] Speaker_B | Sure .
"[10:22] Speaker_C | Oh , I'm sorry ."
[10:38] Speaker_A | You are in participant three .
"[10:39] Speaker_B | One point three , yeah ."
"[10:42] Speaker_B | Uh , yeah ."
[10:43] Speaker_A | This one ?
"[10:44] Speaker_B | I think so , yeah ."
"[10:46] Speaker_B | Yeah , that's the one . So , it's a very short presentation , 'cause I'm actually gonna draw you the layout on the board so if you want to just go straight to the second slide , um , which basically shows , sort of I took the ideas that we were talking about last time um and tried to put that into the remote control so the things that y you can actually see on it are the on off switch , volume and channel control , the menu access button , ergonomic shape , which I completely agree with Christine's idea to have it sort of molded , so it's slightly more ergonomic and comfortable to hold than the r standard very straight remote controls . And actually the other thing with the wood if we take your customising idea , is that people can actually do sort of quasi-measurements on their hand size , so if someone has larger hands , you have a wider remote control ."
[11:55] Speaker_C | Mm-hmm .
[12:12] Speaker_C | Mm-hmm .
"[12:30] Speaker_B | You'd have something like this with an on-off switch fairly big , sort of in the corner and by itself , so you don't accidentally turn your T_V_ off while you're trying to manoeuvre other buttons . And then you have sort of one of those toggle displays for , oops ,"
"[12:46] Speaker_B | channels and volume , sort of for surfing channels and then volume , so the volume would be the up and down , 'cause volume goes up and down and then channels left to right . And then here you'd have your sort of standard , telephonish"
[13:02] Speaker_B | number pad .
[13:18] Speaker_C | Mm .
[13:20] Speaker_C | Mm-hmm .
"[13:25] Speaker_B | Um , so again you can have a little L_C_D_ light somewhere , the flip"
"[13:36] Speaker_B | I don't think so . So , as you can see , it's a very very simple design , which is one of the things I really wanted to keep , is keep it simple , not have too many buttons , not have too many functionalities thrown into it . Think the design can pretty much carry over to everything , although with the wood the flip screen might have to do something slightly different ."
[13:56] Speaker_C | A hinge .
[13:58] Speaker_C | Be like a copper hinge or you know .
"[13:59] Speaker_B | Yeah . But you also have to d start watching out for the weight , 'cause depending on how much the the flip screen will add to the weight of the remote control , you don't want it to start getting too heavy . But that's the general layout with the general functionalities , if we come up with something else . As you can see , there's still lots of space on the actual remote control and if you do it customisably , you can make this thing fairly small or fairly o large , depending on personal preferences ."
[14:05] Speaker_C | Mm-hmm .
[14:08] Speaker_C | Mm .
"[14:23] Speaker_C | Mm-hmm , mm-hmm ."
[14:26] Speaker_D | Hmm .
"[14:27] Speaker_B | So , that's pretty much all I had to say , I mean , everything else in terms of design issues . Um the centering of the key pad and"
[14:49] Speaker_C | Mm-hmm .
[14:52] Speaker_C | Mm .
[14:53] Speaker_C | Mm-hmm .
"[14:55] Speaker_B | So once we decide exactly what we want , then we can figure out the exact positioning , but more or less I think it should go along those lines ."
"[15:04] Speaker_A | So what's your , uh , the comments or uh"
[15:09] Speaker_D | Simple design .
[15:11] Speaker_D | It's what consumers want .
"[15:14] Speaker_D | It's almost like , Houston , we have a product here . Problem is obviously gonna be cost ."
[15:21] Speaker_B | Mm-hmm .
"[15:23] Speaker_D | Okay , I also have a f very simple presentation , because for the marketing point you have to see what the consumers want ."
[15:28] Speaker_A | Mm-hmm .
[15:30] Speaker_A | Yeah .
[15:32] Speaker_B | Yeah .
[15:37] Speaker_D | different type of remote .
[15:44] Speaker_D | There should only be one in here . trend watch .
[15:54] Speaker_D | It's being modified . They're stealing our product .
"[16:20] Speaker_C | No , f go to findings ."
"[16:21] Speaker_B | No , no ."
"[16:22] Speaker_D | No no , no no ."
"[16:59] Speaker_D | And I think this is another thing that's interesting is the consumers actually willing to pay the price for exciting tel technology . So even if we have a product that may be more expensive , if it comes out right , if they look it looks and feels good and has technology . The second two , you can see the last one is a very easy simple design . The second one , there is about uh forty-five thousand different buttons on it , which makes it fairly hard to read , uh very hard to use . The first one , I see that they put in a display ."
[17:35] Speaker_B | Mm-hmm .
[17:39] Speaker_B | Yeah .
