[01:00] Speaker_D | Yes .
[01:11] Speaker_D | Yeah .
"[01:12] Speaker_A | Uh now we're going um into the functional design . Um important thing of this phase is that we're going to uh try to get an agreement about the user requirements , technical function design , and the working design ."
[02:00] Speaker_B | Okay .
[02:00] Speaker_D | Okay .
"[02:01] Speaker_A | It's in wing C_ and E_ . So it should be over in a in a while , couple of days . But it's going to be cold anyway , so I don't think you're gonna need it . Then our agenda . Now first the opening . Uh this time I will take the minutes ."
[02:12] Speaker_D | No .
"[02:20] Speaker_A | Uh you're going to have a presentation . All of you . Um and we've got forty minutes for the whole uh prese for the whole uh presentations . So uh I suggest we take about seven minutes per presentation , and then we can have a little discussion about the new project requirements uh which have been sent to me ."
[02:43] Speaker_A | And then the decision on the control functions uh which we wanna include and those which we don't wanna include . So we've got forty minutes for all of it . So I suggest um let's start with the first presentation . Um who wants to be first ?
[02:58] Speaker_D | Yes .
[03:02] Speaker_D | Think I'll go first .
[03:07] Speaker_A | Just maybe it's easier if you um Yeah I think you will tell your presentation as well . Just which function you have and what you're gonna talk about .
[03:26] Speaker_D | 'Kay . My name is Freek Van Ponnen . I'm the Market Expert . But you already knew that .
[03:31] Speaker_D | Um I've done some research . We have we uh have been doing research in a usability lab where we observed um users operating remote controls . Uh we let them fill out a questionnaire . We had one hundred of these uh test subjects .
[03:49] Speaker_D | Uh in addition we did some market research . Uh see what the market consists of . What ages are involved .
"[03:58] Speaker_D | Well these are three quite astonishing results , I thought . Um remotes are being considered ugly . F uh seventy five percent of the um"
[04:24] Speaker_D | Um in addition remotes were not very functional . Fifty percent of the people indicated they only loo used about ten percent of the buttons on a remote control .
[04:34] Speaker_D | And fifty percent of the people indicated that their remote tended to get lost in their room .
[04:41] Speaker_B | Mm .
[04:42] Speaker_D | some things .
[04:45] Speaker_D | Then we did some research to the most relevant functions . Channel selection and volume selection um both got a ten on a scale of one to ten for relevancy . The power button got a nine . And teletext got a six and a half . So these are the most
"[05:03] Speaker_D | most uh important functions on a remote control . Then there are some one-time use function . That's what I like to call them . That uh audio settings , video settings , and channel settings buttons . Which are not really used very frequently , but are still considered to be of some importance ."
[05:21] Speaker_D | Um channel selection was also indicated to be used very frequently . One hundred and sixty eight times per hour .
[05:31] Speaker_D | Then these are the This is the market . Um sixty percent of the market consists of users between the ages sixteen and forty f six .
[05:57] Speaker_D | Um the users of forty six to sixty five years cons The make up forty percent of the market .
[06:05] Speaker_D | They are not really very interested in features . But they do tend to spend their money a lot easier .
[06:15] Speaker_D | What I think this indicates for our um
[06:19] Speaker_D | design . I think we should make a remote for the future . And this means we would
