[00:21] Speaker_A | Okay . Uh good afternoon . This is our third meeting already . I hope you enjoyed your lunch . I did anyway . Um let's see .
[00:24] Speaker_D | Good afternoon .
[00:39] Speaker_A | Presentation three . Okay this is um the second phase uh we're going to discuss today . It's the conceptual design meeting . And a few points of interest in this meeting um are the conceptual specification of components .
[01:01] Speaker_A | Uh conceptual specification of design . And also trend-watching . Um these are hopefully the points you addressed in uh your pre uh presentations you're going to show me in a few minutes .
[01:15] Speaker_A | Um but first I'll show you the agenda . Uh first the opening . Then we have three presentations . Uh after that we have to come to a decision on remote control concepts . How we're going to make it . And then we're closing . We have about forty minutes .
[01:38] Speaker_A | Uh so I suggest let's get started . Uh did someone encounter any problems during the preparation ?
[01:49] Speaker_B | No .
[01:49] Speaker_A | No ? Everything fine ? That's nice .
"[01:54] Speaker_A | Then a little uh thing about the last meeting . Uh these are the points um we agreed on . The requirements and the target market . Uh requirements are uh teletext , docking station , audio signal , small screen , with some extras that uh button information . And we are going to use default materials ."
"[02:21] Speaker_A | Um does somebody have any comments on these requirements ? Maybe ? No ? These are just the the things we thought of , so maybe if you figured something else or thought of something else , just let me know . And maybe we can uh work it out ."
[02:38] Speaker_A | And we're going to target uh sixty to to eighty year old customers .
"[02:44] Speaker_A | So now everybody knows what we're do we're doing , um I suggest let's get started with the presentations ."
[02:55] Speaker_A | So shall we keep the same uh line-up as uh last time ?
[03:00] Speaker_D | Sure . I'll start off then .
[03:00] Speaker_A | Okay .
[03:12] Speaker_D | Doh .
"[03:23] Speaker_D | 'Kay I'm uh gonna inform you about the trend-watching I've done over the past few days . Um we've done some market research . We distributed some more enquetes , questionnaires ."
"[03:36] Speaker_D | And um besides that um I deployed some trend-watchers to Milan and Paris to well get all of the newest trends . And I've consulted some additional trend-watch trend-watchers , after the original trend-watchers return , about what the"
[03:56] Speaker_D | the best design would be . Um okay these are some overall findings . Um most important thing is the fancy design . Um the research indicated that that was by far the most important factor .
[04:14] Speaker_D | Um innovativeness was about half as important as the fancy design . By innovativeness this means um functions which are not featured in other remote controls .
"[04:28] Speaker_D | Um about half of , half as important as the innovativeness was the was easy to use . Um for our um group , we're focusing on the people of sixty to eighty y years old , this is um , these factors are slightly more equal ."
"[04:54] Speaker_D | 'Kay these are some more group specific findings . Uh the older people prefer dark colours . Uh they like recognisable shapes , and familiar material . And our surveys have indicated that especially wood is pretty much"
"[05:11] Speaker_D | the material for older people . Um this is , this image will give you a little bit of an impression about um the look-and-feel that um the remote should have ."
[05:30] Speaker_D | Um this leads us to some personal preferences . Uh the remote control and the docking station should uh blend in in the
"[05:40] Speaker_D | in the room . Um so this would mean no uh eye-catching designs . Just keep it simple and Well the docking station and small screen would be our main points of interest , because this would be the These would uh be the innovativeness in the remote control ."
"[06:03] Speaker_D | So this would be very important that we at least include these features . Um well the trend-watchers I consulted advised that it b should be , the remote control and the docking station should be telephone-shaped . So you could imagine that uh the remote control will be standing up straight in the docking station ."
[06:24] Speaker_D | This is not really This is pretty much a new shape to uh older people . So they would prefer uh a design where the remote control just lies flat in the docking station . So it would be kinda more telephone-shaped .
"[06:41] Speaker_D | Um besides that we would advise um to bring two editions , one with a wood-like colour and maybe feel , and one with a grey-black colour . The wood-like for the more uh exclusive people . People with more money . Uh the grey-black colour for well"
[07:05] Speaker_D | people with less means .
[07:10] Speaker_D | That would be all .
[07:12] Speaker_A | Okay . Thank you . Any questions about the the trends ? Mayb
[07:16] Speaker_D | Any questions ?
[07:18] Speaker_B | Mm no .
"[07:20] Speaker_A | No ? Okay , we go on to the next one ."
[07:44] Speaker_B | Um 'kay um yeah . uh some uh research uh a about um designing of an interface . Um the uh last meeting uh we had a about um uh using a f few buttons . So uh um uh that's w what I what I want to uh
[08:29] Speaker_B | Uh and uh using a little uh display . So um findings . Um yeah just um we have just to focus on the primary um functions .
[09:00] Speaker_B | Uh we uh need some uh new a attractive functions uh uh which attract uh uh people for using it . So uh it's uh like a speak uh speech uh recognition and um a special button for selecting uh subtitles . Just uh what we uh mentioned uh last uh meeting .
"[09:34] Speaker_B | It's uh possible to uh uh to make um quite cheap uh system for uh speech uh recognition . Um you can think about um uh when you lost your um remote control , you can uh call it and um it gives an um sig signal . So uh uh yeah ."
"[10:19] Speaker_B | Let's see . Uh yeah . I was thinking about the special uh button for uh subtitles , um just one button to keep it uh simple . Uh one push on the button uh you get uh uh small uh subtitles ."
"[10:32] Speaker_B | Um double push push um , if double click , um so uh you get uh big uh subtitles , for uh people uh"
"[10:52] Speaker_B | Yeah and w we have to keep uh in general buttons uh so um we've got um the buttons we have to use . The on-off , sound on-off , sound higher or lower , um the numbers , uh zero to uh uh nine ."
[11:06] Speaker_B | Um the general buttons m more general b one button for shifting up and shifting down uh channel . Um also we want to uh use a little d display uh for um for displaying the uh the functions of the buttons .
[11:43] Speaker_B | See .
"[12:14] Speaker_B | D display uh of it , it's uh just a small display . Uh um you can put it uh on top . Um it's uh most uh"
[12:47] Speaker_B | So you you can uh easily uh shift up or shift down . Um it's uh quite uh
[13:13] Speaker_A | Okay .
[13:14] Speaker_B | And that's it .
[13:27] Speaker_C | Okay .
"[13:34] Speaker_C | About the components design . Um for the energy source we can use a basic battery or , a as an optional thing , a kinetic energy , like in a watch , which you just shake and it produces energy . But if we choose for that option , the docking station would c become obsolete . So I don't think it's really an option ."
"[13:56] Speaker_C | Uh for the casing , uh the uh manufacturing department can deliver uh a flat casing , single or double curved casing . It's really up the the design that we're gonna use . It's uh doesn't uh imply any technical restrictions ."
"[14:13] Speaker_C | Uh as a case supplement , we could um , I thought of that l later , uh a rubber uh belt , like a anti-slip ."
"[14:23] Speaker_C | Uh for the b buttons , we can use plastic or rubber . And the chip-set , um it says simple here , but it should be advanced , because we're using an L_C_D_ uh screen ."
"[14:33] Speaker_C | And as uh the trend-watcher presentation showed , um people like wood , but it raises the price and it doesn't really fit the image , unless we would start two product lines . Form should follow function overall ."
"[14:49] Speaker_C | Um well the kinetic energy source is rather fancy . But depends on what we want . I think we should disc discuss that . Um for the case , uh the supplement and the buttons , it really depends on the designer . And the chip-set uh really should be advanced because otherwise uh it would really be a simple uh remote control . And that's it ."
[15:15] Speaker_A | Okay . Thank you .
[15:19] Speaker_A | So that brings us to the discussion about our concepts .
[15:26] Speaker_A | Mm .
[15:34] Speaker_A | 'Kay .
[15:44] Speaker_A | So these are the points we have to discuss .
[15:49] Speaker_A | Um first
"[15:54] Speaker_A | I think we can talk about the energy source , since that's um"
"[16:01] Speaker_A | has a pretty big influence on production price , uh and image . Uh so"
"[16:11] Speaker_A | uh f I think first of all we have to see uh it is possible to introduce kinetic energy in our budget , I think ."
[16:17] Speaker_C | Yes w there there are four options . We could use the basic normal battery . Uh a hand dynamo . But I don't think that's really an option . You don't wanna swing before you can watch television . Uh solar cells . But not every room is very light so it's not a very good option . Or the kinetic energy .
[16:22] Speaker_A | Yeah .
[16:30] Speaker_A | Yeah .
[16:34] Speaker_B | Mm .
[16:35] Speaker_A | No .
[16:39] Speaker_A | Yeah . Okay .
"[16:43] Speaker_C | Well y you basically shake your remote , and then it powers up . Yeah ."
[16:45] Speaker_D | You use it and it works .
[16:48] Speaker_A | Yeah .
[16:48] Speaker_D | Okay . Well personally I don't think that older people like to shake their remote control before they use it .
[16:48] Speaker_B | Nah .
[16:59] Speaker_D | And besides that you mentioned it would make the docking station obsolete . And I think our docking station could be one of the marketing issues with which we can um
[17:03] Speaker_C | Oh .
[17:13] Speaker_D | get great popularity for our product .
[17:17] Speaker_A | Yeah .
[17:18] Speaker_D | Um wel
[17:19] Speaker_B | what's the function ? Yeah f for loading up uh the batteries .
"[17:24] Speaker_D | Yeah you could load up the batteries , you could um insert the find the lost remote control function in there ."
[17:24] Speaker_B | B b
[17:53] Speaker_A | Uh well I think uh elderly people just like to have everything in place . And I don't think they they like uh remotes just laying everywhere in their rooms . So maybe a docking station will help them give the remote a place .
[18:07] Speaker_B | Okay .
[18:10] Speaker_B | Yeah . That's true . Yeah .
"[18:12] Speaker_A | And also what you said . Um you can introduce voice recognition by uh finding back your remote . But I think it's um more efficient and cheaper to put it in the docking station . So you have a but button on your docking station which you can push , and then it starts beeping ."
[18:20] Speaker_B | Mm-hmm .
[18:21] Speaker_B | Yeah .
[18:34] Speaker_B | Okay .
"[18:36] Speaker_A | And then we can we can still use the voice recognition , but maybe then for only the the channels ."
