[00:22] Speaker_D | Good afternoon . Sorry I'm a little late . Got stuck in the traffic .
[00:26] Speaker_A | No problem .
"[00:29] Speaker_A | Okay . That's possible on uh this time of day . Starts at three o'clock . Uh Uh , let me see . Our fourth and last meeting ."
[00:37] Speaker_D | Yeah .
[00:47] Speaker_A | There he is .
[00:51] Speaker_A | Yes .
"[01:20] Speaker_A | And this uh design , detailed design meeting uh we will discuss uh the look-and-feel of the design , the usability interface design , and we will do the product evaluation . Um , in order to do that we have this agenda ."
"[01:40] Speaker_A | We'll have the prototype presentation first . Then we will set up some evaluation cri um criteria . Then we will look at the finance . Uh we will have to see if everything we wanna do is also possible within our budget . Because everything costs money , and the more functions you wanna have the more money it will cost . So we have to see if it fits within the twelve and a half Euro per remote ."
"[02:09] Speaker_A | But we will see that later . Then we will do the project uh evaluation , and the closing after that . We've got forty minutes . So we will be finished at half past three . But first um"
"[02:25] Speaker_A | we will do the this is prototype presentation . So , if some yeah if somebody wants step forward ."
[02:33] Speaker_C | Okay .
[02:37] Speaker_C | Well this is what me and Richard came up with . The default spot for the on-off button . The mute button just below that . Then there's the volume and channel selectors .
"[02:51] Speaker_C | Simple plus-minus button . Uh we thought of a help button . If you hold it and you press another button , uh the help goes to the L_C_D_ screen ."
[03:04] Speaker_C | Then there's the zero to one to zero buttons . A button for teletext . A button for the subtitles . And the company logo .
[03:15] Speaker_C | So it's rather simple prototype . And uh we'll have to see from testing uh how the users take it .
[03:26] Speaker_A | Okay .
"[03:27] Speaker_D | Um , is this the moment where we ask or can ask questions about the functionality ?"
[03:33] Speaker_C | Sure uh just pop in at any time .
[03:33] Speaker_B | Yeah . Yeah .
"[03:36] Speaker_D | Um , when you're in teletext there usually are buttons where you just you just press it and you g go to the next teletext page ."
[03:56] Speaker_B | You put it uh you um came in uh page uh one hundred . Now you can use the normal uh one to zero buttons . And you But you can also uh use the um button th for uh changing the the channel .
[04:00] Speaker_D | Mm-hmm .
[04:15] Speaker_D | Okay .
[04:26] Speaker_D | Yeah .
[04:29] Speaker_A | Okay . Uh but um I thought in a few meetings earlier we uh uh tried to keep it uh simple . Uh just a few buttons and large buttons . But uh I think these are altogether quite a quite a few buttons .
[04:40] Speaker_B | Oh yeah ?
[04:50] Speaker_A | So I'm wondering if we if we neely really need all of those buttons .
[04:57] Speaker_C | I think if you look at
"[04:59] Speaker_C | most controls , they've got more buttons than this . And well the on-off button , it's it's a necessity . You can't drop that one . The volume and channel buttons , you need you obviously need those those ."
[05:02] Speaker_A | That's right .
[05:03] Speaker_B | Yeah .
[05:06] Speaker_A | Yeah .
[05:06] Speaker_B | Yeah .
[05:13] Speaker_A | Yeah .
[05:14] Speaker_C | The mute button could be replaced uh by pressing the volume-down button twice . So we could cancel that one . I think the help button really is necessary because there's no other way to know when someone wants to know what a button does .
[05:26] Speaker_B | Yeah yeah .
[05:34] Speaker_A | Mm .
[05:54] Speaker_A | Yeah . Okay .
"[05:56] Speaker_C | Well , you can't"
[05:59] Speaker_C | leave out the number buttons I guess .
[06:01] Speaker_A | Yeah . Uh teletext and subtitles are yeah necessary . Okay .
[06:04] Speaker_C | Yeah . So it's rather basic already .
[06:04] Speaker_B | Oh .
[06:04] Speaker_D | Yeah .
[06:08] Speaker_D | Yeah . Think so . That's what I pointed out earlier . If you just make a control for just the T_V_ there's just not much to gain here .
[06:15] Speaker_B | Yeah .
[06:15] Speaker_A | Yep .
[06:17] Speaker_A | Okay . So we had somebody about th interfa Something about the design of the buttons there ?
"[06:23] Speaker_C | Yeah , they're It's rather hard to draw on the white-board . But they're supposed to be equal sized , round , with a with a little logo on it for the for the volume , the the triangle and stuff . Just for recognition ."
[06:24] Speaker_A | Just n normal plain buttons .
[06:36] Speaker_A | Yeah . 'Kay .
[06:42] Speaker_A | No .
[06:47] Speaker_A | No .
[06:52] Speaker_A | Yeah . Okay .
[06:54] Speaker_C | So and for the materials we've just chosen for rubber buttons . With a a different colour than the case . So they jump out .
[06:57] Speaker_B | Nay .
[06:58] Speaker_A | Yep .
"[07:05] Speaker_A | Okay . That's nice . Then because we only have thirty minutes left , I will move on to the finance part , which is pretty exciting , to see if it's all possible what we wanna do . And I can tell you"
[07:05] Speaker_C | And uh that's about it .
[07:24] Speaker_A | that we're going to have a pretty hard time producing this for twelve and a half Euros .
[07:33] Speaker_B | Mm .
"[07:34] Speaker_A | If we see I don't know if I've filled in correctly , so just correct me if you see uh something wrong . I counted two batteries . But maybe we can also use one . I don't know if it's possible ."
[07:45] Speaker_D | Since it rechargeable .
[07:46] Speaker_A | It's rechargeable . That's right .
[07:51] Speaker_A | Okay . That's two Euros off . We need the advanced chip . So there's not much to uh
[07:57] Speaker_C | Yep .
[08:12] Speaker_B | Mm .
"[08:15] Speaker_A | I don't know , but I think the single curved is good for design , and also for the display to have a prominent place on the remote control . I think we have to keep that ."
[08:20] Speaker_B | Yeah .
[08:25] Speaker_C | Yes .
[08:27] Speaker_B | Yeah .
[08:28] Speaker_A | Then we have the case material supplements . It's plastic . It's the cheapest one we need . So that's uh not much to save either . But then the biggest costs are the buttons .
"[08:42] Speaker_A | So maybe we really should try to discard some buttons to uh keep our costs low . Because you have to we will have to get the twelve and a half Euros at the end . Um ,"
[08:46] Speaker_B | Okay .
[08:50] Speaker_B | Yeah .
"[09:00] Speaker_A | so if we Let's fir first count the buttons we have now . Because I Sixteen . Nah , that will be even more then . Eighteen Euros ."
"[09:04] Speaker_B | Sixteen , I believe so ."
"[09:16] Speaker_A | So ,"
[09:16] Speaker_B | Uh seventeen .
[09:18] Speaker_A | seventeen .
[09:19] Speaker_B | Uh with the help button .
[09:22] Speaker_C | Yep .
"[09:22] Speaker_A | Okay , including the help ? Yeah . Uh seventeen . I think we can uh discard the help and the mute button"
[09:22] Speaker_D | Damn .
[09:23] Speaker_B | Yeah .
"[09:30] Speaker_A | uh by pressing down volume long , or pressing down a a number"
[09:37] Speaker_C | Yep .
[09:37] Speaker_A | long . That saves us uh one Euro already . 'Cause then we have got fifteen I think ?
[09:43] Speaker_C | Yeah .
[09:44] Speaker_D | Wouldn't Yeah . No . That wouldn't be an option .
[09:45] Speaker_A | Fifteen buttons .
"[09:49] Speaker_D | Uh , d I assume you'd count the volume and channel thingies for two buttons each , right ?"
"[09:54] Speaker_A | No those are one , I think ."
[09:55] Speaker_B | Yeah .
"[09:57] Speaker_D | Well , think actually there're two buttons , aren't they ?"
"[10:14] Speaker_A | Yeah but th it's not stated in this files . So maybe we can we can even make one button with the volume and the channel in one , by pressing"
[10:16] Speaker_B | It's just a .
"[10:24] Speaker_D | Well I was thinking , maybe you could just integrate three of those numbers to one button ."
[10:30] Speaker_A | That's possibility as well .
[10:32] Speaker_D | That would cut the cost .
[11:10] Speaker_A | Plus . Min .
[11:17] Speaker_A | Uh s yeah channel . Yeah w
[11:24] Speaker_A | Yeah th I think they count uh the materials .
