[00:06] Speaker_B | Two .
[00:11] Speaker_A | Hello . Hello .
[00:12] Speaker_D | Hello .
[00:16] Speaker_D | Ah .
[00:18] Speaker_A | You have to put it exactly on the on the yeah .
[00:21] Speaker_C | Okay .
[00:22] Speaker_B | Good morning .
[00:23] Speaker_C | Good morning .
"[00:32] Speaker_A | I took your mouse . Yeah just yeah , no , that's for me , I just have to make some notes . I got my uh mouse ."
"[00:39] Speaker_D | Uh I also forgot my mouse , but I don't need my mouse , I think ."
[00:40] Speaker_B | Mouse .
[00:44] Speaker_C | I do .
[00:48] Speaker_B | Come on . There we are .
[00:58] Speaker_C | My laptop is crashing .
[01:14] Speaker_C | Help help help .
[01:17] Speaker_B | Let's just check one more time .
[01:20] Speaker_B | Mm .
[01:22] Speaker_D | Can you hear me ? Hello ? Test . I dunno .
"[01:24] Speaker_A | Uh actually my laptop doesn't work , switch it on again ."
[01:31] Speaker_D | Check . Okay . I think it works .
[01:32] Speaker_A | Oh no .
"[01:36] Speaker_C | Test test . Yes , it's working ."
[01:46] Speaker_A | So you all read what we are going to do or not ? Okay .
[01:48] Speaker_D | Mm-hmm . We're gonna make a remote control .
[01:49] Speaker_B | Yeah .
"[01:51] Speaker_A | Yeah , that's right ."
[01:52] Speaker_C | I think my laptop is a bit
[01:58] Speaker_C | etchy .
[01:59] Speaker_A | I just made a a simple uh presentation .
[02:07] Speaker_A | So you put some things in it .
[02:11] Speaker_A | Okay .
[02:23] Speaker_B | One uh most to the right . Yes that one . Yes .
[02:24] Speaker_C | Uh p
[02:26] Speaker_A | This one ?
[02:27] Speaker_D | Press F_ eleven .
"[02:28] Speaker_A | Ah cool . Okay . So that's my name , . Uh we're going to make uh a remote control , you already know that . Just have a look , are we going to uh this agenda of our meeting . You know , this is about twenty five minutes , this meeting ."
"[02:45] Speaker_A | So um the thing we have to know is you already know what we're going to do , you also read what this the things or , not yet , okay . So um , yeah , it has to be original , trendy , user-friendly that's what we're going to design . Uh first we have uh uh three steps of uh making the the remote control . Fir the first thing is th the functional design , that's very important . We have to look what the needs are , the effects of the functional design , and and how the mm the the remote control works , so that's where we're going to look in the functional design , it's for the f next meeting ."
[02:52] Speaker_B | Yes .
"[03:21] Speaker_A | The the second thing is the conceptual design , that's what it that's uh the spe the specifications of the components and the properties and the specifications of the user interface . And we have to look what uh the market is doing for what kind of uh remote controls are in the market . And the third thing is uh the detailed design um and that's exa yeah , you know what it is , it's exactly how it looks and whatever . Okay so uh no , this is a these are two smartboards , with the uh f uh s an introduction of that one ."
"[04:00] Speaker_A | And you already saw you know all that that you here can put uh things in the the red project uh map . Folder , okay ."
"[04:06] Speaker_D | Folder , yes ."
[04:12] Speaker_A | So no okay have a look at that one .
[04:16] Speaker_A | Okay .
[04:18] Speaker_A | So uh what we're going to do first is um
[04:26] Speaker_A | so you can read . You have to uh draw uh a favourite animal on the whiteboard and um and say why it's your favourite animal . So and you have this is just to try it out and we have to uh use a different pen colours and different thickness of the pen .
"[04:46] Speaker_A | So okay , so first have to show you , maybe you can come here to have a look how it works ."
"[04:54] Speaker_A | Yes ? Okay . This a new page , it's okay . Use pen format ."
[04:54] Speaker_D | Ah I can see it now .
[04:54] Speaker_B | Yeah .
[05:04] Speaker_A | and a different colour can use here no I just take the pink .
"[05:11] Speaker_A | You take oh there's no pink , okay , oh just purple , okay . No blue . And uh line width ten . Okay uh just take what I'm going to draw is an elephant ."
[05:14] Speaker_B | Purple .
"[05:27] Speaker_A | Just draw slowly , because otherwise it won't work ."
[05:36] Speaker_A | It's a very
"[05:38] Speaker_A | nice elephant , you can see ."
[05:48] Speaker_B | Looks very nice .
[05:50] Speaker_A | I just h
"[05:55] Speaker_A | Yeah , okay . Because I like uh okay ."
[05:59] Speaker_B | A pink elephant .
"[06:08] Speaker_A | Just takes so long , okay . Whatever , just ."
[06:12] Speaker_A | You erased this one .
"[06:16] Speaker_A | It's a bit slow you can see , this is a bit annoying ."
[06:20] Speaker_D | Okay .
"[06:24] Speaker_A | Okay , so just"
[06:27] Speaker_A | for you guys just one of you can draw a painting if you want .
[06:31] Speaker_D | Let me try one .
"[06:31] Speaker_A | Just don't um yeah , just u use it like that , yeah . That's okay ."
[06:36] Speaker_D | Okay .
[06:48] Speaker_A | It's in format .
[06:50] Speaker_A | Yeah .
[06:53] Speaker_D | Ah .
[06:56] Speaker_D | I'll take this one .
"[07:07] Speaker_A | No it has to be an animal , so if that's it's it should be a shna snake or something . Okay . Okay okay . Okay ."
"[07:09] Speaker_D | Yeah yeah , but it's an animal it's an animal that lives in the water . So I first uh draw the water ."
"[07:17] Speaker_D | Uh . Okay , and now"
[07:25] Speaker_D | I make the animal .
[07:35] Speaker_D | It's a fish .
"[07:37] Speaker_A | Okay , cool ."
[07:44] Speaker_D | Mm-hmm .
[07:52] Speaker_D | So .
