[00:06] Speaker_A | Oh .
[00:07] Speaker_B | It's not saved yet .
[00:08] Speaker_C | Okay .
[00:20] Speaker_A | Okay .
[00:26] Speaker_B | Our beautiful drawing .
[00:41] Speaker_A | So this is our agenda . You're F You're going to show your pr prototype presentation after me .
[00:48] Speaker_D | Oops .
[00:51] Speaker_C | Okay .
[00:53] Speaker_A | Uh I didn't Oh yeah .
"[01:01] Speaker_C | Oh , okay . Yeah ."
"[01:04] Speaker_A | So these are the um last notes we I made . If anything doesn't look right , just say it to me then . I don't have to put it in the report ."
[01:18] Speaker_B | Are we doing the the speech recognition ? Because we didn't have enough time to uh de um design the inside as well .
"[01:25] Speaker_A | Okay , but it's still possible uh uh financially . So if you want to , it's okay ."
[01:30] Speaker_B | Okay yeah . Well then then we're gonna put it in .
"[01:37] Speaker_C | Yeah , and Or are we making a slide open , like underneath ? Or fold open ? I don't know ."
[01:44] Speaker_A | Slide open is uh quite usable for remote controls .
[01:45] Speaker_C | It's probably better .
"[01:48] Speaker_C | Yeah , s Like underneath uh you can slide it open and you other functions ."
[01:52] Speaker_A | Maybe that's better .
[01:54] Speaker_C | Yeah .
"[01:54] Speaker_A | Yeah , that's that's a very good point ."
"[01:55] Speaker_B | Okay , so when you have a lot of room inside . So you can make it very easy to use . 'Cause you can write a lot of comments besides it ."
[01:56] Speaker_C | Think that's better .
[02:02] Speaker_A | Yeah .
[02:17] Speaker_B | Advanced chip was for uh spee Yeah .
"[02:19] Speaker_C | Yeah , I I think so . I don't know ."
[02:23] Speaker_C | Ah okay .
[02:23] Speaker_B | Okay .
[02:25] Speaker_A | So I already calculated that and it's still in the budget . So it's okay .
[02:28] Speaker_B | Good .
[02:37] Speaker_A | So you can show your prototype if you want to .
[02:42] Speaker_C | Yeah .
[02:42] Speaker_B | Together ?
"[02:43] Speaker_C | Yeah , it's Let's do it together . Okay ."
[02:45] Speaker_B | I'll give comments .
"[02:51] Speaker_C | Yeah , we just made a Word file"
[02:54] Speaker_C | with the basic
[02:56] Speaker_C | elements .
"[03:02] Speaker_C | Uh the look-and-feel model . Uh well the form , the case um as drawn there . Simply a square with uh round corners . So that's basically it . Uh the material should be hard plastic ."
[03:19] Speaker_D | Mm-hmm .
"[03:19] Speaker_C | Uh colour changeable , and also transparent . And colour and transparent , or just transparent , I don't know . Um then the elements ."
"[03:36] Speaker_C | The functions are just basic . Like uh I've pointed them here . Mute function , on-off function , text functions . This uh switch channel . And this is the"
"[03:50] Speaker_C | the num-pad . And the logo is over here , and the mic ."
[03:55] Speaker_A | Okay .
