[00:16] Speaker_A | Good morning .
[00:51] Speaker_A | Sorry ?
"[00:53] Speaker_A | Yeah , busy job ."
[01:02] Speaker_A | Good morning .
"[01:14] Speaker_A | Oh , good morning everyone ."
[01:15] Speaker_C | Good morning .
[01:16] Speaker_B | Good morning .
[01:17] Speaker_A | I'd uh like to welcome you to our first meeting .
[01:22] Speaker_A | I've prepared a little presentation .
"[01:26] Speaker_A | My name is and uh I hope you will introduce yourself uh in a few minutes , as will I . Um I'm the Project Manager of this project , and uh , well I will tell you on what actually is the project . This is uh the agenda for our first meeting . Um this is the opening , then we will get I will hope we will get acquainted to each other . We'll do a little tool training with these two things . We'll take a look at the project plan ."
[01:57] Speaker_A | Uh there will be time for discussion . Actually we have to discuss because we have to create a product . And then we will close this session . Um but first of all we I'd like to uh introduce you to this room . Um as you probably have noticed there are little black uh fields on the table . Um you have to put your laptop exactly in that field so the little cameras can see your face . Um there are cameras
"[02:24] Speaker_A | everywhere around the room especially here for your face , of course , and this isn't a pie , it's a a set of microphones and there are microphones here also . But please uh don't be afraid of them ."
[02:35] Speaker_A | They won't hurt you . Um well uh I said I'm the Project Manager and uh I'm hoping uh for a good project and uh I'd like to hear uh who you are and what your functions are uh on this project . Let's start with the ladies .
"[02:51] Speaker_B | Well uh I'm uh and my uh function is User Interface Design ,"
[02:57] Speaker_B | I think . So uh that's me .
"[03:01] Speaker_C | Okay , uh I'm uh I'm the Industrial Designer and I uh hope to uh look forward to uh a very uh pleasing uh end of this uh project ."
"[03:13] Speaker_A | Okay , so I ."
[03:14] Speaker_B | Me too .
[03:14] Speaker_D | My name's . I'm uh Marketing Expert . My job is in the company to promote company or promote products to the customers . So I also h hope we have a pleasant uh working with uh with each other .
"[03:28] Speaker_A | Okay , well we have some expertise from uh different pieces of the of the company . That's good . Um well I said uh we're working on a project and the aim for the project is to to create a to design a new remote control which uh has to be original , trendy and of course , user friendly . And uh I hope we have the expertise to create such a project such a product ."
"[03:54] Speaker_A | Um the way we hope to achieve that is uh the following methods . It consists of three phases , namely the functional design , conceptual design and detailed design . As you can see , all of these phases consists of two parts , namely individual work part and a meeting where we will discuss uh our work so far . Okay . But first I will uh tell you something about the tools we have here . I already talked about the cameras and microphones , but they are not of uh much use to us . Uh"
"[04:26] Speaker_A | we will have to take advantage of these two things . They are smart boards . As you can see , you can give a presentation on them . And uh this one here is a white board . I will uh instruct you about that soon . Um as you also noticed uh this presentation document is in our uh project folder and every document you put in this folder uh is uh it is possible to show that here in our meeting room ."
"[04:52] Speaker_A | Um and yeah there are available on both smart boards but I think we will uh mainly use this one for the documents in the shared folder . As you can see , this is the same tool bar uh as is located here . Um the most functions uh we will use will be to to add a new page , um uh to go back and forward between pages , and of course uh to save it every now and then . Um and this is the pen with which you can draw on the board , for instance"
"[05:25] Speaker_A | like this if everything's okay , but I first have to put it on the pen , you see I'm new to it too . Um and then you can write things like test or whatever you want . As you can see you have to move it a little bit slow , it's not such a fast board , it's a smart board but also a slow board . Uh but you can write things and of course you can also , when you click here , uh erase things , so we have uh est left . And um you can also delete an entire page , but we ask you not to do that . Just simply create a new one and uh start all over because we want to save all the results . Um does everyone understand this"
[05:31] Speaker_B | Oh .
[06:07] Speaker_D | Mm-hmm .
[06:08] Speaker_C | Yeah .
"[06:08] Speaker_A | nice application ? Well you can erase it with the eraser , but uh you shouldn't delete an entire page , but just create a new blank one . I will delete this one now because we don't use it yet ."
