[00:01] Speaker_A | Good .
[00:07] Speaker_C | Oh .
[00:08] Speaker_B | What ?
[00:09] Speaker_A | So well uh welcome everyone . Um as you may have noticed I uh
[00:11] Speaker_B | Yeah .
"[00:15] Speaker_A | created separate folders because it was uh tending to get a little busy in our uh shared project documents uh folder . I don't know if everybody uh put their own uh documents in the right folder , which is for now the detailed design meeting ."
[00:17] Speaker_B | Yeah .
[00:31] Speaker_D | That's new one ?
[00:32] Speaker_A | Yeah .
[00:36] Speaker_A | Then I'll move this one .
[00:37] Speaker_B | Didn't we just do that ?
"[00:39] Speaker_C | Yeah , save in the folder . Save as project ."
[00:40] Speaker_B | Oh .
"[00:42] Speaker_A | Oh no , this is just one big document , so you can leave that wherever it is . And we have a evaluation left here . Okay ."
"[00:45] Speaker_C | Oh , okay ."
[00:47] Speaker_C | Hmm hmm .
[00:55] Speaker_C | Agenda .
[00:56] Speaker_A | Well not main documents this time . Oh uh yes . I have it open myself I guess . Um well the detailed design meeting Huh ?
[00:58] Speaker_B | Hmm ?
"[01:07] Speaker_A | We're finally getting somewhere hopefully . Um what are we going to do ? I've opened it already . Um I'm still going to take some minutes , and if I'm right , you two are going to give a prototype presentation ?"
"[01:16] Speaker_C | Oh , sorry ."
"[01:22] Speaker_A | Aren't you ? Yes , you are . And uh m did you do something with evaluation criteria ? Good . And we have a correct agenda . And uh then we have to look at something which is less nice , the finance uh aspect , whether we can afford what we have designed , and if we can we can uh commence the final part which is the production or project evaluation , how did we work together and what are the results , and how happy are we with those . Okay , well finance uh will be later . Now I'd like to give the word to you two ."
[01:26] Speaker_D | Yep . Yep .
[01:55] Speaker_B | Yeah .
[01:55] Speaker_C | Okay .
[01:59] Speaker_C | Get up stand up . just 'Kay .
[02:08] Speaker_C | View .
[02:08] Speaker_B | This is about the total remote control . We made it green .
"[02:13] Speaker_C | Just example colour , so uh there's one of the colours we would like to uh see in our prototype ."
[02:14] Speaker_B | Yeah .
[02:17] Speaker_B | It's a fresh colour . And uh the screen light blue .
[02:32] Speaker_C | Okay ?
[02:34] Speaker_D | Big microphone .
[02:36] Speaker_B | Yeah .
[02:38] Speaker_D | Oh okay .
"[02:41] Speaker_C | Uh well , it's an idea in a so ."
[02:41] Speaker_B | Yeah .
[02:48] Speaker_C | Do not forget it .
[02:50] Speaker_D | Mm-hmm .
[02:51] Speaker_C | To function it it doesn't really have to be sm uh big of course . The microphone could be just a minor uh hole uh on the left uh button . Okay um
"[02:54] Speaker_D | Yeah , okay . Of course ."
[02:54] Speaker_B | Hmm .
"[02:57] Speaker_D | Mm . Mm , th yeah ."
[03:00] Speaker_D | Small .
"[03:16] Speaker_C | Yeah , you push the scroll button"
"[03:27] Speaker_B | Remote settings , et cetera ."
[03:30] Speaker_B | Yeah .
"[03:43] Speaker_B | Yeah . And you could also touch it so that it comes out , and and use the the the scroll thing as a with your fingers ."
"[03:46] Speaker_C | Yeah , that's c Yeah ."
[03:51] Speaker_C | Indeed .
[03:52] Speaker_B | Yes .
"[03:52] Speaker_C | Okay , um it's also uh nice to see that um we made a small uh menu , uh the options menu uh becoming available when pressing the uh scroll uh button , and the opportunity to use the teletext , whi which is used uh which should still be used and we think that it's uh very handy to put it uh not uh under the options menu , but in uh Yes ."
[04:18] Speaker_B | Yeah .
"[04:19] Speaker_A | So a separate button for for text , okay ."
[04:20] Speaker_B | Yeah . Perhaps we should use the teletext sign in p yeah .
[04:26] Speaker_B | Yeah .
"[04:31] Speaker_B | Uh well , this is the total interface uh that f of the L_C_D_ screen . Uh the numbers , which is pretty straight forward . We put ano an an extra button in . We can erase it , but It's the button where you can switch channels . just when you are one and you go to two , you can or if you go to five , you can go back to one with that button . Yeah , that one , yeah . It has a name . And uh uh we put that in , I thought it would be handy there . Uh this the one number or two numbers button . Below that , the page and the sound . And uh in the middle the the mute ."
"[04:52] Speaker_C | Previous page , yeah , indeed ."
[04:55] Speaker_C | Oh my God .
"[05:10] Speaker_B | Uh battery indicator . It's it's a bit big . And this is the uh the on off uh knop , the stand by uh knop ."
[05:20] Speaker_B | Or at least it should look like it . And the options uh of teletext .
"[05:23] Speaker_C | Okay . You can see very clearly now that the uh teletext and options menu isn't uh taking uh much uh uh it's taking much part of the screen , so it's very uh when you uh when you use it , doesn't uh become irritating to see . 'Cause if you put it on the top you always get see the the options menu ."
[05:40] Speaker_B | Huh .
[05:49] Speaker_A | Mm-hmm .
"[05:51] Speaker_B | Yeah . Well this about it , I think ."
[05:54] Speaker_C | Okay . Huh .
[05:54] Speaker_B | Yeah .
[05:57] Speaker_A | Thank you . Looks good .
[05:57] Speaker_B | I will put it back on the on the nice green .
[06:01] Speaker_A | And I just missed when I was typing The R_R_ stands for ?
[06:11] Speaker_C | Full screen .
[06:13] Speaker_D | Shit .
[06:16] Speaker_D | 'Kay .
"[06:20] Speaker_A | Okay , the evaluation criteria , huh ?"
"[06:20] Speaker_B | Oh full screen , yeah ."
[06:21] Speaker_C | Huh .
[06:22] Speaker_D | Evaluation .
"[06:25] Speaker_D | 'Kay , my task was this time to put up a questionnaire"
"[06:31] Speaker_D | by which we can evaluate the design of the remote control by the questions we requirements from the of the users . My name , my job , okay . The methods ."
"[06:46] Speaker_D | Questionnaire with seven point scale from one to seven , from true to false , like question , is remote big enough , we can say it's true or it's false by steps ."
[06:52] Speaker_B | Right .
"[06:59] Speaker_D | One means absolutely not true , seven means true ."
[07:03] Speaker_B | Yeah .
"[07:05] Speaker_D | The three important things of refa are uh from th of this year is are , is the remote control fancy enough ,"
[07:16] Speaker_B | Yeah .
"[07:17] Speaker_D | is it in innovative enough , and is it easy enough to use ."
[07:23] Speaker_D | And then evaluation itself .
[07:31] Speaker_D | Uh .
[07:32] Speaker_C | What ? Bling .
[07:32] Speaker_D | So .
[07:34] Speaker_D | Okay . First question . Is the design fancy enough ?
[07:35] Speaker_B | Yeah .
"[07:40] Speaker_D | Project Manager , what do you think ?"
"[07:42] Speaker_A | Well it's looks fancy , especially with the green colour . And the the curves which we decided , huh ?"
[07:49] Speaker_D | Yeah .
[07:51] Speaker_A | Only what happened to the single curve
[07:54] Speaker_A | we spoke about last meeting ?
[07:54] Speaker_B | It uh oh it's in the background . Oh .
[07:59] Speaker_B | Y you should make uh a sideways uh view .
"[08:00] Speaker_C | Yeah . The sideways view , uh that that that ma"
[08:16] Speaker_C | Suppose so .
[08:16] Speaker_D | Think .
[08:18] Speaker_B | Ooh .
"[08:18] Speaker_D | Yeah , yeah , you can ."
"[08:18] Speaker_C | Ah . Oh my God , it works ."
"[08:19] Speaker_B | So it would be uh something like this from the side , but with a bit of uh curve here , right ?"
"[08:26] Speaker_C | Yeah , that's the single curve indeed ."
[08:28] Speaker_B | Yeah .
[08:29] Speaker_B | So if you v flip it like this .
[08:31] Speaker_C | Yep .
[08:31] Speaker_A | Okay .
[08:32] Speaker_B | Here's yeah .
"[08:51] Speaker_B | Yeah . So you just make the back of this part a bit bigger , so that it lays a bit o"
[08:55] Speaker_C | Yeah .
[08:55] Speaker_D | Isn't going to be a little bit heavy at the top ?
[09:00] Speaker_C | No .
[09:04] Speaker_B | Yeah .
[09:09] Speaker_C | Yeah .
[09:10] Speaker_D | Yeah .
"[09:10] Speaker_C | Okay , indeed . Yeah ."
[09:12] Speaker_B | Yeah . 'Cause otherwise I think i
"[09:13] Speaker_A | Okay , but we have to rate uh these things now ? Okay ."
"[09:14] Speaker_D | Yeah , we have to rate . Is it fancy enough ? True is one , false is seven ."
"[09:20] Speaker_D | So fancy enough means , does it comes to the younger people and the elder people ."
"[09:27] Speaker_B | I think it does . I if you don't make it green , then the elder people won't won't like it ."
[09:28] Speaker_C | I think so . It's pretty fancy .
[09:33] Speaker_B | Yeah .
[09:35] Speaker_A | Mm-hmm .
[09:37] Speaker_B | I think it does .
[09:38] Speaker_A | Yeah .
[09:39] Speaker_D | And the design .
[09:40] Speaker_A | Well I think uh especially because of the microphone and the L_C_D_ screen also .
[09:40] Speaker_C | Yeah .
[09:47] Speaker_A | Fancy the old people will .
[09:47] Speaker_B | I would make it a two or something .
[09:49] Speaker_D | A two ?
[09:50] Speaker_B | Yeah .
[09:52] Speaker_B | Huh ?
"[09:55] Speaker_A | No , it's a two . Little bit strange we have to judge that ourselves , huh ?"
[10:00] Speaker_B | Yeah .
"[10:06] Speaker_D | Okay , no it's two ? True is a one . Very true , is it very true or isn't that true ?"
[10:08] Speaker_B | Yeah .
"[10:14] Speaker_D | Yeah , I think two ."
"[10:18] Speaker_C | It's very fancy , I think . Have you ever seen a remote control like this ?"
"[10:23] Speaker_C | No , okay , so so it's fancy ."
[10:23] Speaker_D | That's fancy enough .
[10:23] Speaker_B | That not .
[10:25] Speaker_B | Yeah .
[10:27] Speaker_D | Then ?
[10:29] Speaker_D | Okay . Let's give it a two . Is it innovative ?
"[10:34] Speaker_B | I think it is , because it has an L_C_D_ screen , a mi microphone ."
[10:34] Speaker_D | Enough .
[10:35] Speaker_A | Yeah m
"[10:38] Speaker_C | And uh uh the scroll is rubber , so s"
[10:38] Speaker_D | We have for the search function .
[10:42] Speaker_D | The scroller a bit I think it's it's a one yeah .
[10:42] Speaker_C | Eno enough to I think .
[10:47] Speaker_D | True .
"[10:49] Speaker_D | Also huh uh-huh the buttons , are they easy to find ? That was a big requirement of the old people ."
"[10:57] Speaker_B | Yeah , because they're right on your screen ."
[11:00] Speaker_B | So you can use the b the the arrows .
[11:05] Speaker_C | Huh .
"[11:05] Speaker_B | They're right on your screen , so I don't know where you'd search . Yeah ."
