[00:35] Speaker_B | Mm uh .
[00:43] Speaker_B | Mm .
"[00:47] Speaker_D | Marketing Expert , yes ."
[00:51] Speaker_A | Mm .
[01:04] Speaker_A | So you found your spots .
[01:05] Speaker_D | Yes .
[01:14] Speaker_D | Bling bling . Yeah .
[01:22] Speaker_A | Okay .
[01:25] Speaker_D | Uh where has my screen gone ?
[01:29] Speaker_C | Hi .
"[01:31] Speaker_B | Hello , good day . Yep ."
"[01:33] Speaker_C | Oh yeah , we have to talk in English , huh ."
[01:34] Speaker_D | Hmm .
[01:36] Speaker_D | Yeah . My screen is gone . Oh .
"[01:44] Speaker_B | Kick-off meeting , wow ."
[01:46] Speaker_B | It's uh looks uh nice .
[01:46] Speaker_C | I'm afraid I'm a bit slow for this stuff uh .
[01:50] Speaker_B | Hmm ?
[01:51] Speaker_A | Okay .
"[01:51] Speaker_C | I'm afraid I'm a bit too slow . I don't know how much preparation you guys did , but not a lot ."
[01:54] Speaker_B | Yeah .
[01:55] Speaker_D | Yeah .
"[01:56] Speaker_B | No , it's it was uh not enough ."
[01:57] Speaker_A | You see this beautiful presentation . Okay let's get started .
[02:00] Speaker_D | Yeah . Very nice .
[02:03] Speaker_D | Yeah .
"[02:04] Speaker_A | Uh I sort of prepared this . Uh opening acquaintance , tool training , uh how to use the things here . Uh project plan discussion , and yeah then the rest of the meeting . Um we're supposed to develop a new remote control , that's both original , trendy and user-friendly ."
[02:14] Speaker_D | Mm .
[02:20] Speaker_C | Mm-hmm .
"[02:29] Speaker_A | So , hope you have good ideas . I don't . Um we're work we're working uh from top to bottom . Uh functional design , then we do some in individual work , then we have a meeting to discuss the results , etcetera etcetera ."
[02:34] Speaker_C | Not yet .
[02:46] Speaker_A | And at the end of the day we should have a prototype drawn up .
[02:51] Speaker_A | Uh we have available the smart board and the whiteboard . Um
[03:02] Speaker_D | Yeah .
[03:09] Speaker_A | Uh this for toolbar . You see it next . Um
[03:22] Speaker_C | Operations .
[03:29] Speaker_A | It doesn't always work .
[03:32] Speaker_A | Yes . Okay so you can
[03:32] Speaker_D | Yeah .
[03:36] Speaker_A | draw .
[03:37] Speaker_D | Draw . Alright .
"[03:38] Speaker_A | Okay and in the format menu you can select colour and line width , etcetera etcetera . Okay ?"
[03:43] Speaker_D | 'Kay .
[03:51] Speaker_A | Okay . Each of you can uh take some practice and you should draw an animal .
"[03:59] Speaker_A | Uh with different colours and with different pen widths . And you should explain why you draw that particular animal . So , Julian ."
[04:10] Speaker_B | Um yeah .
"[04:14] Speaker_C | Different pen widths , how do you do that ?"
[04:16] Speaker_A | Uh with the format menu .
[04:18] Speaker_C | Oh okay .
[04:21] Speaker_A | And use different colours etcetera .
[04:26] Speaker_C | Are you serious ?
[04:40] Speaker_B | Oh format .
[04:44] Speaker_A | Yeah .
"[04:47] Speaker_A | Yeah you can press the next button , which is uh yeah . I'll show you . Yeah . In file menu ."
[04:51] Speaker_B | That's some spots .
[04:52] Speaker_C | I in the file option menu .
"[04:55] Speaker_D | Okay , then m make a new one ."
[04:56] Speaker_B | No .
[04:57] Speaker_C | How much time do we have to draw anyway ? 'Cause I can take forever on this .
[05:02] Speaker_B | Okay . Do I have to explain uh why I chose this uh this animal ?
