[00:22] Speaker_B | Hello .
[00:29] Speaker_B | 'Kay .
[00:31] Speaker_A | You all saw the newsflash ? Or you got the same message ?
[00:36] Speaker_C | I don't know . I didn't see it yet I think .
[00:39] Speaker_B | Newsflash ? D did I miss something ?
[00:40] Speaker_A | Yeah .
[00:43] Speaker_D | Yeah pretty much .
[00:48] Speaker_C | Hey what's wrong with my computer ?
[00:50] Speaker_B | Okay .
[00:51] Speaker_A | Is it unlocked ?
[00:54] Speaker_D | Mm .
[00:54] Speaker_B | No .
[01:04] Speaker_A | Woah . I uh kind of opened it .
[01:05] Speaker_C | Huh ?
[01:05] Speaker_B | Mm .
[01:07] Speaker_D | Mm ? Oh right .
[01:09] Speaker_B | I think you have to uh change your desktop uh
[01:10] Speaker_A | Okay .
[01:13] Speaker_B | size .
[01:14] Speaker_A | 'Kay . Everybody ready ?
[01:16] Speaker_C | Not really . Sorry .
[01:18] Speaker_A | No no no . Yes yes yes .
[01:23] Speaker_D | Alright .
[01:24] Speaker_C | Okay . Where do I find this ? I'm not so g display huh ?
[01:28] Speaker_B | Uh display .
[01:31] Speaker_B | And then uh settings ?
[01:33] Speaker_C | Appearance ?
[01:33] Speaker_D | Huh .
[01:38] Speaker_B | Mm I'm not sure I .
[01:43] Speaker_B | No .
[01:43] Speaker_A | 'Kay . Can we get started or is there some pressing issue ?
[01:43] Speaker_C | No what was it about ?
[01:44] Speaker_D | Hmm .
[01:46] Speaker_C | Yeah my computer is not functioning properly .
[01:48] Speaker_A | Oh no pressing . Did you plug in the power cable when you come back ?
[02:02] Speaker_C | Yeah .
[02:06] Speaker_C | Feedback .
[02:07] Speaker_D | Hmm .
[02:09] Speaker_B | Okay .
[02:11] Speaker_C | Okay .
[02:19] Speaker_A | Format save .
[02:25] Speaker_D | So it doesn't draw the attention away .
[02:27] Speaker_C | This is dreadful .
[02:27] Speaker_A | Yeah .
[02:30] Speaker_B | I made uh uh my own map .
"[02:33] Speaker_C | No not this , but the task . Yeah . No that's okay . No I just flapped it , closed it , took it here and then this happened ."
[02:33] Speaker_A | Oh yeah sure . You have Playstation also ?
[02:36] Speaker_B | Yeah .
[02:53] Speaker_C | Ah . Uh where was it ? In settings ?
[03:01] Speaker_C | Okay . Alright . Thank you . Do you guys like your tasks ?
[03:08] Speaker_A | Huh .
[03:11] Speaker_B | Yeah .
[03:21] Speaker_B | Yeah .
