[00:13] Speaker_B | Hi .
[00:14] Speaker_C | Hi .
[00:15] Speaker_A | Hello .
[00:17] Speaker_B | Oh .
[00:41] Speaker_A | Good morning .
[00:42] Speaker_C | Morning .
[00:42] Speaker_B | Good morning .
[00:43] Speaker_D | Good morning .
"[00:44] Speaker_A | Uh before I start with the with the meeting I have a few things to tell you about the the setting we're in , uh because we're uh being watched by uh Big Brother . So um Yeah . Yeah . This uh These are cameras , so are these . This thing uh that looks like a pie , are actually all microphones ."
[00:55] Speaker_D | By Big Brother ?
[00:57] Speaker_D | Okay .
[01:02] Speaker_D | Mm-hmm .
[01:04] Speaker_D | Yeah .
[01:07] Speaker_D | Okay .
"[01:07] Speaker_A | So you must be careful with uh with uh all this . And uh as I can see you uh you have placed your laptops uh exactly on the place where it must be . And that has to do with the camera settings , so we don't have our uh laptops in front of the cameras ."
[01:22] Speaker_D | Of our faces .
[01:24] Speaker_A | And Indeed . So they can see our faces . Okay .
[01:45] Speaker_A | Welcome at the kick-off meeting . My name is uh Danny Wolfs .
"[02:01] Speaker_A | Uh then uh a little bit of acquaintance , acquaintance to uh to to ourselves . So uh we get to know each other . Uh that will be done uh with a tool training from the he these two uh smart boards ."
"[02:14] Speaker_A | Then the project plan . What we're going to do , and how we're going to do it . Uh and discussion about that and a little closing at the end ."
[02:28] Speaker_B | I'm Juergen Toffs . I'm the User Interface Designer .
"[02:30] Speaker_A | User interface , okay ."
"[02:32] Speaker_C | Hi , my name's uh . I'm the Industrial Designer ."
"[02:36] Speaker_A | Industrial , yes ."
[02:37] Speaker_D | I'm uh Tim . Um my function is the Marketing Expert .
"[02:41] Speaker_A | Okay , thank you ."
"[02:44] Speaker_A | First a little about the project aim . Uh the the the aim is to make a new remote control . Uh maybe you have read uh read the website . It's a very uh , yeah , very uh ambitious uh company ."
"[02:58] Speaker_A | They uh they wanna do something else . I w Uh there must be a new remote control . Uh first of all uh it must be original , uh and trendy . That's two things really uh close to each other . But at the same time uh user-friendly . And they have uh Yeah , that's uh very important uh for them ."
[03:19] Speaker_A | Uh there are three stages . There is a functional design . So uh what are we going uh to uh to do ? What are we going to uh uh make f uh kind of functions in the remote ? And why are we going to do it ? Then the conceptual design . How are going to do it ?
"[03:53] Speaker_A | Uh each stage is uh uh is broken up in two uh two stages , individual work and a meeting . So it's uh it's very straightforward ."
"[04:33] Speaker_A | thing uh Yeah , it speaks for itself . Um and as you uh may have heard , the documents in the shared folder uh can be uh showed on this screen . Not in y the the My Documents . So if you wanna show something , put it in the shared folder ."
"[04:52] Speaker_A | This uh is very straightforward , with the save , the print , the undo , the blank , the select , the pen . Well , I don't uh gonna explain it all , because I think you know uh how it works ."
