[00:02] Speaker_A | Hello .
[00:03] Speaker_D | Hey guys .
[00:04] Speaker_B | Hi .
[00:05] Speaker_A | Hi .
[00:08] Speaker_A | Yeah .
[00:09] Speaker_A | It's too beautiful .
"[00:10] Speaker_B | Yeah , true ."
[00:13] Speaker_D | Too wicked .
[00:15] Speaker_B | Mm .
"[00:22] Speaker_A | A minute please , my uh laptop is uh oh , there it is , thank you ."
[00:44] Speaker_A | So welcome back .
"[00:51] Speaker_A | the plan is uh that uh each one of you , so not me but only you uh will uh present uh the the things you worked on uh the last uh half hour . I will uh take minutes and will put uh the minutes that I have uh at the end of the session in the shared folder . Also the minutes of the previous session are also in the shared folder now , so you can read that uh now or afterwards . Um"
"[02:07] Speaker_A | Uh second , and I think that's important for the Marketing uh Expert , uh the current uh customers uh are in the age group group of uh forty years and older , but with this uh new remote uh they uh will uh would like to reach uh a group uh younger than uh forty . Uh and uh I think to keep in mind , but not really uh for now is that they uh want the the the slogan and the and the logo uh to uh to be recognised more in the remote . So , we have uh forty minutes , so I think uh not more than ten minutes uh uh per presentation uh each , and please uh use uh all the the the facilities so that you have either SMARTboards , the the Word files , what you uh whatever you want . So uh"
"[02:59] Speaker_A | Tim , can you start ?"
[03:02] Speaker_D | Okay .
[03:02] Speaker_A | Yeah ?
"[03:29] Speaker_D | 'Kay , welcome . I have some uh new findings on uh Marketing Expert level ,"
[03:35] Speaker_B | Mm-hmm .
[03:38] Speaker_D | which I will show you .
[03:58] Speaker_D | and my marketing uh department generated a report with a lot of results .
"[04:06] Speaker_D | Um ,"
"[04:09] Speaker_D | these were a couple of findings , first page of three . Um ,"
"[04:15] Speaker_D | we have three audiences of two audiences , I'm sorry . Uh the first one , this scale , from sixteen to forty five age . Uh the second one is from sixty four uh forty six to sixty five . Um , as you can see here , the market share for the first audience is about sixty percent um sixty five . Uh second audience audience is uh thirty five percent ."
"[04:47] Speaker_D | Mm and some interests from the from the age groups , uh it seems like the young users of remote controls really like the fancy uh new technology stuff , like uh an L_C_D_ screen on the remote control , um"
[05:07] Speaker_D | speech recognition .
"[05:10] Speaker_D | I don't think that's uh really appropriate . Um , and when you see uh the audience ,"
