[00:03] Speaker_A | Hello again .
[00:04] Speaker_B | Hello .
"[00:05] Speaker_D | Hey , Project Manager ."
"[00:07] Speaker_B | Um , Project Manager , I have something to tell you . I have a little problems with my laptop . And uh s s s so I had a little less time to complete ."
[00:08] Speaker_A | Mm yeah .
[00:12] Speaker_A | Okay .
[00:16] Speaker_A | Okay .
"[00:27] Speaker_D | What was it , problem ?"
[00:31] Speaker_D | The laptop ?
[00:33] Speaker_D | It hang hung .
[00:36] Speaker_D | Ha-ha .
[00:37] Speaker_D | Oh .
[00:40] Speaker_D | Project Manager .
[00:44] Speaker_D | You're our Project Manager .
[00:44] Speaker_A | Yes .
[00:50] Speaker_A | Welcome to the conceptual design meeting
[00:54] Speaker_A | for Real Reaction .
"[01:26] Speaker_B | During lunch , yeah ."
[01:29] Speaker_D | Master .
"[01:33] Speaker_A | The the the the the concepts on uh we uh where we uh must reach a decision on . Um uh , our from uh are of two sorts . Components concepts and user interface concepts . Uh , the first one is uh really about the the the the the total package uh with uh Well , we have decided to do a do the uh with a touch-screen that must be a case around it so uh it won't be uh uh as breakable . Uh how how about the energy ? Can you uh can you reload it or uh just have batteries which you must exchange ? Uh , the user interface concept . Uh , with the type and uh the the supplements . So uh where to put what button ."
"[02:23] Speaker_C | Yeah , sure ."
[02:27] Speaker_C | Okay .
"[02:33] Speaker_C | Uh , let me see . I think it's this one ."
[02:43] Speaker_C | Ha .
[02:45] Speaker_B | Wow .
"[02:47] Speaker_C | Right . Uh , well , I'll be talking about the components ."
[03:01] Speaker_A | Mm-hmm .
"[03:24] Speaker_C | Ye Ah , it's it's okay . Uh They , well , they like more the they like the traditional materials , like wood and and such more . Wood and chrome . And uh uh they like uh straightforward shapes . Um , uh they they they they like luxurious uh styles , where whereas the young and dynamic , they like a more uh soft materials ."
"[03:45] Speaker_C | Think of the Teletubbies , for instance . Uh uh , soft and fluffy and colourful and Well uh , shapes are curved and round . Y y you get the picture . And uh they like sports and gaming , and that gives them uh the vitality . Uh , so w well uh , firs Yes ."
