[01:55] Speaker_B | Yo .
"[01:58] Speaker_A | eval eval evalu evaluation s sorry . Uh evaluation crit criteria . Uh , in combination with the finance I um uh I received uh a an uh an Excel uh file"
[02:01] Speaker_C | Evaluation .
[02:01] Speaker_D | Evaluation .
[02:01] Speaker_B | Evaluation criteria .
[02:17] Speaker_D | Hmm .
"[02:17] Speaker_A | which we have to fill in later on . Um , you see . Uh , and then we must see uh if we uh stay under the twelve and a half Euro . So , that's uh that's a big l so let's uh wait it uh um we have we have must uh , we must have uh some time for that uh because it will be uh yeah , quite a lot of mathematics . And after that , uh uh an evaluation of uh the process how we uh how we have done it here with the SMARTboard , with the with our laptops , with the all uh all this . And uh afterwards , uh we closing . Once again , forty minutes , so uh let's start . I would g give the word to um G_ and G_ for the prototype presentation ."
[02:23] Speaker_D | Hmm . Interesting .
"[02:27] Speaker_D | Ah , okay ."
[02:30] Speaker_C | Mm-hmm . That's gonna be t problem .
[02:41] Speaker_B | Oh . Yeah .
[02:59] Speaker_B | Ok okay .
"[03:06] Speaker_C | Yeah , well sure ."
[03:07] Speaker_D | J_ and J_ .
[03:07] Speaker_B | Okay .
[03:07] Speaker_A | J_ and J_ .
[03:09] Speaker_D | Jane and Jane .
"[03:13] Speaker_D | 'Kay guys , take it away ."
[03:15] Speaker_C | Hi .
[03:15] Speaker_B | Take it away .
[03:52] Speaker_B | Idea maybe uh is better .
"[03:57] Speaker_B | Um well , during the meeting I showed you the concept of uh placing the buttons on top , usable with your thumb , and uh the menu structure , uh if necessary , with your other hand , so it's just gonna hold it easily . And it has to be acce accessible with your uh other hand too , of course ."
[04:15] Speaker_B | So we began uh working out a concept .
"[04:17] Speaker_C | Yeah , uh well , and as you saw , we would just have the basic remote with the panel L_C_D_ uh screen . Well , these would be the main buttons , h you could uh change them later on in your own profile if you want to . But , well it's standard they will be delivered with this kind of uh set-up . We have the more advanced menu uh setting right here . We have the sub-menus and stu stuff . We made a top oh , or a front view . Just so like you wanna uh back view . As you can see , this uh there , there are uh two uh weird bumps in it . This is for uh the added uh effect of uh well uh y youth and dynamic . And uh this is for the artistic effect . Well , what we figured is uh we'll show you a picture later on you have more b a better idea after that . But , idea is for to stay in balance with these two uh with these two . And so when you put it on the table , it will just lay down . It won't uh roll around or stuff . But it will lie more in your hand like an old telephone maybe , or like these old uh phones . Y you you may get the idea . So thi this is about uh how we figured it should be . The s panel we g you would hide with some more uh rubber layers , like we discussed early on . Uh , you would s you wouldn't see the uh straight panel , but more fluidly and round ."
[05:09] Speaker_D | Hmm .
[05:20] Speaker_A | Mm .
"[05:39] Speaker_B | Yeah , the panel just uh of course goes like this ."
[05:42] Speaker_C | Yeah .
[05:44] Speaker_B | But the overlaying layer is uh a little bit uh curved and stuff .
[05:48] Speaker_D | Okay .
"[05:49] Speaker_A | No , okay ."
[05:58] Speaker_D | Yeah .
[06:00] Speaker_B | Yeah .
"[06:04] Speaker_B | Yeah . Oh , we added that this um can be held with your hands for this maximum is om yeah , one and a half centimetres . So , you have room here for your battery and maybe even other um electronic chips . S and you can just be the the layer of the touchscreen and some have some wires underneath it to make it as uh thin as possible in the middle for good grip ."
[06:17] Speaker_D | Okay .
[06:24] Speaker_D | Hmm .
[06:31] Speaker_B | Yeah .
"[06:33] Speaker_C | Oh yeah . Now , well this is the idea about uh the bumps . Uh , you can see there's a v a very uh youthful uh dynamic uh exterior . It uh you just want to hold it you uh you are young and uh dynamic like us ."
[06:45] Speaker_D | 'S l it's like an uh Easter egg .
"[06:47] Speaker_C | Yeah , it's like an e but this is for children . We we want a more adult version . But , this is like a remote control for children ."
[06:47] Speaker_B | Yeah .
[06:55] Speaker_D | Weemote .
[06:56] Speaker_A | Weemote .
[07:11] Speaker_D | Mm-hmm .
"[07:11] Speaker_A | Yeah , I can imagine that ."
[07:31] Speaker_C | Or blue or whatever .
[07:43] Speaker_D | Hmm .
"[07:48] Speaker_D | Hmm . Maybe it's an idea to sell it without a cover , so that you can pick a cover in the in the shop ."
"[07:52] Speaker_B | Well ,"
"[07:54] Speaker_B | um I think a cover is necessary , 'cause als otherwise you'll just have the L_C_D_ screen . So , there must be some cheap standard cover , um maybe white or something , that's could comes with it and you can buy , so we can make extra money ."
"[07:57] Speaker_D | Yeah , okay . Yeah , okay ."
[08:01] Speaker_D | Hmm . Mm .
"[08:06] Speaker_A | Yeah , but uh you d you mustn't forget that uh our target aim is younger people . Uh , we had decided to uh put uh some flashy fruity colours in it , uh and uh in the survey from uh Milan and Paris uh it uh it came out that uh uh the d the older people are uh more willing to uh to spend money on extra features . So I think uh it will be a better idea to have some uh flashy fruity colours as as a standard , and for the people who uh really want uh a more sophisticated , more traditional look , they're willing to pay uh that . They want uh they want more luxury stuff , but they have the money to do it and they want to b to buy that . So , maybe it's an idea to put that as an extra and not as a standard ."
[08:07] Speaker_D | Oui okay .
[08:37] Speaker_B | Okay .
"[08:42] Speaker_B | The other way around , you mean ."
[08:49] Speaker_B | Uh-huh .
[08:53] Speaker_C | Yeah .
[08:57] Speaker_B | Mm-hmm .
[08:59] Speaker_B | Okay .
[09:00] Speaker_D | Yeah .
"[09:02] Speaker_C | Yeah . Yeah , maybe yeah , perhaps you're right . Uh , I I would I would actually agree with this sounds logical ."
"[09:08] Speaker_B | Okay , yeah ."
"[09:08] Speaker_D | An another idea . Uh , maybe we could uh develop a cover uh with wood style . They'll please the elder users as well ."
[09:16] Speaker_A | Yeah .
[09:19] Speaker_A | Yeah .
"[09:19] Speaker_B | Well yeah , a colour of a wood style , a white c and uh a couple of h hip uh fruity colours . And lea uh l delivered standard with a fruity colour , but not too not too much . This is banana and mango , not not purple or p orange and yellow ."
[09:25] Speaker_A | Yeah .
[09:25] Speaker_D | Yes .
[09:25] Speaker_C | Nah . Yeah .
[09:30] Speaker_D | Not not too uh yeah .
"[09:35] Speaker_D | Yeah , exactly ."
"[09:36] Speaker_A | Yeah . But , the mai I think th uh the standard must be some kind of uh uh attractive flashy colours . Not too , but w a little , because that's our aim . Yeah ."
[09:45] Speaker_B | Ah . Mm-hmm .
"[09:47] Speaker_C | Yeah , li like like this like this . This isn't this isn't too much , is it ?"
[09:47] Speaker_B | Yeah .
"[09:50] Speaker_B | Yeah , okay . No . Yeah ."
[09:52] Speaker_C | I f
"[09:52] Speaker_A | Well , the buttons don't have to be uh all uh all of yeah ."
"[09:54] Speaker_D | Well I I I think so . Yeah , except for the buttons it's it could be a standard model ."
[10:00] Speaker_B | Okay .
[10:00] Speaker_A | Yeah .
"[10:00] Speaker_C | Yeah , uh something like this would be nice . Okay , that's that's it from us ."
[10:02] Speaker_A | Okay .
[10:03] Speaker_B | Okay .
[10:05] Speaker_A | Thank you .
"[10:06] Speaker_D | 'Kay , it's my time now ."
[10:07] Speaker_B | It's my turn .
[10:12] Speaker_A | The Marketing Expert .
[10:13] Speaker_C | Uh-oh .
[10:21] Speaker_D | Okay .
[10:29] Speaker_D | During the design uh design life-cycle we uh
"[10:36] Speaker_D | we made lot of requirements and trend analysis and stuff . Um , now is the time to uh evaluate our prototype concept to uh"
"[10:47] Speaker_D | to the past requirements . So we are going to evaluate the design according to the past user requirements and trends analysis . Um , we're going to do that with a seven point scale ."
[11:02] Speaker_D | Opening a Word document now .
[11:12] Speaker_D | Okay .
"[11:16] Speaker_D | One oh , okay , uh I have to expla explain something . We have to"
"[11:33] Speaker_A | Okay , so we gon we gonna evaluate the"
[11:36] Speaker_D | We're going to vote . We yeah ? The prototype . Yeah .
"[11:38] Speaker_A | Yeah , the the thing we saw . Okay , just saw ."
"[11:40] Speaker_D | Okay , one . The remote control is designed for people with age below forty ."
[11:46] Speaker_A | Yeah . Seven ?
[11:49] Speaker_D | Seven is false .
"[11:49] Speaker_A | Uh , true . Sorry ."
"[11:54] Speaker_A | Yeah , one I think ."
[11:55] Speaker_D | Most true ?
