[00:23] Speaker_D | Hello .
[01:12] Speaker_A | And then you have to place your laptop exactly on the marked spot .
[01:16] Speaker_D | Alright .
[01:23] Speaker_A | It's important to place your laptop exactly on the marked spot over here .
[01:27] Speaker_B | Okay .
"[01:34] Speaker_B | No , that's okay ."
"[01:43] Speaker_B | Joost , your mouse ."
[01:45] Speaker_D | What ?
[01:46] Speaker_B | No mouse needed ?
[01:48] Speaker_D | I've got a touch-pad . Do you know how how I can wake it up ?
[01:50] Speaker_B | Mm .
[01:54] Speaker_B | A touch-pad ?
"[01:55] Speaker_D | No , my laptop ."
[01:58] Speaker_B | Slap it .
[02:08] Speaker_D | Do you know how how I can wake it up ?
[02:09] Speaker_A | No . Yeah . Try the power button .
[02:12] Speaker_D | Oh .
"[02:18] Speaker_D | Come on , move it ."
"[02:30] Speaker_D | Now , wake up , bitch ."
[02:35] Speaker_A | Huh .
[02:38] Speaker_B | F_ five .
[02:41] Speaker_B | F_ five .
"[02:45] Speaker_D | Yeah , so did I . I closed it . That wasn that wasn't very smart , I guess . Come on . Get back to me ."
[02:47] Speaker_B | I don't .
[02:59] Speaker_D | Yes .
[02:59] Speaker_C | Yes .
[03:03] Speaker_D | I closed it .
"[03:05] Speaker_A | Yeah , my name is name ."
"[03:09] Speaker_D | No , I didn't restart it , I just closed it ."
[03:14] Speaker_D | Yes .
[03:16] Speaker_B | Hope it working .
[03:18] Speaker_D | Alright .
[03:21] Speaker_C | No .
[03:28] Speaker_B | Never close your laptop .
"[03:31] Speaker_A | Yeah ? Everybody's ready ? Great . Well , welcome to the kick-off meeting . I uh forgot to put my name over here , it's uh it's Martin ."
[03:32] Speaker_D | Great . Thanks .
[03:32] Speaker_B | Yeah .
"[03:42] Speaker_A | Uh , so you all know ."
"[03:46] Speaker_A | Well , this is the agenda for today . Well , the opening is what I'm doing right now . Uh , we gonna do some acquaintance acquaintance things . Uh give some um"
"[03:57] Speaker_A | examples of the tool training , project plan discussion and the closing . We have twenty five minutes ."
"[04:04] Speaker_A | Okay , the project aim is to design a new remote control . Uh , some of the oje objectives are that is has to be original , trendy , and user-friendly ."
[04:07] Speaker_D | Mm-hmm .
[04:15] Speaker_B | Okay .
[04:15] Speaker_A | So now we all know what our
"[04:17] Speaker_A | goal is . Um , I oh forget I forget the whole acquaintance part , but we we all know each other . We all know each other's names . Joost , Guido , Antek ."
[04:25] Speaker_D | Yes .
[04:26] Speaker_B | What is your name ?
[04:26] Speaker_C | Yes . Antek .
"[04:29] Speaker_A | Okay . I think we uh al already uh been through that part . Okay , it consists of uh three levels of design . Uh we begin with the functional design , then we go to the conceptual design and the detailed design . Every uh level of design consists of some individual work , and we uh close it with a meeting . You all received an email with a example of our explanation of what uh the particular level of design uh means to the different uh functions , and uh you p you probably read that already , so I don't have to tell you about that ."
[04:31] Speaker_B | Okay .
[04:32] Speaker_B | Yeah .
[05:01] Speaker_D | Yes .
[05:01] Speaker_B | Yes .
"[05:05] Speaker_A | Okay , first we're gonna um uh gonna try some different things with the tools we have over here , so you get acquainted with these uh um uh meeting tools . We have the smart-boards , uh the thes those two boards . This is the presentation boards , wh which one I'm using right now . You can uh um there's a document folder called um the sh shared document folder . You can upload your uh documents to that folder and then you can open them over here , so you can do your PowerPoint presentations on this screen . We also have the white-board . Uh , we're gonna skip through th"
"[05:45] Speaker_A | No , no . Just on the on the screen over there ."
"[05:49] Speaker_A | Oh , no . Probably is , but I don't know if the software is on the laptop . Is is if it's mainly a thing for in the meeting , so I don't think it's I don't know if it's important ."
[05:56] Speaker_B | Okay .
[06:00] Speaker_A | This an explanation of the smart-boards . There is a tool-bar over here .
"[06:05] Speaker_A | It's quite simple . You have the the pen function , eraser function . It's like a very simple uh paint application . Uh , we well , we use the same file during uh the whole day , and uh you can make new sheets by uh by pu puttin pressing on the blank button . It works like this ."
"[06:26] Speaker_A | Oh . If pen is selected , yes . Oh , no no ."
[06:30] Speaker_B | With that pen ?
[06:33] Speaker_A | But it is pen .
[06:36] Speaker_A | It's not working like a pen yet .
[06:42] Speaker_B | Mm .
[06:42] Speaker_A | Huh .
[06:52] Speaker_A | Huh .
[06:53] Speaker_B | Mm .
[06:54] Speaker_A | It's doing some stuff now . So you can use a pen . You can use an eraser .
[06:55] Speaker_B | Little bit slower .
"[07:00] Speaker_A | And you can make new uh fi uh new blanks , and you can change uh the line width and the colour of the pen by pressing on forward , which y you have to select pen format ."
[07:15] Speaker_A | And then select current colour or line width .
"[07:19] Speaker_A | So , it's quite easy ."
"[07:22] Speaker_A | Uh well , now you're all uh acquainted with the different tools ."
"[07:29] Speaker_A | Right , we're gonna try out the electronic white-boards . Uh , every participant should draw his favourite animal and some of its favourite characteristics , on blank sheets with different colours , with different pen widths . Uh , I'll start off then . I'll use this uh same sheet . Alright ."
"[07:51] Speaker_A | Oh , let me think ."
[07:55] Speaker_A | Different colours .
[07:59] Speaker_A | Oh .
"[08:07] Speaker_A | Well , I'm gonna draw um a p piranha . Uh , a fish ."
[08:13] Speaker_A | Uh .
[08:27] Speaker_A | Mm-hmm .
[08:33] Speaker_B | Oh .
[08:33] Speaker_A | I'm gonna use some different colour now . Some a little white .
[08:41] Speaker_A | Looks like a fish .
[08:43] Speaker_A | Think it is .
[08:48] Speaker_A | Oh .
"[09:06] Speaker_A | Uh , colour ."
[09:11] Speaker_A | This is black ?
[09:13] Speaker_A | I think so .
[09:18] Speaker_A | Oh .
"[09:22] Speaker_A | Oh , this is just uh"
[09:29] Speaker_A | drawings but Oh teeth . I need teeth .
"[09:38] Speaker_A | Well , they're not supposed to be green , or whatever colour this is ."
[09:42] Speaker_B | Hmm .
[09:43] Speaker_A | Okay .
[09:47] Speaker_B | Different .
"[10:04] Speaker_A | Well , that's what I like about uh piranha . I think that's kind of what uh the intention should be ."
[10:06] Speaker_B | Okay .
"[10:12] Speaker_A | Well , who wants to be next ?"
"[10:16] Speaker_A | You go , Guido ? Okay ."
"[10:20] Speaker_A | Uh , make a new sheet . Uh , it's by pressing on blank . Yep ."
[10:23] Speaker_B | Blank ?
[10:26] Speaker_B | Okay . Then pen again ?
[10:29] Speaker_A | Yep .
[10:30] Speaker_B | Okay .
[10:31] Speaker_A | And uh so in the format menu you can choose the different uh colours and uh pen widths .
[10:42] Speaker_D | Format .
"[10:54] Speaker_B | Ah , purple ."
[11:10] Speaker_B | That's my bird . Yeah ? Isn't it quite it's a little bit light .
"[11:20] Speaker_B | Uh , another colour maybe . A red one ."
"[11:26] Speaker_B | A small one . Uh , line width ."
[11:32] Speaker_B | Two ? Three . Oh that's okay .
"[11:40] Speaker_B | That's another one . Ano Uh uh it's a Yeah , it's uh the most simple uh animal I know , I think . Um , I don't know . Maybe because uh there's there's some s uh free uh maybe in the sky or something like that . Maybe a little bit . Yeah . I don't know ."
"[12:01] Speaker_A | Oh , okay . Okay ."
[12:04] Speaker_A | Okay .
"[12:05] Speaker_A | No , uh it's clear ."
"[12:06] Speaker_B | So more uh birds ? Okay , okay , okay ."
[12:08] Speaker_A | N no no .
[12:10] Speaker_A | We get your point . Okay . Who wants to be next ?
[12:22] Speaker_D | Oh . What should I draw ?
[12:26] Speaker_B | A cow .
[12:26] Speaker_A | Oh .
[12:40] Speaker_D | I'll draw a penguin . Whatever .
"[12:43] Speaker_D | I can't draw , so"
[12:46] Speaker_D | you can start to laugh already .
[12:50] Speaker_D | Whatever . Something like that .
[13:02] Speaker_D | Come on .
"[13:04] Speaker_B | Yeah , it's little bit hard ."
"[13:07] Speaker_D | Mm hmm hmm , orange ."
"[13:09] Speaker_B | Orange , of course ."
[13:13] Speaker_D | Whatever .
[13:24] Speaker_D | Everything's better than your bird .
"[13:30] Speaker_D | Whatever . Hey , it's blue . No . Whatever . Um , I like its ugliness and uh Yeah , whatever . The way it walks or whatever . Your turn ."
[13:44] Speaker_A | Okay .
[13:50] Speaker_C | I'm going to draw a cat .
"[13:53] Speaker_C | I don't know why , but a cat is a very uh smart animal ."
[14:00] Speaker_C | And you can have them at home .
[14:11] Speaker_A | Huh .
[14:13] Speaker_D | Or a line .
"[14:18] Speaker_B | Don't mess with my birds , yeah ."
[14:29] Speaker_D | Hmm . It's a handicapped cat .
[14:51] Speaker_A | Okay .
"[15:01] Speaker_A | Oh , okay . Okay . Okay . Okay , and then we are uh through the tool training , I guess ."
[15:05] Speaker_B | Okay .
"[15:15] Speaker_A | Okay , this is uh something about the project finance . The selling price of our remote control is gonna be twenty five Euros . And our profit aim is fifteen million Euros . We're very ambitious on this one . The market range is international , so it's gonna be sold world-wide , and the production cost should be a maximum of twelve Euro fifty per remote control . So that's clear . Yeah ?"
[15:41] Speaker_B | Okay .
"[15:43] Speaker_A | Okay , we're now gonna discuss some stuff when well , we're gonna brainstorm about uh what kind of kemoro romo remote control it's gonna be . Uh , well tell me about your experiences with the remote controls . Do you have uh know what good experiences with remote controls ? Or do they annoy you sometimes ? Are they difficult to understand , or maybe they don't interact with different kind of uh equipment very well ?"
[15:59] Speaker_C | Yes .
[16:08] Speaker_B | Hmm .
"[16:08] Speaker_D | I don't th I don't think the four of us got problems with remote controls , but if you see elderly people , all these buttons , and then they buy new T_V_ because their previous one was stolen or whatever . And then a totally different remote control with with different functions on different places , and half of the functions a are removed , or whatever . Uh , so I think what we need is is a clear uh remote control with"
"[16:13] Speaker_A | Yeah , okay ."
[16:18] Speaker_B | Different .
[16:21] Speaker_A | Okay .
"[16:45] Speaker_D | Well , one area or whatever , not like the button to enter text on top of the remote control and the button to um , yeah , to minimise it to this this or whatever o o other functions totally somewhere else . I think we should group them . And same for the for the volume buttons and the the t"
[16:57] Speaker_A | Okay .
[17:00] Speaker_A | Yeah .
[17:02] Speaker_A | Okay .
"[17:11] Speaker_D | Well I was I was thinking uh since a T_V_ is uh mostly used together with a V_C_R_ or D_V_D_ player or recorder , and not with a stereo , I think it should be good to include functions for V_C_R_s and D_V_D_ players , recorders ."
[17:12] Speaker_B | Yeah .
[17:19] Speaker_A | Mm-hmm .
[17:22] Speaker_A | Mm-hmm .
