[00:08] Speaker_D | I dunno .
[00:17] Speaker_B | Hi there .
[00:22] Speaker_A | Yo .
[00:26] Speaker_A | Ow .
[00:42] Speaker_D | 'Kay .
[00:50] Speaker_D | Nice user interface .
[00:52] Speaker_A | Yeah .
"[01:00] Speaker_A | Yeah well , ja well let's just start . I've uh made a presentation"
[01:04] Speaker_D | 'Kay .
[01:08] Speaker_D | Right let's see it .
"[01:08] Speaker_A | uh but uh I'll open it on the Smartboard , so we can all see it ."
[01:15] Speaker_A | So it's in the project documents because that's what we can find here .
[01:22] Speaker_A | Well . Very nice .
[01:34] Speaker_D | 'Kay .
[01:50] Speaker_A | Uh we'll do the opening and then uh
"[01:53] Speaker_A | we'll meet each other , what uh we already do , so , that's not uh very much trouble . I'll I'll show you the"
"[02:01] Speaker_A | the tools we have here , so that we can all use them . Then uh we'll look at the project plan from uh Real Reaction ."
"[02:27] Speaker_A | We have to uh design a new television remote control . You have heard that uh already I think , so . Um we want it to be original , so a nice uh a nice new design ."
[02:33] Speaker_D | Mm-hmm .
"[02:39] Speaker_A | Uh trendy , it's also for young people , and we have to just uh make it uh modern ."
"[02:55] Speaker_A | Well it has to be a have the the right uh the right buttons on the right place , that kin those kind of things ."
[03:00] Speaker_C | Mm-hmm .
"[03:06] Speaker_A | There happen to be uh three stages . functional , conceptual , and d detailed design ."
"[03:14] Speaker_A | Um so every time we we'll do some individual work , get meeting , talk about it , uh and then go into the next phase ."
[03:24] Speaker_A | That's just it .
[03:29] Speaker_A | We have uh these two Smartboards .
"[03:33] Speaker_A | Um well as I just showed , there's a project management folder , a project document folder on the desktop . It just works exactly the same as a computer . You just uh click on the on the folder and you open the everything you you put in it with your laptop . So you can uh make uh Words Excel , everything ."
"[03:52] Speaker_A | Um and the w the r uh the rest uh also works the same so uh when you open a notepad you uh you just get your uh things , you can uh draw . This is a uh well a drawing board ."
[04:10] Speaker_A | different uh functions on the board . You can see them there .
"[04:16] Speaker_A | So you have a a nice pen , and it's works just like a bal ball pen . This is just a ."
[04:31] Speaker_A | Yes I will eraser so .
[04:36] Speaker_A | It's fantas fantastic . We can uh uh well you can save a file . So if uh we draw we have to save everything . Don't throw anything away .
[04:45] Speaker_C | Mm-hmm .
"[04:46] Speaker_A | Uh just we can start a new one ,"
"[04:50] Speaker_A | and we just go on , and don't throw anything away . Just uh let them all uh stand here ."
"[04:56] Speaker_A | We can delete , but we don't do that . Um you can here select a pen , you can draw anything you want . It's a bit uh childish you have to write . It's not as fast as you w you know it , but it does work sometimes . Well it's just like a normal uh"
[05:19] Speaker_A | paint . So it's gone .
"[05:22] Speaker_A | Well we are designers , so we have to have a a more uh a Smartboard . So that's fantastic . Um well this uh speaks for itself ."
[05:35] Speaker_A | We going to try it .
"[05:38] Speaker_A | So um we all uh are going to uh draw a nice animal on this board , not my idea . Yes our your favourite . So um I'm to going to have to draw a kangaroo , but I'm going d I'm not going to . I'm just uh going to uh well draw a nice uh"
[05:58] Speaker_A | beast w I dunno what I'm going to design . Oh um doesn't oh .
[06:07] Speaker_C | I hope this was part of the assignment and not uh your uh I hope this was part of the assignment and not uh your personal uh enjoyment .
"[06:08] Speaker_A | Yeah , 'kay ."
[06:10] Speaker_A | Hmm ?
"[06:13] Speaker_A | I just said it's not my idea but I am the Project Manager , and officially this is my idea . So what ?"
[06:14] Speaker_D | Yeah .
[06:18] Speaker_C | I I I I understand . Alright .
"[06:20] Speaker_D | We're kinda losing time , though ."
"[06:23] Speaker_A | Ah the first the first meeting is just a bit uh loose , loosen up , a bit uh meeting each other well uh uh nice yeah . Sh"
[06:27] Speaker_D | Alright .
[06:39] Speaker_C | Don't uh count on it .
[06:40] Speaker_A | No so a a few legs .
[06:46] Speaker_D | Do we have to guess ? A hippo ? Yeah .
[06:58] Speaker_C | Oh .
[06:59] Speaker_C | Oh I know it .
"[07:01] Speaker_A | Well what is it , huh ?"
[07:03] Speaker_C | It's a hedgehog .
[07:29] Speaker_A | We're going back and now uh our Industrial Designer can uh draw its uh most favourite animal . Huh .
[07:32] Speaker_D | Alright .
[07:34] Speaker_D | Thank you .
"[07:37] Speaker_C | Chief , I am the Industrial Designer ."
[07:39] Speaker_A | Oh uh but this uh marketing designer .
[07:41] Speaker_C | Yeah .
[07:47] Speaker_C | It's pr it resembles the animal drawn by .
[07:59] Speaker_C | I think can I say it ?
[08:01] Speaker_D | Yeah sure .
"[08:11] Speaker_D | Looks very nice , right ?"
[08:12] Speaker_A | Yeah .
[08:12] Speaker_C | It looks amazing .
[08:14] Speaker_A | No no no . What are you going to do ?
[08:18] Speaker_A | No no . No no save it and start a new uh save it
[08:22] Speaker_D | Yes .
[08:23] Speaker_A | and start a new black uh doc a blank document .
[08:27] Speaker_D | Yes uh right .
[08:31] Speaker_D | You go man .
[08:53] Speaker_D | Alright .
[08:58] Speaker_A | Well y y y you could have but uh .
[09:00] Speaker_C | And he deliberately draws a animal we don't know the English word for .
[09:02] Speaker_A | It speaks for itself .
[09:09] Speaker_C | It looks like that beast from Sesame Street .
[09:14] Speaker_C | Yeah .
[09:20] Speaker_A | Is it a duck ?
"[09:20] Speaker_D | You're standing in front of it , I can't see it . Alright , thank you . Yeah it's a bird , but what kind of bird ?"
[09:28] Speaker_A | It doesn't draw uh circles uh that easy uh .
[09:32] Speaker_D | You have to push harder .
"[09:33] Speaker_A | Yeah just a bit a bit childish , a bit ."
[09:33] Speaker_B | Mm .
[09:36] Speaker_C | But we have uh do we have to name the specific species of the bird ?
[09:37] Speaker_D | Release your anger .
[09:43] Speaker_C | No ?
[09:46] Speaker_C | Well wonderful .
[09:53] Speaker_A | And then a a new blank document for .
[09:57] Speaker_B | Here you go .
[10:09] Speaker_C | Uh current colour .
[10:12] Speaker_B | Mm .
[10:20] Speaker_A | It's not like in paint . Line width . And you can choose a nice one . Width width . With each other .
[10:23] Speaker_C | Line width .
[10:24] Speaker_B | Width .
[10:25] Speaker_C | Uh fifteen . And I can draw ?
[10:28] Speaker_B | Hmm .
[10:29] Speaker_A | Yeah .
[10:41] Speaker_B | It's a pussy cat .
"[10:45] Speaker_C | Oh the line width is too thick , but oh well ."
[10:48] Speaker_A | Well then you change it .
[10:51] Speaker_A | And erase things .
[10:53] Speaker_C | Uh .
[11:01] Speaker_C | It smiles nicely .
[11:11] Speaker_C | Uh one .
"[11:14] Speaker_C | These are whiskers , you know ."
[11:16] Speaker_D | Right .
[11:17] Speaker_C | Uh well I think it's obvious right now .
[11:26] Speaker_D | No it looks great .
