[00:33] Speaker_A | Uh fourth meeting .
[00:38] Speaker_B | We have to do what ?
[00:39] Speaker_A | Some extra deciding .
[00:42] Speaker_B | Oh .
[00:53] Speaker_C | Yeah .
"[00:54] Speaker_A | Then um I guess that's your bit ? I I didn't s see anything about it , so I already uh thought you uh you were to do that . So the you're uh . I'll show you how we're going to do with financing this uh design ."
[00:57] Speaker_D | Yeah .
[01:10] Speaker_B | Mm .
"[01:12] Speaker_A | And then we'll evaluate , after after we have redesigned it . Because uh well we'll see about the costs . Um we'll uh evaluate our p our uh production"
[01:24] Speaker_A | and then uh we can close .
[01:27] Speaker_C | Alright .
[01:39] Speaker_B | I think it is .
[01:46] Speaker_A | Alright .
[02:18] Speaker_C | Repeat it yeah . Alright .
[02:20] Speaker_A | This is what we decided . It's also copy paste from what we made together . So we still know that . And then uh we can we can uh use the time better .
[02:25] Speaker_D | Okay .
[02:30] Speaker_A | Well uh next you two will uh present uh the pot prototype for us .
[02:36] Speaker_A | Yeah .
[02:40] Speaker_B | No you go and I'll uh
[02:42] Speaker_B | supplement you .
[02:46] Speaker_C | Right . Uh well this is our design . Uh it's pretty uh much uh like uh Mike draw uh drew uh the in the during the last meeting . With uh the different uh perspectives of it . Uh we'll begin uh with the front .
"[03:01] Speaker_C | We have of course uh the the round shape uh the round uh basic shape . Um with uh the upper part being the front . Th So there's this part um which is made of hard plastic , the front ."
[03:23] Speaker_A | Mm-hmm .
"[03:35] Speaker_C | of the of the device . Uh which is of course um part of the back actually , because it's also titanium ."
"[03:42] Speaker_C | You can see it also on the on the on the side view , that only this part is the front , and the rest of it , the under uh the under side uh of it , yeah , the back side and the lower part of the front is of course titanium made of titanium , and has the titanium colour of course , the look ."
"[04:01] Speaker_C | Um then we have uh on back on the front uh the logo in the upper corner , uh which is uh made uh which is also part of the back , part of the titanium uh titanium part . Yeah ?"
[04:01] Speaker_A | Mm .
[04:15] Speaker_B | It's a double R_ .
"[04:17] Speaker_C | It's a double R_ . Yeah the logo Uh uh it's difficult to draw so small , but it's our double R_ uh logo is in there . Um so that's the logo in the upper lef uh right corner ."
[04:18] Speaker_B | But it's very difficult to to draw that in Yeah .
"[04:18] Speaker_A | Yeah , alright ."
[04:22] Speaker_A | Okay .
[04:24] Speaker_A | Yeah .
[04:28] Speaker_C | Then we have the buttons . Uh it's difficult to draw again the little oval or round I think oval will be better for the for the d for the different uh channel buttons .
[04:35] Speaker_B | Oval yeah .
[04:38] Speaker_A | Alright .
"[04:41] Speaker_C | So uh oval , n those are here . And then we have the m"
[04:45] Speaker_C | The m
[04:46] Speaker_B | Channel up and volume ?
"[04:48] Speaker_C | Yeah the the con the the the , yeah , the t volume and the channel controls uh in the middle here . Um um with kind of arrow shapes , which makes it also a bit more exciting than basic round or um uh"
[05:13] Speaker_B | Yeah .
[05:13] Speaker_A | Mm-hmm .
[05:21] Speaker_A | Alright .
