"[00:10] Speaker_B | Good morning , Flores ."
[00:10] Speaker_A | G good morning .
[00:15] Speaker_B | Marketing Expert .
[00:16] Speaker_A | Oh yeah .
[00:22] Speaker_B | Right .
"[00:23] Speaker_A | Are you ready ? You should put the laptop uh right into the square . For i for the cameras , yes . Good morning , Sebastian ."
[00:28] Speaker_B | For the cameras
[00:30] Speaker_B | Alright .
"[00:40] Speaker_A | Um well , actually I didn't go , didn't feel like it . So Do you want to open it as read-only . Um I guess I should close it here ."
[00:54] Speaker_B | You have the same message of uh Windows cannot um
[00:59] Speaker_B | sen oh stand-by . Close the the window .
"[01:01] Speaker_A | Okay , the waiting is for our Marketing Expert , Ruud . Um project kick-off ."
[01:04] Speaker_B | That's right . Ruud .
[01:11] Speaker_C | Is there a schedule for this meeting ?
"[01:13] Speaker_A | Yes , there is actually . Um I will li list the agenda for today . For this meeting ."
"[01:24] Speaker_A | Good morning , Ruud ."
[01:31] Speaker_C | I shall close the door .
[01:45] Speaker_A | Okay .
"[01:56] Speaker_A | Okay . Um we're here to develop uh a new product . Um I'm sure you've had a mail from our account manager about it . Um and um this is the first meeting to to generate some uh uh some ideas about it . Um you are here in a specific role . Uh Ruud is here as the Marketing Expert , Roo is here as the User Interface Designer and Sebastian is here uh in the role of Industrial Designer . Is that correct ? Okay . Um we're going to do um uh uh a little tool training uh for the tools we are going to use uh during uh the meetings we are going to have here . Um then I will tell you a little bit about my idea of the project plan , uh and we will have a discussion . Uh this meeting should take no more than twenty five minutes , so we should keep that in mind ."
[02:05] Speaker_B | Mm-hmm .
[02:28] Speaker_C | That's correct .
[02:29] Speaker_B | Mm-hmm .
[02:55] Speaker_B | Alright .
[02:55] Speaker_C | Okay . Um is there any room for a little presentation ? Uh maybe during the discussion uh section ?
"[03:02] Speaker_A | There is ? Yeah , there is ."
[03:04] Speaker_C | Okay .
"[03:13] Speaker_A | it's a remote control , a television remote control . Um and first of all it should be original , it should be trendy and user-friendly . Those are kind of easy um uh uh goals , um and I'm sure we can find more goals for the for the product we are going to develop . Um we will discuss uh later on more ideas about uh how the remote should look and how it sh it should function and all those kind of things . The market , we should have a look at the market . Um we are going to use a a pred a project method uh during uh this development , um which consists of three different design stages ."
[03:41] Speaker_B | Okay .
"[03:58] Speaker_A | Uh the functional design , the conceptual design and the detailed design , um all of these stages um um mean that we do some individual work , prepare , and then uh meet to discuss our uh uh the the the progressions , yes . Um the first stage , the functional design um we are going to search for the user requirements , and we will um make a specific uh specification of that . Um the second is the technical functional design , um what effect should the remote have ? Well in this case control t the the television I think ."
[04:48] Speaker_B | It's for the vision . Yeah .
"[04:49] Speaker_A | Um and the last one is the working design . How exactly does it work in the technical sense . Um the other design stages , uh we will discuss that later . So we'll kop it keep it with the functional design . Okay , um before we think about remote control we will um work with some of the tools we have uh here . Um as you see now I can give a presentation . Um it's also possible to use this one as well . You can uh uh display pr uh two presentations if you want to . Um"
"[05:48] Speaker_A | yeah , I will show that now . Um"
"[05:52] Speaker_A | you can draw on the board using this pen . There are little um uh sensors , so do not grab it here , but a lit more a little bit more to the uh to the end . Um"
[05:57] Speaker_B | Sensors .
"[06:06] Speaker_A | well , it it's on the um eraser now , so we click the pen button ."
"[06:20] Speaker_A | Okay , so not too fast writing . Um"
[07:00] Speaker_A | make something go away .
[07:01] Speaker_B | But we all use the same white-board file
[07:04] Speaker_A | Yes .
[07:05] Speaker_B | So we can work together on it while we're or should we only use it in the in the meetings ?
[07:08] Speaker_A | Yeah .
"[07:13] Speaker_B | Yeah , okay ."
"[07:15] Speaker_B | Yeah , alright . Yep ."
[07:24] Speaker_A | Let me see .
[07:37] Speaker_A | I guess it's maybe because I'm not s uh pen selected .
"[07:41] Speaker_A | Yep . Current colour , you can choose another colour . And um for example"
"[07:50] Speaker_A | black , and you c I can choose the line width . Um so now I d have a different"
"[07:58] Speaker_A | line width and uh colour . Okay . Quite easy , if you uh do have any questions , just c ask me . Um to um oh well , I'm I wrote down the documents uh should be in the project documents folder if you want to uh discuss it with us . Um as a little training um I will ask Ruud first to draw uh uh your own animal on a new slide uh with uh a different colour and a different line width than the one uh now selected ."
[08:34] Speaker_D | Okay .
[08:48] Speaker_D | Um green .
[09:12] Speaker_D | Uh a wee rabbit .
"[09:14] Speaker_A | A rabbit . Okay , well great . Um Roo , could you do the same please ? But a different animal with a different colour and a different line width ."
[09:15] Speaker_C | Alright .
"[09:21] Speaker_B | But of course , Flores ."
[09:28] Speaker_B | Blank .
[09:29] Speaker_A | Sebastian is thinking about the animal .
[09:34] Speaker_A | Okay .
"[09:34] Speaker_B | Yeah , I'm think about it too . Format ."
"[10:03] Speaker_B | Well , it looked more than a bunny than a cat , but it works , right ?"
[10:07] Speaker_A | It it should be a cat . Okay ?
[10:45] Speaker_A | I'm guessing a horse .
"[11:18] Speaker_A | Yes , okay ."
[11:21] Speaker_C | Beautiful .
"[11:24] Speaker_A | Okay , so um you can use this at any time during the presentation if you want to . Um any questions well , just just let me know . Um okay , back to our project . Um the remote control we are going to develop um will have a selling price of about twenty five Euros . Uh the profit we are looking for for this product is fifty million Euros ,"
