[00:07] Speaker_A | Welcome back .
[00:08] Speaker_B | Hello .
[00:09] Speaker_D | Hello .
[00:10] Speaker_A | Uh let me see .
[00:13] Speaker_B | There's one of mine .
"[00:26] Speaker_A | Okay . Roo , welcome back ."
"[00:31] Speaker_B | Hello , Flores ."
[00:32] Speaker_A | The waiting is for Sebastian .
[00:37] Speaker_A | There he is .
[00:39] Speaker_B | We have a slight problem . I opened uh the C_D_ ROM box uh guys .
[00:42] Speaker_A | Sorry ?
"[00:44] Speaker_A | Uh no . You can't , sorry ."
[00:47] Speaker_B | So just cancel it .
"[00:59] Speaker_B | Yeah , I opened the C_D_ ROM box . Accidentally . But it's alright ."
"[01:01] Speaker_A | Okay . Okay . People , welcome back with the second meeting ."
[01:29] Speaker_B | Mm-hmm .
[01:37] Speaker_C | I think so too .
[01:37] Speaker_A | Roo ?
"[01:39] Speaker_A | Ruud ? Almost , okay . Then we'll do your one uh uh as la uh the last . Um the top goal of this m"
"[01:46] Speaker_B | But you can't upload your presentation from here , I believe ."
[01:54] Speaker_B | Okay .
[01:55] Speaker_D | Uh if it if it if it's wireless I could just uh put it in the .
"[01:58] Speaker_A | Yeah , w we will see ."
"[01:59] Speaker_B | I don't think it's wireless here . Or it is . Yeah ? Okay , great ."
"[02:00] Speaker_A | Um it is , yeah ."
[02:00] Speaker_C | It is . It is .
[02:03] Speaker_D | Uh okay .
"[02:04] Speaker_A | Yeah . Um the top goal of this meeting is to reach a decision on the product , on the target group um and and the functions of the remote control , so keep that in mind . Um"
"[02:23] Speaker_A | Yep . Okay . Um the new project requirements , first of all , um we didn't speak about it , but we should not um support teletext in the remote , um because our b um board uh feels that uh teletext is out of date and internet is replacing teletext . So um we are not even going to try to um implement it in our product ."
[02:59] Speaker_B | Yeah .
"[03:05] Speaker_B | Time , yeah ."
[03:41] Speaker_B | Yes .
[03:42] Speaker_A | Is that clear ?
[03:45] Speaker_A | Any questions on these
[03:48] Speaker_A | requirements ?
[03:52] Speaker_A | No ?
"[04:03] Speaker_B | Yeah , I'll start ."
"[04:03] Speaker_A | Uh uh yeah . Okay , great ."
[04:04] Speaker_C | Yes .
"[04:14] Speaker_B | Geez , and sli and show ."
[04:25] Speaker_B | Just uh press it . Uh yes .
[04:28] Speaker_B | Alright .
[04:31] Speaker_B | Um well w we uh we had discussed this already in the fin in the previous uh discussion . Uh the method of the remote control is just the function of remote control is basically to send messages to the television set .
[04:46] Speaker_B | So that was
