[00:04] Speaker_C | Did you manage ?
"[00:05] Speaker_D | Yeah , sh not quite ."
[00:07] Speaker_C | Okay .
[00:09] Speaker_C | Ah . Hello .
"[00:12] Speaker_A | Hello . So , are you d what were j you guys discussing ?"
"[00:16] Speaker_C | No , just uh ask if if he could manage ."
[00:18] Speaker_D | Woah .
[00:20] Speaker_D | Yeah .
[00:20] Speaker_A | Okay . Did you find anything new ?
[00:24] Speaker_A | Mm-hmm .
[00:25] Speaker_C | I have a lot of new information .
"[00:25] Speaker_D | Yeah , the for uh the trendy uh stuff ."
"[00:27] Speaker_A | Great , great ."
[00:31] Speaker_D | A little bit . I uh now will show it .
[00:31] Speaker_A | Come on .
"[00:34] Speaker_C | Hey , everything alright . Did you manage ?"
[00:39] Speaker_C | Okay .
[00:39] Speaker_D | Okay .
"[00:43] Speaker_D | Yeah , I had the same . It just uh"
[00:46] Speaker_C | Do you have a lot of new information ? Do you have a lot of new information ?
[00:48] Speaker_B | Hmm ?
[00:58] Speaker_D | Oh .
[00:58] Speaker_A | And there we are .
[01:00] Speaker_C | Huh .
"[01:06] Speaker_C | Alright . I have a lot of new information . I have a complete list of uh everything that we can use , all the components that all av available . I have no I still don't have any finance information , but at least we have a lot more to go on now"
"[01:07] Speaker_A | What the f oh , yeah uh ."
[01:22] Speaker_B | You need to start it up first ? Okay .
[01:25] Speaker_A | 'Kay .
[01:35] Speaker_D | Yep .
"[01:55] Speaker_A | Here we go . Anyway , last w last w what discussed last time , you all remember that , that we have to keep the electronics size in mind . Same goes for you . We have to have an easy design with big buttons which are durable and there are people actually spen willing to spend money to do to get more features and uh among those features L_C_D_ screen and voice recognition are very popular . So we have to make a move on that area , I guess . S especially s when when the new uh component is applicable in our uh product , we'll be fine ."
"[02:25] Speaker_A | Anyways , well teletext wasn't important and that's what I took . And the consumer , yeah , we aim for young consumers , so that's fine . And well actually we yeah , we did need some more data on finances , but w yeah we still don't have that apparently . That's too bad . Yeah , we need to im de we are going to implement the beep and the flash thing to recover your remote . So one of these interchangeable covers apparently which will make it a more fashionable product . So anyway ."
[02:40] Speaker_D | Mm uh-huh .
"[02:56] Speaker_A | Guess we'll have to do this after the after the you give your presentations . So I'll just close this one now , and let's uh let's see , . We have a lot to tell . You had a lot to go on . So uh how about you go first ."
"[03:03] Speaker_B | Okay , what t"
"[03:07] Speaker_C | Yep , that's right ."
"[03:08] Speaker_B | Okay , yeah ."
[03:09] Speaker_D | Oh okay .
[03:14] Speaker_C | Let's see where my
[03:17] Speaker_C | presentation is .
[04:10] Speaker_C | My personal uh fav favourite is the kinetic provision because uh I ha
[04:14] Speaker_A | Does it provide enough energy ?
"[04:16] Speaker_C | I think so , yes ."
"[04:17] Speaker_A | Also if if we were choose the the L_C_D_ option , would it give enough energy Okay , that's the just assume it takes ."
[04:21] Speaker_C | Yes .
"[04:22] Speaker_C | Yes . Because I had the information uh you take uh the remote control , you pick it up at least two times a day . So then it's already shaken and gives energy ."
[04:31] Speaker_B | Is that enough ? Because I don't really see people shaking their remote control before using it .
"[04:34] Speaker_A | No , I don't think so , because uh watches can go on kinetic energy because they move all the time . But I'm sure t I mean remotes lie still I think like ninety nine percent of the time . So I don't think that's a really good the other alternative were solar cells . I don't think that's applicable because"
[04:40] Speaker_C | Hmm .
[04:42] Speaker_C | Hmm .
"[04:49] Speaker_C | Other options are solar cells , hand dynamo and basic battery ."
[04:49] Speaker_B | No .
[04:52] Speaker_A | I thin why why shouldn't we take a basic battery ?
"[04:52] Speaker_B | And what does the hand dynamo oh , sorry ."
[04:54] Speaker_D | Yeah . A rechargeable maybe .
"[04:56] Speaker_C | Only basic battery ? Okay , but I think this is not a r"
[04:57] Speaker_A | Why not ? I mean everybody everybody knows how to use that . It's it's common . So and it's available everywhere . So why sh mm I think better .
[04:57] Speaker_D | Re rechargeable basi
[05:01] Speaker_C | Yeah .
"[05:03] Speaker_C | Yeah , but I think this rules out our unit our rechargeable unit . This is really a really basic battery , a normal battery ."
[05:03] Speaker_D | Yeah .
"[05:09] Speaker_A | Yeah , uh it wasn't it wasn't in the options , a rechargeable m module actually ."
[05:09] Speaker_B | Oh .
[05:11] Speaker_C | Huh ?
"[05:12] Speaker_C | Okay , that's uh . Okay ?"
[05:15] Speaker_D | Yep . Basic .
"[05:19] Speaker_C | Okay , but then we don't offer a re-chargement function . That's what it says ."
"[05:25] Speaker_C | Exactly . Alright . Right . Yep . Next one is curving . Uh we can make a model that has one curve , two or three ."
"[05:26] Speaker_A | Okay , will just take regular batteries ."
[05:28] Speaker_D | Okay .
[05:34] Speaker_C | And uh uh th uh the shape . Of course uh the more curves the more expensive . Exactly . Yes .
[05:38] Speaker_D | Okay .
"[05:38] Speaker_B | Of the remote control itself , okay . I was thinking along the line of one curve . I'll show that in my design ."
[05:42] Speaker_D | It dep
[05:45] Speaker_C | Hmm .
[05:47] Speaker_B | So we'll get back to that .
[05:48] Speaker_D | Yeah .
[05:49] Speaker_C | Hmm . I think one curve is uh fine .
[05:49] Speaker_D | Yeah .
"[05:50] Speaker_A | But what were the implications if you if put more curves it it's gets more expensive . Okay , so I think with with the extras that we had there it's two curves I suppose . Okay ."
[05:51] Speaker_D | Depends on the user .
[05:53] Speaker_C | More expensive . More difficult to make .
"[05:58] Speaker_C | Exactly . And I believe even that the r the number of options we have on putting things in it uh goes down with exactly . Material . I have to offer a plastic , rubber , wood or titanium . Uh if we choose plastic , we cannot choose solar cells for energy . If we choose titanium , uh we cannot use more than one curve ."
"[06:05] Speaker_A | Also decreases , okay ."
[06:16] Speaker_A | Okay .
[06:21] Speaker_C | But we don't have that so fast .
"[06:22] Speaker_B | Okay , I t I'd go for plastic because I have a couple of curves in my design . Well , g let's just get back to that ."
"[06:26] Speaker_A | 'Cause it yeah , I'm not sure ."
[06:28] Speaker_C | Mm .
[06:29] Speaker_D | Yeah .
[06:29] Speaker_C | Mm .
"[06:30] Speaker_A | We'll discuss that later . Okay , we have so I think we can rule out um I'm not sure we can rule anything out . We'll do that when y when you get your design ."
[06:31] Speaker_D | Yeah .
[06:31] Speaker_C | Okay .
[06:36] Speaker_C | No .
[06:37] Speaker_C | But I think wood is not an option either .
"[06:39] Speaker_B | No , wood's not an option . No ."
"[06:39] Speaker_A | No , wood i wood's not an option . Well it it's stylish , but we can yeah , but you can change your covers anyway ."
[06:40] Speaker_C | Okay .
[06:42] Speaker_C | Hmm .
[06:43] Speaker_D | No .
"[06:44] Speaker_C | Okay . My personal thought was uh rubber because I had an email , I believe it was from you , uh f against falling ."
"[06:49] Speaker_A | Yeah , is it keep in mind that it it's it's uh it fal uh remote controls fall a lot on the ground . So you don't want it to break . So either have rubber edges or a rubber remote control is very durable . But Continue ."
[06:56] Speaker_C | Hmm .
[07:00] Speaker_D | No .
[07:05] Speaker_C | Mm .
"[07:07] Speaker_B | Okay , well that that's definitely true ."
[07:08] Speaker_C | Yeah .
"[07:22] Speaker_A | Well , you have for if you if for example if you take hard plastic . If it falls it might crack . And rubber uh kind of softens the fall ."
"[07:30] Speaker_A | I'm not sure if it's the it's the entire cover you change . Uh , it's could be ."
[07:33] Speaker_C | Mm-hmm .
"[07:35] Speaker_A | You know what , th we're focusing very much on the covers now . I think it's just w now we're going for the basic design . If we wanna expand our options , f be fashionable , then we can get changeable covers . But I think the basic thing let's just rule out wood for now and continue ."
[07:45] Speaker_C | Mm-hmm .
[07:48] Speaker_C | Okay .
"[07:53] Speaker_A | We're definitely focussing on the younger people , 'cause that was our main goal ."
"[08:01] Speaker_A | Okay okay , we will ."
[08:02] Speaker_B | Okay .
[08:12] Speaker_A | Mm-hmm .
"[08:22] Speaker_C | What is this ? Okay , and if we use rubber , I already mentioned that , we can only use rubber buttons . So rubber can only match with rubber . Which one of those are we gonna use ? Push-buttons , that's b uh I think basic ."
[08:29] Speaker_A | Mm-hmm .
"[08:33] Speaker_A | Evident . Yeah , o of course we're gonna use . But I didn't I didn't go on the thought of a scroll-wheel actually . I'm still deciding on what what what could you use it for . Maybe for volume control . Channel , I think that would be annoying because it might accidentally scroll onto another channel . I think a push-button for channel would be better . I mean it for volume control it's it's a smoother motion , you can just increase or decrease . But not sure . For channels will be good ."
"[08:34] Speaker_B | Yeah , of cour"
[08:35] Speaker_C | Huh .
[08:38] Speaker_C | No .
[08:40] Speaker_C | I think the channels .
[08:43] Speaker_C | Oh .
[08:45] Speaker_C | Yeah .
[08:50] Speaker_C | Huh ?
[08:51] Speaker_C | Huh .
"[08:53] Speaker_B | Yeah , but there is a is it really necessary 'cause a normal push-button can do that job ."
[08:55] Speaker_A | I don't think so . I haven't I haven't taken it into consideration .
[08:56] Speaker_C | Huh ? Oh . Ah so but it looks cool . Mm no .
[08:58] Speaker_A | I don't think we really need one .
[09:04] Speaker_C | Oh . Ah . flashy and yeah .
"[09:08] Speaker_C | I think would be cool , scroll-wheel . It's not that much uh if we take a normal scroll-wheel without the pushing , then it's not expensive . We can do that ."
[09:11] Speaker_D | A sc
[09:14] Speaker_A | But why do we need it ?
