"[00:00] me011 | Yeah , we had a long discussion about"
[00:06] fe016 | Right .
[00:16] me011 | Did did did it ? I didn't even check yesterday whether it was moving .
[00:18] me018 | It didn't move yesterday either when I started it .
"[00:19] fe016 | Oh , it didn't ? OK ."
[00:20] me011 | So .
[00:20] fe016 | It didn't move on me on one other meeting and it did on one and both recorded the same so .
[00:21] me011 | Channel three ?
[00:22] me011 | Channel three ?
[00:28] me011 | Mm - hmm ?
[00:29] me018 | You can tell if it 's picking up breath noise and stuff .
"[00:32] me011 | Yeah , it has a little indicator on it on the AF ."
[00:33] me018 | Mm - hmm .
"[00:34] fe016 | Oh , really ?"
"[00:36] me018 | So if you yeah , if you breathe under breathe and then you see AF go off , then you know it 's p picking up your mouth noise ."
"[00:44] fe016 | Oh , that 's good . Cuz we have a lot of breath noises ."
[00:46] me011 | Yep . Test .
[00:58] fe016 | Exactly . It 's very disconcerting . OK .
"[01:01] fe016 | So , um , I was gonna try to get out of here , like , in half an hour , um , cuz I"
"[01:07] fe016 | really appreciate people coming , and the main thing that I was"
[01:13] fe016 | gonna ask people to help with today is to
[01:18] fe016 | give input on what kinds of database format we should use in
"[01:24] fe016 | starting to link up things like word transcripts and annotations of word transcripts , so anything that"
"[01:34] fe016 | with time - marks for , like , words and phone boundaries and all the stuff we get out of the forced alignments and the recognizer ."
"[01:52] me011 | Yeah , I 'm I 'm familiar with that . I mean , we I sort of already have developed an XML format"
[01:54] me018 | Can I see it ?
[02:00] me011 | is it the sort of thing that you want to use or not ?
"[02:03] me011 | Have you looked at that ? I mean , I had a web page up ."
"[02:15] fe016 | OK , yeah . So you should , definitely ."
"[02:16] me011 | Um , so so it definitely had that as a concept . So tha it has a single time - line ,"
[02:21] fe016 | Mm - hmm .
"[02:21] me011 | and then you can have lots of different sections , each of which have I Ds attached to it , and then you can refer from other sections to those I Ds ,"
[02:29] me011 | if you want to .
[02:32] me011 | so that you start with with a time - line tag .
[02:39] me011 | And then you have a bunch of times .
"[02:44] fe016 | Right , right ."
"[02:46] me011 | Yeah , "" T equals one point"
"[02:51] me011 | And then I I also had optional things like accuracy ,"
"[02:54] me011 | and then "" ID equals T one , uh , one seven "" . And then ,"
[03:01] me011 | I also wanted to to be i to be able to not specify specifically what the time was and just have a stamp .
[03:06] fe016 | Right .
"[03:09] me011 | Yeah , so these are arbitrary , assigned by a program , not not by a user . So you have a whole bunch of those ."
"[03:19] me011 | which has "" start"
"[03:22] me011 | equals T - seventeen , end equals T - eighteen "" ."
"[03:26] me011 | So what that 's saying is , we know it starts at this particular time . We don't know when it ends ."
"[03:31] me011 | Right ? But it ends at this T - eighteen , which may be somewhere else . We say there 's another utterance ."
[03:38] me011 | We don't know what the t time actually is but we know that it 's the same time as this end time .
[03:45] mn017 | Mmm .
"[03:46] me011 | You know , thirty - eight , whatever you want ."
[03:48] me011 | OK .
"[03:51] me011 | Yes , exactly ."
[03:52] mn017 | Yeah .
"[03:53] me011 | And then , uh and then these also have I Ds ."
"[04:00] me011 | Right ? So you could you could have some sort of other other tag later in the file that would be something like , um ,"
"[04:08] me011 | oh , I don't know , uh ,"
"[04:13] me011 | "" noise - type equals"
"[04:20] me011 | And then , uh ,"
"[04:33] fe016 | It 's an O instead of an I , but the D is good ."
"[04:39] me011 | you know , so you could have some sort of type here ,"
[04:44] me011 | the utterance that it 's referring to could be U - seventeen or something like that .
[04:52] fe016 | that seems g
[04:54] fe016 | great for all of the
"[04:57] fe016 | encoding of things with time and ,"
"[05:00] me011 | Oh , well ."
[05:05] mn017 | How - how
"[05:11] fe016 | just conceptually , if you get , um , transcriptions where the words are staying"
"[05:18] fe016 | but the time boundaries are changing , cuz you 've got a new recognition output , or s sort of what 's the , um ,"
[05:25] fe016 | sequence of going from the
"[05:28] fe016 | waveforms that stay the same , the transcripts that may or may not change , and then the"
[05:33] fe016 | utterance which where the time boundaries that may or may not change ?
[05:38] fe016 | Um .
"[05:42] mn017 | um , time - stamps in the time - line without without , uh , changing the I Ds ."
"[05:47] me011 | Right . That 's , the who that 's why you do that extra level of indirection ."
[05:48] fe016 | the information ?
[05:53] me011 | So that you can just change the time - line .
[05:57] me011 | Yes .
"[06:01] me011 | Yeah , this I don't think I would do this for phone - level ."
[06:03] me011 | I think for phone - level you want to use some sort of binary representation because it 'll be too dense otherwise .
"[06:07] fe016 | OK . So , if you were doing that and you had this sort of companion , uh , thing that gets called up for phone - level , uh , what would that look like ? How would you ?"
[06:15] mn017 | Why -
[06:18] fe016 | H h
[06:18] me011 | an existing way of doing it .
"[06:24] mn017 | you know , barring memory limitations , or uh I w I mean this is still the m"
[06:27] me011 | It 's parsing limitations . I don't want to have this text file that you have to read in the whole thing to do something very simple for .
"[06:34] mn017 | Oh , no . You would use it only for purposes where you actually want the phone - level information , I 'd imagine ."
[06:40] fe016 | So you could have some file that configures how much information you want in your in your XML or something .
"[06:46] me011 | Right . I mean , you 'd y I I am imagining you 'd have multiple versions of this depending on the information that you want ."
[06:50] fe016 | Right .
[06:59] mn017 | Mm - hmm .
"[07:07] me018 | Lattices are big , too ."
"[07:21] me011 | Uh , that 's a well , or something like it . It 's ICS uh , ICSI has a format for frame - level representation of features ."
[07:27] fe016 | OK . That you could call that you would tie into this representation with like an ID .
[07:28] me011 | Um .
[07:31] me011 | Right .
[07:32] me011 | Right . Or or there 's a there 's a particular way in XML to refer to external resources .
[07:37] fe016 | OK .
"[07:38] me011 | So you would say "" refer to this external file "" ."
[07:43] fe016 | So that might that might work .
[07:45] me018 | But what what 's the advantage of doing that versus just putting it into this format ?
[07:50] me018 | Uh - huh .
[07:54] me011 | You don't want to do it with that Anything at frame - level you had better encode binary or it 's gonna be really painful .
"[08:04] mn017 | and , um , you know , c decompress them on the fly if y if space is really a concern ."
[08:08] me018 | I was thinking the advantage is that we can share this with other people .
[08:12] me011 | you 're talking about gigabyte - size files . You 're gonna actually run out of space in your filesystem for one file .
[08:19] me011 | Right ? Because you have a two - gigabyte limit on most O Ss .
"[08:28] mn017 | Like phones , or syllables , or anything like that ."
"[08:29] fe016 | Phones are every five frames though , so ."
[08:32] fe016 | Or something like that .
"[08:39] mn017 | v Look at it , words times the average The average number of phones in an English word is , I don't know , five maybe ?"
"[08:48] fe016 | Oh , so you mean pause phones take up a lot of the long pause phones ."
[08:52] me011 | Yep .
[08:52] mn017 | Exactly . Yeah .
[08:52] fe016 | Yeah . OK . That 's true . But you do have to keep them in there . Y yeah . OK .
[08:59] fe016 | OK .
[09:02] me011 | is too verbose . I would use something tighter than P - files .
[09:06] me011 | So .
"[09:08] mn017 | I mean , I 've I 've used them . I don't know what their structure is . I 've forgot what the str"
[09:09] fe016 | OK .
"[09:17] me011 | It 's whatever you want , actually . So that what 's nice about the P - file It i"
[09:18] me018 | Right .
[09:28] me011 | And then also attached to it is an arbitrary vector of values .
[09:33] fe016 | Oh .
"[09:33] me011 | And it can take different types . So it th they don't all have to be floats . You know , you can have integers and you can have doubles , and all that sort of stuff ."
[09:38] fe016 | So that that sounds that sounds about what I w
[09:40] me011 | Um .
[09:55] me011 | even though they 're always sequential . And so it does waste a lot of space .
[09:59] mn017 | Hmm .
[09:59] me011 | But it 's still a lot tighter than than ASCII . And we have a lot of tools already to deal with it .
"[10:03] fe016 | You do ? OK . Is there some documentation on this somewhere ? OK , great . So ,"
"[10:06] me011 | Yeah , there 's a ton of it . Man - pages and , uh , source code , and"
"[10:11] fe016 | I mean , that sounds good . I I was just looking for something I 'm not a database person , but something sort of standard enough that ,"
"[10:17] fe016 | you know , if we start using this we can give it out , other people can work on it , or Is it ?"
[10:45] me018 | Mmm .
"[10:50] mn017 | Yeah , so there is something like that but it 's , um , probably not as sophist"
"[10:53] me011 | Well , what does H T K do for features ? Or does it even have a concept of features ?"
"[10:57] mn017 | I mean , Entropic has their own feature format that 's called , like , S - SD or some so SF or something like that ."
[11:02] fe016 | Yeah .
[11:04] me018 | Yeah .
"[11:04] me011 | I 'm just wondering , would it be worth while to use that instead ?"
[11:05] mn017 | Hmm ?
[11:12] mn017 | Right .
[11:14] me018 | Yeah .
"[11:16] fe016 | I just you know , we we 've done this stuff on prosodics and"
"[11:20] fe016 | three or four places have asked for those prosodic files , and we just have an ASCII ,"
