[00:05] me003 | I guess .
"[00:06] me011 | OK , we 're on ."
"[00:10] me011 | So just make sure that th your wireless mike is on ,"
[00:12] me011 | if you 're wearing a wireless .
[00:12] me003 | Check one . Check one .
"[00:18] me011 | And you should be able to see which one which one you 're on by , uh , watching the little bars change ."
[00:26] me011 | Yep .
"[00:31] me011 | So , actually , if you guys wanna go ahead and read digits now , as long as you 've signed the consent form , that 's alright ."
[00:35] me003 | Are we supposed to read digits at the same time ?
[00:37] me011 | No .
"[00:37] me003 | Oh , OK ."
[00:45] me011 | To try to read them while everyone else is .
[00:46] me003 | Everyone would need extreme focus .
"[00:48] me011 | So , when you 're reading the digit strings , the first thing to do is just say which transcript you 're on ."
[00:52] me010 | We m
[00:53] me010 | We may wind up with ver
[00:54] me010 | We we may need versions of all this garbage .
[00:57] mn015 | For our stuff . Yeah .
[00:58] me010 | Yeah .
[00:58] me011 | Um .
[00:59] me011 | So the first thing you 'd wanna do is just say which transcript you 're on . So .
[01:02] me011 | You can see the transcript ? There 's two large number strings on the digits ?
[01:06] me011 | So you would just read that one .
[01:08] me011 | And then you read each line with a small pause between the lines .
"[01:12] me011 | And the pause is just so the person transcribing it can tell where one line ends and the other begins . And I 'll give I 'll read the digit strings first , so can see how that goes ."
[01:30] me011 | stuff before everyone 's here .
"[01:33] me010 | Mmm . Well , we have one more coming ."
"[01:36] me011 | Well , why don't I go ahead and read digit strings and then we can go on from there ."
"[02:21] me010 | OK . Well , we can start doing it ."
"[05:27] me011 | So , uh , just also a note on wearing the microphones . All of you look like you 're"
"[05:30] me011 | doing it reasonably correctly , but you want it about two thumb widths away from your mouth ,"
"[05:34] me011 | and then , at the corner ."
"[05:36] me011 | And that 's so that you minimize breath sounds ,"
"[05:39] me011 | so that when you 're breathing , you don't breathe into the mike ."
[05:41] me011 | Um .
"[05:43] me011 | Yeah , that 's good ."
"[05:46] me011 | So , everyone needs to fill out ,"
"[05:53] me011 | I mean , you should read the consent form , but"
"[05:55] me011 | uh , the thing to notice is that we will give you an opportunity"
[05:58] me011 | to edit a all the transcripts .
"[06:00] me011 | So , if you say things and you don't want them to be released to the general public ,"
"[06:04] me011 | which , these will be available at some point to anyone who wants them ,"
"[06:08] me011 | uh ,"
"[06:09] me011 | you 'll be given an opportunity by email ,"
"[06:11] me011 | uh , to bleep out any portions you don't like ."
[06:14] me011 | Um .
[06:15] me011 | On the speaker form just fill out as much of the information as you can .
"[06:19] me011 | If you 're not exactly sure about the region ,"
"[06:21] me011 | we 're not exactly sure either . So , don't worry too much about it . The It 's just self rating ."
[06:26] me011 | Um .
[06:28] me011 | And I think that 's about it .
"[06:33] me010 | Um , yeah . No . There was there was Let 's see ."
[06:36] me003 | Does Nancy know that we 're meeting in here ?
[06:38] me010 | She got an emai she was notified .
[06:38] mn015 | I sent an email .
"[06:40] me003 | Oh yeah , she got an e Yeah , yeah ."
[06:41] me010 | Whether she knows is another question .
[06:44] me010 | Um .
[06:47] me010 | So are the people going to be identified by name ?
"[06:50] me011 | Well , what we 're gonna we 'll anonymize it in the transcript ."
[06:53] me010 | Right .
"[06:53] me011 | Um , but not in the audio ."
"[06:55] me010 | OK . So , then in terms of people worrying about ,"
[06:55] me011 | So the
"[06:58] me010 | uh , excising"
"[07:00] me010 | things from the transcript , it 's unlikely ."
[07:02] me010 | Since it it does isn't attributed .
"[07:06] me011 | Right , so if I said , "" Oh , hi Jerry , how are you ? "" , we 're not gonna go through and cancel out the "" Jerry ""s ."
[07:08] me010 | Yeah .
[07:11] me010 | Sure .
"[07:12] me011 | Um , so we will go through and , in the speaker ID tags there 'll be , you know , M - one O seven , M - one O eight ."
[07:17] me010 | Right .
[07:18] me010 | Right .
"[07:19] me011 | Um , but uh ,"
"[07:21] me011 | um , it w uh , I don't know a good way of doing it on the audio , and still have people who are doing discourse research be able to use the data ."
[07:24] me010 | OK .
"[07:28] me010 | Mm - hmm . No , I I wasn't complaining , I just wanted to understand ."
[07:30] me011 | Yep .
[07:31] me011 | Right .
[07:31] me010 | OK .
"[07:32] mn015 | Well , we can make up aliases for each of us ."
"[07:35] me011 | Yeah , I mean , whatever you wanna do is fine , but we find that We want the meeting to be as natural as possible ."
[07:35] me010 | Right .
"[07:40] me011 | So , we 're trying to do real meetings ."
[07:42] me011 | And so we don't wanna have to do aliases and we don't want people to be editing what they say .
[07:42] me010 | Right .
[07:44] mn015 | Right .
[07:46] me010 | Right .
[07:46] me011 | So I think that it 's better just as a pro post - process to edit out every time you bash Microsoft . You know ?
[07:51] mn015 | Mm - hmm .
[07:52] me010 | Right .
"[07:54] me010 | Um , OK . So why don't you tell us briefly"
[07:56] me010 | your give give your e normal schpiel .
[07:56] me011 | OK . So th
[07:58] me011 | Um .
[07:59] me011 | So this is The project is called Meeting Recorder and there are lots of different aspects of the project . Um .
[08:04] me011 | So my particular interest is in the PDA of the future .
"[08:07] me011 | This is a mock - up of one . Yes , we do believe the PDA of the future will be made of wood ."
"[08:12] me011 | The idea is that you 'd be able to put a PDA at the table at an impromptu meeting ,"
"[08:16] me011 | and record it ,"
"[08:17] me011 | and then be able to do querying and retrieval later on , on the meeting ."
"[08:20] me011 | So that 's my particular interest , is a portable device to do m uh , information retrieval on meetings ."
[08:25] me011 | Other people are interested in other aspects of meetings .
"[08:28] me011 | Um . So the first step on that , in any of these , is to collect some data ."
[08:32] me011 | And so what we wanted is a room that 's instrumented with both
"[08:36] me011 | the table top microphones , and these are very high quality pressure zone mikes ,"
[08:40] me011 | as well as the close talking mikes .
"[08:42] me011 | What the close talk ng talking mikes gives us is some ground truth ,"
"[08:46] me011 | gives us , um , high quality audio ,"
"[08:48] me011 | um , especially for people who aren't interested in the acoustic parts of this corpus . So , for people who are more interested in language ,"
[08:54] me011 | we didn't want to penalize them by having only the far field mikes available .
"[08:58] me011 | And then also , um , it 's a very , very hard task in terms of speech recognition ."
[09:03] me011 | Um .
"[09:04] me011 | And so , uh , on the far field mikes we can expect very low recognition results ."
