[00:38] me012 | Nice .
[00:40] fe004 | Is that good ?
[00:41] me012 | Right .
"[00:42] me012 | Yeah , I 've have never handled them ."
"[00:43] me003 | Goats eat cans ,"
[00:45] me003 | to my understanding .
[00:46] fe004 | Did we need to do these things ?
[00:46] me003 | Tin cans .
[00:47] fe016 | You don't need to read the digits if we think that that 's torture but the reason these are out there is do put your name on it because it 's the only record I have of actually who was sitting there .
[00:47] me012 | Wow .
"[00:57] fe016 | Um , your name and some but it ."
[01:05] fe016 | OK . You should be in play .
[01:10] fe016 | And we can you can flip this and uh get rid of the screen but @ @
[01:17] fe016 | The uh the the remote @ @
[01:17] me003 | Robert ?
[01:19] mn015 | @ @
"[01:19] me003 | Oh , the remote will do it OK . Cuz I 'm already up there ?"
[01:21] mn015 | @ @
[01:22] mn015 | I 'm in control here .
[01:24] fe016 | OK . Have a great meeting . I 'll I 'll come back up in about an hour and check and see if you 're still meeting .
[01:24] me003 | You are in control .
"[01:35] fe004 | Wow , we 're all so high tech here . Yet another p PowerPoint presentation ."
[01:40] me003 | I Well it makes it easier to do PowerPoint.
[01:42] fe004 | Certainly does .
[01:51] me003 | OK .
"[01:52] me003 | So ,"
[01:54] me003 | Let 's see . Which one of these buttons will do this for me ?
[01:59] me003 | Aha ! OK .
[02:01] me012 | Should you go back to the first one ?
[02:03] me003 | Do I wanna go back to the first one ? OK .
[02:07] me003 | OK . Introduce .
[02:08] fe004 | OK .
[02:13] fe004 | I can read ! I 'm kidding .
[02:21] fe004 | Mm - hmm .
[02:22] mn015 | But if you really want to find out what it 's about you have to click on the little light bulb .
[02:27] me003 | Although I 've I 've never I don't know what the light bulb is for . I didn't i install that into my PowerPoint presentation .
[02:31] mn015 | It opens the Assistant that tells you that the font type is too small .
[02:35] me003 | Ah .
[02:36] mn015 | Do you wanna try ?
[02:36] fe004 | Ach u
[02:38] me003 | I 'd prefer not to .
[02:39] mn015 | OK .
[02:40] mn015 | Continue .
[02:41] fe004 | It 's a needless good idea . Is that the idea ? OK .
[02:43] mn015 | Why are you doing this in this mode and not in the presentation mode ?
[02:46] me003 | Because I 'm gonna switch to the JavaBayes
[02:47] mn015 | Oh ! OK . Of course . Mm - hmm .
[02:48] me003 | program and then if I do that
[02:51] me003 | it 'll mess everything up .
[02:54] me003 | Is that OK ?
"[02:55] fe004 | Yeah , it 's OK ."
[02:55] mn015 | Sure .
[02:56] me012 | Can you maximize the window ?
[02:57] fe004 | Proceed .
"[02:58] me003 | You want me to Wait , what do you want me to do ?"
[03:00] me012 | Can you maximize the window so all that stuff on the side isn't doesn't appear ?
"[03:03] mn015 | No , It 's OK . It 's It 'll work ."
"[03:04] me003 | Well I can do that , but then I have to end the presentation in the middle so I can go back to open up JavaBayes."
"[03:08] me012 | OK , fine ."
[03:13] me012 | Alright .
[03:13] fe004 | Very nice .
[03:14] me003 | Is that better ?
[03:15] me012 | Yeah .
[03:15] me003 | OK .
"[03:16] me003 | Uh I 'll also get rid of this "" Click to add notes "" ."
[03:19] me003 | OK .
[03:20] fe004 | Perfect .
"[03:21] me003 | So then the features we decided or we decided we were talked about , right ?"
"[03:24] me003 | Uh the the prosody , the discourse , verb choice . You know . We had a list of things like"
"[03:29] me003 | "" to go "" and "" to visit "" and what not ."
[03:35] me003 | I knew you 'd like that .
"[03:39] me003 | Thank you . uh ,"
[03:41] me003 | of a of a building .
[03:42] me003 | Whether the
[03:43] me003 | and this i we actually have a separate feature but I decided to put it on the same line for space .
"[03:47] me003 | "" Nice walls """
