[00:05] fe004 | Time .
[00:09] mn015 | Thanks .
"[00:13] fe004 | Are you Fey ? Oh . Hi . I think we 've met before , like , I remember talking to you about Aspect or something like that at some point or other . So ."
"[00:14] fe046 | I am Fey , yeah . Hi ."
[00:15] me003 | What day is today ?
"[00:17] fe046 | A couple times yeah . That 's right , yeah ."
[00:18] me003 | Nineteenth ?
"[00:20] fe046 | And you were my GSI briefly ,"
[00:21] me012 | @ @
"[00:21] me003 | Right , right ."
[00:22] fe046 | until I dropped the class .
[00:24] fe004 | No offense . Like .
"[00:28] fe004 | Oh , OK sorry ."
"[00:29] mn015 | OK . So . Um . For those who don't know Everyone knows me , this is great . Um , apart from that , sort of the old gang , Johno and Bhaskara have been with us from from day one and um"
[00:29] fe004 | Getting ahead of myself .
[00:41] me045 | Hi .
"[00:45] mn015 | they 're engaged in in various activities , some of which you will hear about today . Ami is um our counselor and spiritual guidance and um also interested in problems concerning reference of the more complex type ,"
[01:02] mn015 | and um he sits in as a interested participant and helper .
[01:09] mn015 | Is that a good characterization ? I don't know .
[01:12] mn015 | OK .
[01:16] me045 | Not yet .
[01:19] mn015 | but um it 's too late for him now . So .
[01:21] me045 | Yeah right . I 've got the headset on after all .
[01:24] mn015 | Um . Officially I guess he will be joining us in the summer .
"[01:29] mn015 | And um hopefully it is by by means of Keith that we will be able to get a b a better formal and a better semantic um idea of what a construction is and um how we can make it work for us . Additionally his interest um surpasses um English because it also entails German , an extra capability of speaking and writing and understanding and reading"
[02:01] mn015 | that language .
"[02:04] mn015 | And um , is there anyone who doesn't know Nancy ?"
[02:08] mn015 | Do you do you know Nancy ? OK .
[02:08] fe004 | Me ?
[02:13] fe004 | You did ? When ?
[02:14] me003 | Uh before you came in .
[02:15] fe004 | Oh .
[02:16] fe004 | About me or you ?
[02:17] me045 | Man !
[02:18] me003 | About me .
[02:18] fe004 | OK . OK .
"[02:25] mn015 | OK . And um Fey is with us as of six days ago officially ? Officially , but in reality already um much much longer and um"
"[02:33] fe046 | Officially , yeah ."
[02:39] mn015 | um next to some some more or less bureaucratic uh stuff with the the data collection she 's also the wizard in the data collection
"[02:51] mn015 | Um , we 're sticking with the term "" wizard "" , OK ."
[02:54] fe046 | Yes . Yes .
[02:56] mn015 | and um
[02:59] me003 | Wizardette .
"[03:03] mn015 | Sorceress , I think ."
[03:03] fe004 | OK .
[03:05] fe046 | Wizard .
[03:06] mn015 | wizard uh by by popular vote um
[03:07] fe004 | OK .
[03:10] fe004 | Didn't take a vote ? OK .
"[03:12] mn015 | OK , um , why don't we get started on that subject"
[03:17] mn015 | anyways .
"[03:19] mn015 | Um , so we 're about to collect data and um"
[03:24] mn015 | the uh s the following things have happened since we last met . When will we three meet again ? And um
[03:34] fe004 | More than three of us .
"[03:35] mn015 | what happened is that um , "" A "" , there was some confusion between you and Jerry with the that leading to your talking to Catherine Snow ,"
[03:44] mn015 | and he was uh he he agreed completely that some something confusing happened .
"[03:49] mn015 | Um his idea was to get sort of the l the lists of mayors of the department , the students . It it 's exactly how you interpreted it ,"
[03:57] me045 | The list of majors in the department ?
[03:58] mn015 | sort of s
"[03:58] fe046 | M m Majors ? Majors ? OK , mayor Something I don't know about these OK . OK ."
"[04:08] fe046 | Yeah , yeah , yeah ."
[04:10] fe046 | Yeah .
[04:11] fe046 | So it was really
"[04:12] fe046 | Carol Snow who was confused , not"
"[04:14] mn015 | Yep , yep , yep . OK ."
[04:14] fe046 | me and not Jerry .
[04:17] fe046 | That 's good .
[04:19] fe046 | So I should still do that .
[04:20] mn015 | Yep .
[04:21] fe046 | OK .
[04:22] fe046 | And
[04:22] fe046 | using the
[04:23] fe046 | thing that you wrote up .
[04:24] mn015 | Yep .
[04:25] fe046 | OK .
[04:26] mn015 | Wonderful .
[04:27] mn015 | And um we have a little description of asking peop subjects to contact Fey for you know recruiting them for our
[04:39] fe004 | Right .
[04:44] fe004 | Did Jerry talk to you about maybe using our class ? the students in the undergrad class that he 's teaching ?
"[04:50] mn015 | Um well he said um we definitely "" yes "" , however there is always more people in a in a facul uh in a department than are just taking his class or anybody else 's class at the moment and one should sort of reach out and try and get them all ."
